Title: 25 Years of Healthcare and Economic Macro Trends Summarized
URL: https://www.youtube.com/watch?v=1_o73vbXcLU
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is economic and healthcare macro trends. So I have drawn a very complicated chart here on the board, but we're going to go through it in detail because there's a few important points about the macro economic environment that healthcare sits in. That's important for us to consider. Okay, so we have percentages here on the y-axis. Those are percentage increases of various things. And then we have time here on the x-axis starting in about 1993 up to 2018. So we're talking like almost, you know, 25, almost 30 years. Okay. Now I have here at the top R1, R2, and R3. Those are the three most recent recessions. Now the dotted line here, that's unemployment. You can see that labeled right there. And as you can imagine, when the recession happens, unemployment goes up, recession two, unemployment goes up, recession three, unemployment goes up, and then it steadily declines before it bumps back up again. Okay. That's one of them. Number two, the x's, which are kind of hard to see here, that's the federal funds rate. So that's the interest rates, right? So you can see that interest rates here are at 2%, and they go up to 6%, and they go down to 2%, and they go up to 4%, and they go down to like zero for a long time. And now they're kind of recently creeping up, and then they've even gone down a little bit recently, right? I think the big picture here on interest rates is you got to think back overall, interest rates used to be 18%. People probably remember that back in the 70s and 80s. It used to be 18%. Overall, yes, interest rates have been bumping around, but overall, they're much lower. And people could think of that in terms of like the short-term and long-term debt cycle. So each one of these things is kind of the short-term debt cycle. But the fact that interest rates have come down so much over a long period of time, that's kind of a long-term debt cycle. Okay. Now, next we're going to move on to, well, what's the whole point of the intervention of the Fed? One of the, they relate to sort of the goal of the Fed relates to unemployment and inflation. So let's look at inflation. This is amazing. Inflation has been two and a half, it's this line right here, this little blue line all the way across. It has been two and a half percent almost every year for the past 25 to 30 years. It's unbelievably stable. I mean, in terms of the goal of like stabilizing inflation, it is unreal. I mean, it even dropped to zero a couple of times in 2009 and in 2015, but inflation has been incredibly low. Now, interestingly, the black line right above it is wage growth and real wages have grown about one percentage point above inflation almost every year. And I'll leave a link to that in the show notes. But basically, wage growth is at three and a half percent, one percentage point a year above inflation. So you can think of like everybody in America on average getting about a one percent raise every year. Now, you can say that's a lot or a little, you know, I personally think that's kind of a little, but that's where we stand in terms of wage growth. And then, of course, we're here talking about healthcare. And so you can see that the black line is healthcare cost inflation. And so you can see in the 90s, I made a previous video about this, in the 90s, healthcare cost inflation was very low because of HMOs. And then when the economy heated up with the dot-com bubble, then healthcare cost inflation went way up. And then it came down to about six percent. And then with the introduction of CDHPs, it went even lower to about four to five percent. But I think the important thing here on healthcare costs is that the overall trend is in this direction, right? So it's getting closer and closer to overall inflation. So people are like, oh, healthcare costs are so high and it's above inflation. That's totally true. But look, the gap between inflation, overall inflation and healthcare cost inflation has been shrinking rather steadily over the past like 20 years. All right. So that, you know, so basically if you took this, now this chart is a mess on purpose because it's very easy for us to get caught up in all the numbers on a daily, weekly, monthly, or even yearly basis, right? So in general, unemployment's between three and 10%. In general, the federal funds rate is between zero and 6%. In general, inflation is about 2.5%. In general, wage growth is about 3.5%. In general, healthcare costs are between, healthcare costs inflation is about between zero and 16%. But really overall, it's just been coming down and getting closer to that overall 2.5% over the past 20 years. So what's my point? As Warren Buffett says, healthcare is the tapeworm of the American economy. So be it. That's true, right? The healthcare cost inflation is always above the overall national inflation, right? But it's getting closer to that overall inflation level, right? So the point is that the tapeworm is shrinking. The tapeworm is shrinking. So when people get disheartened about healthcare costs and the, you know, chicken little skies falling stuff, just know that in general, listen, the healthcare cost inflation rate, it is going down. Now, it goes down for some organizations faster than others. Like, so, you know, John Tornis with Serograph, it came down to zero and it's been zero for a long time. The state of Montana, it came down to like negative, okay? So individual employers and individual agents have been able to dramatically lower healthcare much faster than others and other people have been hanging up higher. But in general, it has been coming down. And I think the point here that I want to make is the, one of my favorite quotes is from Thomas Edison where he says, look, opportunity is missed most because it is dressed in overalls and looks like work, right? So the opportunity to lower healthcare costs, like, I don't think there's any sort of, I mean, look, it's kind of like marching on, right? Like there's no silver bullet. Like there's no like magic, you know, way to snap your fingers. I mean, it takes like small incremental changes day by day, week by week, year by year. And what's that called? That's called a lot of hard work. So in my opinion, Americans are good at working hard, right? That's kind of what we do. And so over time, we've applied that hard work to have it come down. It's just a question of by organization and by year and by priority for the organization, really how much work are you willing to do? And so like people ask me, you know, how did you, you know, solve healthcare, decrease healthcare costs, you know, I think, you know, it just takes a lot of work. And really the point is, is that are you willing to do it? In my opinion, that's really the ultimate question. Are you willing to do the work? And if you are, then you can solve it. But if you aren't, so be it, just accept that and just know that your healthcare costs are going to be higher. So that's my message today. It's really a matter of if you want to roll up your sleeves or not. And that's my point for today. Thank you for watching a healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:06 - 0:15]  economic and healthcare macro trends. So I have drawn a very complicated chart here on the board,
[0:15 - 0:20]  but we're going to go through it in detail because there's a few important points about the macro
[0:20 - 0:25]  economic environment that healthcare sits in. That's important for us to consider.
[0:25 - 0:33]  Okay, so we have percentages here on the y-axis. Those are percentage increases of various things.
[0:33 - 0:40]  And then we have time here on the x-axis starting in about 1993 up to 2018. So we're talking like
[0:40 - 0:49]  almost, you know, 25, almost 30 years. Okay. Now I have here at the top R1, R2, and R3. Those are the
[0:49 - 0:56]  three most recent recessions. Now the dotted line here, that's unemployment. You can see that
[0:56 - 1:01]  labeled right there. And as you can imagine, when the recession happens, unemployment goes up,
[1:01 - 1:05]  recession two, unemployment goes up, recession three, unemployment goes up, and then it steadily
[1:05 - 1:12]  declines before it bumps back up again. Okay. That's one of them. Number two, the x's, which are
[1:12 - 1:16]  kind of hard to see here, that's the federal funds rate. So that's the interest rates, right? So you
[1:16 - 1:20]  can see that interest rates here are at 2%, and they go up to 6%, and they go down to 2%,
[1:20 - 1:24]  and they go up to 4%, and they go down to like zero for a long time. And now they're kind of
[1:24 - 1:28]  recently creeping up, and then they've even gone down a little bit recently, right? I think the big
[1:28 - 1:33]  picture here on interest rates is you got to think back overall, interest rates used to be 18%.
[1:33 - 1:40]  People probably remember that back in the 70s and 80s. It used to be 18%. Overall, yes, interest rates
[1:40 - 1:45]  have been bumping around, but overall, they're much lower. And people could think of that in terms of
[1:45 - 1:48]  like the short-term and long-term debt cycle. So each one of these things is kind of the short-term
[1:48 - 1:52]  debt cycle. But the fact that interest rates have come down so much over a long period of time,
[1:52 - 1:57]  that's kind of a long-term debt cycle. Okay. Now, next we're going to move on to, well, what's the
[1:57 - 2:03]  whole point of the intervention of the Fed? One of the, they relate to sort of the goal of the Fed
[2:03 - 2:09]  relates to unemployment and inflation. So let's look at inflation. This is amazing. Inflation has been
[2:09 - 2:13]  two and a half, it's this line right here, this little blue line all the way across. It has been
[2:13 - 2:18]  two and a half percent almost every year for the past 25 to 30 years. It's unbelievably stable.
[2:19 - 2:23]  I mean, in terms of the goal of like stabilizing inflation, it is unreal. I mean, it even dropped
[2:23 - 2:29]  to zero a couple of times in 2009 and in 2015, but inflation has been incredibly low. Now,
[2:29 - 2:36]  interestingly, the black line right above it is wage growth and real wages have grown about one
[2:36 - 2:41]  percentage point above inflation almost every year. And I'll leave a link to that in the show notes.
[2:41 - 2:46]  But basically, wage growth is at three and a half percent, one percentage point a year above inflation.
[2:47 - 2:51]  So you can think of like everybody in America on average getting about a one percent raise every
[2:51 - 2:55]  year. Now, you can say that's a lot or a little, you know, I personally think that's kind of a little,
[2:55 - 2:59]  but that's where we stand in terms of wage growth. And then, of course, we're here talking about
[2:59 - 3:06]  healthcare. And so you can see that the black line is healthcare cost inflation. And so you can see
[3:06 - 3:11]  in the 90s, I made a previous video about this, in the 90s, healthcare cost inflation was very low because of HMOs.
[3:11 - 3:16]  And then when the economy heated up with the dot-com bubble, then healthcare cost inflation went way
[3:16 - 3:21]  up. And then it came down to about six percent. And then with the introduction of CDHPs, it went even
[3:21 - 3:27]  lower to about four to five percent. But I think the important thing here on healthcare costs is that
[3:27 - 3:33]  the overall trend is in this direction, right? So it's getting closer and closer to overall inflation.
[3:33 - 3:36]  So people are like, oh, healthcare costs are so high and it's above inflation. That's totally true.
[3:36 - 3:42]  But look, the gap between inflation, overall inflation and healthcare cost inflation has been
[3:42 - 3:48]  shrinking rather steadily over the past like 20 years. All right. So that, you know, so basically
[3:48 - 3:54]  if you took this, now this chart is a mess on purpose because it's very easy for us to get caught up in
[3:54 - 4:01]  all the numbers on a daily, weekly, monthly, or even yearly basis, right? So in general, unemployment's
[4:01 - 4:06]  between three and 10%. In general, the federal funds rate is between zero and 6%. In general,
[4:06 - 4:12]  inflation is about 2.5%. In general, wage growth is about 3.5%. In general, healthcare costs are
[4:12 - 4:18]  between, healthcare costs inflation is about between zero and 16%. But really overall, it's just been
[4:18 - 4:24]  coming down and getting closer to that overall 2.5% over the past 20 years. So what's my point?
[4:24 - 4:30]  As Warren Buffett says, healthcare is the tapeworm of the American economy. So be it. That's true,
[4:30 - 4:36]  right? The healthcare cost inflation is always above the overall national inflation, right? But it's
[4:36 - 4:41]  getting closer to that overall inflation level, right? So the point is that the tapeworm is shrinking.
[4:41 - 4:45]  The tapeworm is shrinking. So when people get disheartened about healthcare costs and the, you know,
[4:46 - 4:50]  chicken little skies falling stuff, just know that in general, listen, the healthcare cost inflation
[4:50 - 4:56]  rate, it is going down. Now, it goes down for some organizations faster than others. Like, so,
[4:56 - 5:00]  you know, John Tornis with Serograph, it came down to zero and it's been zero for a long time.
