Title: 5 Global Causes of Current, Past and Future Viral Epidemics
URL: https://www.youtube.com/watch?v=d1cDJNpvByc
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is Coronavirus latest in continuing pattern. So today's video is based upon a video itself from the New England Journal of Medicine from a panel presentation that they had back in April of 2018 and this was a major panel presentation on epidemics, specifically infectious epidemics. And I'll leave a link in the show notes to this panel. The New England Journal of Medicine just recently republished this video on their website because the overall consensus on this panel is that they knew this was going to happen. They knew it. Now, more specifically, Tom Frieden, who is the former director of the Centers for Disease Control, the CDC, he says in this video, there is a hundred percent chance that there will be a global epidemic. He said a hundred percent chance. It is guaranteed. Okay. Likewise, Dr. Harvey Feinberg, who is from Harvard University and he was not only the head of the School of Public Health there, but he actually was the head of what is the Institute of Medicine, National Academy of Medicine now. This is hugely prominent individual. He said, look, coronavirus is just, and they, by the way, this is April of 2018. So they didn't even know about coronavirus. He just said, look, future infectious epidemics are just the latest in a series of infectious epidemics that have already been happening. Specifically SARS back in 2002, MERS, Zika, Ebola, H1N1. These are all viruses in the past 18 years. One, two, three, four, five. We've already had five for the last 18 years and now coronavirus is number six. In other words, on average, one every three years. So what is happening with coronavirus today is not just out of the blue, it fits a pattern. And that's what everybody on this panel was saying. Now the question becomes, well, why? Why is this a pattern? Why is this happening? And Dr. Feinberg gives his explanation for that. He says, one, it's because of the dramatic increase in the world population and the dramatic increase in the urbanized population of the world. There are going to be another 2.5 billion people, specifically in cities by 2050. Okay. So that's only in the next 30 years. Okay. And 90% of that is going to occur in Asia and Africa. And so when we talk about the emergence of coronavirus today, it has played into the large urbanization in Asia, just like he said. Next up, air travel. The amount of air travel across the world. You can literally go from one point of the world to another point of the world with the virus, with an infection, and you will be completely asymptomatic. That means you can't screen for it for a person getting onto a plane. So the point is, is that it will go undetected and spread across the world. And that is exactly what has happened again with coronavirus. Again, this is in 2018 that they said this. Next up, there will be two times, oh by the way, there will be two times more air travel in just 20 years. So just the amount of potential worldwide spread is only going to increase. It's going to double. Okay. Next up, food animals. Okay. Pigs, cows, poultry, etc. They are the source of 75% of human infections. 75% comes from the animals. Where did coronavirus come from? It came from an animal. Where does the flu come from? It comes from an animal. Where does Ebola come from? It comes from an animal. So, these are reservoirs of illness. Now, not only has the human population dramatically increased, the human population, if you put it all together, is 350 million tons of people. Of biomass of people. Okay. There is 1 billion tons of food animals on the planet. Pigs, chickens, cows, etc. So, there are three times as much animal biomass compared to human biomass. So, as much as we talk about the spread of infections amongst people, those infections can spread within animals as well, because there's so many more of them, and then they jump to people. It's a much larger reservoir than in the past. Okay. Then he also, in less detail, he goes on to talk about the environment and natural disasters and wars as a source as well. Now, the logo for this talk, the main graphic for this talk, has a picture of an animal. And guess what animal that is? It's a bat. Which is exactly what coronavirus came from. Because so many coronaviruses come from bats. So, they knew, back in 2018, that there was a huge connection with bats, and a huge connection with animals, and a huge connection with population, urbanization, air travel, and food animals. And so, what my point is for today is, is that I'm not trying to place blank. They knew, whether or not we listened or didn't listen, that's not what I'm trying to say. My point is, is that the conditions that created coronavirus today will likely exist and create viruses in the future. And thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:05 - 0:14]  Coronavirus latest in continuing pattern. So today's video is based upon a video itself from
[0:14 - 0:21]  the New England Journal of Medicine from a panel presentation that they had back in April of 2018
[0:21 - 0:29]  and this was a major panel presentation on epidemics, specifically infectious epidemics.
[0:29 - 0:33]  And I'll leave a link in the show notes to this panel. The New England Journal of Medicine just
[0:33 - 0:41]  recently republished this video on their website because the overall consensus on this panel is
[0:41 - 0:48]  that they knew this was going to happen. They knew it. Now, more specifically, Tom Frieden,
[0:48 - 0:53]  who is the former director of the Centers for Disease Control, the CDC, he says in this video,
[0:53 - 1:00]  there is a hundred percent chance that there will be a global epidemic. He said a hundred percent
[1:00 - 1:08]  chance. It is guaranteed. Okay. Likewise, Dr. Harvey Feinberg, who is from Harvard University and he
[1:08 - 1:13]  was not only the head of the School of Public Health there, but he actually was the head of what is the
[1:13 - 1:18]  Institute of Medicine, National Academy of Medicine now. This is hugely prominent individual. He said,
[1:18 - 1:24]  look, coronavirus is just, and they, by the way, this is April of 2018. So they didn't even know
[1:24 - 1:31]  about coronavirus. He just said, look, future infectious epidemics are just the latest in a series of
[1:31 - 1:42]  infectious epidemics that have already been happening. Specifically SARS back in 2002, MERS, Zika, Ebola, H1N1.
[1:42 - 1:58]  These are all viruses in the past 18 years. One, two, three, four, five. We've already had five for the last 18 years and now coronavirus is number six. In other words, on average, one every three years.
[1:58 - 2:25]  So what is happening with coronavirus today is not just out of the blue, it fits a pattern. And that's what everybody on this panel was saying. Now the question becomes, well, why? Why is this a pattern? Why is this happening? And Dr. Feinberg gives his explanation for that. He says, one, it's because of the dramatic increase in the world population and the dramatic increase in the urbanized population of the world.
[2:25 - 2:41]  There are going to be another 2.5 billion people, specifically in cities by 2050. Okay. So that's only in the next 30 years. Okay. And 90% of that is going to occur in Asia and Africa.
[2:41 - 2:59]  And so when we talk about the emergence of coronavirus today, it has played into the large urbanization in Asia, just like he said. Next up, air travel. The amount of air travel across the world.
[2:59 - 3:08]  You can literally go from one point of the world to another point of the world with the virus, with an infection, and you will be completely asymptomatic.
[3:09 - 3:20]  That means you can't screen for it for a person getting onto a plane. So the point is, is that it will go undetected and spread across the world.
[3:20 - 3:25]  And that is exactly what has happened again with coronavirus. Again, this is in 2018 that they said this.
[3:25 - 3:33]  Next up, there will be two times, oh by the way, there will be two times more air travel in just 20 years.
[3:34 - 3:38]  So just the amount of potential worldwide spread is only going to increase. It's going to double.
[3:39 - 3:45]  Okay. Next up, food animals. Okay. Pigs, cows, poultry, etc.
[3:45 - 3:55]  They are the source of 75% of human infections. 75% comes from the animals.
[3:55 - 4:00]  Where did coronavirus come from? It came from an animal. Where does the flu come from? It comes from an animal.
[4:00 - 4:02]  Where does Ebola come from? It comes from an animal.
[4:02 - 4:10]  So, these are reservoirs of illness. Now, not only has the human population dramatically increased,
[4:11 - 4:16]  the human population, if you put it all together, is 350 million tons of people.
[4:16 - 4:18]  Of biomass of people. Okay.
[4:18 - 4:23]  There is 1 billion tons of food animals on the planet.
[4:24 - 4:26]  Pigs, chickens, cows, etc.
[4:26 - 4:32]  So, there are three times as much animal biomass compared to human biomass.
[4:33 - 4:36]  So, as much as we talk about the spread of infections amongst people,
[4:37 - 4:42]  those infections can spread within animals as well, because there's so many more of them,
[4:42 - 4:46]  and then they jump to people. It's a much larger reservoir than in the past.
