Title: 6 Causes of Employer Health Plan Change
URL: https://www.youtube.com/watch?v=OsTwF5bWWMk
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is six causes of employer health plan change. And as we all know, pain causes change. So we're going to go through six sources of pain and the resulting health care change. So first source of pain is regulation, changes in regulation, with obviously the biggest example being the Affordable Care Act, which caused tons of changes within employers back in 2010 when it was originally passed. Now, looking forward, this pain of regulation might occur again, given the results of the upcoming presidential election. We will see. Next pain point, decreased top line revenue causes pain that leads to employee health plan change. Where does that come from? That comes from recessions. And where does that largely come from? That largely comes from the business cycle, which is highly influenced by the Federal Reserve and interest rates. Okay. So isn't that interesting that believe it or not, the Federal Reserve actually plays a fairly significant role in changing health care in America. Okay. Next up, increased health care costs without increased revenue. Okay. So not just increased health care costs alone. It has to be in an environment where there is not an increase in revenue. Okay. Where's that? It often happens in local, state, and regional governments, right? So like the state of Montana, their health care costs kept going up. Their tax receipts were not going up through the roof. The state of North Carolina recently, with their changes that they tried to make, right? Their health care costs were going through the roof. Again, they couldn't just like, it's not easy to just raise taxes on people. So in many respects, really the, the harbingers of change in health care in America, it's actually at the state level. I mean, the federal level gets so much attention, but really a lot of the really cool stuff's actually happening at the state and local level. Okay. Next up, a leadership change within the executives in the organization. In other words, typically like the CEO or the CFO. And so before I did a case presentation about Quest Diagnostics and how their own employee health plan, there's dramatic change where they actually took control of the health plan away from HR and they gave it to like a chief medical officer that they hired to just run their health plan. Now it's interesting. If you look on LinkedIn at Quest, they got a new CFO relatively soon before they made that dramatic change. So I wasn't there. I don't know for a fact that that's what it is, but isn't it interesting that that dramatic change happened after a change in leadership in the CFO at Quest. Okay. Next up legal action. Okay. So getting sued that can cause the pain necessary for change with the most recent one in the news being the Yale wellness program was where Yale was actually sued by the employees. And what's interesting here is that those yellow police, they were unionized. So to a certain extent, it's the, it's, it's potentially groups of employees acting together and what are like the groups of employees. They're really unions. It'll be interesting to see if it's really those employers that have unions and those unions being the impetus for legal action against employers that spur some degree of change. Okay. Now, finally, we have cost alone in a low margin business. So everyone's, if you go to a healthcare services conference or people selling like various like health insurance or healthcare, like services, products, et cetera, like everyone's like lower costs, lower costs, lower costs. It's like what everybody says. Okay. But lower costs alone doesn't increase, doesn't cause change to happen. It has to happen in a low margin business where Sarah graph and the automotive industry, with John Torrance, he even said, look, we are a low margin business. So like decreasing their cost was a big contribution to their EBITDA. Likewise with Walmart. I mean, they compete on price and selection. They compete on price. So if they're going to keep their prices low, they have to keep their costs low, meaning their employee health plan costs have to be low. Okay. So why am I pointing out these six causes of change? Well, it's because there are pockets of change. Oftentimes we talk about this big sort of, you know, amorphous nebulous like employer healthcare thing, but it's really pockets of change. Like it's like change can be accomplished if you find the pockets. So really to a certain extent, the winner in employee benefits and the winner in the brokerage space and the, and the winner in the health plan space and all the vendors are really to the best finders, to the best seekers of pain. Even if your mouse trap is not the best mouse trap in the world, if you can find the folks that are the pockets of change, then you will be successful. And that's my point for today. Thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:06 - 0:14]  six causes of employer health plan change. And as we all know, pain causes change. So we're going to
[0:14 - 0:21]  go through six sources of pain and the resulting health care change. So first source of pain is
[0:21 - 0:27]  regulation, changes in regulation, with obviously the biggest example being the Affordable Care Act,
[0:27 - 0:34]  which caused tons of changes within employers back in 2010 when it was originally passed. Now,
[0:34 - 0:40]  looking forward, this pain of regulation might occur again, given the results of the upcoming
[0:40 - 0:48]  presidential election. We will see. Next pain point, decreased top line revenue causes pain
[0:48 - 0:53]  that leads to employee health plan change. Where does that come from? That comes from recessions.
[0:53 - 0:57]  And where does that largely come from? That largely comes from the business cycle,
[0:57 - 1:03]  which is highly influenced by the Federal Reserve and interest rates. Okay. So isn't that interesting
[1:03 - 1:08]  that believe it or not, the Federal Reserve actually plays a fairly significant role in
[1:08 - 1:14]  changing health care in America. Okay. Next up, increased health care costs without increased
[1:14 - 1:18]  revenue. Okay. So not just increased health care costs alone. It has to be in an environment where
[1:18 - 1:24]  there is not an increase in revenue. Okay. Where's that? It often happens in local, state,
[1:24 - 1:30]  and regional governments, right? So like the state of Montana, their health care costs kept going up.
[1:30 - 1:34]  Their tax receipts were not going up through the roof. The state of North Carolina recently,
[1:34 - 1:38]  with their changes that they tried to make, right? Their health care costs were going through the roof.
[1:38 - 1:43]  Again, they couldn't just like, it's not easy to just raise taxes on people. So in many respects,
[1:43 - 1:49]  really the, the harbingers of change in health care in America, it's actually at the state level. I mean,
[1:49 - 1:53]  the federal level gets so much attention, but really a lot of the really cool stuff's actually
[1:53 - 1:58]  happening at the state and local level. Okay. Next up, a leadership change within the executives
[1:58 - 2:05]  in the organization. In other words, typically like the CEO or the CFO. And so before I did a case
[2:05 - 2:09]  presentation about Quest Diagnostics and how their own employee health plan, there's dramatic change
[2:09 - 2:13]  where they actually took control of the health plan away from HR and they gave it to like a chief
[2:13 - 2:20]  medical officer that they hired to just run their health plan. Now it's interesting. If you look on
[2:20 - 2:30]  LinkedIn at Quest, they got a new CFO relatively soon before they made that dramatic change. So I wasn't
[2:30 - 2:35]  there. I don't know for a fact that that's what it is, but isn't it interesting that that dramatic
[2:35 - 2:43]  change happened after a change in leadership in the CFO at Quest. Okay. Next up legal action. Okay.
[2:43 - 2:49]  So getting sued that can cause the pain necessary for change with the most recent one in the news
[2:49 - 2:56]  being the Yale wellness program was where Yale was actually sued by the employees. And what's interesting
[2:56 - 3:02]  here is that those yellow police, they were unionized. So to a certain extent, it's the, it's,
[3:02 - 3:07]  it's potentially groups of employees acting together and what are like the groups of employees.
[3:07 - 3:12]  They're really unions. It'll be interesting to see if it's really those employers that have unions and
[3:12 - 3:18]  those unions being the impetus for legal action against employers that spur some degree of change.
[3:18 - 3:26]  Okay. Now, finally, we have cost alone in a low margin business. So everyone's, if you go to a
[3:26 - 3:30]  healthcare services conference or people selling like various like health insurance or healthcare,
[3:30 - 3:33]  like services, products, et cetera, like everyone's like lower costs, lower costs, lower costs.
[3:33 - 3:38]  It's like what everybody says. Okay. But lower costs alone doesn't increase, doesn't cause change to
[3:38 - 3:43]  happen. It has to happen in a low margin business where Sarah graph and the automotive industry,
[3:43 - 3:51]  with John Torrance, he even said, look, we are a low margin business. So like decreasing their cost was a
