Title: Aon to Buy Willis Towers Watson
URL: https://www.youtube.com/watch?v=nJweH1eKE4M
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is Aon to buy Willis Towers Watson for $30 billion in stock. Now, this was first announced in the beginning of March of 2020, right when the coronavirus was exploding in America. And so frankly, this is huge news in the world of employee benefits and health insurance, but it was really overshadowed by COVID-19. So I think it's worthy for us to take a closer look at this because this is a huge deal for employers and employees. Now, the merged company is going to be called Aon and it's going to be an $80 billion company in terms of its estimated combined worth on the stock market. Now, it's going to be about $20 billion a year in revenue and this merger or acquisition, I should say, is going to finalize in the spring of 2021. So about a year, a little less than a year from now, okay. Now, the largest other company in this space in terms of both really, and I'm talking about in terms of employee benefits, right. So these are benefit consultants mostly to the largest Fortune 500, Fortune 100,000 companies and they do smaller brokerages as well that roll up to that. And so their biggest competition is Marsh McLennan, which obviously owns Mercer and which does the large corporations, but then also has the Marsh McLennan agencies as well. They've been buying small brokerages across the country and rolling them up under Marsh Mac. Now, Marsh McLennan is a $15 billion a year business. So this new combined company that's going to be called Aon now will actually be larger now than Marsh Mac. Okay. Now, as a result of the acquisition of Aon of Willis Towers Watson, there are not one, but two shareholder lawsuits by the shareholders of Willis Towers Watson, because they said that in the financial projections that were done by Goldman Sachs, which was hired by Willis Towers Watson, that they did not disclose enough detail behind those financial projections for investors in Willis Towers Watson to see if they liked those projections or not. And if those were, you know, a quote unquote good value to them as shareholders to have Aon acquire them. So we'll see. I mean, these are relatively recent lawsuits, but I wanted to bring that to your attention. Now, what we have here is a massive consolidation in the benefit consulting space. And yes, they do PNC and other things as well, but we're just talking about this in regards to employee benefits and health insurance. Now, I'm going to walk you through the timeline of how these companies came together. Okay. So, and many of you know this, there used to be a company called Towers Perrin and it merged with Watson Wyatt worldwide to become Towers Watson. Then a little, and that was back in 2010. And just before then, a few years before then, Aon bought Hewitt and Associates and it became Aon Hewitt. Okay. Then fast forward, Willis Towers Watson buys Towers Watson and it becomes Willis Towers Watson. And now Aon Hewitt, Aon drops the Hewitt name. And now Aon is buying Willis Towers Watson. And so now you have just Aon. So at one point you had one, two, three, four, five different companies that have all merged into one. Now what does that mean? That's essentially a roll up. And what that means for customers, in my opinion, it's bad, right? Anytime customers have less choice, it frequently is bad. Why is that? Because there's less choice. Think about the RFPs that these companies used to do for their employee benefits consultants, right? They could RFP Towers versus Watson Wyatt versus Aon versus Hewitt. Willis didn't really do, you know, the very large employers, but they could at least RFP four companies. And those four companies would have to compete with each other in terms of price and service, et cetera, et cetera. Now, oh, and Marsh McLennan. So it was one, two, three, four, and then five with Mercer. So those five companies are now down to two. So you're going to RFP and your RFP is essentially going to come down to Aon and Mercer. And yeah, you can have other folks in there too. But the point is, is for these very large employers, this is typically who they go with. And their choices within that RFP have gone down dramatically. So that means that they can charge higher prices, right? So now that it's just down to two, they can charge higher prices. And because there's less choice for the customers, what oftentimes happens is it allows the companies that have consolidated, it allows them to just have more bad behavior, to not be as responsive. And the classic example of that is cable TV. Has anyone ever had a good experience with cable TV? I don't know, right? But there used to be a whole bunch of cable companies and then they got rolled up into things like Comcast and a whole bunch of other companies. I mean, you can go through and you can see all the acquisitions of cable companies that Comcast did. And I'm not picking on Comcast. You could say that for other cable TV stations as well. But the point is, did consumers really benefit from the consolidation within cable, right? Was the service really that great, right? How long were you on hold for? How much did it cost every month? It was unreasonably expensive. And it's only recently with the internet and technology that people are dropping cable. We ourselves and our family just recently dropped cable completely. And we are just internet based now. So the point is, is that if you think about consolidation in the employee benefits world and you're an HR person or a CFO, then your world is starting to look a lot more like cable television. And that's the point I want to make today. And thank you for watching a healthcare scene.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic
[0:05 - 0:15]  is Aon to buy Willis Towers Watson for $30 billion in stock. Now, this was first announced
[0:15 - 0:21]  in the beginning of March of 2020, right when the coronavirus was exploding in America.
[0:21 - 0:27]  And so frankly, this is huge news in the world of employee benefits and health insurance,
[0:27 - 0:32]  but it was really overshadowed by COVID-19. So I think it's worthy for us to take a closer
[0:32 - 0:37]  look at this because this is a huge deal for employers and employees. Now, the merged company
[0:37 - 0:44]  is going to be called Aon and it's going to be an $80 billion company in terms of its estimated
[0:44 - 0:50]  combined worth on the stock market. Now, it's going to be about $20 billion a year in revenue
[0:50 - 0:56]  and this merger or acquisition, I should say, is going to finalize in the spring of 2021.
[0:56 - 1:02]  So about a year, a little less than a year from now, okay. Now, the largest other company
[1:02 - 1:07]  in this space in terms of both really, and I'm talking about in terms of employee benefits,
[1:07 - 1:13]  right. So these are benefit consultants mostly to the largest Fortune 500, Fortune 100,000
[1:13 - 1:16]  companies and they do smaller brokerages as well that roll up to that. And so their biggest
[1:16 - 1:22]  competition is Marsh McLennan, which obviously owns Mercer and which does the large corporations,
[1:22 - 1:25]  but then also has the Marsh McLennan agencies as well. They've been buying small brokerages
[1:25 - 1:30]  across the country and rolling them up under Marsh Mac. Now, Marsh McLennan is a $15 billion
[1:30 - 1:36]  a year business. So this new combined company that's going to be called Aon now will actually
[1:36 - 1:44]  be larger now than Marsh Mac. Okay. Now, as a result of the acquisition of Aon of Willis Towers Watson,
[1:44 - 1:51]  there are not one, but two shareholder lawsuits by the shareholders of Willis Towers Watson,
[1:51 - 1:57]  because they said that in the financial projections that were done by Goldman Sachs,
[1:57 - 2:03]  which was hired by Willis Towers Watson, that they did not disclose enough detail behind those
[2:03 - 2:09]  financial projections for investors in Willis Towers Watson to see if they liked those projections
[2:09 - 2:14]  or not. And if those were, you know, a quote unquote good value to them as shareholders to
[2:14 - 2:20]  have Aon acquire them. So we'll see. I mean, these are relatively recent lawsuits, but I wanted to
[2:20 - 2:26]  bring that to your attention. Now, what we have here is a massive consolidation in the benefit
[2:26 - 2:30]  consulting space. And yes, they do PNC and other things as well, but we're just talking about this
[2:30 - 2:35]  in regards to employee benefits and health insurance. Now, I'm going to walk you through the
[2:35 - 2:39]  timeline of how these companies came together. Okay. So, and many of you know this, there used
[2:39 - 2:46]  to be a company called Towers Perrin and it merged with Watson Wyatt worldwide to become Towers Watson.
[2:46 - 2:52]  Then a little, and that was back in 2010. And just before then, a few years before then,
[2:52 - 3:00]  Aon bought Hewitt and Associates and it became Aon Hewitt. Okay. Then fast forward, Willis
[3:00 - 3:08]  Towers Watson buys Towers Watson and it becomes Willis Towers Watson. And now Aon Hewitt, Aon drops
[3:08 - 3:15]  the Hewitt name. And now Aon is buying Willis Towers Watson. And so now you have just Aon. So at one
[3:15 - 3:25]  point you had one, two, three, four, five different companies that have all merged into one. Now what does
[3:25 - 3:30]  that mean? That's essentially a roll up. And what that means for customers, in my opinion,
[3:30 - 3:37]  it's bad, right? Anytime customers have less choice, it frequently is bad. Why is that? Because there's
[3:37 - 3:42]  less choice. Think about the RFPs that these companies used to do for their employee benefits
[3:42 - 3:48]  consultants, right? They could RFP Towers versus Watson Wyatt versus Aon versus Hewitt. Willis didn't
[3:48 - 3:54]  really do, you know, the very large employers, but they could at least RFP four companies. And those four
[3:54 - 3:58]  companies would have to compete with each other in terms of price and service, et cetera, et cetera.
[3:59 - 4:04]  Now, oh, and Marsh McLennan. So it was one, two, three, four, and then five with Mercer. So those
[4:04 - 4:10]  five companies are now down to two. So you're going to RFP and your RFP is essentially going to come down
[4:10 - 4:16]  to Aon and Mercer. And yeah, you can have other folks in there too. But the point is, is for these
[4:16 - 4:23]  very large employers, this is typically who they go with. And their choices within that RFP have gone down
[4:23 - 4:31]  dramatically. So that means that they can charge higher prices, right? So now that it's just down
