Title: Book Review: 'The Hospital' by Brian Alexander - If You Like Michael Lewis Books, You'll Love This
URL: https://www.youtube.com/watch?v=fru0HTo_ZOc
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is The Hospital by Brian Alexander. So this is a brand new book that just came out in March of this year, 2021. It's 320 pages. I did not read it, but I listened to the audiobook and it is a 4 hour and 51 minute listen. But I will tell you, whether you buy the book or you listen to the audiobook, it is fantastic. I highly recommend it. I have no connection to Brian Alexander at all. Now, I have a confession to make. When I make A Healthcare Z videos about hospitals, I actually have a fair amount of doubt about all the incriminating evidence against them regarding their prioritization of money and power over patient care. I'm like, that can't be right because hospitals historically have been the place to alleviate suffering. They've been charitable organizations. They've been these bastions of caring. How in the world could they have these machinations that seem so opposite to what they have historically been and what they oftentimes still portray themselves to be today? I'm like, is that right? All the arm twisting. And according to Brian Alexander in the hospital, it is. Like, it confirms what I've been saying on A Healthcare Z. It's an incredible confirmatory point. Now, it is the story of CHWC, which is Community Hospitals and Wellness Centers in western Ohio. It's in a town called Bryan, Ohio in a place called Williams County, which is in the far northwest corner of Ohio, right next to Michigan. Now, it's a two-hospital system. So, it's a rural hospital. The main hospital in Bryan, Ohio has 50 beds, and then they've got another hospital that's close by that's 25 beds. Okay, so it's like pretty small. So, it's the story of this small-town hospital, and it struggles. But, at the end of the book, by the way, it says that, look, the 50-bed hospital is typically only at, like, 25-person occupancy, and the 25-bed hospital is only at 10-bed occupancy. So, I don't want anybody to think that this hospital is, like, super busy and packed, because it's not. Okay, this book is essentially a hospital administration expose, a la what, like, Michael Lewis writes, right? When Michael Lewis wrote Flash Boys, or The Big Short, or all of his other books about the financial system, and, you know, like baseball, like Moneyball, right? He uses these stories, these true stories, to illustrate a larger point about what's happening, whether it be in the economy or in society. And that's exactly what Bryan Alexander does. And I will say that Bryan Alexander is, like, just as good of an author as Michael Lewis, and The Hospital is, like, just as good as The Big Short, or Flash Boys, or any other Michael Lewis book. I mean, it's that good. Now, sort of the main thesis, and by the way, Bryan Alexander spent, like, three years at Bryan, in Bryan, Ohio. And he had full access to, like, the board and the CEO. He goes around with Keith, a patient, for, you know, multiple years. I mean, this guy did such in-depth research, and his understanding of how hospitals work, at least compared to, like, how my understanding of how hospitals work, again, is incredibly confirmatory. So, he's like, look, these hospitals, specifically CHWC, and the other hospitals that he researched, they put finances first. They put money first. They put, they're a non-profit hospital whose main focus, the administrators of the hospital's main focus is on revenue and profit maximization. Right? So, the board of CHWC, their goal is to remain independent, like, almost at all costs. Their charge to the CEO, and the CEO's goal, is to remain independent at all costs and to put themselves on the financial footing to do so. Not once in this book did they say, we're going to do whatever we can that's best for the patients, even if that means merging with another hospital system. Right? Right? I'm not saying that's the right thing to do, but at no point, and even when they would do, like, staff updates, it was all about the financials. Okay? So, listen, it also portrays, which is a point that I've seen myself, and listen, I have hospital administrators, like, randomly call me up and, like, tell me stories from their particular institutions. Some of them turn into A Healthcare Z videos, but, again, they're confirmatory of all the machinations that I report here on A Healthcare Z. And it's, look, this hospital, Brian Alexander says, look, patients and doctors and nurses are basically clueless pawns on a chessboard that is being orchestrated by these hospital administrators. I'm like, that can't really be the case. And Brian Alexander's book the hospital's like, oh, no, that's totally the case. They're just arranging all this stuff on the chessboard, like, and they look at these players, like, players on a football team, and if they, like, get hurt or they got a train to get rid of them, like, they're just, you know, swapping people out, et cetera. And they're, you know, commoditized, I guess is the word that I would use. Okay. And listen, he talks about the hospital system. There's such a hospital system, competition, and rivalries. I mean, here these institutions are trying to save people's lives and alleviate suffering, and they, like, hate each other. Like, they don't even want to talk to each other. They don't want to be even in the same rooms with each other. Like, one of the board members is quoted as saying, like, I don't even want to shake these people's hands. Okay. So, they don't compete on price, right? Healthcare is so expensive. You would think that competition would bring price down, but they never compete on price. Instead, what they do is the Parkview Hospital System in Fort Wayne, Indiana, which is close, and then the ProMedica Healthcare System, which is in Toledo, which is also close, they basically are gobbling. You know, Brian Alexander explains what we've seen in the news all over the place. They are gobbling up physician practices. They're expanding service lines, whether it be radiation oncology or cardiac services or OBGYN or what have you. They are controlling referral networks and referral patterns from community physicians to their large hospital centers, and they're geographically locating their facilities to be geographically proximal to patients so they can use them as feeders into their big hospital systems. And this is all done in the name of local monopoly power. It's all done in the name of local monopoly power. Like, not once has it ever said, well, we're really going to increase the quality of patient care by doing this. Or, you know, we're really going to decrease the cost of patient care as others. Like, not once. Do they ever say that? Okay. Now, this book is super hard to read, or in my case, to listen to. I mean, it's tough. It's a tough listen, right? So, I mean, to a certain extent, this is like a modern day The Jungle by Upton Sinclair and what it did to the food industry. Now, I don't agree with all 320 pages. I don't agree with all 14 hours and 51 minutes. But that's to be expected, right? Right? Who's going to agree with everything that somebody writes in a 320-page book? So, like, you know, when you read this, you're probably not going to agree with everything either. And that's totally fine. Now, he brings up a serious bright spot that obviously gives us hope. And that is what's called Health Partners of Western Ohio, which was founded and is still run by a woman named Janice Sunderhouse. And, you know, she's like a saint. Like, she should be a saint. If she's not up for sainthood after she passes away, she should be. Okay. So, this place, based in Lima, Ohio, it's got 16 locations throughout Ohio, including in Bryan, where CHWC is. And these are our health centers that include primary care, behavioral health services, psych services, substance abuse treatment. They provide prescriptions. They've got in-house pharmacy at a discount. They provide social services. And they have dental services. And it's done on a sliding scale, depending upon what people can afford. As you can imagine, their biggest payers like Medicaid and Medicare. And they get a little bit of commercial insurance. And then people are just self-pay. They ask them to pay like $10 to show up for a visit. And they are the integrated third-generation primary care medical home for the people of Western Ohio. Now, Janice Sunderhouse doesn't use that terminology, but that's exactly what it is. And she literally pounded the pavement, like knocked on people's doors. I would speak to pregnant moms back in the 90s about like, what did they need? And she created the health partners of Western Ohio to like give the people of Lima, Ohio, what she found when she was knocking on their doors. And then she expanded it to 16 centers, multi-million dollar budget. It's unreal. It's the exact, I shouldn't say the exact same approach. It's even better than the primary care approach that's used by Intermountain. That's so effective. In Utah. So, and oh, by the way, the hospitals in Ohio, they hate health partners of Western Ohio. They hate them. They have no interest in them. And like maybe they've come around or whatever. But like the way that Janice Sunderhouse talks about it, like the hospitals are in no way, shape or form supporting her or helping her. So, but look, she's doing good against all odds. She's helping people out because in her opinion, she's like, it doesn't matter. You're a person. And because you're a person, you deserve to be helped. So, we're going to help you no matter what. So, again, I highly encourage you to read The Hospital by Brian Alexander. Fantastic book. Again, I have no connection to him. But, I mean, it confirms all the things that I say here on A Healthcare Z. And like it just, it just makes me even more empowered to bring the truth to you when I see people like Brian Alexander bringing the truth as well. So, thank you to him. And thank you to all of you. And thank you for watching A Healthcare Z. Thank you.

Detailed segments with timestamps:

[0:01 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z.
[0:05 - 0:10]  Today's topic is The Hospital by Brian Alexander.
[0:10 - 0:14]  So this is a brand new book that just came out in March of this year, 2021.
[0:14 - 0:23]  It's 320 pages. I did not read it, but I listened to the audiobook and it is a 4 hour and 51 minute listen.
[0:23 - 0:28]  But I will tell you, whether you buy the book or you listen to the audiobook, it is fantastic.
[0:28 - 0:32]  I highly recommend it. I have no connection to Brian Alexander at all.
[0:32 - 0:34]  Now, I have a confession to make.
[0:34 - 0:50]  When I make A Healthcare Z videos about hospitals, I actually have a fair amount of doubt about all the incriminating evidence against them regarding their prioritization of money and power over patient care.
[0:50 - 0:56]  I'm like, that can't be right because hospitals historically have been the place to alleviate suffering.
[0:56 - 1:02]  They've been charitable organizations. They've been these bastions of caring.
[1:02 - 1:15]  How in the world could they have these machinations that seem so opposite to what they have historically been and what they oftentimes still portray themselves to be today?
[1:15 - 1:18]  I'm like, is that right? All the arm twisting.
[1:18 - 1:22]  And according to Brian Alexander in the hospital, it is.
[1:23 - 1:28]  Like, it confirms what I've been saying on A Healthcare Z.
[1:28 - 1:29]  It's an incredible confirmatory point.
[1:29 - 1:37]  Now, it is the story of CHWC, which is Community Hospitals and Wellness Centers in western Ohio.
[1:37 - 1:44]  It's in a town called Bryan, Ohio in a place called Williams County, which is in the far northwest corner of Ohio, right next to Michigan.
[1:44 - 1:49]  Now, it's a two-hospital system. So, it's a rural hospital.
[1:49 - 1:55]  The main hospital in Bryan, Ohio has 50 beds, and then they've got another hospital that's close by that's 25 beds.
[1:56 - 2:01]  Okay, so it's like pretty small. So, it's the story of this small-town hospital, and it struggles.
[2:01 - 2:13]  But, at the end of the book, by the way, it says that, look, the 50-bed hospital is typically only at, like, 25-person occupancy, and the 25-bed hospital is only at 10-bed occupancy.
[2:13 - 2:17]  So, I don't want anybody to think that this hospital is, like, super busy and packed, because it's not.
[2:17 - 2:27]  Okay, this book is essentially a hospital administration expose, a la what, like, Michael Lewis writes, right?
[2:27 - 2:40]  When Michael Lewis wrote Flash Boys, or The Big Short, or all of his other books about the financial system, and, you know, like baseball, like Moneyball, right?
[2:40 - 2:50]  He uses these stories, these true stories, to illustrate a larger point about what's happening, whether it be in the economy or in society.
[2:50 - 2:52]  And that's exactly what Bryan Alexander does.
[2:52 - 3:04]  And I will say that Bryan Alexander is, like, just as good of an author as Michael Lewis, and The Hospital is, like, just as good as The Big Short, or Flash Boys, or any other Michael Lewis book.
[3:04 - 3:05]  I mean, it's that good.
[3:05 - 3:15]  Now, sort of the main thesis, and by the way, Bryan Alexander spent, like, three years at Bryan, in Bryan, Ohio.
[3:15 - 3:19]  And he had full access to, like, the board and the CEO.
[3:19 - 3:24]  He goes around with Keith, a patient, for, you know, multiple years.
[3:24 - 3:33]  I mean, this guy did such in-depth research, and his understanding of how hospitals work, at least compared to, like, how my understanding of how hospitals work, again, is incredibly confirmatory.
[3:33 - 3:45]  So, he's like, look, these hospitals, specifically CHWC, and the other hospitals that he researched, they put finances first.
[3:45 - 3:46]  They put money first.
[3:47 - 3:57]  They put, they're a non-profit hospital whose main focus, the administrators of the hospital's main focus is on revenue and profit maximization.
[3:57 - 3:58]  Right?
[3:58 - 4:04]  So, the board of CHWC, their goal is to remain independent, like, almost at all costs.
[4:04 - 4:11]  Their charge to the CEO, and the CEO's goal, is to remain independent at all costs and to put themselves on the financial footing to do so.
[4:13 - 4:23]  Not once in this book did they say, we're going to do whatever we can that's best for the patients, even if that means merging with another hospital system.
[4:23 - 4:23]  Right?
[4:23 - 4:24]  Right?
[4:24 - 4:31]  I'm not saying that's the right thing to do, but at no point, and even when they would do, like, staff updates, it was all about the financials.
[4:31 - 4:32]  Okay?
[4:32 - 4:44]  So, listen, it also portrays, which is a point that I've seen myself, and listen, I have hospital administrators, like, randomly call me up and, like, tell me stories from their particular institutions.
[4:44 - 4:51]  Some of them turn into A Healthcare Z videos, but, again, they're confirmatory of all the machinations that I report here on A Healthcare Z.
[4:51 - 5:06]  And it's, look, this hospital, Brian Alexander says, look, patients and doctors and nurses are basically clueless pawns on a chessboard that is being orchestrated by these hospital administrators.
[5:06 - 5:08]  I'm like, that can't really be the case.
[5:09 - 5:12]  And Brian Alexander's book the hospital's like, oh, no, that's totally the case.
[5:12 - 5:25]  They're just arranging all this stuff on the chessboard, like, and they look at these players, like, players on a football team, and if they, like, get hurt or they got a train to get rid of them, like, they're just, you know, swapping people out, et cetera.
[5:25 - 5:30]  And they're, you know, commoditized, I guess is the word that I would use.
[5:30 - 5:30]  Okay.
[5:31 - 5:33]  And listen, he talks about the hospital system.
[5:33 - 5:36]  There's such a hospital system, competition, and rivalries.
[5:36 - 5:43]  I mean, here these institutions are trying to save people's lives and alleviate suffering, and they, like, hate each other.
[5:43 - 5:45]  Like, they don't even want to talk to each other.
[5:45 - 5:47]  They don't want to be even in the same rooms with each other.
[5:47 - 5:50]  Like, one of the board members is quoted as saying, like, I don't even want to shake these people's hands.
[5:50 - 5:50]  Okay.
[5:51 - 5:52]  So, they don't compete on price, right?
[5:52 - 5:53]  Healthcare is so expensive.
[5:53 - 5:56]  You would think that competition would bring price down, but they never compete on price.
[5:56 - 6:09]  Instead, what they do is the Parkview Hospital System in Fort Wayne, Indiana, which is close, and then the ProMedica Healthcare System, which is in Toledo, which is also close, they basically are gobbling.
[6:09 - 6:13]  You know, Brian Alexander explains what we've seen in the news all over the place.
[6:13 - 6:15]  They are gobbling up physician practices.
[6:16 - 6:22]  They're expanding service lines, whether it be radiation oncology or cardiac services or OBGYN or what have you.
[6:22 - 6:39]  They are controlling referral networks and referral patterns from community physicians to their large hospital centers, and they're geographically locating their facilities to be geographically proximal to patients so they can use them as feeders into their big hospital systems.
[6:39 - 6:45]  And this is all done in the name of local monopoly power.
[6:45 - 6:47]  It's all done in the name of local monopoly power.
[6:47 - 6:52]  Like, not once has it ever said, well, we're really going to increase the quality of patient care by doing this.
[6:52 - 6:55]  Or, you know, we're really going to decrease the cost of patient care as others.
[6:56 - 6:57]  Like, not once.
[6:57 - 6:58]  Do they ever say that?
[6:58 - 6:59]  Okay.
[6:59 - 7:04]  Now, this book is super hard to read, or in my case, to listen to.
[7:04 - 7:05]  I mean, it's tough.
[7:05 - 7:07]  It's a tough listen, right?
[7:07 - 7:14]  So, I mean, to a certain extent, this is like a modern day The Jungle by Upton Sinclair and what it did to the food industry.
[7:14 - 7:17]  Now, I don't agree with all 320 pages.
[7:17 - 7:19]  I don't agree with all 14 hours and 51 minutes.
[7:19 - 7:21]  But that's to be expected, right?
[7:21 - 7:21]  Right?
[7:21 - 7:25]  Who's going to agree with everything that somebody writes in a 320-page book?
[7:25 - 7:28]  So, like, you know, when you read this, you're probably not going to agree with everything either.
[7:29 - 7:29]  And that's totally fine.
