Title: COVID-19 Hospitalization Costs for Employer Sponsored Health Plans
URL: https://www.youtube.com/watch?v=DR1moH-r0w4
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare is He. Today's topic is COVID-19 hospitalization costs for employers. Now I have not talked a lot about the COVID-19 pandemic on A Healthcare is He, but I think this is a particularly important topic as we are in renewal season this year. So how much has COVID hospitalizations been affecting the financial performance of employee health plans? Let's answer that question. So, all these numbers are from the CDC and a couple of other high quality sources. I will leave a link in the show notes to those sources so that you can look them up yourself. So, for the week of September 15th through the 21st of 2021, there were a total of 9,636 hospitalizations for COVID across the entire country for all age groups. So, if you annualize that out, that's 501,000. Now, of course, as I look back, there are some weeks that have a lot more than 9,600 hospitalizations. There are some weeks that have a lot less than 9,600 hospitalizations. But at the end of the day, 9,600 hospitalizations, if you look at it, is kind of in the middle. So it's like a reasonable number for the week and then extrapolate it, multiply it by 52, to get 501,000 annual COVID hospitalizations. Okay. But that's for all ages. So, 60% of those hospitalizations were for 18 to 64-year-olds. In other words, working-age people. So, you take the .6 times the 501,000 and that gives you 300,000 people of working-age that were hospitalized with COVID. So, on an annualized basis would be hospitalized with COVID. But not everybody of working-age works. So, about 70 or... I shouldn't say that. Not everyone of working-age has employer-sponsored health insurance. There's part-timers that work that don't get employer-sponsored health insurance. There's folks that are unemployed that might get Medicaid. There's people that are uninsured. So, anyway, what percentage of people in that age group are on employer-sponsored health plans? Well, the answer to that is 70% of 18 to 64-year-olds are on employer-sponsored health insurance. So, you take the 300,000 people, multiply it by .7, that gives you 210,000 people of working-age who are on employer-sponsored health insurance who would be hospitalized due to COVID on an annualized basis. Now, we need to know what that is in terms of an actual number. And the way to do that is, is there are a hundred... is to say, okay, well, not 70%, but what's the actual number of people in America that are on employer-sponsored health plans between the ages of 18 and 64? Well, it's 139 million. Okay, so fine. So, you take the 210,000 hospitalizations for people in that age group. You divide it by the 139 million people in that age group that are on employer-sponsored health plans, and you get 210,000 divided by the 139 million, you get an annualized COVID hospitalization rate of 0.15%. So, what that means in terms of round numbers is, is that there will be three COVID hospitalizations for every 2,000 lives on an employer-sponsored health plan. For people between the ages of 18 and 64. Okay, so, there's some... you know, obviously the number of member lives is... the ratio is typically two lives for every one employee, but oftentimes those folks are kids, they're under the age of 18. So, really... and a lot of times, you know, both the parents work, so they're both on their own individual employer-sponsored health plans. So, really, I'm going to say that 2,000 is per 2,000 employees. Okay? So, you're going to have three COVID hospitalizations for every 2,000 employee lives on your plan. Okay, so then the question becomes, oh, how much does a COVID hospitalization cost? Well, believe it or not, Fair Health actually looked at that, and for private commercial insurance, okay, so not Medicare and Medicaid, for private commercial insurance, the average COVID hospitalization was $20,292. Now, you're going to have very, you know, short hospitalizations, you're going to have ICU stays that are... So, it's going to be a range, right? But as we're saying on average, it's about $20,000 per hospitalization. So, in other words, the 20,292 times the three hospitalizations, so you're talking about $61,000 in annual COVID hospitalization costs for every 2,000 employee lives. Well, shoot! The average annual healthcare costs for an employee is $10,000 per employee per year, or a million dollars for every 100 employees. So, the total healthcare spend for a 2,000 employee company with 2,000 employees on the health plan is $20 million, which means that only $61,000 out of the $20 million was actually coming from COVID hospitalization. What's that called? Not a lot! Hardly anything! So, if you want to break it down for smaller employers, so in other words, that's on average, $3,050 per every 100 employee lives per year. Again, that company spent a million dollars a year on employee health insurance premiums, and COVID's only costing $3,000 a year. So, what does that mean? Look, we're in renewal season! Are COVID hospitalizations driving claims up and therefore the source of high renewals? The answer is no! If you're a self-funded employer, like, COVID hospitalizations are not a major source of healthcare costs on your plan. And if you're a fully insured employer, like, your renewal, if it's high, is not because of COVID hospitalizations. And that makes intuitive sense as well, right? So, how is it that we can have all these COVID hospitalizations and hospitals in America being packed, and yet, it's not a major impact on employer-sponsored health plans. 60% of these hospitalizations are for people between the ages of 18 and 64. It's like working-age people! Why? Why? $20,000 is not that much! Remember, the three largest drivers for health insurance plans, for commercial health insurance plans, are cancer, cardiovascular, and musculoskeletal. And especially those cancer and those musculoskeletal claims costs have been down a lot with people not getting their elective surgeries, etc., etc., and then people getting, let's say they get their chemo, they probably are getting it done on an outpatient basis instead of coming into the hospital because they don't want to be around the hospital because they're immunocompromised. So, it's a lower cost setting. So, the hospitals are having lower reimbursement per hospitalization, right? Those spine surgeries were $100,000, $200,000, a quarter of a million dollars, and they're trading in those quarter of a million dollar spine surgeries for $20,000 COVID stays. And so, this is how employers will not have very intense costs from COVID, and yet hospitals can be packed and losing money. Because a COVID stay, that's referred to as a general medical floor stay. Like, some of these people go to the ICU, but the reimbursement on a general medical floor stay is not much. So, that's how you can have massively full hospitals and yet not have it dramatically impact the health plan costs for employers in America. Now, a few interesting extra statistics. So, the hospitalization rate, if you split up the working age population, the hospitalization rate for the 18 to 49 year olds is about the same as the hospitalization rate for the 50 to 64 year olds. And part of that has to, not all of them, but part of that has to do with the fact that, look, the 18 to 49 year olds have a lower fully vaccinated rate. Their full vaccination rate is only 56%, whereas the 50 to 64 year olds, their full vaccination rate is 73%. So, we know one of the major risk factors for COVID hospitalization is older age. So, you would think that the older folks would have higher degrees of hospitalizations, but they really don't. Because the higher age is kind of counterbalanced by the fact that they have higher vaccination rates. Okay, what else? Okay, then the question becomes, okay, does it vary by state as well? So, let's look at the vaccination rates for 18 to 64 year olds by state. So, Alabama is at the low end at 44%. Connecticut is at the high end of 76%. But in terms of states that have just a ton of employees, just have very large employed populations, California is at 68%, Texas is at 60%, New York is at 71%, and Illinois is at 59%. Yeah, so they're kind of different, but it's not like hugely different. So, if you're an employer that has employees in various states, like, you know, I don't think it's a huge difference by state where your employees are located, in terms of like what your COVID hospitalization costs are going to be. I mean, that's not dramatically different by state. Yes, it's somewhat different, but it's not hugely different. Okay, so, the punchline is COVID hospitalizations are not a major source of costs for employers. They should not be a major impact on renewals. And that's my point for today. Thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:04]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare is He.
[0:04 - 0:11]  Today's topic is COVID-19 hospitalization costs for employers.
[0:11 - 0:15]  Now I have not talked a lot about the COVID-19 pandemic on A Healthcare is He,
[0:15 - 0:20]  but I think this is a particularly important topic as we are in renewal season this year.
[0:20 - 0:29]  So how much has COVID hospitalizations been affecting the financial performance of employee health plans?
[0:29 - 0:31]  Let's answer that question.
[0:31 - 0:39]  So, all these numbers are from the CDC and a couple of other high quality sources.
[0:39 - 0:44]  I will leave a link in the show notes to those sources so that you can look them up yourself.
[0:44 - 0:49]  So, for the week of September 15th through the 21st of 2021,
[0:49 - 0:58]  there were a total of 9,636 hospitalizations for COVID across the entire country for all age groups.
[0:58 - 1:02]  So, if you annualize that out, that's 501,000.
[1:02 - 1:07]  Now, of course, as I look back, there are some weeks that have a lot more than 9,600 hospitalizations.
[1:07 - 1:10]  There are some weeks that have a lot less than 9,600 hospitalizations.
[1:10 - 1:14]  But at the end of the day, 9,600 hospitalizations, if you look at it, is kind of in the middle.
[1:14 - 1:19]  So it's like a reasonable number for the week and then extrapolate it, multiply it by 52,
[1:19 - 1:24]  to get 501,000 annual COVID hospitalizations.
[1:24 - 1:31]  Okay. But that's for all ages. So, 60% of those hospitalizations were for 18 to 64-year-olds.
[1:31 - 1:33]  In other words, working-age people.
[1:33 - 1:42]  So, you take the .6 times the 501,000 and that gives you 300,000 people of working-age that were hospitalized with COVID.
[1:42 - 1:48]  So, on an annualized basis would be hospitalized with COVID. But not everybody of working-age works.
[1:48 - 1:55]  So, about 70 or... I shouldn't say that. Not everyone of working-age has employer-sponsored health insurance.
[1:55 - 1:58]  There's part-timers that work that don't get employer-sponsored health insurance.
[1:58 - 2:02]  There's folks that are unemployed that might get Medicaid. There's people that are uninsured.
[2:02 - 2:09]  So, anyway, what percentage of people in that age group are on employer-sponsored health plans?
[2:09 - 2:15]  Well, the answer to that is 70% of 18 to 64-year-olds are on employer-sponsored health insurance.
[2:15 - 2:25]  So, you take the 300,000 people, multiply it by .7, that gives you 210,000 people of working-age who are on employer-sponsored health insurance
[2:25 - 2:30]  who would be hospitalized due to COVID on an annualized basis.
[2:30 - 2:33]  Now, we need to know what that is in terms of an actual number.
[2:33 - 2:43]  And the way to do that is, is there are a hundred... is to say, okay, well, not 70%, but what's the actual number of people in America
[2:43 - 2:46]  that are on employer-sponsored health plans between the ages of 18 and 64?
[2:46 - 2:54]  Well, it's 139 million. Okay, so fine. So, you take the 210,000 hospitalizations for people in that age group.
[2:54 - 3:02]  You divide it by the 139 million people in that age group that are on employer-sponsored health plans,
[3:02 - 3:13]  and you get 210,000 divided by the 139 million, you get an annualized COVID hospitalization rate of 0.15%.
[3:13 - 3:27]  So, what that means in terms of round numbers is, is that there will be three COVID hospitalizations for every 2,000 lives on an employer-sponsored health plan.
[3:27 - 3:35]  For people between the ages of 18 and 64. Okay, so, there's some... you know, obviously the number of member lives is...
[3:35 - 3:41]  the ratio is typically two lives for every one employee, but oftentimes those folks are kids, they're under the age of 18.
[3:41 - 3:47]  So, really... and a lot of times, you know, both the parents work, so they're both on their own individual employer-sponsored health plans.
[3:47 - 3:52]  So, really, I'm going to say that 2,000 is per 2,000 employees. Okay?
[3:52 - 4:00]  So, you're going to have three COVID hospitalizations for every 2,000 employee lives on your plan.
[4:00 - 4:04]  Okay, so then the question becomes, oh, how much does a COVID hospitalization cost?
[4:04 - 4:10]  Well, believe it or not, Fair Health actually looked at that, and for private commercial insurance, okay, so not Medicare and Medicaid,
[4:10 - 4:18]  for private commercial insurance, the average COVID hospitalization was $20,292.
[4:18 - 4:23]  Now, you're going to have very, you know, short hospitalizations, you're going to have ICU stays that are...
[4:23 - 4:28]  So, it's going to be a range, right? But as we're saying on average, it's about $20,000 per hospitalization.
[4:28 - 4:39]  So, in other words, the 20,292 times the three hospitalizations, so you're talking about $61,000 in annual COVID hospitalization costs
[4:39 - 4:49]  for every 2,000 employee lives. Well, shoot! The average annual healthcare costs for an employee is $10,000 per employee per year,
[4:49 - 5:00]  or a million dollars for every 100 employees. So, the total healthcare spend for a 2,000 employee company with 2,000 employees on the health plan is $20 million,
[5:00 - 5:08]  which means that only $61,000 out of the $20 million was actually coming from COVID hospitalization.
[5:08 - 5:16]  What's that called? Not a lot! Hardly anything! So, if you want to break it down for smaller employers, so in other words, that's on average,
[5:16 - 5:26]  $3,050 per every 100 employee lives per year. Again, that company spent a million dollars a year on employee health insurance premiums,
[5:26 - 5:32]  and COVID's only costing $3,000 a year. So, what does that mean? Look, we're in renewal season!
[5:32 - 5:42]  Are COVID hospitalizations driving claims up and therefore the source of high renewals? The answer is no! If you're a self-funded employer,
[5:42 - 5:56]  like, COVID hospitalizations are not a major source of healthcare costs on your plan. And if you're a fully insured employer, like, your renewal, if it's high, is not because of COVID hospitalizations.
[5:56 - 6:06]  And that makes intuitive sense as well, right? So, how is it that we can have all these COVID hospitalizations and hospitals in America being packed,
[6:06 - 6:16]  and yet, it's not a major impact on employer-sponsored health plans. 60% of these hospitalizations are for people between the ages of 18 and 64.
[6:16 - 6:30]  It's like working-age people! Why? Why? $20,000 is not that much! Remember, the three largest drivers for health insurance plans, for commercial health insurance plans,
[6:30 - 6:46]  are cancer, cardiovascular, and musculoskeletal. And especially those cancer and those musculoskeletal claims costs have been down a lot with people not getting their elective surgeries, etc., etc.,
[6:46 - 6:52]  and then people getting, let's say they get their chemo, they probably are getting it done on an outpatient basis instead of coming into the hospital
[6:52 - 7:04]  because they don't want to be around the hospital because they're immunocompromised. So, it's a lower cost setting. So, the hospitals are having lower reimbursement per hospitalization, right?
[7:04 - 7:16]  Those spine surgeries were $100,000, $200,000, a quarter of a million dollars, and they're trading in those quarter of a million dollar spine surgeries for $20,000 COVID stays.
[7:16 - 7:28]  And so, this is how employers will not have very intense costs from COVID, and yet hospitals can be packed and losing money.
[7:28 - 7:38]  Because a COVID stay, that's referred to as a general medical floor stay. Like, some of these people go to the ICU, but the reimbursement on a general medical floor stay is not much.
