Title: Ch. 15 - Healthcare Money Campfire Stories Audio Book
URL: https://www.youtube.com/watch?v=aTto8xCBTAM
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Healthcare Money Campfire Stories by Eric Bricker, M.D. Chapter 15 Paid for Compass for the next 50 years I entered the elevator on the first floor of a nondescript 12-story office building in a fancy part of the city. I pushed the 12 button in the elevator. The top floor was the quote-unquote family office of one of the oldest and wealthiest families in the city. The family office was a Compass client. Before this group was one of our clients, I had no idea what a family office was. Some sort of company that made custom offices in people's houses? I incorrectly thought. A family office is where rich people put their money and assets so that when they die, they can keep it in the family. This family office was also the holding company of multiple large businesses. The offices were nice but not extravagant. Everything was white. Many of the rooms had glass walls so you could look across most of the floor from office to office. I checked in with the receptionist. I was led through a maze of glass walls and hallways to one of the meeting rooms in the middle of all the glass. In the room were two insurance brokers for the family office. Soon after I walked in, the VP of HR and Director of Benefits walked in as well. The purpose of the meeting was to review their group's utilization of the Compass service during the previous year and talk about Compass features for the coming year. I had brought utilization reports to discuss and a presentation of what was new at Compass. The family office holding company had about 50 employees and the plan was to try the Compass service out with this group before introducing it to the larger companies that the holding company owned. Over the course of the meeting, we reviewed the case of one employee who needed to have prostate surgery. His urologist had initially scheduled the employee's surgery at Oak Tree Medical Center. As he had known from working with Compass for other healthcare services, he wanted to see a review of the hospital's quality and price information. He had a consumer-directed health plan with a high deductible. His company put a large sum of money in the employee's health savings account for every year to pay for deductible expenses. He contacted his Compass health pro. Compass was very familiar with Oak Tree Medical Center. It was a new hospital in the area that was out of network with all insurance carriers. It did not even take any Medicare patients. However, the surgeons that operated there were in network. With most insurance carriers. The surgeons at Oak Tree also operated at other hospitals including one just five miles down the highway. As a result of being out of network, Oak Tree's prices were very high. They performed orthopedic, urologic, gynecologic, and bariatric weight loss surgery for tens of thousands or even over $100,000 more than other in-network hospitals. The doctors would tell the patients that they themselves were in network and would be able to see them for their preoperative evaluations. However, when it came time for surgery, the surgeon would schedule them at the out-of-network Oak Tree Medical Center. This arrangement is expensive for patients and their employer-sponsored insurance plan. Most people have separate in-network and out-of-network deductibles on their health insurance plans. Even if the patient had reached their deductible as part of their preoperative visits, scans, and tests, they would have to start from zero for the hospital cost for the surgery because they had not met any of their separate out-of-network deductible yet. This employee's prostate surgery was going to cost about $75,000 at Oak Tree. That exact same surgery with the exact same surgeon at the in-network hospital just five miles down the road would cost only $25,000. Given that the less expensive hospital was also in-network, it would result in a dramatically less overall out-of-pocket cost for him as well, to the tune of thousands of dollars. His Compass health pro notified him of the price difference and asked if he wanted Compass to look into other hospital options for him with the same urologist. As one could imagine, he was interested. Compass contacted the urologist's office and after speaking with the office manager and the urologist nurse, the employee's surgery was rescheduled for a different day at the $25,000 in-network hospital down the road. The employee had the surgery done and recovered well without incident. As it was later revealed in a law enforcement investigation and in the local newspaper, Oak Tree Medical Center was incentivizing surgeons to perform operations at their expensive out-of-network hospital by paying for marketing, such as billboards and advertisements, for the surgeons, and even paying salaries of employees that worked in the surgeons' offices. These perks were essentially kickbacks, and it is against the law for hospitals to provide kickbacks to doctors for referring patients to their facility. As a result, one or several of the administrators for Oak Tree Medical Center ended up in prison and the hospital closed. This bait-and-switch approach with an in-network doctor and an out-of-network facility was well known by Compass. Compass had also seen this approach used at other hospitals, ambulatory surgery centers, and endoscopy centers across the country. This scam would result in $20,000 out-of-network colonoscopies performed by in-network gastroenterologists. Typically, the facility charge for an in-network colonoscopy is only $800 to $1,200. As we concluded discussing this employee's experience with Compass, the VP of HR said that she had talked about this same story with the group's CFO, who then replied, With what we saved, we just paid for Compass for the next 50 years. We all laughed. Sadly, scams and complicity of doctors in those scams are not funny at all. Lesson learned. Caveat emptor. Buyer beware. That saying holds true in most consumer situations, and to a certain extent, that is to be expected. However, healthcare is unique in that it is often an infrequent service at a stressful time that is filled with fear and uncertainty. Add to this mix a doctor who has superior knowledge and is providing guidance. Most people have learned to trust doctors since they were children. Those factors create a perfect storm for potential abuse and exploitation. Thank you. Thank you.

Detailed segments with timestamps:

[0:00 - 0:05]  Healthcare Money Campfire Stories by Eric Bricker, M.D.
[0:06 - 0:07]  Chapter 15
[0:07 - 0:10]  Paid for Compass for the next 50 years
[0:10 - 0:16]  I entered the elevator on the first floor of a nondescript 12-story office building in a fancy part of the city.
[0:17 - 0:19]  I pushed the 12 button in the elevator.
[0:20 - 0:24]  The top floor was the quote-unquote family office of one of the oldest and wealthiest families in the city.
[0:24 - 0:26]  The family office was a Compass client.
[0:26 - 0:32]  Before this group was one of our clients, I had no idea what a family office was.
[0:32 - 0:36]  Some sort of company that made custom offices in people's houses?
[0:37 - 0:38]  I incorrectly thought.
[0:38 - 0:44]  A family office is where rich people put their money and assets so that when they die, they can keep it in the family.
[0:44 - 0:48]  This family office was also the holding company of multiple large businesses.
[0:48 - 0:51]  The offices were nice but not extravagant.
[0:51 - 0:52]  Everything was white.
[0:52 - 0:57]  Many of the rooms had glass walls so you could look across most of the floor from office to office.
[0:57 - 0:59]  I checked in with the receptionist.
[0:59 - 1:05]  I was led through a maze of glass walls and hallways to one of the meeting rooms in the middle of all the glass.
[1:05 - 1:08]  In the room were two insurance brokers for the family office.
[1:08 - 1:12]  Soon after I walked in, the VP of HR and Director of Benefits walked in as well.
[1:12 - 1:21]  The purpose of the meeting was to review their group's utilization of the Compass service during the previous year and talk about Compass features for the coming year.
[1:22 - 1:25]  I had brought utilization reports to discuss and a presentation of what was new at Compass.
[1:26 - 1:38]  The family office holding company had about 50 employees and the plan was to try the Compass service out with this group before introducing it to the larger companies that the holding company owned.
[1:38 - 1:43]  Over the course of the meeting, we reviewed the case of one employee who needed to have prostate surgery.
[1:44 - 1:49]  His urologist had initially scheduled the employee's surgery at Oak Tree Medical Center.
[1:50 - 1:58]  As he had known from working with Compass for other healthcare services, he wanted to see a review of the hospital's quality and price information.
[1:58 - 2:00]  He had a consumer-directed health plan with a high deductible.
[2:00 - 2:09]  His company put a large sum of money in the employee's health savings account for every year to pay for deductible expenses.
[2:10 - 2:12]  He contacted his Compass health pro.
[2:12 - 2:16]  Compass was very familiar with Oak Tree Medical Center.
[2:16 - 2:24]  It was a new hospital in the area that was out of network with all insurance carriers.
[2:24 - 2:27]  It did not even take any Medicare patients.
[2:27 - 2:30]  However, the surgeons that operated there were in network.
[2:30 - 2:32]  With most insurance carriers.
[2:32 - 2:37]  The surgeons at Oak Tree also operated at other hospitals including one just five miles down the highway.
[2:38 - 2:41]  As a result of being out of network, Oak Tree's prices were very high.
[2:42 - 2:56]  They performed orthopedic, urologic, gynecologic, and bariatric weight loss surgery for tens of thousands or even over $100,000 more than other in-network hospitals.
[2:56 - 3:04]  The doctors would tell the patients that they themselves were in network and would be able to see them for their preoperative evaluations.
[3:05 - 3:10]  However, when it came time for surgery, the surgeon would schedule them at the out-of-network Oak Tree Medical Center.
[3:11 - 3:15]  This arrangement is expensive for patients and their employer-sponsored insurance plan.
[3:15 - 3:20]  Most people have separate in-network and out-of-network deductibles on their health insurance plans.
[3:20 - 3:27]  Even if the patient had reached their deductible as part of their preoperative visits, scans, and tests,
[3:27 - 3:37]  they would have to start from zero for the hospital cost for the surgery because they had not met any of their separate out-of-network deductible yet.
[3:37 - 3:43]  This employee's prostate surgery was going to cost about $75,000 at Oak Tree.
[3:44 - 3:53]  That exact same surgery with the exact same surgeon at the in-network hospital just five miles down the road would cost only $25,000.
[3:53 - 4:02]  Given that the less expensive hospital was also in-network, it would result in a dramatically less overall out-of-pocket cost for him as well,
[4:02 - 4:05]  to the tune of thousands of dollars.
[4:05 - 4:16]  His Compass health pro notified him of the price difference and asked if he wanted Compass to look into other hospital options for him with the same urologist.
[4:17 - 4:19]  As one could imagine, he was interested.
[4:20 - 4:25]  Compass contacted the urologist's office and after speaking with the office manager and the urologist nurse,
[4:25 - 4:32]  the employee's surgery was rescheduled for a different day at the $25,000 in-network hospital down the road.
[4:32 - 4:36]  The employee had the surgery done and recovered well without incident.
[4:37 - 4:43]  As it was later revealed in a law enforcement investigation and in the local newspaper,
[4:43 - 4:49]  Oak Tree Medical Center was incentivizing surgeons to perform operations at their expensive out-of-network hospital
[4:49 - 4:54]  by paying for marketing, such as billboards and advertisements, for the surgeons,
[4:54 - 4:59]  and even paying salaries of employees that worked in the surgeons' offices.
[4:59 - 5:09]  These perks were essentially kickbacks, and it is against the law for hospitals to provide kickbacks to doctors for referring patients to their facility.
[5:10 - 5:17]  As a result, one or several of the administrators for Oak Tree Medical Center ended up in prison and the hospital closed.
[5:17 - 5:25]  This bait-and-switch approach with an in-network doctor and an out-of-network facility was well known by Compass.
[5:25 - 5:31]  Compass had also seen this approach used at other hospitals, ambulatory surgery centers, and endoscopy centers across the country.
[5:31 - 5:37]  This scam would result in $20,000 out-of-network colonoscopies performed by in-network gastroenterologists.
[5:38 - 5:44]  Typically, the facility charge for an in-network colonoscopy is only $800 to $1,200.
[5:44 - 5:55]  As we concluded discussing this employee's experience with Compass, the VP of HR said that she had talked about this same story with the group's CFO,
[5:55 - 5:56]  who then replied,
[5:56 - 6:03]  With what we saved, we just paid for Compass for the next 50 years.
[6:03 - 6:04]  We all laughed.
[6:05 - 6:11]  Sadly, scams and complicity of doctors in those scams are not funny at all.
[6:12 - 6:13]  Lesson learned.
[6:14 - 6:15]  Caveat emptor.
[6:16 - 6:16]  Buyer beware.
[6:17 - 6:24]  That saying holds true in most consumer situations, and to a certain extent, that is to be expected.
[6:25 - 6:32]  However, healthcare is unique in that it is often an infrequent service at a stressful time that is filled with fear and uncertainty.
[6:33 - 6:38]  Add to this mix a doctor who has superior knowledge and is providing guidance.
[6:39 - 6:42]  Most people have learned to trust doctors since they were children.
[6:42 - 6:48]  Those factors create a perfect storm for potential abuse and exploitation.
[6:48 - 6:49]  Thank you.
[6:49 - 6:49]  Thank you.
