Title: Ch. 16 - Healthcare Money Campfire Stories Audio Book
URL: https://www.youtube.com/watch?v=cqzDjF1y5Gs
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Healthcare Money Campfire Stories by Eric Bricker, MD. Chapter 16. Target, a Pathfinder, and a New Place. One of the most amazing things about Compass was the opportunities it created for our employees. When I started Compass with Scott and Cliff, I never imagined that giving people a job could be so rewarding. I just wanted to help people in their health and healthcare. I had no desire to be a source of income or livelihood for people. That was probably just short-sighted on my part. As previously mentioned, Compass started gaining traction in hiring employees at the bottom of the Great Recession in 2009. For a recent college graduate, it was a terrible time. Many people were unemployed or taking jobs that did not require a college degree. Many recent graduates moved back in with their families. In some respects, their adulthood was being delayed. Our second employee, Julia, had grown up in the area and lived at home while going to a local four-year college. She had graduated with good grades only to take a job as a checkout clerk at Target. Never one to complain, she appreciated having any job even though it did not pay enough for her to move out and rent an apartment of her own. Being very bright, her job at Target did not challenge her mentally the way she could be challenged. She had tremendous talent in organizational skills, interpersonal communication, and creative problem solving. She made an ideal health pro and the Compass position was perfect for further developing those amazing skills that she had. There was certainly nothing wrong with working at Target. However, she had the ability to grow professionally and apply her talents to helping people who had complicated problems navigating their healthcare and health insurance. During her time at Compass, one of the members that Julia assisted died. We would have some members at Compass pass away over the years. When people are sick with cancer or heart disease, they don't always recover. Julia had been working with him and his wife for several months on bills, prescriptions, and coordinating care toward the end of his life. After he passed away, the bills kept coming. If you die, the doctors and hospitals still expect payment. The member's widow kept communicating with Julia who kept working on the bills for months. Eventually, all the bills stopped coming and Julia had finished determining which bills were correct and needed payment by insurance, which needed payment by the widow, and which needed to be removed because they were incorrect. A week later, Julia received an email from the head of HR at the company where the member had worked. The head of HR had received an email from the widow expressing her gratitude for the Compass service and, more importantly, Julia. The head of HR had never received an email like this, and not only did she forward on the widow's email to Julia, but she added her own appreciation as well. If my memory serves me right, Julia did not bring the email to my attention. She was too modest to show off her great work. However, she had shared the nice note with one of her co-workers to show the impact they were having on people's lives. It was this co-worker who brought the email to my attention. Wow! Amazing! Julia was the perfect person, in the perfect place, at the perfect time, to help this man, his widow, and the employer. Years after the event, Julia and I would still reminisce about it. Like Julia, Ray was a recent college graduate from a large state school and was living at home. Ray drove a Nissan Pathfinder from the 1990s. It was about 13 years old, and it was a gas guzzler. Ray had a special knack with people when they were upset. He always remained calm, showed tremendous empathy, and was able to cool them off so they could rationally describe the health care problem they were having. When people are dealing with medical bills and prescription costs, their emotions tend to run high. There is a sense of unfairness. Many people are angry. Angry at their insurance company. Angry at the hospital. Even sometimes angry at their doctor. Because Ray was so good with people when they were upset, we assigned Ray to those members that had health insurance policies with the most out-of-pocket costs. These members received the most bills intended to be irate. These members would usually call rather than email their questions. Since they were upset, they needed someone to vent to. They would vent to Ray. Eventually, almost a year went by, and I was chatting with Ray at his cubicle, which was tucked away back in a corner. Ray was excited to tell me that he had just bought a new, used car. He finally was able to afford to get rid of the gas guzzling Pathfinder, and he had bought a pre-owned Volkswagen Jetta. It was as if Ray had won the lottery. He was so happy. I was happy for him. I think part of the reason Ray was so happy was that his Pathfinder was so run down that it was embarrassing to drive. He was dating a young woman, and I think he was self-conscious about his vehicle. Maybe I'm reading too much into it, but to work, provide value, get paid, and then take that money and use it for an improvement in your life feels good. It's incredibly satisfying. I could see that satisfaction on Ray's face. Stacy was yet another recent graduate from a major Texas university. She, too, had not been working since graduation and was living at home with her parents and 6th grade sister. Stacy was health pro number 4 at Compass and was hired at almost the same time as Julia. She was assigned as one of the main health pros for the 13,000 employee retail client, and she knocked it out of the park. I would have client phone calls with the retailer's HR executives, and they would say that the employees were singing the praises about Stacy by name. Stacy and I even developed a program where we would have three-way calls with her, the member, and myself to go over more complex medical issues related to conditions like multiple sclerosis, Crohn's disease, or cancer. I would not give medical advice, but together Stacy and I would devise a strategy for the member to get to the right type of doctor with the right expertise and communicate the plan to the member. Like Ray, one day Stacy came bouncing into work. I was in the small kitchen of our office pouring coffee when we ran into each other. What's going on? I asked. I just got an apartment, she replied. Wow. Stacy continued to explain that she had been looking at places for several weeks and finally decided on a brand new apartment building in a suburb of Dallas, on the other side of town from her parents. I'm sure that was just a coincidence. It's so cute. It's a one-bedroom. I can't wait to decorate it. Selfishly, I felt great that Stacy felt so great. She had worked toward a goal of moving out of her parents' house. She had saved up for over a year. She was moving out and she was thrilled. Many of our other Compass employees had worked for us for several years and then gone on to careers as account managers at insurance brokerages and benefit consulting firms. Others became managers in HR at corporations or administrators at hospitals and insurance carriers. Some went on to law school or medical school. Our employees were getting married, having children, and buying homes of their own. It was the best thing ever to watch. Lesson learned. Helping people navigate their healthcare and health insurance is a great driver of job creation. The value derived from making the healthcare experience smoother, higher quality, and lower cost for patients can be translating into a meaningful income which can allow people to achieve their goals in life. Business can be an amazing thing.

Detailed segments with timestamps:

[0:00 - 0:05]  Healthcare Money Campfire Stories by Eric Bricker, MD.
[0:06 - 0:10]  Chapter 16. Target, a Pathfinder, and a New Place.
[0:11 - 0:15]  One of the most amazing things about Compass was the opportunities it created for our employees.
[0:16 - 0:21]  When I started Compass with Scott and Cliff, I never imagined that giving people a job could be so rewarding.
[0:21 - 0:24]  I just wanted to help people in their health and healthcare.
[0:24 - 0:28]  I had no desire to be a source of income or livelihood for people.
[0:28 - 0:31]  That was probably just short-sighted on my part.
[0:32 - 0:39]  As previously mentioned, Compass started gaining traction in hiring employees at the bottom of the Great Recession in 2009.
[0:39 - 0:43]  For a recent college graduate, it was a terrible time.
[0:44 - 0:48]  Many people were unemployed or taking jobs that did not require a college degree.
[0:48 - 0:51]  Many recent graduates moved back in with their families.
[0:51 - 0:53]  In some respects, their adulthood was being delayed.
[0:53 - 1:00]  Our second employee, Julia, had grown up in the area and lived at home while going to a local four-year college.
[1:01 - 1:05]  She had graduated with good grades only to take a job as a checkout clerk at Target.
[1:05 - 1:12]  Never one to complain, she appreciated having any job even though it did not pay enough for her to move out and rent an apartment of her own.
[1:13 - 1:18]  Being very bright, her job at Target did not challenge her mentally the way she could be challenged.
[1:18 - 1:23]  She had tremendous talent in organizational skills, interpersonal communication, and creative problem solving.
[1:23 - 1:31]  She made an ideal health pro and the Compass position was perfect for further developing those amazing skills that she had.
[1:32 - 1:35]  There was certainly nothing wrong with working at Target.
[1:35 - 1:43]  However, she had the ability to grow professionally and apply her talents to helping people who had complicated problems navigating their healthcare and health insurance.
[1:43 - 1:48]  During her time at Compass, one of the members that Julia assisted died.
[1:49 - 1:56]  We would have some members at Compass pass away over the years.
[1:57 - 2:01]  When people are sick with cancer or heart disease, they don't always recover.
[2:01 - 2:06]  Julia had been working with him and his wife for several months on bills, prescriptions, and coordinating care toward the end of his life.
[2:07 - 2:10]  After he passed away, the bills kept coming.
[2:10 - 2:13]  If you die, the doctors and hospitals still expect payment.
[2:14 - 2:20]  The member's widow kept communicating with Julia who kept working on the bills for months.
[2:20 - 2:25]  Eventually, all the bills stopped coming and Julia had finished determining which bills were correct and needed payment by insurance,
[2:26 - 2:29]  which needed payment by the widow, and which needed to be removed because they were incorrect.
[2:30 - 2:36]  A week later, Julia received an email from the head of HR at the company where the member had worked.
[2:36 - 2:45]  The head of HR had received an email from the widow expressing her gratitude for the Compass service and, more importantly, Julia.
[2:45 - 2:51]  The head of HR had never received an email like this, and not only did she forward on the widow's email to Julia,
[2:51 - 2:54]  but she added her own appreciation as well.
[2:54 - 2:58]  If my memory serves me right, Julia did not bring the email to my attention.
[2:59 - 3:01]  She was too modest to show off her great work.
[3:01 - 3:07]  However, she had shared the nice note with one of her co-workers to show the impact they were having on people's lives.
[3:07 - 3:10]  It was this co-worker who brought the email to my attention.
[3:11 - 3:12]  Wow! Amazing!
[3:13 - 3:21]  Julia was the perfect person, in the perfect place, at the perfect time, to help this man, his widow, and the employer.
[3:21 - 3:26]  Years after the event, Julia and I would still reminisce about it.
[3:27 - 3:34]  Like Julia, Ray was a recent college graduate from a large state school and was living at home.
[3:34 - 3:37]  Ray drove a Nissan Pathfinder from the 1990s.
[3:38 - 3:42]  It was about 13 years old, and it was a gas guzzler.
[3:43 - 3:45]  Ray had a special knack with people when they were upset.
[3:45 - 3:54]  He always remained calm, showed tremendous empathy, and was able to cool them off so they could rationally describe the health care problem they were having.
[3:54 - 3:59]  When people are dealing with medical bills and prescription costs, their emotions tend to run high.
[4:00 - 4:01]  There is a sense of unfairness.
[4:02 - 4:03]  Many people are angry.
[4:03 - 4:04]  Angry at their insurance company.
[4:05 - 4:06]  Angry at the hospital.
[4:06 - 4:08]  Even sometimes angry at their doctor.
[4:08 - 4:18]  Because Ray was so good with people when they were upset, we assigned Ray to those members that had health insurance policies with the most out-of-pocket costs.
[4:19 - 4:21]  These members received the most bills intended to be irate.
[4:22 - 4:27]  These members would usually call rather than email their questions.
[4:27 - 4:30]  Since they were upset, they needed someone to vent to.
[4:31 - 4:32]  They would vent to Ray.
[4:32 - 4:40]  Eventually, almost a year went by, and I was chatting with Ray at his cubicle, which was tucked away back in a corner.
[4:40 - 4:45]  Ray was excited to tell me that he had just bought a new, used car.
[4:46 - 4:53]  He finally was able to afford to get rid of the gas guzzling Pathfinder, and he had bought a pre-owned Volkswagen Jetta.
[4:53 - 4:56]  It was as if Ray had won the lottery.
[4:56 - 4:57]  He was so happy.
[4:57 - 4:58]  I was happy for him.
[4:58 - 5:05]  I think part of the reason Ray was so happy was that his Pathfinder was so run down that it was embarrassing to drive.
[5:06 - 5:09]  He was dating a young woman, and I think he was self-conscious about his vehicle.
[5:10 - 5:22]  Maybe I'm reading too much into it, but to work, provide value, get paid, and then take that money and use it for an improvement in your life feels good.
[5:22 - 5:23]  It's incredibly satisfying.
[5:24 - 5:26]  I could see that satisfaction on Ray's face.
[5:26 - 5:32]  Stacy was yet another recent graduate from a major Texas university.
