Title: Choosing Wisely - Orthopedic Recs of 'No Major Consequence'
URL: https://www.youtube.com/watch?v=DdU-FzxN_Y8
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is the Choosing Wisely campaign and orthopedic surgery recommendations. So to review briefly yesterday's video about the Choosing Wisely campaign from the American Board of Internal Medicine, this campaign is meant to guide conversations between patients and their physicians. When they're making decisions about treatment, they want to make sure that it's evidence-based, that there's no duplication of treatment, that there's no harm in the treatment or test, and that the test for the treatment is necessary. Okay, those are great conversations to have. Now, more about Choosing Wisely, they actually, the American Board of Internal Medicine actually went out to 80 different specialties like cardiologists and orthopedic surgeons and OBGYNs and dermatologists, and they said, hey, for your specialty, what do you recommend? We as internists, we can't recommend things for your own society or for your own patients, you recommend it. And guess what? All these different societies came up with 550 different recommendations. Okay, that's fantastic. Now, let's take a look at some of them specifically as they pertain to the types of claims that are generated by employers, right? And so the three largest areas for employer spend are cardiac, musculoskeletal, and cancer. So let's examine cardiac to start. So from the American College of Cardiology, they said that you do not need a stress test imaging, which is like a nuclear scan or sometimes an echocardiogram scan stress test, if you don't have any cardiac symptoms and you don't have any high risk markers for heart disease. And they said the reason why they're making this recommendation is because 45% of stress tests for screening are really unnecessary. Okay, well that's helpful, right? Because here we're getting to the root of unnecessary care and the American College of Cardiology is making a stand and saying, look, in these situations, you don't need to do stress tests. Okay, now let's move on to the American Academy of Orthopedic Surgeons. Now, they have five specific recommendations that I'm going to very briefly go over. One, they recommend that post-operative ultrasounds for deep vein thrombosis or DVT, which is a blood clot in the leg, after either a total knee replacement or a total hip replacement, is not necessary. In other words, if the person doesn't have any symptoms, you don't have to do an ultrasound looking for a DVT. Okay, great. Number two, no needle lavage for knee osteoarthritis. In other words, you don't need to stick a needle into the person's knee and wash it out if they have osteoarthritis. It doesn't do anything. Okay, next up, no glucosamine chondroitin for osteoarthritis of the knee. Many of you are probably familiar with this medication and a lot of people take it for arthritis, but they're saying, look, for knee osteoarthritis, doesn't work. Not recommended. Okay, next up, no lateral wedge insoles in your shoes if you have medial osteoarthritis of the knee. Okay, like, I don't think there was like a scourge of like insole overuse, but they're saying, don't do it. All right, fine. Lastly, no post-operative splinting for carpal tunnel release surgery long term as it really is not helpful. Okay, those are the five recommendations. Okay, now, when we think about orthopedic surgery, we think about like things like imaging, like should you or should you not get an MRI to look at your knee injury? Okay, no recommendations about that. Okay, about actual arthroscopic surgery or about actual total knee replacement surgery or about actual total hip replacement surgery or about spine surgery because orthopedists do a lot of spine surgeries as well. Guess what? No recommendations about that. None whatsoever. Now, interestingly, there is a Canadian equivalent of the Academy of Orthopedic Surgeons. They do have recommendations pertaining to imaging and arthroscopic surgery, but the American ones, not so much. Now, there was even an article that quoted an orthopedic surgeon from Indiana University in America that said that, look, the AAOS chose stuff of no material consequence that nobody really does, according to Dr. Rickert from this article. So the point is, is that the really substantial stuff pertaining to value, when employers spend all this money and their members are going through all these joint replacements and spine surgeries and imaging and mentally invasive arthroscopic surgeries, like where is the stance of the American Academy of Orthopedic Surgery on that? And the answer is, there is none. Now, the point is, not every single orthopedist in America is in line with the AAOS. Okay, so there certainly are orthopedists that practice high value orthopedic surgery in evaluating these things and having conversations with their patients in regards to these things prior to surgery. But when it comes from a leadership perspective, there is no guidance from this group as it pertains to musculoskeletal tests and procedures. Now, I'm not incriminating orthopedic surgeons. I mean, you can say the same thing about cardiologists and many of the other specialists as well. And so my point is, is that if we're looking for leadership around value in healthcare, that if anything, choosing wisely, has actually tried to do that? And let's just say we're not there yet. From a physician leadership standpoint, we are not there yet. And that's my point for today. Thank you for watching. I don't care. See you.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is the
[0:06 - 0:13]  Choosing Wisely campaign and orthopedic surgery recommendations. So to review briefly yesterday's
[0:13 - 0:17]  video about the Choosing Wisely campaign from the American Board of Internal Medicine,
[0:17 - 0:23]  this campaign is meant to guide conversations between patients and their physicians. When
[0:23 - 0:27]  they're making decisions about treatment, they want to make sure that it's evidence-based,
[0:27 - 0:32]  that there's no duplication of treatment, that there's no harm in the treatment or test,
[0:32 - 0:37]  and that the test for the treatment is necessary. Okay, those are great conversations to have.
[0:38 - 0:43]  Now, more about Choosing Wisely, they actually, the American Board of Internal Medicine actually went
[0:43 - 0:49]  out to 80 different specialties like cardiologists and orthopedic surgeons and OBGYNs and dermatologists,
[0:49 - 0:54]  and they said, hey, for your specialty, what do you recommend? We as internists, we can't recommend
[0:54 - 0:58]  things for your own society or for your own patients, you recommend it. And guess what?
[0:58 - 1:04]  All these different societies came up with 550 different recommendations. Okay, that's fantastic.
[1:04 - 1:10]  Now, let's take a look at some of them specifically as they pertain to the types of claims that are
[1:10 - 1:16]  generated by employers, right? And so the three largest areas for employer spend are cardiac,
[1:16 - 1:21]  musculoskeletal, and cancer. So let's examine cardiac to start. So from the American College of Cardiology,
[1:21 - 1:27]  they said that you do not need a stress test imaging, which is like a nuclear scan or sometimes
[1:27 - 1:33]  an echocardiogram scan stress test, if you don't have any cardiac symptoms and you don't have any
[1:33 - 1:39]  high risk markers for heart disease. And they said the reason why they're making this recommendation
[1:39 - 1:47]  is because 45% of stress tests for screening are really unnecessary. Okay, well that's helpful,
[1:47 - 1:52]  right? Because here we're getting to the root of unnecessary care and the American College of
[1:52 - 1:57]  Cardiology is making a stand and saying, look, in these situations, you don't need to do stress tests.
[1:58 - 2:04]  Okay, now let's move on to the American Academy of Orthopedic Surgeons. Now, they have five specific
[2:04 - 2:09]  recommendations that I'm going to very briefly go over. One, they recommend that post-operative
[2:09 - 2:15]  ultrasounds for deep vein thrombosis or DVT, which is a blood clot in the leg, after either a total knee
[2:15 - 2:19]  replacement or a total hip replacement, is not necessary. In other words, if the person doesn't
[2:19 - 2:23]  have any symptoms, you don't have to do an ultrasound looking for a DVT. Okay, great.
[2:23 - 2:28]  Number two, no needle lavage for knee osteoarthritis. In other words, you don't need to stick a needle
[2:28 - 2:32]  into the person's knee and wash it out if they have osteoarthritis. It doesn't do anything.
[2:32 - 2:38]  Okay, next up, no glucosamine chondroitin for osteoarthritis of the knee. Many of you are probably
[2:38 - 2:41]  familiar with this medication and a lot of people take it for arthritis, but they're saying, look,
[2:41 - 2:47]  for knee osteoarthritis, doesn't work. Not recommended. Okay, next up, no lateral wedge
[2:47 - 2:54]  insoles in your shoes if you have medial osteoarthritis of the knee. Okay, like, I don't think there
[2:54 - 2:59]  was like a scourge of like insole overuse, but they're saying, don't do it. All right, fine.
[3:00 - 3:08]  Lastly, no post-operative splinting for carpal tunnel release surgery long term as it really
[3:08 - 3:12]  is not helpful. Okay, those are the five recommendations. Okay, now, when we think
[3:12 - 3:19]  about orthopedic surgery, we think about like things like imaging, like should you or should
[3:19 - 3:23]  you not get an MRI to look at your knee injury? Okay, no recommendations about that. Okay,
[3:23 - 3:29]  about actual arthroscopic surgery or about actual total knee replacement surgery or about actual
[3:29 - 3:33]  total hip replacement surgery or about spine surgery because orthopedists do a lot of spine
[3:33 - 3:39]  surgeries as well. Guess what? No recommendations about that. None whatsoever. Now, interestingly,
[3:39 - 3:45]  there is a Canadian equivalent of the Academy of Orthopedic Surgeons. They do have recommendations
[3:45 - 3:55]  pertaining to imaging and arthroscopic surgery, but the American ones, not so much. Now, there was even an
[3:55 - 3:59]  article that quoted an orthopedic surgeon from Indiana University in America that said that, look,
[3:59 - 4:08]  the AAOS chose stuff of no material consequence that nobody really does, according to Dr. Rickert
