Title: Consultants Advise on How to Increase Healthcare Costs
URL: https://www.youtube.com/watch?v=syNsMtgaFCQ
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is consultants and their role in increasing healthcare costs. Now there was a recent article in the New York Times from November 27th of 2020 about the world's most famous consulting firm, McKinsey, arguably the most elite strategy consulting firm in the world. It turns out that a team of consultants at McKinsey advised Purdue Pharmaceuticals, that's right, the makers of Oxycontin and Oxycodone, of course that everybody is familiar with, they advised Purdue to pay $14,810 for every overdose or new prescription drug addict that could be attributed to Oxycodone and Oxycontin. And they would pay the $14,810 in the form of a rebate to the distributors of their, in other words, the groups that facilitate the transaction for the payment of the Oxycontin, i.e. folks like CVS and Anthem and others, right? So many of you are familiar with the role that rebates pay from pharmaceutical companies through the distribution channel, i.e. those folks that are doing the transactions and then as a result of those rebates they're trying to basically grease the wheels for more of those prescriptions to be written. Well Purdue went to the length of saying, hey look if somebody gets an overdose or somebody becomes a new addict then i think we should specifically pay them over 14 grand. Now in a completely separate example, i know the head of strategy at a major Texas hospital system and they were considering a an accountable care organization, they were considering starting their own health plan, they were doing major investigations into taking on risk themselves, right? Which is you know value-based care and that same hospital system hired a very prestigious consulting firm as well which said no you know what you just need to push fee for service and milk fee for service for as long and as hard as you can. So here's an example of basically accomplices where consultants are acting as accomplices in the increase in health care costs for individuals, employers, and for the government. Now it's really easy to make money in health care, all you have to do is exploit people when they're in a position of desperation. Okay so here you have these bad actors in health care, they are not acting alone and that is my point for today's video. Now are there many consultants that do many important wonderful work within health care? Of course, but the point is is that these consultants can also be enablers of the bad actors who need help to exploit or to carry out to execute their plans. There's an entire ecosystem around this. This does not happen by accident and that's my point for today. Thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:06 - 0:12]  consultants and their role in increasing healthcare costs. Now there was a recent
[0:12 - 0:19]  article in the New York Times from November 27th of 2020 about the world's most famous consulting
[0:19 - 0:26]  firm, McKinsey, arguably the most elite strategy consulting firm in the world. It turns out that
[0:26 - 0:33]  a team of consultants at McKinsey advised Purdue Pharmaceuticals, that's right, the makers of
[0:33 - 0:39]  Oxycontin and Oxycodone, of course that everybody is familiar with, they advised Purdue to pay
[0:39 - 0:56]  $14,810 for every overdose or new prescription drug addict that could be attributed to Oxycodone
[0:56 - 1:05]  and Oxycontin. And they would pay the $14,810 in the form of a rebate to the distributors of their,
[1:05 - 1:14]  in other words, the groups that facilitate the transaction for the payment of the Oxycontin,
[1:14 - 1:21]  i.e. folks like CVS and Anthem and others, right? So many of you are familiar with the role that
[1:21 - 1:28]  rebates pay from pharmaceutical companies through the distribution channel, i.e. those folks that are
[1:28 - 1:36]  doing the transactions and then as a result of those rebates they're trying to basically grease the
[1:36 - 1:43]  wheels for more of those prescriptions to be written. Well Purdue went to the length of saying,
[1:43 - 1:48]  hey look if somebody gets an overdose or somebody becomes a new addict then i think we should
[1:48 - 1:56]  specifically pay them over 14 grand. Now in a completely separate example, i know the head of
[1:56 - 2:05]  strategy at a major Texas hospital system and they were considering a an accountable care organization,
[2:05 - 2:10]  they were considering starting their own health plan, they were doing major investigations into
[2:10 - 2:17]  taking on risk themselves, right? Which is you know value-based care and that same hospital system hired a
[2:18 - 2:24]  very prestigious consulting firm as well which said no you know what you just need to push fee for
[2:24 - 2:32]  service and milk fee for service for as long and as hard as you can. So here's an example of basically
[2:32 - 2:39]  accomplices where consultants are acting as accomplices in the increase in health care costs
[2:39 - 2:45]  for individuals, employers, and for the government. Now it's really easy to make money in health care,
[2:45 - 2:51]  all you have to do is exploit people when they're in a position of desperation. Okay so here you have
[2:51 - 2:56]  these bad actors in health care, they are not acting alone and that is my point for today's video. Now are
[2:56 - 3:02]  there many consultants that do many important wonderful work within health care? Of course, but the point is is
[3:02 - 3:11]  that these consultants can also be enablers of the bad actors who need help to exploit or to carry out to execute their plans.
[3:11 - 3:17]  There's an entire ecosystem around this. This does not happen by accident and that's my point for today.
[3:17 - 3:19]  Thank you for watching A Healthcare Z.
