Title: Corrupt Dialysis Industry Exposed... "How to Make a Killing" Book Review
URL: https://www.youtube.com/watch?v=t3py66PJPt0
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. And today's topic is How to Make a Killing by Tom Mueller. So today I'm going to do a book review of a fantastic book that I have recently listened to. And it is an expose about the dialysis industry. Now, as many of you know, over 400,000 Americans are currently receiving hemodialysis for what's referred to as ESRD or end stage renal disease or kidney failure. Now, I have made previous A Healthcare Z videos about the abuses of the dialysis companies and the huge problem of dialysis in America. But this book does an incredibly meticulous job of going through the arc of the entire story of dialysis. And in fact, Mr. Mueller makes an excellent point in terms of how really what's happening in dialysis is just a microcosm of what is happening in healthcare. And so let's go through that arc, that story arc about dialysis. So dialysis was originally invented in 1948. Well, some people say 43, but in terms of having like an actual machine that works, it was 1948. Now, more and more people in America started being dialyzed, especially in the 1960s. And it was incredibly expensive. And so in 1972, an amendment was passed within the federal government to allow for people who are on hemodialysis to qualify for Medicare. So before you had to be 65 or older to be on Medicare. But for dialysis, they say, no, you can have Medicare no matter what age you are. So essentially we have Medicare for all in America, except we have Medicare for all people that have kidney failure. Right? So it's diagnosis specific. So we have Medicare for all if you have a particular diagnosis, that diagnosis being kidney failure. So the government will pay for your dialysis. All right. Now, what then happens is that the private companies that actually perform the dialysis, they then consolidate, especially in the 2000s. That's when DaVita bought one of its main competitors, Gambro. And what ends, what you have now is what is referred to as a duopoly, where essentially two companies, DaVita and Fresenius control 80% of the dialysis market in America. That's right. 80% of the 400,000 plus people that are dialyzed in America are just, are dialyzed by just these two companies. And for a lot of people in their particular town, they only have one choice of one particular dialysis center. Cause there's no other dialysis center anywhere around them. So there's really a lack of choice when it comes to dialysis. There's really a concentration of power. Now, as a result of that lack of choice and that concentration of power, there's an abuse of power, right? The famous Lord Acton saying that absolute power corrupts absolutely. And so, Tom Mueller does a fantastic job of meticulously categorizing and explaining all of the abuses of power, which I don't have time to go over all of them. I highly recommend that you read this book so that you can actually see what's happening. But this is where people who are being dialyzed, if they speak up against their dialysis clinic and they complain about their dialysis clinic, or they ask for things about their dialysis regimen to be changed, then the employees of the dialysis centers will actually provoke the patients to act out during their dialysis sessions. So that they can have, they being the dialysis centers, can then have an excuse to fire them from their clinic. And so essentially the dialysis clinics are dropping, they are abandoning dialysis patients. And they don't have a lot of choices. Like I said, there's only like one dialysis center in their particular town. And remember, you've got to go dialysis for multiple hours, three days a week, either Monday, Wednesday, Friday, or Tuesday, Thursday, Saturday. Okay. Now, so these abuses of, and so these abuses of power, not all of them, but some of them have been identified by the federal government. And DeVita has actually had to pay out $1.5 billion in settlements over the years. And Fresenius just recently has had to pay out $231 million for things including unnecessary procedures on the fistulas. In other words, where the person gets dialyzed in their arm, they're doing procedures on those fistulas that don't need to be done. But they're doing them anyway because they can make more money that way. Okay. So here you have an arc going from a life-saving invention to government payment for all, to industry consolidation, to an abuse of power. And this can really be generalized to healthcare at large, which this book does, to be like, look, anytime you have a concentration of power, then you're going to have... This is really the lessons I think that you can take away from this book. Then you're going to have the vulnerable will be exploited for profit. Exploiting vulnerable people is a very common trope in healthcare. And that is largely because of the lack of choice. Whether it's because decreased competition or in the case of regulation, in other words, you've got Medicare regulating DaVita and Fresenius, then you have regulatory capture. Where the regulatory agency, in this case the ESRD network, is actually closer to and friendlier to DaVita and Fresenius than they are to the actual patients they're supposed to be protecting. So in certain situations in America, we have very low competition, like among health insurance carriers. We really don't have a lot of choices there. Or you might only have like one or two hospital systems in your town. Or even when it's regulated, the regulatory body has been captured by the industry. So what do you do? Okay. So you're like... You're in a pickle. All right. So what do you do? What do you do? Okay. Really, individual advocacy right now is your best bet. So just know that if you or a family member, if you need dialysis or a family member needs dialysis, it is highly likely that things are not going to go well for you. And you're going to have to speak up and make noise and make people uncomfortable and make people unhappy with what you're doing and be the squeaky wheel. Because if you're not the squeaky wheel, then you're going to get taken advantage of. And it's even harder for people on dialysis because when they're the squeaky wheel and they speak up, there's revenge and retribution against them at their dialysis facilities. And so this is a fantastic expose. And I want to bring it to your attention. If you're a healthcare nerd like me and you love learning about the nuances of an expose in healthcare, then I highly recommend How to Make a Killing. And that's what I wanted to share today. Thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z.
[0:05 - 0:11]  And today's topic is How to Make a Killing by Tom Mueller.
[0:11 - 0:16]  So today I'm going to do a book review of a fantastic book that I have recently listened to.
[0:16 - 0:20]  And it is an expose about the dialysis industry.
[0:20 - 0:29]  Now, as many of you know, over 400,000 Americans are currently receiving hemodialysis
[0:29 - 0:33]  for what's referred to as ESRD or end stage renal disease or kidney failure.
[0:33 - 0:40]  Now, I have made previous A Healthcare Z videos about the abuses of the dialysis companies
[0:40 - 0:44]  and the huge problem of dialysis in America.
[0:44 - 0:54]  But this book does an incredibly meticulous job of going through the arc of the entire story of dialysis.
[0:54 - 1:02]  And in fact, Mr. Mueller makes an excellent point in terms of how really what's happening in dialysis
[1:02 - 1:07]  is just a microcosm of what is happening in healthcare.
[1:07 - 1:13]  And so let's go through that arc, that story arc about dialysis.
[1:13 - 1:17]  So dialysis was originally invented in 1948.
[1:17 - 1:24]  Well, some people say 43, but in terms of having like an actual machine that works, it was 1948.
[1:24 - 1:30]  Now, more and more people in America started being dialyzed, especially in the 1960s.
[1:30 - 1:32]  And it was incredibly expensive.
[1:32 - 1:39]  And so in 1972, an amendment was passed within the federal government
[1:39 - 1:45]  to allow for people who are on hemodialysis to qualify for Medicare.
[1:45 - 1:50]  So before you had to be 65 or older to be on Medicare.
[1:50 - 1:56]  But for dialysis, they say, no, you can have Medicare no matter what age you are.
[1:56 - 2:06]  So essentially we have Medicare for all in America, except we have Medicare for all people that have kidney failure.
[2:06 - 2:08]  Right? So it's diagnosis specific.
[2:08 - 2:15]  So we have Medicare for all if you have a particular diagnosis, that diagnosis being kidney failure.
[2:15 - 2:17]  So the government will pay for your dialysis.
[2:17 - 2:18]  All right.
[2:18 - 2:24]  Now, what then happens is that the private companies that actually perform the dialysis,
[2:24 - 2:29]  they then consolidate, especially in the 2000s.
[2:29 - 2:34]  That's when DaVita bought one of its main competitors, Gambro.
[2:34 - 2:38]  And what ends, what you have now is what is referred to as a duopoly,
[2:38 - 2:44]  where essentially two companies, DaVita and Fresenius control 80% of the dialysis market in America.
[2:44 - 2:45]  That's right.
[2:45 - 2:52]  80% of the 400,000 plus people that are dialyzed in America are just, are dialyzed by just these two companies.
[2:52 - 3:00]  And for a lot of people in their particular town, they only have one choice of one particular dialysis center.
[3:00 - 3:04]  Cause there's no other dialysis center anywhere around them.
[3:04 - 3:08]  So there's really a lack of choice when it comes to dialysis.
[3:08 - 3:11]  There's really a concentration of power.
[3:11 - 3:18]  Now, as a result of that lack of choice and that concentration of power, there's an abuse of power, right?
[3:18 - 3:23]  The famous Lord Acton saying that absolute power corrupts absolutely.
[3:23 - 3:33]  And so, Tom Mueller does a fantastic job of meticulously categorizing and explaining all of the abuses of power,
[3:33 - 3:36]  which I don't have time to go over all of them.
[3:36 - 3:40]  I highly recommend that you read this book so that you can actually see what's happening.
[3:40 - 3:52]  But this is where people who are being dialyzed, if they speak up against their dialysis clinic and they complain about their dialysis clinic,
[3:52 - 4:07]  or they ask for things about their dialysis regimen to be changed, then the employees of the dialysis centers will actually provoke the patients to act out during their dialysis sessions.
[4:07 - 4:15]  So that they can have, they being the dialysis centers, can then have an excuse to fire them from their clinic.
[4:15 - 4:23]  And so essentially the dialysis clinics are dropping, they are abandoning dialysis patients.
[4:23 - 4:26]  And they don't have a lot of choices.
[4:26 - 4:30]  Like I said, there's only like one dialysis center in their particular town.
[4:30 - 4:37]  And remember, you've got to go dialysis for multiple hours, three days a week, either Monday, Wednesday, Friday, or Tuesday, Thursday, Saturday.
[4:37 - 4:49]  Okay. Now, so these abuses of, and so these abuses of power, not all of them, but some of them have been identified by the federal government.
[4:49 - 4:57]  And DeVita has actually had to pay out $1.5 billion in settlements over the years.
[4:57 - 5:06]  And Fresenius just recently has had to pay out $231 million for things including unnecessary procedures on the fistulas.
[5:06 - 5:13]  In other words, where the person gets dialyzed in their arm, they're doing procedures on those fistulas that don't need to be done.
[5:13 - 5:17]  But they're doing them anyway because they can make more money that way.
[5:17 - 5:31]  Okay. So here you have an arc going from a life-saving invention to government payment for all, to industry consolidation, to an abuse of power.
[5:31 - 5:42]  And this can really be generalized to healthcare at large, which this book does, to be like, look, anytime you have a concentration of power, then you're going to have...
[5:42 - 5:46]  This is really the lessons I think that you can take away from this book.
[5:46 - 5:51]  Then you're going to have the vulnerable will be exploited for profit.
