Title: Employed Doctors Earn More Money Than Independent Physicians
URL: https://www.youtube.com/watch?v=plTlKO8uvlM
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's topic is, Employed Doctors Earn More Money. Now, as many of you know, there has been a huge trend for physicians to become employed by hospital systems. Now, about 10 years ago, about 25% of doctors were employed by hospital systems and today it's about 51%. So, in 10 years, it's like doubled. And, on top of that, about 90% of new doctors coming out of their residency are taking jobs as employed physicians. So, this is, it's not going to stop at 51%. It's just going to keep increasing. Now, this came to mind when I read a recent survey from the American College of Cardiology that did a survey of 2,894 cardiologists. And, it found in the survey results that employed cardiologists by hospital systems earned on average $645,388 per year. In contrast, the independent cardiologists that they surveyed earned $588,272. So, the employed hospital cardiologists made more than the independent cardiologists. On top of that, the salary of employed cardiologists went up by 4% last year and the salary of, or the income of independent cardiologists went down by 2.7% from last year. So, there's a, right now there's a $57,000 difference between, per year, between being an employed cardiologist and an independent cardiologist. And, that gap is widening because the trend is for employed cardiologists to keep making more and for independent cardiologists to keep making less. So, it kind of makes sense, especially for cardiologists, why more doctors are becoming employed by hospital systems at a very basic level because they can wait and make more money. Okay, now, why? Why can cardiologists and other specialties make more money if they're employed? Well, this relates to another A Healthcare Z video that I made, I will leave a link to it in the show notes, that showed how much doctors bring into hospitals in terms of their facility revenue by specialties. And wouldn't you know it, cardiologists bring in about $2.45 million worth of facility fees per year to the hospital in the form of things like stress tests and outpatient echocardiograms that they're not doing in their office but that they're doing at the hospital, for cardiac catheterizations, for the implantation of pacemakers, for cardiac ablations, for arrhythmias, like atrial fibrillation. So, you add all that up and each cardiologist brings in about two and a half million dollars a year to the hospital. Okay, so, let's now take a stress test as a specific example. So, if you're an employed physician, then you're going to actually use the cardiologist, you're going to bill to actually interpret the stress test and that's going to be in what's called the professional fee. And let's just say, you know, yes, Medicare is going to pay less and Medicaid is going to pay less and commercial insurance is going to pay more. You've got this payor max, blah, blah, blah. But let's just say it's about $120 to interpret a stress test. But the hospital is going to be reimbursed about $2,200 for the facility component of the stress test. So, if you're an employed physician, the hospital's getting the $120 and the $2,200. And so, when they're paying you your almost $650,000 salary, they're giving you some of the facility fee as part of your total compensation. Whereas, if you're an independent cardiologist that has no relationship with the hospital, then all you're able to collect is the $120 professional fee and you don't get any of the facility fee. Now, there is a hybrid in between where many hospital systems and many cardiologists have then formed joint ventures. Because the cardiologists are like, look at this, you're making $2,200 per stress test. I'm only making $120. I want some of that. And the hospitals are like, well, we better make the cardiologist happy so we can keep having the volume of their stress test come to us. So, they form these joint ventures where the cardiologist is still getting the $120 professional fee for reading the stress test. And then, they're typically just barely the minority owner of one of these joint ventures where the physicians are like 49% owner of the joint venture and then the hospital is like 51% owner of the joint venture. So, that the cardiologists get then 49% of the profits from all the facility fees that are left over at the end of the year. Now, here lies the problem. The Texas Heart Hospital, which oh, by the way, is connected to the Baylor, Scott and White Plano Hospital, which oh, by the way, that's where I worked as a hospitalist back in 2007. They got, they had this exact same arrangement as this joint venture. And they got in trouble because it's a violation of the Stark Law. And the Stark Law is basically, it's actually a federal law that's said, because it relates to Medicare, that says that hospitals cannot pay doctors for referrals. And essentially, this sort of sharing of the facility fee in that joint venture, they said, constituted paying the doctors for the referrals. And as a result, and oh, by the way, this came about because of a whistleblower, two whistleblowers, two doctors blew the whistle on the Texas Heart Hospital. And as a result, the Department of Justice investigated and Baylor, Scott and White, and the Heart Hospital came to a settlement of where the Heart Hospital had to pay $48 million. Now, this brings up another A Healthcare Z video that says that look, this whole sort of like joint venture thing for ambulatory surgery centers is like totally legal where the where the facility shares the money, essentially paying for referrals to the proceduralist for operating at the ambulatory surgery center, because ambulatory surgery centers have a safe harbor from the Stark Law. So it's a very fine line that the doctors and the hospitals walk when they enter into these relationships. But, and here's the big but, if you're an employed physician, you don't have to worry about the Stark Law, because you're an employee of the hospital. So if anything, the fact that the Department of Justice went after this joint venture, if anything, is going to make cardiologists and potentially other specialists even more interested in just being employed, because then they're not going to have the Department of Justice come after them. And they're able to make more money, almost $650,000, because they're able to get a piece of the facility fee as part of their salary. So physician employment essentially circumvents the Stark Law. Okay? And so that is a super important dynamic to understand in terms of the financial incentives for physicians and the financial incentives for hospitals. When you vertically integrate the two, you essentially break down the financial conflict of interest that the Stark Law tried to prevent. And so therefore, you get higher pay for the cardiologists, and you get a higher volume of procedures through that particular hospital. Now, I don't foresee this trend stopping anytime soon. I'm, listen, I'm not, I'm not, I'm not passing judgment. I'm not saying that they are like wrong for doing this. I mean, shoot, they're like, I want to get paid more. Everybody wants to get paid more. There's not a person in America who doesn't want to get paid more. So I'm just saying that this is what's happening. And I wanted to bring it to your attention. And thank you for watching A Healthcare Z. Option onTA Club täältio Broadband. threatened, not country welfare attorney, but the doctor gave me the refrain Bosume Knife lokale by Wikipedia. And indeed it was fiduciary shepherd Kelly, I'm sure people have a discipline and came out. games several hotels that actually fueron to describe their debts for us to the past couple of years and present. Not 후. And then in reading the idoNa Club has expired both ways. And then he starts saying that the

Detailed segments with timestamps:

[0:00 - 0:04]  Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's
[0:04 - 0:12]  topic is, Employed Doctors Earn More Money. Now, as many of you know, there has been a
[0:12 - 0:18]  huge trend for physicians to become employed by hospital systems. Now, about 10 years ago,
[0:18 - 0:25]  about 25% of doctors were employed by hospital systems and today it's about 51%. So, in
[0:25 - 0:32]  10 years, it's like doubled. And, on top of that, about 90% of new doctors coming out
[0:32 - 0:37]  of their residency are taking jobs as employed physicians. So, this is, it's not
[0:37 - 0:45]  going to stop at 51%. It's just going to keep increasing. Now, this came to mind when I read
[0:45 - 0:54]  a recent survey from the American College of Cardiology that did a survey of 2,894
[0:54 - 1:02]  cardiologists. And, it found in the survey results that employed cardiologists by
[1:02 - 1:15]  hospital systems earned on average $645,388 per year. In contrast, the independent cardiologists
[1:15 - 1:29]  that they surveyed earned $588,272. So, the employed hospital cardiologists made more than the independent
[1:29 - 1:37]  cardiologists. On top of that, the salary of employed cardiologists went up by 4% last year
[1:37 - 1:45]  and the salary of, or the income of independent cardiologists went down by 2.7% from last year.
[1:45 - 1:52]  So, there's a, right now there's a $57,000 difference between, per year, between being an employed cardiologist
[1:52 - 1:58]  and an independent cardiologist. And, that gap is widening because the trend is for employed cardiologists
[1:58 - 2:04]  to keep making more and for independent cardiologists to keep making less. So, it kind of makes sense,
[2:04 - 2:10]  especially for cardiologists, why more doctors are becoming employed by hospital systems at a very
[2:10 - 2:18]  basic level because they can wait and make more money. Okay, now, why? Why can cardiologists and
[2:18 - 2:26]  other specialties make more money if they're employed? Well, this relates to another A Healthcare Z video
[2:26 - 2:32]  that I made, I will leave a link to it in the show notes, that showed how much doctors bring into hospitals
[2:32 - 2:39]  in terms of their facility revenue by specialties. And wouldn't you know it, cardiologists bring in
[2:39 - 2:46]  about $2.45 million worth of facility fees per year to the hospital in the form of things like stress
[2:46 - 2:51]  tests and outpatient echocardiograms that they're not doing in their office but that they're doing at the
[2:51 - 3:00]  hospital, for cardiac catheterizations, for the implantation of pacemakers, for cardiac ablations, for
[3:00 - 3:06]  arrhythmias, like atrial fibrillation. So, you add all that up and each cardiologist brings in about
[3:06 - 3:12]  two and a half million dollars a year to the hospital. Okay, so, let's now take a stress test
[3:12 - 3:17]  as a specific example. So, if you're an employed physician, then you're going to actually use the
[3:17 - 3:22]  cardiologist, you're going to bill to actually interpret the stress test and that's going to be
[3:22 - 3:25]  in what's called the professional fee. And let's just say, you know, yes, Medicare is going to pay less
[3:25 - 3:28]  and Medicaid is going to pay less and commercial insurance is going to pay more. You've got this
[3:28 - 3:35]  payor max, blah, blah, blah. But let's just say it's about $120 to interpret a stress test. But
[3:36 - 3:45]  the hospital is going to be reimbursed about $2,200 for the facility component of the stress test.
[3:45 - 3:52]  So, if you're an employed physician, the hospital's getting the $120 and the $2,200. And so, when they're
[3:52 - 4:00]  paying you your almost $650,000 salary, they're giving you some of the facility fee as part of
[4:00 - 4:05]  your total compensation. Whereas, if you're an independent cardiologist that has no relationship
[4:05 - 4:11]  with the hospital, then all you're able to collect is the $120 professional fee and you don't get any
[4:11 - 4:18]  of the facility fee. Now, there is a hybrid in between where many hospital systems and many
[4:18 - 4:22]  cardiologists have then formed joint ventures. Because the cardiologists are like, look at this,
[4:22 - 4:28]  you're making $2,200 per stress test. I'm only making $120. I want some of that. And the hospitals
[4:28 - 4:32]  are like, well, we better make the cardiologist happy so we can keep having the volume of their
[4:32 - 4:37]  stress test come to us. So, they form these joint ventures where the cardiologist is still getting
[4:37 - 4:42]  the $120 professional fee for reading the stress test. And then, they're typically just barely the
[4:42 - 4:49]  minority owner of one of these joint ventures where the physicians are like 49% owner of the joint
[4:49 - 4:55]  venture and then the hospital is like 51% owner of the joint venture. So, that the cardiologists get
[4:55 - 5:01]  then 49% of the profits from all the facility fees that are left over at the end of the year. Now,
[5:02 - 5:10]  here lies the problem. The Texas Heart Hospital, which oh, by the way, is connected to the Baylor,
[5:10 - 5:18]  Scott and White Plano Hospital, which oh, by the way, that's where I worked as a hospitalist back in 2007.
[5:19 - 5:24]  They got, they had this exact same arrangement as this joint venture. And they got in trouble
[5:24 - 5:32]  because it's a violation of the Stark Law. And the Stark Law is basically, it's actually a federal law
[5:32 - 5:40]  that's said, because it relates to Medicare, that says that hospitals cannot pay doctors for referrals.
[5:40 - 5:46]  And essentially, this sort of sharing of the facility fee in that joint venture, they said,
[5:46 - 5:52]  constituted paying the doctors for the referrals. And as a result, and oh, by the way, this came
[5:52 - 5:58]  about because of a whistleblower, two whistleblowers, two doctors blew the whistle on the Texas Heart
[5:58 - 6:04]  Hospital. And as a result, the Department of Justice investigated and Baylor, Scott and White, and the
[6:04 - 6:11]  Heart Hospital came to a settlement of where the Heart Hospital had to pay $48 million. Now, this brings
[6:11 - 6:17]  up another A Healthcare Z video that says that look, this whole sort of like joint venture thing for
[6:17 - 6:22]  ambulatory surgery centers is like totally legal where the where the facility shares the money,
[6:22 - 6:29]  essentially paying for referrals to the proceduralist for operating at the ambulatory surgery center,
[6:29 - 6:37]  because ambulatory surgery centers have a safe harbor from the Stark Law. So it's a very fine line
[6:37 - 6:44]  that the doctors and the hospitals walk when they enter into these relationships. But, and here's the
[6:44 - 6:51]  big but, if you're an employed physician, you don't have to worry about the Stark Law, because you're an
[6:51 - 6:58]  employee of the hospital. So if anything, the fact that the Department of Justice went after this joint
[6:58 - 7:04]  venture, if anything, is going to make cardiologists and potentially other specialists even more interested
[7:04 - 7:08]  in just being employed, because then they're not going to have the Department of Justice come after
[7:08 - 7:15]  them. And they're able to make more money, almost $650,000, because they're able to get a piece of the
[7:15 - 7:24]  facility fee as part of their salary. So physician employment essentially circumvents the Stark Law.
[7:24 - 7:30]  Okay? And so that is a super important dynamic to understand in terms of the financial incentives
[7:30 - 7:36]  for physicians and the financial incentives for hospitals. When you vertically integrate the two,
[7:37 - 7:43]  you essentially break down the financial conflict of interest that the Stark Law tried to prevent.
[7:43 - 7:53]  And so therefore, you get higher pay for the cardiologists, and you get a higher volume of
[7:53 - 7:59]  procedures through that particular hospital. Now, I don't foresee this trend stopping anytime soon.
[7:59 - 8:08]  I'm, listen, I'm not, I'm not, I'm not passing judgment. I'm not saying that they are like wrong for
[8:08 - 8:12]  doing this. I mean, shoot, they're like, I want to get paid more. Everybody wants to get paid more.
[8:12 - 8:17]  There's not a person in America who doesn't want to get paid more. So I'm just saying that this is
[8:17 - 8:22]  what's happening. And I wanted to bring it to your attention. And thank you for watching A Healthcare Z.
[8:22 - 8:27]  Option onTA Club täältio Broadband.
[8:29 - 8:32]  threatened, not country welfare attorney, but the doctor gave me the refrain Bosume Knife lokale
[8:32 - 8:34]  by Wikipedia. And indeed it was fiduciary shepherd Kelly, I'm sure people have a discipline and
[8:34 - 8:36]  came out. games several hotels that actually fueron to describe their debts for us to the
[8:36 - 8:41]  past couple of years and present. Not 후.
[8:41 - 8:46]  And then in reading the idoNa Club has expired both ways. And then he starts saying that the
