Title: Federal Government Policy and Healthcare
URL: https://www.youtube.com/watch?v=UKcUHL9Qx3A
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today we're going to be discussing federal government control and health care. So of course, federal policy in regards to health care is in the news a ton. And so let's examine really what it takes to get federal policy to change in regards to health care. And in order to do that, let's look at what it takes to change federal policy, period. Now there was a fantastic study, a very famous study, by two professors from Princeton and Northwestern in 2014 where they looked at public opinion and policy between 1982 and 2002 to say, hey, what's the correlation between public opinion and policy? Do they correlate? And specifically they looked at it for the very highest income people in America, for the middle 50% income people in America, and for large corporate business interests or lobbies, if you will. And they said, okay, well, how does policy match up with the opinion of those three different groups? And this is what they found. They found that policy is dominated by powerful business interests and a small number of affluent Americans. Now, what does that specifically mean? They specifically looked at elites, right? So those high income Americans and the large business organizations. And they said that, look, if those elites wanted a particular, if their opinion was that they wanted a particular policy to happen, there was a 45% chance of that policy actually happening. Now, if they did not want a particular policy, in other words, they wanted to veto some sort of approach to policy, there was only an 18% that it would actually pass. In other words, their veto was fairly effective. Now, let's look at that middle 50%. Let's look at the average citizen. If they wanted something, if their public opinion was that they wanted something, there was only a 30% chance that it would actually happen. Okay, so the authors are not saying that if the elites want something, it's going to happen 100% of the time. And if they don't want something, it's never going to happen. And they're not saying that the average citizen has no impact whatsoever, but 45% is 50% higher than 30%. And so this is not new news, right? We all know that money has an incredible influence on policy in America. This is not new news. And this study here really just helps solidify that. Okay, now let's talk about health care change. So the implications are, okay, well, if we want health care change to happen, then really it's going to happen if the political elites want it to happen. Now, okay, so fine. So the other important point here is that in general, there is an overall bias to the status quo. In other words, in general, things don't change. So in other words, even when the elites want something, it's still less than 50%. It's not 100% of the time. So if we are looking for quote unquote changes in health care policy, the answer is it's probably not going to happen. And if we look at the implications of the Affordable Care Act passed in 2010, that was one of the most major changes to health care in decades. And at the end of the day, we still have massive problems with health care costs and quality. So at the end of the day, absolutely there's expansion of coverage, but it didn't really change a lot about health care. It didn't change the cost of it. It didn't change the highly variable quality of it. So what do we got? The status quo. Now let's take a look at where there was dramatic change. And an excellent case study in dramatic policy change was for the 26th amendment to the constitution, which was passed in 1970, which said that people at the age of 18 could vote. Now before that, the age was 21. And of course what was happening during 1970 was the Vietnam war where 18 year olds were being drafted. And in fact, over half the people, half the Americans that died in the Vietnam war were between the ages of 18 and 21. So here you had people going off to fight and potentially die and they couldn't vote. And guess what America said, whether you were rich or poor, elite or not elite, they're like, that is not okay. So at first they passed an amendment to the voting rights act. And then they sort of solidified, I won't get into the details, they sort of solidified it with the 26th amendment. And all that happened in four months. That's unbelievable. That's the fastest a constitutional amendment has ever been passed. So now keep in mind the dramatic, I mean, these are literally matters of life and death, okay, that caused that four month change to happen. Now, so in healthcare, if we want to have federal government change in policy, then it either needs to be one, supported by elites or two, it needs to be so bad that essentially everybody supports it. And that's my point for today. Thank you for watching a Healthcare Z.

Detailed segments with timestamps:

[0:01 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today we're
[0:05 - 0:12]  going to be discussing federal government control and health care. So of course, federal
[0:12 - 0:19]  policy in regards to health care is in the news a ton. And so let's examine really what
[0:19 - 0:26]  it takes to get federal policy to change in regards to health care. And in order to do
[0:26 - 0:32]  that, let's look at what it takes to change federal policy, period. Now there was a fantastic
[0:32 - 0:40]  study, a very famous study, by two professors from Princeton and Northwestern in 2014 where
[0:40 - 0:51]  they looked at public opinion and policy between 1982 and 2002 to say, hey, what's the correlation
[0:51 - 0:58]  between public opinion and policy? Do they correlate? And specifically they looked at it for the
[0:58 - 1:06]  very highest income people in America, for the middle 50% income people in America, and
[1:06 - 1:13]  for large corporate business interests or lobbies, if you will. And they said, okay, well, how
[1:13 - 1:19]  does policy match up with the opinion of those three different groups? And this is what they
[1:19 - 1:26]  found. They found that policy is dominated by powerful business interests and a small number
[1:26 - 1:33]  of affluent Americans. Now, what does that specifically mean? They specifically looked at elites, right?
[1:34 - 1:40]  So those high income Americans and the large business organizations. And they said that, look,
[1:40 - 1:45]  if those elites wanted a particular, if their opinion was that they wanted a particular policy
[1:45 - 1:51]  to happen, there was a 45% chance of that policy actually happening. Now, if they did not want a
[1:51 - 1:57]  particular policy, in other words, they wanted to veto some sort of approach to policy, there was only
[1:57 - 2:04]  an 18% that it would actually pass. In other words, their veto was fairly effective. Now, let's look at
[2:04 - 2:10]  that middle 50%. Let's look at the average citizen. If they wanted something, if their public opinion was
[2:10 - 2:17]  that they wanted something, there was only a 30% chance that it would actually happen. Okay, so the
[2:17 - 2:21]  authors are not saying that if the elites want something, it's going to happen 100% of the time.
[2:21 - 2:26]  And if they don't want something, it's never going to happen. And they're not saying that the average
[2:26 - 2:36]  citizen has no impact whatsoever, but 45% is 50% higher than 30%. And so this is not new news, right?
[2:36 - 2:48]  We all know that money has an incredible influence on policy in America. This is not new news. And this
[2:48 - 2:56]  study here really just helps solidify that. Okay, now let's talk about health care change. So the
[2:56 - 3:02]  implications are, okay, well, if we want health care change to happen, then really it's going to happen if
[3:02 - 3:13]  the political elites want it to happen. Now, okay, so fine. So the other important point here is that
[3:13 - 3:19]  in general, there is an overall bias to the status quo. In other words, in general, things don't change.
[3:20 - 3:25]  So in other words, even when the elites want something, it's still less than 50%. It's not 100% of the time.
[3:25 - 3:31]  So if we are looking for quote unquote changes in health care policy, the answer is it's probably not
[3:31 - 3:37]  going to happen. And if we look at the implications of the Affordable Care Act passed in 2010,
[3:37 - 3:42]  that was one of the most major changes to health care in decades. And at the end of the day,
[3:42 - 3:47]  we still have massive problems with health care costs and quality. So at the end of the day,
[3:48 - 3:52]  absolutely there's expansion of coverage, but it didn't really change a lot about health care.
[3:52 - 3:56]  It didn't change the cost of it. It didn't change the highly variable quality of it.
[3:56 - 4:03]  So what do we got? The status quo. Now let's take a look at where there was dramatic change.
[4:04 - 4:11]  And an excellent case study in dramatic policy change was for the 26th amendment to the constitution,
[4:12 - 4:20]  which was passed in 1970, which said that people at the age of 18 could vote. Now before that,
[4:20 - 4:28]  the age was 21. And of course what was happening during 1970 was the Vietnam war where 18 year olds
[4:28 - 4:34]  were being drafted. And in fact, over half the people, half the Americans that died in the Vietnam
[4:34 - 4:41]  war were between the ages of 18 and 21. So here you had people going off to fight and potentially die
[4:41 - 4:46]  and they couldn't vote. And guess what America said, whether you were rich or poor, elite or not elite,
[4:46 - 4:52]  they're like, that is not okay. So at first they passed an amendment to the voting rights act.
[4:52 - 4:56]  And then they sort of solidified, I won't get into the details, they sort of solidified it with the
[4:56 - 5:01]  26th amendment. And all that happened in four months. That's unbelievable. That's the fastest
[5:01 - 5:08]  a constitutional amendment has ever been passed. So now keep in mind the dramatic, I mean,
[5:08 - 5:15]  these are literally matters of life and death, okay, that caused that four month change to happen.
[5:15 - 5:25]  Now, so in healthcare, if we want to have federal government change in policy, then it either needs
[5:25 - 5:32]  to be one, supported by elites or two, it needs to be so bad that essentially everybody supports it.
[5:32 - 5:36]  And that's my point for today. Thank you for watching a Healthcare Z.
