Title: HEDIS Quality Scores Explained
URL: https://www.youtube.com/watch?v=N2DtdO2hJHc
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is HEDIS the Healthcare Effectiveness Data and Information Set. Now I mentioned HEDIS in a prior video and I had some questions from viewers about what HEDIS is and I think it's an excellent topic to go talk about so thank you so much for asking about it. Now HEDIS is created by the NCQA so you got one acronym and then you got another one immediately which is the National Committee for Quality Assurance. It is a non-profit organization near Washington DC. It is not part of the government even though it sounds like it's part of the government they should really call it the private non-profit healthcare quality organization that the government just happens to use. Now it measures 412, it being HEDIS, they measure 412 Medicare Advantage plans when it comes to quality, 171 Medicaid plans and 438 commercial plans. So you look at those numbers and immediately you say to yourself how in the world are there that many health insurance plans in America? I thought there was only Blue Cross United, Cigna, Aetna, maybe Humana. It's like where do you get these numbers from? And the reason is that they have all these numbers is is that especially let's just look at the 438 commercial plans because most of the viewers are brokers, HR, CFOs, employer space folks, is that look they list out each individual HMO, point of service plan, PPO plan for various Blue Cross United, Cigna, Aetna plans also by state. So they got the United PPO plan for Texas, the United PPO plan for Arizona, the Blue Cross PPO plan for Minnesota, the Blue Cross HMO plan for Minnesota. So by the time you put all those permutations and combinations together, you get close to 438. Okay, so that's how you sort of put those numbers into context. And for all those Medicare Advantage plans, right, again, United and Humana are the huge behemoths when it comes to Medicare Advantage. Cigna and Aetna does some. But then you got to remember that there are physician groups and hospitals themselves that actually run Medicare Advantage plans. Like they, you know, they sell plans, they collect premium, and they take on risk. And that's where that's coming from. And then for the Medicaid plans, remember that there's a lot of Medicaid managed care plans. So in other words, even though if you're on state Medicaid, you're not literally getting your insurance from the state. North Carolina does fee for service Medicaid, but it's like the only one. You're getting it from like an insurance company that's giving you your state Medicaid. That's why there's so many different Medicaid plans. Now, some examples of these measures. What in the world are they measuring? Okay, they measure like mammogram screening rates for women that fall within the right age range. Okay, they do the use of beta blockers in myocardial infarctions or heart attacks. Beta blocker is a medication that is known to increase survival in people when they have heart attacks. So they measure like, hey, person comes into the hospital, do they have a heart attack? And are they getting a beta blocker? Next up is hemoglobin A1C control and hypertension control for people with diabetes and high blood pressure. Okay, so they fall into different categories, right? So you have like mammography, that's like a screening quality score. Then you've got use of beta blockers. Okay, so that's not an outcome. That's not did you survive or not survive your heart attack. It's a process measure. So you do process measures and then they do outcomes measures too. So the outcome is okay. Well, how good is your blood sugar controlled as of the hemoglobin A1 as measured by the hemoglobin A1C and then how well is your blood pressure controlled as you know, measured in stock and diagonal pressure. So it's a combination of screening process and outcomes measures and there's 90 of them total 90 of them. Now, the way that HEDIS is organized is very important in regards to its context. Now remember, we're measuring healthcare quality by measuring the quality of plans. You're like, well, wait a second. Plans don't do mammograms. Plans don't use beta blockers. Plans don't control hemoglobin A1Cs. Hospitals and doctors and nurses do. So what HEDIS is doing is HEDIS is measuring the quality of the plan and then the plan is then contracting with the doctors, the different physician practices, the hospitals, the employee surgery centers, the imaging centers. So in other words, to a certain extent, if you're measuring the quote unquote quality, it's like measuring the temperature in Dallas by measuring the aggregate temperature in America. So it's very hard to hone down on the quality of a specific provider when it's being aggregated at the plan level. Okay. So how can you measure, how could the plan be a proxy for provider quality? Well, the plan uses steerage and narrow networks. So in other words, steerage meaning an HMO gatekeeper, a PCP gatekeeper. So in other words, you'd be like, okay, well, yeah, I could maybe measure the plan if the plan was in control of the PCP in terms of like screening for the mammograms. Or maybe I could measure the plan if they were using a narrow network and they were like cutting out hospitals that weren't using beta blockers for MIs. And guess what? Those HMO and narrow network PPO plans, that's exactly what Medicare Advantage plans use. Right? And why do they do that? Because Medicare Advantage payments by the government in part depend on the HEDIS scores from NCQA. Also the ratings of the Medicare Advantage plans. So if you as an individual over the age of 65 are signing up for these plans, you can look to see what the star ratings are from NCQA and HEDIS. And then also if you receive a five-star rating from NCQA, then you as a Medicare Advantage plan, you can enroll people year round. If you don't have a high rating, you can only do people during open enrollment in the fall. Right? So there's very specific reasons why these Medicare Advantage plans would want to have these high. Now, if you're using a Blue Cross United Signet at the PPO plan, in my opinion, these NCQA HEDIS scores are not really relevant because the information is so aggregated that it's incredibly hard, if not impossible, to drill down to the specific provider level. Now, there's other data sources and other ways to drill down to the specific provider level, but it's really hard to do it through HEDIS on the commercial PPO level. So I just want to, and this is the tip of the iceberg. I mean, I could go on forever, but I will stop for today. But I wanted to give you some context around HEDIS and NCQA. And thank you for watching. A Health Care Z.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:06 - 0:15]  HEDIS the Healthcare Effectiveness Data and Information Set. Now I mentioned HEDIS in a
[0:15 - 0:19]  prior video and I had some questions from viewers about what HEDIS is and I think it's an excellent
[0:19 - 0:27]  topic to go talk about so thank you so much for asking about it. Now HEDIS is created by the NCQA
[0:27 - 0:30]  so you got one acronym and then you got another one immediately which is the National Committee
[0:30 - 0:37]  for Quality Assurance. It is a non-profit organization near Washington DC. It is not part of the government
[0:37 - 0:41]  even though it sounds like it's part of the government they should really call it the private
[0:41 - 0:48]  non-profit healthcare quality organization that the government just happens to use. Now it measures
[0:48 - 0:56]  412, it being HEDIS, they measure 412 Medicare Advantage plans when it comes to quality, 171
[0:56 - 1:05]  Medicaid plans and 438 commercial plans. So you look at those numbers and immediately you say to
[1:05 - 1:10]  yourself how in the world are there that many health insurance plans in America? I thought there
[1:10 - 1:15]  was only Blue Cross United, Cigna, Aetna, maybe Humana. It's like where do you get these numbers from?
[1:16 - 1:21]  And the reason is that they have all these numbers is is that especially let's just look at the 438
[1:21 - 1:27]  commercial plans because most of the viewers are brokers, HR, CFOs, employer space folks,
[1:27 - 1:37]  is that look they list out each individual HMO, point of service plan, PPO plan for various Blue Cross
[1:37 - 1:44]  United, Cigna, Aetna plans also by state. So they got the United PPO plan for Texas, the United PPO plan for
[1:44 - 1:52]  Arizona, the Blue Cross PPO plan for Minnesota, the Blue Cross HMO plan for Minnesota. So by the time you put
[1:52 - 1:59]  all those permutations and combinations together, you get close to 438. Okay, so that's how you sort of put those
[1:59 - 2:06]  numbers into context. And for all those Medicare Advantage plans, right, again, United and Humana are the huge
[2:06 - 2:11]  behemoths when it comes to Medicare Advantage. Cigna and Aetna does some. But then you got to remember that there are
[2:11 - 2:19]  physician groups and hospitals themselves that actually run Medicare Advantage plans. Like they, you know, they sell plans, they
[2:19 - 2:26]  collect premium, and they take on risk. And that's where that's coming from. And then for the Medicaid plans, remember that there's a lot of Medicaid
[2:27 - 2:33]  managed care plans. So in other words, even though if you're on state Medicaid, you're not literally getting your insurance from the state.
[2:33 - 2:40]  North Carolina does fee for service Medicaid, but it's like the only one. You're getting it from like an insurance company that's giving you your state Medicaid.
[2:40 - 2:46]  That's why there's so many different Medicaid plans. Now, some examples of these measures. What in the world are they measuring?
[2:46 - 2:48]  Okay, they measure like
[2:48 - 2:54]  mammogram screening rates for women that fall within the right age range. Okay, they
[2:54 - 2:58]  do the use of beta blockers in
[2:58 - 3:02]  myocardial infarctions or heart attacks. Beta blocker is a medication
[3:02 - 3:06]  that is known to increase survival in people when they have heart attacks.
[3:06 - 3:11]  So they measure like, hey, person comes into the hospital, do they have a heart attack? And are they getting a beta blocker?
[3:11 - 3:12]  Next up is
[3:12 - 3:18]  hemoglobin A1C control and hypertension control for people with diabetes and high blood pressure.
[3:18 - 3:24]  Okay, so they fall into different categories, right? So you have like mammography, that's like a screening quality score.
[3:24 - 3:30]  Then you've got use of beta blockers. Okay, so that's not an outcome. That's not did you survive or not survive your heart attack.
[3:30 - 3:37]  It's a process measure. So you do process measures and then they do outcomes measures too. So the outcome is okay. Well, how good is your blood sugar
[3:37 - 3:44]  controlled as of the hemoglobin A1 as measured by the hemoglobin A1C and then how well is your blood pressure controlled
[3:44 - 3:52]  as you know, measured in stock and diagonal pressure. So it's a combination of screening process and outcomes measures and there's 90 of them total 90 of them.
[3:52 - 4:02]  Now, the way that HEDIS is organized is very important in regards to its context. Now remember, we're measuring healthcare quality by measuring the quality of plans.
[4:02 - 4:09]  You're like, well, wait a second. Plans don't do mammograms. Plans don't use beta blockers. Plans don't control hemoglobin A1Cs.
[4:09 - 4:22]  Hospitals and doctors and nurses do. So what HEDIS is doing is HEDIS is measuring the quality of the plan and then the plan is then contracting with the doctors, the different
[4:22 - 4:37]  physician practices, the hospitals, the employee surgery centers, the imaging centers. So in other words, to a certain extent, if you're measuring the quote unquote quality, it's like measuring the temperature in Dallas by measuring the aggregate temperature in America.
[4:37 - 4:43]  So it's very hard to hone down on the quality of a specific provider when it's being aggregated at the plan level.
[4:43 - 5:02]  Okay. So how can you measure, how could the plan be a proxy for provider quality? Well, the plan uses steerage and narrow networks. So in other words, steerage meaning an HMO gatekeeper, a PCP gatekeeper.
[5:02 - 5:19]  So in other words, you'd be like, okay, well, yeah, I could maybe measure the plan if the plan was in control of the PCP in terms of like screening for the mammograms. Or maybe I could measure the plan if they were using a narrow network and they were like cutting out hospitals that weren't using beta blockers for MIs.
