Title: Health Insurance Carrier Earnings Calls:  Learn Their TRUE Strategy
URL: https://www.youtube.com/watch?v=CiA-e-LHsoc
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's topic is a review of health insurance earnings calls. So what I did is I went out and I listened to the second quarter of 2021 this year, the earnings call of the largest insurance carriers in America. Now I listened to the conference calls of United Health Group for CVS Aetna or CVS Health, Cigna and Anthem. And as I was listening to these calls I wanted to hear what these companies were saying to their investors in terms of what their priorities were. And here is what these, interestingly, this is what every single one of these companies said on their earnings calls. They said that growth is going to come and has come from government programs. In other words, Medicare Advantage and Medicaid managed care through contracts with states and through increased script count on the PBM side. In other words, the more scripts were being written by doctors and filled by patients, the better that was for the business of United Health Group because they've got OptumRx as a PBM, for CVS Aetna because they've got Caremark as a PBM, for Cigna because they have previously expressed scripts as a PBM, now Anthem's got a PBM. Okay, so, fascinatingly, what did every single one of these conference calls not say? For employer-sponsored health plans, there was zero mention of helping their employer clients as a source of growth. Employers are not a source of growth for health insurance companies in America. It's all from Medicare Advantage, Medicaid, and from their PBMs. Okay, so now, I'm kind of thinking, scratching my head. Okay, now, in digital health, there is a ton of money being poured in to help employer-sponsored health plans, help self-fund employers. In fact, there was $14 billion invested in digital health companies by venture capital and private equity in 2020. It was the biggest year yet. It's been going up and to the right. Now, in additionally, so all those investors are not putting in their money willy-nilly, they want a return. So, what kind of returns have there been? Just in the IPO market alone in 2020, there was $37 billion in market capitalization from new digital health IPOs in 2020 alone. Now, if you look, and if you look at, like, companies that have already IPO-ed in the past and what their market capitalization is, look, Teladoc's one of the biggest ones, they've got a market capitalization of $22.6 billion. Let's compare that to Cigna's market cap, which is only $70 billion, and Anthem's market cap, which is only $87 billion. So, look, if Cigna had bought Teladoc, you know, Teladoc's been around for a long time. Let's say Cigna went on and they bought Teladoc four, five, six years ago, then they could have increased their market capitalization by over, like, over 30%, if you added on the $22.6 billion to Cigna's $70 billion. Likewise, it would be a huge addition to Anthem's market cap as well. So, what's going on here? Why is it that we've got private equity and venture capital who actually thinks that there's tremendous opportunity for return on capital invested in digital health for employer-sponsored health plans, and here you have the incumbents, you have the health insurance carriers who are like, yep, we're just not that interested. Not an area of growth for us. What's going on? Okay. Here's what I think is going on. Is that when it comes to the health insurance carriers versus venture capital and private equity, it takes me back to a conversation that I had actually at one of the largest health insurance companies in America when I was co-founder, chief medical officer of Compass. They invited us to their office and we had a meeting with their president and their vice president of marketing and their COO and a couple of their product people. And they said, what are you doing in this healthcare navigation space? So, we had a short conversation with them and they said, you know what? We really think of ourselves as a fast follower. You've gained quite an amount of traction in the marketplace. We're going to copy what you do and offer it to our customers so that they use us instead of you. Aha. So, the health insurance carriers are really fast followers. They're not going to, they don't really quote unquote innovate. They just want to copy. And look, I'm not criticizing that strategy. They're so big that maybe that makes sense for them. Okay. So, really the innovation is coming from the venture and private equity backed digital healthcare companies because the health insurance carriers themselves, they can't really innovate and they know they're just going to copy. They're going to neutralize. They're not going to try to out innovate the innovators. They're just going to be like, look, you've got some new mousetrap. We're going to try to copy that and just make it good enough. So, what does that mean? What's the implication of that? That means if you're an employer and you're talking to a health insurance carrier, are they really quote unquote innovating? Or are they just talking about innovation? Well, if you listen to their conference calls, they're not really innovating in the employer space because it's not an area of growth for them. Okay. Implication number two. Okay. So, what are the carriers actually doing with their employer sponsored health plans? They're getting this good enough innovation from fast following from the digital health folks of the world. And they're going out and they got their existing employer sponsored health plan, both self funded and fully insured groups. And they're going out to hospital systems and they're negotiating PPO network discounts that frankly are not that good. Right? There's the Pew research study that says that the PPO discounts are still anywhere. You're still paying like 250% of Medicare as your allowed amount. Right? So, why are they giving away the farm on these high allowed amounts for their employer sponsored? It's because those same health insurance carriers are also negotiating HMO contracts with those hospital systems and physician groups for much lower unit cost reimbursement. And they're using those HMO contracts to service what? Their Medicare advantage and their Medicaid customers. And what does that mean? I'll leave a link in the show notes to one of my prior ADA Healthcare Z videos. The margin on a Medicare advantage beneficiary is about $1,600 per person per year. The margin for a member on an employer sponsored health plan is only about $800 per year. That's right. Not only is Medicare advantage the faster growing portion of the health insurance carriers business, it's also the more profitable portion of the health insurance carriers business. So it's growing and it's more profitable. Guess what they're going to pay attention to? That. Not employers. So they're essentially selling the employers down the river so that they can negotiate better terms on their HMO contracts to run their Medicare advantage and Medicaid managed care folks through and they can make more money on. Now, they are using employers and employer sponsored health plans to monetize their government program customers. So, I could be wrong. I'm not saying this is a wrong strategy. I'm just saying if you're an employer, it would behoove you to listen to the investor calls of your health insurance care. So that you can understand what their true priorities are. And that's my point for today. Thank you for watching a Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:04]  Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's
[0:04 - 0:12]  topic is a review of health insurance earnings calls. So what I did is I went out and I listened
[0:12 - 0:21]  to the second quarter of 2021 this year, the earnings call of the largest insurance carriers
[0:21 - 0:27]  in America. Now I listened to the conference calls of United Health Group for CVS Aetna
[0:27 - 0:35]  or CVS Health, Cigna and Anthem. And as I was listening to these calls I wanted to hear
[0:35 - 0:41]  what these companies were saying to their investors in terms of what their priorities were. And
[0:41 - 0:45]  here is what these, interestingly, this is what every single one of these companies said
[0:45 - 0:54]  on their earnings calls. They said that growth is going to come and has come from government
[0:54 - 0:59]  programs. In other words, Medicare Advantage and Medicaid managed care through contracts
[0:59 - 1:06]  with states and through increased script count on the PBM side. In other words, the more
[1:06 - 1:11]  scripts were being written by doctors and filled by patients, the better that was for the business
[1:11 - 1:16]  of United Health Group because they've got OptumRx as a PBM, for CVS Aetna because they've got
[1:16 - 1:22]  Caremark as a PBM, for Cigna because they have previously expressed scripts as a PBM, now Anthem's
[1:22 - 1:29]  got a PBM. Okay, so, fascinatingly, what did every single one of these conference calls not
[1:29 - 1:38]  say? For employer-sponsored health plans, there was zero mention of helping their employer clients
[1:38 - 1:46]  as a source of growth. Employers are not a source of growth for health insurance companies in America.
[1:46 - 1:56]  It's all from Medicare Advantage, Medicaid, and from their PBMs. Okay, so now, I'm kind of thinking, scratching my head.
[1:56 - 2:07]  Okay, now, in digital health, there is a ton of money being poured in to help employer-sponsored health plans, help self-fund employers.
[2:07 - 2:14]  In fact, there was $14 billion invested in digital health companies by venture capital and private equity in 2020.
[2:14 - 2:21]  It was the biggest year yet. It's been going up and to the right. Now, in additionally, so all those investors are not
[2:21 - 2:24]  putting in their money willy-nilly, they want a return. So, what kind of returns have there been?
[2:24 - 2:36]  Just in the IPO market alone in 2020, there was $37 billion in market capitalization from new digital health
[2:36 - 2:43]  IPOs in 2020 alone. Now, if you look, and if you look at, like, companies that have already IPO-ed in the past and what their
[2:43 - 2:50]  market capitalization is, look, Teladoc's one of the biggest ones, they've got a market capitalization of $22.6 billion.
[2:50 - 2:57]  Let's compare that to Cigna's market cap, which is only $70 billion, and Anthem's market cap, which is only $87 billion.
[2:57 - 3:02]  So, look, if Cigna had bought Teladoc, you know, Teladoc's been around for a long time.
[3:02 - 3:09]  Let's say Cigna went on and they bought Teladoc four, five, six years ago, then they could have increased their market capitalization by over, like,
[3:09 - 3:19]  over 30%, if you added on the $22.6 billion to Cigna's $70 billion. Likewise, it would be a huge addition to Anthem's market cap as well.
[3:19 - 3:28]  So, what's going on here? Why is it that we've got private equity and venture capital who actually thinks that there's tremendous opportunity
[3:28 - 3:34]  for return on capital invested in digital health for employer-sponsored health plans, and here you have the
[3:34 - 3:38]  incumbents, you have the health insurance carriers who are like, yep, we're just not that interested.
[3:38 - 3:45]  Not an area of growth for us. What's going on? Okay. Here's what I think is going on.
[3:45 - 3:52]  Is that when it comes to the health insurance carriers versus venture capital and private equity, it takes me back to a conversation
[3:52 - 3:58]  that I had actually at one of the largest health insurance companies in America when I was co-founder,
[3:58 - 4:03]  chief medical officer of Compass. They invited us to their office and we had a meeting with their president
[4:03 - 4:08]  and their vice president of marketing and their COO and a couple of their product people. And they said,
[4:08 - 4:13]  what are you doing in this healthcare navigation space? So, we had a short conversation with them and they said,
[4:13 - 4:21]  you know what? We really think of ourselves as a fast follower. You've gained quite an amount of traction in the marketplace.
[4:21 - 4:31]  We're going to copy what you do and offer it to our customers so that they use us instead of you. Aha.
[4:31 - 4:37]  So, the health insurance carriers are really fast followers. They're not going to, they don't really quote unquote innovate.
[4:37 - 4:45]  They just want to copy. And look, I'm not criticizing that strategy. They're so big that maybe that makes sense for them.
[4:45 - 4:53]  Okay. So, really the innovation is coming from the venture and private equity backed digital healthcare companies because the health insurance carriers themselves,
[4:53 - 4:59]  they can't really innovate and they know they're just going to copy. They're going to neutralize. They're not going to try to out innovate the innovators.
[4:59 - 5:04]  They're just going to be like, look, you've got some new mousetrap. We're going to try to copy that and just make it good enough.
[5:04 - 5:11]  So, what does that mean? What's the implication of that? That means if you're an employer and you're talking to a health insurance carrier, are they really quote unquote innovating?
[5:11 - 5:20]  Or are they just talking about innovation? Well, if you listen to their conference calls, they're not really innovating in the employer space because it's not an area of growth for them.
[5:20 - 5:27]  Okay. Implication number two. Okay. So, what are the carriers actually doing with their employer sponsored health plans?
[5:27 - 5:33]  They're getting this good enough innovation from fast following from the digital health folks of the world.
[5:33 - 5:41]  And they're going out and they got their existing employer sponsored health plan, both self funded and fully insured groups.
[5:41 - 5:47]  And they're going out to hospital systems and they're negotiating PPO network discounts that frankly are not that good.
[5:47 - 5:51]  Right? There's the Pew research study that says that the PPO discounts are still anywhere.
[5:51 - 5:54]  You're still paying like 250% of Medicare as your allowed amount. Right?
[5:54 - 6:01]  So, why are they giving away the farm on these high allowed amounts for their employer sponsored?
[6:01 - 6:14]  It's because those same health insurance carriers are also negotiating HMO contracts with those hospital systems and physician groups for much lower unit cost reimbursement.
[6:14 - 6:22]  And they're using those HMO contracts to service what? Their Medicare advantage and their Medicaid customers.
[6:22 - 6:26]  And what does that mean? I'll leave a link in the show notes to one of my prior ADA Healthcare Z videos.
[6:26 - 6:33]  The margin on a Medicare advantage beneficiary is about $1,600 per person per year.
[6:33 - 6:38]  The margin for a member on an employer sponsored health plan is only about $800 per year.
[6:38 - 6:44]  That's right. Not only is Medicare advantage the faster growing portion of the health insurance carriers business,
[6:44 - 6:49]  it's also the more profitable portion of the health insurance carriers business.
[6:49 - 6:55]  So it's growing and it's more profitable. Guess what they're going to pay attention to? That. Not employers.
[6:55 - 7:02]  So they're essentially selling the employers down the river so that they can negotiate better terms on their HMO contracts
[7:02 - 7:08]  to run their Medicare advantage and Medicaid managed care folks through and they can make more money on.
[7:08 - 7:17]  Now, they are using employers and employer sponsored health plans to monetize their government program customers.
[7:17 - 7:31]  So, I could be wrong. I'm not saying this is a wrong strategy. I'm just saying if you're an employer, it would behoove you to listen to the investor calls of your health insurance care.
[7:31 - 7:36]  So that you can understand what their true priorities are.
[7:36 - 7:39]  And that's my point for today. Thank you for watching a Healthcare Z.
