Title: Healthcare Basics--The 4 Players
URL: https://www.youtube.com/watch?v=R4trTsz5w-Y
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today we're going to talk about the healthcare quadrilateral, which is just a fancy way of saying the four participants in employed healthcare. Now this is a very busy diagram that we're looking at, but we're going to break it down. So first we have the employer and the insurance company. And so the employer pays premium to the insurance company and then the insurance company in return provides a policy to the employer. Now we have the employee down here and the employer provides coverage to the employee and their family. And then the employee then typically pays a part of their paycheck, which is referred to as the premium contribution that goes towards the premium that's paid to the insurance company. Now of course the employee then needs to go see the doctor or go to the hospital, have medical services, etc. And that comes from the provider. Okay, and then they receive care from the provider and then the employee will typically pay like a copay or what's referred to as the out-of-pocket cost to the provider. Now the provider will then submit a bill to the insurance company and then the insurance company will then remit payment back to the provider. And so in healthcare it's very easy to get confused with all the different moving parts. And so it's very helpful to think about it in terms of this framework of the employer, insurance company, employee, and provider. And with that, thank you so much for watching A Healthcare Z and we'll see you next time.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today we're
[0:05 - 0:10]  going to talk about the healthcare quadrilateral, which is just a fancy way of saying the four
[0:10 - 0:14]  participants in employed healthcare. Now this is a very busy diagram that we're looking
[0:14 - 0:20]  at, but we're going to break it down. So first we have the employer and the insurance company.
[0:20 - 0:25]  And so the employer pays premium to the insurance company and then the insurance company in
[0:25 - 0:31]  return provides a policy to the employer. Now we have the employee down here and the employer
[0:31 - 0:37]  provides coverage to the employee and their family. And then the employee then typically
[0:37 - 0:41]  pays a part of their paycheck, which is referred to as the premium contribution that goes towards
[0:41 - 0:47]  the premium that's paid to the insurance company. Now of course the employee then needs to go see
[0:47 - 0:53]  the doctor or go to the hospital, have medical services, etc. And that comes from the provider.
[0:53 - 0:58]  Okay, and then they receive care from the provider and then the employee will typically pay like a
[0:58 - 1:04]  copay or what's referred to as the out-of-pocket cost to the provider. Now the provider will then
[1:04 - 1:10]  submit a bill to the insurance company and then the insurance company will then remit payment back to
[1:10 - 1:16]  the provider. And so in healthcare it's very easy to get confused with all the different moving parts.
[1:16 - 1:22]  And so it's very helpful to think about it in terms of this framework of the employer, insurance company,
[1:22 - 1:28]  employee, and provider. And with that, thank you so much for watching A Healthcare Z and we'll see you next time.
