Title: Healthcare Costs Are Too Low - $4.5 Trillion Per Year is Not Enough
URL: https://www.youtube.com/watch?v=PlxyTdJX3AQ
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's topic is counterpoint. Health care costs are too low. Yes, you heard that right. Here on A Health Care Z, I historically have talked about how health care costs are too high and about why they're too high and about ways that we can lower health care costs. But today I'm going to give the counter argument because I think it's important to us to examine both sides of the issue of health care costs. So there are organizations and people in America who think that health care costs are too low and frankly they need to be higher. Specifically, let's look at the total amount of U.S. health care spending and the largest contributor to that health care spending, which is hospitals. Okay, so America spends $4.5 trillion per year on health care. Like I said, hospitals are the largest component of that $4.5 trillion. They're 30%. So you take the $4.5 trillion times 30%, that means that hospital expenditures per year are $1.35 trillion. Now the largest expenditures for hospitals are labor. It's people. It's wages. It's people working there. Health care is a services business. And so labor costs make up 60% of the total hospital costs of the $1.35 trillion. So you take $1.35 trillion and multiply it by 60% and that gets you to hospital labor costs of $810 billion. Now what's $810 billion? Well, it's a ton of money. It's almost the equivalent of the entire Department of Defense budget, which was $850 billion. Okay, so we're talking labor costs for hospital systems alone are almost as much as the entire Defense Department budget. And guess what? They're too low and they need to be hired. So we need to stop shortchanging all these people that work at hospitals. Now, who are the people that work at hospitals? Let's break it down. Okay, doctors work at hospitals. Not all doctors, but a very large percentage of doctors work at hospitals. There's about a million doctors total in America and on average, they make $352,000 a year. Nurses work at hospitals. There's about 4.7 million nurses and they make on average $83,000 a year. Let's talk about physical therapists. They work at hospitals. There's about 576,000 physical therapists in America. On average, they make about $98,000 a year. And of course, there's medical billers, specifically who work in coding. And there's approximately 135,000 of those, and they on average make $47,000. And you know what? That's too low. They all don't get paid enough. They all should be paid more. Now, let's compare this. So who are the big payers of hospital systems? Okay, it's the government and its employers, its corporations. Okay, so fine. Let's look at what the government spends lots of money on and pays people lots of money for. Okay, well, the federal government has its nuclear weapons research and maintenance facility out in New Mexico. It's called Los Alamos. And guess what? The budget for Los Alamos is $1.8 billion. So you're just like, oh, that's not that a lot of money. But there's only 16,000 people that work at Los Alamos. And so that means that the average wage, the average wage at Los Alamos is $113,000. You mean to tell me that nurses and physical therapists and medical billers are not as important? You mean to tell me that the government is prioritizing Los Alamos over life and death and pain and suffering for US citizens? I'm not saying to pay Los Alamos less, but if the government's willing to pay people at Los Alamos, Los Alamos County in New Mexico is one of the wealthiest counties in America. Okay, because the federal government pays them a ton of money. Okay, again, like, are the people at Los Alamos worth it? Totally. I'm not arguing that they're not, but I would argue that the people who work in healthcare in America are comparable to what the people at Los Alamos are worth. Okay, next up, corporations in America. Okay, corporations in America pay other people, other vendors, gobs of money. Who do corporations in America pay tons of money to? They pay tons of money to corporate attorneys. The largest corporate law firm in America is called Kirkland Ellis. The average income of a partner at Kirkland Ellis is $306,000 a year. You mean to tell me if corporations have enough money to pay corporate attorneys $306,000 a year, you mean to tell me they can't pay doctors and nurses and physical therapists and medical billers more to keep their employees and their employees' family members alive and healthy and working? So, fine. How are we going to pay for this? How are we going to pay for more healthcare costs? Because it needs to happen. Well, one, factory federal income tax needs to be higher. We don't pay enough tax in America. We need to pay more. Now, believe it or not, back in the 1960s, the top tax rate in America was 91%. Now, Ronald Reagan came along and said, whoa, that's way too high. So there was a huge revolution in the early 80s to lowering taxes. Guess what the highest tax bracket was lowered to? From being over 90% to being 50%. Now, guess what it is today? In the 2020s, the highest tax bracket in America is less than 40%. Back in the 1960s, we had a booming economy. Like there wasn't any sort of like apocalyptic end to America with having the highest tax bracket being 91%. We didn't bankrupt the country with the highest tax bracket being 91%. And here, the highest tax bracket is less than half of what it was when America was hugely prosperous back in the 1960s. So you mean to tell me that we can't raise the top tax bracket from 40% to increase it to pay all these healthcare workers at hospital systems more? That's ridiculous. We need to raise taxes to pay these people more. Okay, where else are we going to get the money? From corporate profits. Corporations in America are rolling in dough, in cash money. The corporate profit margin in America in the 1980s was 10%. Guess what it is today in the 2020s? It's 17%. It's 70% higher than it was in the 80s with like the movie like Wall Street and all that greed and all that money slashing around in the 1980s. That was with corporate profits at 10%. And now they're at 17%. In terms of actual dollars, in 2022, the most recent year I could find, corporate profits were $3 trillion. You mean to tell me that corporations can't pony up some of that $3 trillion to pay for hospital labor costs? Corporations in America are frankly short-changing hospitals and they need to pay them more. Okay, $3 trillion by the way, that's $9,000 for every man, woman and child in America of profit that could be spent on healthcare that is not. And arguably, a lot more needs to be paid on this. So, a lot of people say, healthcare in America, it's terrible. It's so hard to get an appointment. The quality is all over the place. It's, you have to fill out all these forms. The software and all the computer systems are antiquated. They still use fax machines. Well, I say to you, look, you get what you pay for. And this $4.5 trillion is not nearly enough to get you, America, the type of healthcare that you want. So, it's very simple. Sometimes to make things better, you just got to throw money at it. And frankly, healthcare in America, healthcare costs in America need to go up, not down. And that's my point for today. Thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's topic is
[0:06 - 0:14]  counterpoint. Health care costs are too low. Yes, you heard that right. Here on A Health Care Z,
[0:14 - 0:20]  I historically have talked about how health care costs are too high and about why they're too high
[0:20 - 0:26]  and about ways that we can lower health care costs. But today I'm going to give the counter
[0:26 - 0:31]  argument because I think it's important to us to examine both sides of the issue of health care
[0:31 - 0:37]  costs. So there are organizations and people in America who think that health care costs are too
[0:37 - 0:44]  low and frankly they need to be higher. Specifically, let's look at the total amount of U.S. health care
[0:44 - 0:51]  spending and the largest contributor to that health care spending, which is hospitals. Okay, so America
[0:51 - 0:59]  spends $4.5 trillion per year on health care. Like I said, hospitals are the largest component of that
[0:59 - 1:06]  $4.5 trillion. They're 30%. So you take the $4.5 trillion times 30%, that means that hospital
[1:06 - 1:14]  expenditures per year are $1.35 trillion. Now the largest expenditures for hospitals are labor. It's
[1:14 - 1:20]  people. It's wages. It's people working there. Health care is a services business. And so labor costs
[1:20 - 1:27]  make up 60% of the total hospital costs of the $1.35 trillion. So you take $1.35 trillion and multiply
[1:27 - 1:36]  it by 60% and that gets you to hospital labor costs of $810 billion. Now what's $810 billion? Well,
[1:36 - 1:41]  it's a ton of money. It's almost the equivalent of the entire Department of Defense budget,
[1:41 - 1:49]  which was $850 billion. Okay, so we're talking labor costs for hospital systems alone are almost as much as
[1:49 - 1:54]  the entire Defense Department budget. And guess what? They're too low and they need to be hired.
[1:54 - 2:02]  So we need to stop shortchanging all these people that work at hospitals. Now, who are the people that
[2:02 - 2:07]  work at hospitals? Let's break it down. Okay, doctors work at hospitals. Not all doctors, but a very large
[2:07 - 2:12]  percentage of doctors work at hospitals. There's about a million doctors total in America and on average,
[2:12 - 2:20]  they make $352,000 a year. Nurses work at hospitals. There's about 4.7 million nurses and they make on
[2:20 - 2:27]  average $83,000 a year. Let's talk about physical therapists. They work at hospitals. There's about
[2:27 - 2:34]  576,000 physical therapists in America. On average, they make about $98,000 a year. And of course,
[2:34 - 2:41]  there's medical billers, specifically who work in coding. And there's approximately 135,000 of those,
[2:41 - 2:48]  and they on average make $47,000. And you know what? That's too low. They all don't get paid enough.
[2:48 - 2:56]  They all should be paid more. Now, let's compare this. So who are the big payers of hospital systems?
[2:56 - 3:03]  Okay, it's the government and its employers, its corporations. Okay, so fine. Let's look at what the
[3:03 - 3:10]  government spends lots of money on and pays people lots of money for. Okay, well, the federal government
[3:10 - 3:19]  has its nuclear weapons research and maintenance facility out in New Mexico. It's called Los Alamos.
[3:19 - 3:26]  And guess what? The budget for Los Alamos is $1.8 billion. So you're just like, oh, that's not that
[3:26 - 3:32]  a lot of money. But there's only 16,000 people that work at Los Alamos. And so that means that the
[3:32 - 3:43]  average wage, the average wage at Los Alamos is $113,000. You mean to tell me that nurses and
[3:43 - 3:47]  physical therapists and medical billers are not as important? You mean to tell me that the government
[3:47 - 3:55]  is prioritizing Los Alamos over life and death and pain and suffering for US citizens?
[3:55 - 4:01]  I'm not saying to pay Los Alamos less, but if the government's willing to pay people at Los Alamos,
[4:01 - 4:06]  Los Alamos County in New Mexico is one of the wealthiest counties in America.
[4:06 - 4:11]  Okay, because the federal government pays them a ton of money. Okay, again, like,
[4:11 - 4:15]  are the people at Los Alamos worth it? Totally. I'm not arguing that they're not, but I would argue that
[4:15 - 4:21]  the people who work in healthcare in America are comparable to what the people at Los Alamos are worth.
[4:21 - 4:28]  Okay, next up, corporations in America. Okay, corporations in America pay other people,
[4:28 - 4:36]  other vendors, gobs of money. Who do corporations in America pay tons of money to? They pay tons of
[4:36 - 4:42]  money to corporate attorneys. The largest corporate law firm in America is called Kirkland Ellis. The
[4:42 - 4:51]  average income of a partner at Kirkland Ellis is $306,000 a year. You mean to tell me if corporations
[4:51 - 4:58]  have enough money to pay corporate attorneys $306,000 a year, you mean to tell me they can't pay
[4:58 - 5:03]  doctors and nurses and physical therapists and medical billers more to keep their employees and
[5:03 - 5:10]  their employees' family members alive and healthy and working? So, fine. How are we going to pay for this?
[5:10 - 5:15]  How are we going to pay for more healthcare costs? Because it needs to happen. Well, one,
[5:15 - 5:20]  factory federal income tax needs to be higher. We don't pay enough tax in America. We need to pay
[5:20 - 5:29]  more. Now, believe it or not, back in the 1960s, the top tax rate in America was 91%.
[5:31 - 5:37]  Now, Ronald Reagan came along and said, whoa, that's way too high. So there was a huge revolution
[5:37 - 5:44]  in the early 80s to lowering taxes. Guess what the highest tax bracket was lowered to? From being
[5:44 - 5:56]  over 90% to being 50%. Now, guess what it is today? In the 2020s, the highest tax bracket in America
[5:56 - 6:04]  is less than 40%. Back in the 1960s, we had a booming economy. Like there wasn't any sort of like
[6:04 - 6:13]  apocalyptic end to America with having the highest tax bracket being 91%. We didn't bankrupt the country
[6:14 - 6:21]  with the highest tax bracket being 91%. And here, the highest tax bracket is less than half of what it
[6:21 - 6:29]  was when America was hugely prosperous back in the 1960s. So you mean to tell me that we can't raise the
[6:29 - 6:37]  top tax bracket from 40% to increase it to pay all these healthcare workers at hospital systems more?
[6:37 - 6:43]  That's ridiculous. We need to raise taxes to pay these people more. Okay, where else are we going
[6:43 - 6:52]  to get the money? From corporate profits. Corporations in America are rolling in dough, in cash money.
[6:52 - 7:01]  The corporate profit margin in America in the 1980s was 10%. Guess what it is today in the 2020s?
[7:01 - 7:11]  It's 17%. It's 70% higher than it was in the 80s with like the movie like Wall Street and all that
[7:11 - 7:17]  greed and all that money slashing around in the 1980s. That was with corporate profits at 10%.
[7:17 - 7:25]  And now they're at 17%. In terms of actual dollars, in 2022, the most recent year I could find,
[7:25 - 7:35]  corporate profits were $3 trillion. You mean to tell me that corporations can't pony up some of that
[7:35 - 7:43]  $3 trillion to pay for hospital labor costs? Corporations in America are frankly short-changing
[7:43 - 7:51]  hospitals and they need to pay them more. Okay, $3 trillion by the way, that's $9,000 for every
[7:51 - 7:58]  man, woman and child in America of profit that could be spent on healthcare that is not. And arguably,
[7:58 - 8:04]  a lot more needs to be paid on this. So, a lot of people say, healthcare in America, it's terrible.
[8:04 - 8:09]  It's so hard to get an appointment. The quality is all over the place. It's, you have to fill out all
[8:09 - 8:16]  these forms. The software and all the computer systems are antiquated. They still use fax machines.
[8:16 - 8:25]  Well, I say to you, look, you get what you pay for. And this $4.5 trillion is not nearly enough to get
[8:25 - 8:33]  you, America, the type of healthcare that you want. So, it's very simple. Sometimes to make things better,
[8:33 - 8:39]  you just got to throw money at it. And frankly, healthcare in America, healthcare costs in America
[8:39 - 8:54]  need to go up, not down. And that's my point for today. Thank you for watching A Healthcare Z.
