Title: Healthcare In-Network / Out-of-Network Bait and Switch
URL: https://www.youtube.com/watch?v=8NDnQoTkjb4
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today we're going to be talking about in-network, out-of-network mismatch. So oftentimes in employee benefits in healthcare you'll see the abbreviations in and own and those stands for in-network and out-of-network. Now when a person goes to receive medical services they typically receive two bills, one from the doctor and one from the hospital or from the facility. And so the capacity for each the doctor and the hospital to be either in or out-of-network exists. And so here we have a matrix where we have a hospital over here and we have the doctor here on top and we have in-network and out-of-network and so you can see you have a combination of four things that are possible. And so of course the best case scenario is when you have an in-network doctor and an in-network hospital. That's why I have that plus sign there. However the possibility exists where you can have an in-network hospital but an out-of-network physician. So this oftentimes happens with radiologists, anesthesiologists, and pathologists which is why many health insurance plans have what's called a RAPS policy which means that these physicians even though they bill as out-of-network they will be covered as in-network by the insurance plan because the patient was in an in-network facility. However it's oftentimes unclear whether or not this applies to ER physicians because oftentimes an ER physician will be out-of-network at an in-network hospital and that ER physician bill will not necessarily be processed as in-network. So the short answer is is it depends. Now we also have the situation where you have an out-of-network facility and an in-network doctor. So oftentimes this happens with what are called proceduralists. So that would be like surgeons or like gastroenterologists that perform upper endoscopies and colonoscopies. So this is where the physician will be in-network but the facility will be out-of-network. And this is particularly problematic because oftentimes it's the facility bill or the hospital bill that's much larger than the physician bill. So the in-network physician bill might only be like $250 but the out-of-network facility bill could be upwards of like $20,000 and we've literally seen that happen. And then of course you have the situation where you have an out-of-network doctor and an out-of-network hospital or facility as well. And that obviously is a troublesome situation to be in from a cost perspective which is why I have the minus sign there as well. Now this is only an introduction to in-network and out-of-network mismatch but I appreciate you watching A Healthcare Z today. Thank you so much. Excellent.

Detailed segments with timestamps:

[0:00 - 0:04]  Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today we're
[0:04 - 0:10]  going to be talking about in-network, out-of-network mismatch. So oftentimes in employee benefits
[0:10 - 0:15]  in healthcare you'll see the abbreviations in and own and those stands for in-network
[0:15 - 0:21]  and out-of-network. Now when a person goes to receive medical services they typically
[0:21 - 0:26]  receive two bills, one from the doctor and one from the hospital or from the facility.
[0:26 - 0:31]  And so the capacity for each the doctor and the hospital to be either in or out-of-network
[0:31 - 0:36]  exists. And so here we have a matrix where we have a hospital over here and we have the doctor here on
[0:36 - 0:42]  top and we have in-network and out-of-network and so you can see you have a combination of four things
[0:42 - 0:46]  that are possible. And so of course the best case scenario is when you have an in-network doctor and
[0:46 - 0:51]  an in-network hospital. That's why I have that plus sign there. However the possibility exists where you
[0:51 - 0:57]  can have an in-network hospital but an out-of-network physician. So this oftentimes happens with radiologists,
[0:57 - 1:01]  anesthesiologists, and pathologists which is why many health insurance plans have what's called a
[1:01 - 1:08]  RAPS policy which means that these physicians even though they bill as out-of-network they will be
[1:08 - 1:14]  covered as in-network by the insurance plan because the patient was in an in-network facility.
[1:14 - 1:21]  However it's oftentimes unclear whether or not this applies to ER physicians because oftentimes an ER
[1:21 - 1:26]  physician will be out-of-network at an in-network hospital and that ER physician bill will not
[1:26 - 1:33]  necessarily be processed as in-network. So the short answer is is it depends. Now we also have the
[1:33 - 1:38]  situation where you have an out-of-network facility and an in-network doctor. So oftentimes this happens
[1:38 - 1:43]  with what are called proceduralists. So that would be like surgeons or like gastroenterologists that perform
[1:43 - 1:48]  upper endoscopies and colonoscopies. So this is where the physician will be in-network but the
[1:48 - 1:53]  facility will be out-of-network. And this is particularly problematic because oftentimes it's
[1:53 - 1:59]  the facility bill or the hospital bill that's much larger than the physician bill. So the in-network
[1:59 - 2:04]  physician bill might only be like $250 but the out-of-network facility bill could be upwards of like
[2:04 - 2:09]  $20,000 and we've literally seen that happen. And then of course you have the situation where you have
[2:09 - 2:16]  an out-of-network doctor and an out-of-network hospital or facility as well. And that obviously
[2:16 - 2:21]  is a troublesome situation to be in from a cost perspective which is why I have the minus sign
[2:21 - 2:26]  there as well. Now this is only an introduction to in-network and out-of-network mismatch but I
[2:26 - 2:29]  appreciate you watching A Healthcare Z today. Thank you so much.
[2:29 - 2:42]  Excellent.
