Title: Healthcare Success Stories--Healthcare Navigation
URL: https://www.youtube.com/watch?v=a5_7ObRfDNM
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, good morning. This is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's training session is on success stories in healthcare finance. Now, so the first one, I'm going to go into more detail around the company that I founded, Compass Professional Health Services and our successes that we had in healthcare navigation. And this is not meant to be some sort of like pat on your back sort of thing. I mean, at the end of the day, we were just super fortunate to be able, you know, we were kind of in the right place at the right time to be able to help these folks. And I just wanted to show you kind of how the voice versus exit manifested itself at Compass. So Compass, as I mentioned, it was tools and support for healthcare consumers. It took the form of a personal healthcare concierge where our health pro and you would interact with your health pro by phone or by email. And we had an app as well. You could do some self-service, looking up things as well. And you would get your Compass navigation service through your job. And so you'd have your medical, your dental, your vision insurance. Then you would have your Compass Health Pro to help you navigate all those. And our Compass Health Pros were basically like administrative experts. We didn't do any clinical decision-making. I mean, that was between the doctor and the patient, but for all the morass and quagmire of healthcare, that's what we were experts in. And let me give you the specific examples. Okay. Here's the success. You're like, okay, fine. These are true stories. Okay. Now we had a member in Florida who was like the 20 year old daughter of, of the employee of a municipality. It was a very large, uh, county, you know, big self-funded employer in Florida. And so this 20 year old daughter was still on the plant. She went to community college and she had a part-time job and she had a condition called gastroparesis where food, where her stomach didn't move the food along. It didn't empty into her small intestines. So the food would get backed up. And when that happens, you get nauseous. You throw, as you can imagine, you throw up a lot and you lose weight. And it's incredibly painful because your stomach, it's really distended. And when your stomach gets distended, it's very painful. So she's this constant abdominal pain. It's like a miserable existence. And she had a local gastroenterologist that she had been, been seen for this. And he had her on like 12 medications. And this had been going on for like three years and it, it wouldn't get any better. And she had been to the ER like eight or nine times. She'd been like hospitalized like three or four times. And it was really affecting the entire family. She had to drop out of college. She had to quit her job. I mean, it was a disaster. And so her dad initially contacted us and then we worked with this young woman. And it turned out that in, there's a Mayo Clinic in Jacksonville, Florida. And the Mayo Clinic in Jacksonville, Florida specifically has a gastroparesis outpatient program where you go and, you know, you have to like stay in a local hotel, but you see their multidisciplinary gastroparesis team like every day for six weeks. And it's like, it's not only a gastroenterologist, but it's also a pain management doctor. And it's also a psychologist and a psychiatrist as well, because you're outside of your nervous system. Your digestive system actually has the second highest concentration of neurons or nerves in your body. And so your thoughts and your emotion and your nervous system actually has a huge impact on your digestive tract. And so between or among those three specialists, and over the course of that six weeks, they were able to get her from like the 12 medications, literally down to two and her symptoms dramatically improved. And she was able to go back home and she was able to restart junior college. And she was able to go back to her job. And so the punchline is, is that our health pros would actually travel for like open enrollment meetings or like wellness, you know, vendor fairs or whatever to the employer. So one of our health, our health pro for, because we assigned health pros so that they had a relationship. So you had the same person working with you. And this health pro went to the county wellness fair and the father was there too. And he came up and he was like literally almost in tears. And he told the health pro this story about his family and his daughter. And he said, not only has this changed my daughter's life, but it's, it's, it's changed our entire family. Because when you have a sick member of your family, like it affects the entire family unit. So it dramatically changed the husband and the wife and the other siblings lives as well. So, I mean, just huge success personally for that woman and her family. Okay. Next up. So anyway, long story short to the punchline there is, is there are absolutely pockets of excellence within American healthcare. I mean, arguably what she got in Jacksonville, she might've not been able to get like anywhere else in the world. I mean, it was awesome. So the point is, is that there are absolutely pockets of some of the best care you can possibly imagine. We're incredibly fortunate in this country to be able to have these pockets. The challenge is, is getting to them and getting the care and then not having the billing be a disaster and financial ruin afterwards. And guess what? That's possible. It's totally possible. Okay. Next up. So ophthalmology CPT code. So this is, so just very briefly, there's this thing called medical policy and medical policy means that you have, it's an, it's an actual term. It means you have health insurance, but, and the medical policy is all the buts and all the buts are things like, Oh, are specifically a lot of times they're coding related, which is like, okay, if you have this particular diagnosis code, you can only bill for these particular CPT codes with that diagnosis code. And that's exactly what happened in this ophthalmologic example, where a member of ours had an in-office laser retina treatment by the ophthalmologist, but that, that laser retina treatment is only approved for certain diagnosis codes. It's not by approved. I mean, approved by the insurance company for payment, not clinically approved. I mean, it was totally within the like recommendations and the guidelines of the ophthalmologist for them to do this laser procedure for this person's retinopathy. And they, because the ophthalmologist billed a particular diagnosis code with the particular laser CPT code, the insurance denied it. They said, you can't bill. Yes. We'll cover that CPT code. Yes. We'll cover that diagnosis code, but we don't cover the two together. You can't, we don't pay for that CPT code with that diagnosis code. And the ophthalmologist was like, really? And of course, anytime the, any physician or doctor doesn't get paid, they just bill the patient. Like the knee jerk reaction is just to bill the patient. So of course, the patient got the bill from the ophthalmologist and it was, it was like low thousands. I'm going to say it was like $1,300 and they contacted us, right? So that was the reason why we got involved. And so the problem is it was lots of problems with medical policy, but one of the problems with medical policy is that it's highly inconsistent across carriers. So that particular carrier might've had an issue with that diagnosis code and that CPT code, but other carriers have no problems with that at all. Another specific example of that is for pulmonary function tests or PFTs, you go into this, like almost looks like a telephone booth and you breathe into it. It measures your lung volumes and you use it for sort of the diagnosis and staging of COPD and asthma. And there are like specifically for this one blue cross plan that we were looking for, they would, and it's, it's a, it's a, it's a series of CPT codes. This one blue cross plan that we worked for only paid for two of the CPT codes. Whereas other blue cross plans in the blue cross association would pay for all four. And it's like, well, why would only one blue cross plan pay for two and the other blue cross plans pay for four? It was like rather indiscriminate. And so if you happen to be on that one blue cross plan that only paid for the two, like you would get balance billed for the other two from the pulmonologist. So anyway, we went back and you can go through the appeals process. And guess what? When you go through the appeals process, there's first level appeals. Guess what? Almost every single first level appeal gets denied. So like, we just do it because you know, you got to do it. So nobody should ever stop after a first level appeal. Like that's like a guaranteed denial. Like you, like first level appeals, like shouldn't even exist because it's just basically an automatic denial. Okay. Then there's second level appeals and there's third level appeals. Okay. So you can do three levels of appeals and the third level appeal even has to happen through arbitration outside of the insurance company itself. And so because we had expertise in the appeals process, then we can run through that. And all you have to do is provide the clinical documentation and have the ophthalmology medical director at the insurance company look at it. And they're like, yeah, that's actually standard of care. Like, that's not weird. Like we should totally pay for that. And they did. So anyway, the next one was, we had, we did gobs of this, right? Where this, this, you know, this gentleman had prostate cancer and needed to have a prostatectomy and his urologist at an in-network urologist originally scheduled him at a facility for his prostatectomy that the in-network allowed amount was going to be $75,000 and literally like two miles down the highway at another in-network hospital with the same urologist. Like urologist would do basically his surgeries at those two hospitals. It was $25,000. It was a third of the cost. It was $50,000 less. And we're just like, look, I mean, you like Dr. Jones, you keep Dr. Jones, you don't switch for Dr. Jones. Let's just switch the facility to a different hospital. And Dr. Jones was like, okay, that's fine. I mean, I can't do it on Tuesday there, but I can do it on Thursday. And so literally, and we did this, it was a relatively, it was a holding company and the holding company had 150 employees and they were self-funded. So they were kind of smaller on the self-funded side, but they were the holding company for several like much larger companies. Like they had like a forklift company that had like 3,000 employees. And so the CFO of the holding company would joke around and be like, yeah, just that one surgery alone paid for Compass for like the next 30 years. Okay. And then lastly, so that's an example of exit, right? So you just exited the system, right? You just exited that particular hospital. They're like, look, we're just getting out of here. Uh, optho was voiced. And then gastroparesis was exit as well, because you just exited the, the existing gastroenterologist, right? We didn't try to up manage the gastroenterologist. We didn't complain to the gastroenterologist and try to get, you know, him or he or she to change their, their treatment plan. We're just like, we're voting with our feet and we're going to go to a different provider. You know, sometimes you just got to walk away and you got to go somewhere else. And then the last example was, there was a gentleman who was an administrator of a, um, make sure you guys are doing okay. You guys can still hear me. Okay. Write in the notes. If you can, um, there was an administrator at a, um, at a, also at a community college who had unfortunately had to get a cardiac cath and stents and he was getting balance billed by the hospital for $15,000 incorrectly. And he was an older gentleman and he was actually, um, delaying his retirement because he thought he had to work longer to pay off this $15,000. And when we went back in, we identified, um, the error that the hospital had been making, they basically had not been writing off the, um, the discount from the insurance company correctly. And so that 15 grand should have been written off because it was just part of the, of the discount for being, you know, part of, you know, in network with the insurance company. And like, he was able to retire sooner. So like these things literally, that was a huge deal. I mean, he'd been working for years and he was like delaying his retirement by like over a year. So he could pay off this extra $15,000. And so it's a huge ramification, huge financial ramifications here. Like it's not just healthcare is not just like quote unquote expensive. I mean, it dramatically impacts people's lives. He had bought like 20 acres out in the country and he was going to put a single wide trailer on it for him and his wife. Like that was his retirement dream was to live in a single wide trailer out in the country. And he had been delaying that because of this $15,000 bill. Okay. So that's an exit of voice, right? We didn't just, you can't just walk away from that bill. Right. So we had to, um, we had to use our voice to correct it. Okay.

Detailed segments with timestamps:

[0:00 - 0:07]  Hello, good morning. This is Dr. Eric Bricker and thank you for watching A Healthcare Z.
[0:08 - 0:14]  Today's training session is on success stories in healthcare finance. Now, so the first one,
[0:14 - 0:18]  I'm going to go into more detail around the company that I founded, Compass Professional
[0:18 - 0:25]  Health Services and our successes that we had in healthcare navigation. And this is not meant to
[0:25 - 0:30]  be some sort of like pat on your back sort of thing. I mean, at the end of the day, we were just
[0:30 - 0:34]  super fortunate to be able, you know, we were kind of in the right place at the right time to be able to
[0:34 - 0:41]  help these folks. And I just wanted to show you kind of how the voice versus exit manifested itself
[0:41 - 0:47]  at Compass. So Compass, as I mentioned, it was tools and support for healthcare consumers.
[0:48 - 0:54]  It took the form of a personal healthcare concierge where our health pro and you would interact with
[0:54 - 1:00]  your health pro by phone or by email. And we had an app as well. You could do some self-service,
[1:00 - 1:07]  looking up things as well. And you would get your Compass navigation service through your job.
[1:08 - 1:11]  And so you'd have your medical, your dental, your vision insurance. Then you would have your
[1:11 - 1:16]  Compass Health Pro to help you navigate all those. And our Compass Health Pros were basically like
[1:16 - 1:22]  administrative experts. We didn't do any clinical decision-making. I mean, that was between the
[1:22 - 1:30]  doctor and the patient, but for all the morass and quagmire of healthcare, that's what we were
[1:30 - 1:34]  experts in. And let me give you the specific examples. Okay. Here's the success. You're like,
[1:34 - 1:44]  okay, fine. These are true stories. Okay. Now we had a member in Florida who was like the 20 year old
[1:44 - 1:50]  daughter of, of the employee of a municipality. It was a very large, uh, county, you know, big self-funded
[1:50 - 1:56]  employer in Florida. And so this 20 year old daughter was still on the plant. She went to
[1:56 - 2:01]  community college and she had a part-time job and she had a condition called gastroparesis where food,
[2:01 - 2:06]  where her stomach didn't move the food along. It didn't empty into her small intestines. So the
[2:06 - 2:12]  food would get backed up. And when that happens, you get nauseous. You throw, as you can imagine,
[2:12 - 2:16]  you throw up a lot and you lose weight. And it's incredibly painful because your stomach,
[2:16 - 2:19]  it's really distended. And when your stomach gets distended, it's very painful. So she's
[2:19 - 2:26]  this constant abdominal pain. It's like a miserable existence. And she had a local gastroenterologist
[2:26 - 2:33]  that she had been, been seen for this. And he had her on like 12 medications. And this had been going
[2:33 - 2:40]  on for like three years and it, it wouldn't get any better. And she had been to the ER like eight or
[2:40 - 2:46]  nine times. She'd been like hospitalized like three or four times. And it was really affecting the entire
[2:46 - 2:51]  family. She had to drop out of college. She had to quit her job. I mean, it was a disaster.
[2:51 - 2:58]  And so her dad initially contacted us and then we worked with this young woman. And it turned out
[2:58 - 3:03]  that in, there's a Mayo Clinic in Jacksonville, Florida. And the Mayo Clinic in Jacksonville,
[3:03 - 3:11]  Florida specifically has a gastroparesis outpatient program where you go and, you know, you have to like
[3:11 - 3:18]  stay in a local hotel, but you see their multidisciplinary gastroparesis team like every day
[3:18 - 3:25]  for six weeks. And it's like, it's not only a gastroenterologist, but it's also a pain management
[3:25 - 3:30]  doctor. And it's also a psychologist and a psychiatrist as well, because you're outside of
[3:30 - 3:36]  your nervous system. Your digestive system actually has the second highest concentration of neurons or
[3:36 - 3:42]  nerves in your body. And so your thoughts and your emotion and your nervous system actually has a huge
[3:42 - 3:50]  impact on your digestive tract. And so between or among those three specialists, and over the course
[3:50 - 3:56]  of that six weeks, they were able to get her from like the 12 medications, literally down to two and her
[3:56 - 4:03]  symptoms dramatically improved. And she was able to go back home and she was able to restart junior
[4:03 - 4:10]  college. And she was able to go back to her job. And so the punchline is, is that our health pros would
[4:10 - 4:15]  actually travel for like open enrollment meetings or like wellness, you know, vendor fairs or whatever
[4:15 - 4:20]  to the employer. So one of our health, our health pro for, because we assigned health pros so that they
[4:20 - 4:26]  had a relationship. So you had the same person working with you. And this health pro went to the county
[4:26 - 4:33]  wellness fair and the father was there too. And he came up and he was like literally almost in tears.
[4:33 - 4:40]  And he told the health pro this story about his family and his daughter. And he said, not only has
[4:40 - 4:46]  this changed my daughter's life, but it's, it's, it's changed our entire family. Because when you have a
[4:46 - 4:51]  sick member of your family, like it affects the entire family unit. So it dramatically changed the
[4:51 - 4:58]  husband and the wife and the other siblings lives as well. So, I mean, just huge success personally for
[4:58 - 5:05]  that woman and her family. Okay. Next up. So anyway, long story short to the punchline there is,
[5:05 - 5:14]  is there are absolutely pockets of excellence within American healthcare. I mean, arguably what
[5:14 - 5:19]  she got in Jacksonville, she might've not been able to get like anywhere else in the world. I mean,
[5:19 - 5:26]  it was awesome. So the point is, is that there are absolutely pockets of some of the best care
[5:26 - 5:32]  you can possibly imagine. We're incredibly fortunate in this country to be able to have these pockets.
[5:33 - 5:40]  The challenge is, is getting to them and getting the care and then not having the billing be a disaster
[5:40 - 5:47]  and financial ruin afterwards. And guess what? That's possible. It's totally possible. Okay. Next up.
[5:47 - 5:53]  So ophthalmology CPT code. So this is, so just very briefly, there's this thing called medical policy
[5:53 - 5:58]  and medical policy means that you have, it's an, it's an actual term. It means you have health
[5:58 - 6:02]  insurance, but, and the medical policy is all the buts and all the buts are things like, Oh,
[6:02 - 6:07]  are specifically a lot of times they're coding related, which is like, okay, if you have this
[6:07 - 6:12]  particular diagnosis code, you can only bill for these particular CPT codes with that diagnosis code.
[6:12 - 6:17]  And that's exactly what happened in this ophthalmologic example, where a member of ours
[6:17 - 6:27]  had an in-office laser retina treatment by the ophthalmologist, but that, that laser retina
[6:27 - 6:32]  treatment is only approved for certain diagnosis codes. It's not by approved. I mean, approved by
[6:32 - 6:37]  the insurance company for payment, not clinically approved. I mean, it was totally within the like
[6:37 - 6:41]  recommendations and the guidelines of the ophthalmologist for them to do this laser procedure
[6:41 - 6:48]  for this person's retinopathy. And they, because the ophthalmologist billed a particular diagnosis
[6:48 - 6:53]  code with the particular laser CPT code, the insurance denied it. They said, you can't bill.
[6:53 - 6:57]  Yes. We'll cover that CPT code. Yes. We'll cover that diagnosis code, but we don't cover the two
[6:57 - 7:02]  together. You can't, we don't pay for that CPT code with that diagnosis code. And the ophthalmologist
[7:02 - 7:08]  was like, really? And of course, anytime the, any physician or doctor doesn't get paid,
[7:08 - 7:13]  they just bill the patient. Like the knee jerk reaction is just to bill the patient. So of course,
[7:13 - 7:18]  the patient got the bill from the ophthalmologist and it was, it was like low thousands. I'm going
[7:18 - 7:25]  to say it was like $1,300 and they contacted us, right? So that was the reason why we got involved.
[7:25 - 7:28]  And so the problem is it was lots of problems with medical policy, but one of the problems
[7:28 - 7:34]  with medical policy is that it's highly inconsistent across carriers. So that particular carrier might've
[7:34 - 7:38]  had an issue with that diagnosis code and that CPT code, but other carriers have no problems with
[7:38 - 7:43]  that at all. Another specific example of that is for pulmonary function tests or PFTs, you go into
[7:43 - 7:48]  this, like almost looks like a telephone booth and you breathe into it. It measures your lung volumes
[7:48 - 7:56]  and you use it for sort of the diagnosis and staging of COPD and asthma. And there are like
[7:56 - 8:00]  specifically for this one blue cross plan that we were looking for, they would, and it's, it's a,
[8:00 - 8:04]  it's a, it's a series of CPT codes. This one blue cross plan that we worked for only paid for two
[8:04 - 8:12]  of the CPT codes. Whereas other blue cross plans in the blue cross association would pay for all four.
[8:12 - 8:16]  And it's like, well, why would only one blue cross plan pay for two and the other blue cross
[8:16 - 8:21]  plans pay for four? It was like rather indiscriminate. And so if you happen to be on that one blue cross
[8:21 - 8:27]  plan that only paid for the two, like you would get balance billed for the other two from the
[8:27 - 8:31]  pulmonologist. So anyway, we went back and you can go through the appeals process. And guess what?
[8:31 - 8:35]  When you go through the appeals process, there's first level appeals. Guess what? Almost every
[8:35 - 8:39]  single first level appeal gets denied. So like, we just do it because you know, you got to do it.
[8:39 - 8:46]  So nobody should ever stop after a first level appeal. Like that's like a guaranteed denial.
[8:46 - 8:49]  Like you, like first level appeals, like shouldn't even exist because it's just basically an automatic
[8:49 - 8:54]  denial. Okay. Then there's second level appeals and there's third level appeals. Okay. So you can do
[8:54 - 9:00]  three levels of appeals and the third level appeal even has to happen through arbitration outside of
[9:00 - 9:05]  the insurance company itself. And so because we had expertise in the appeals process, then we can
[9:05 - 9:10]  run through that. And all you have to do is provide the clinical documentation and have the ophthalmology
[9:10 - 9:14]  medical director at the insurance company look at it. And they're like, yeah, that's actually standard
[9:14 - 9:18]  of care. Like, that's not weird. Like we should totally pay for that. And they did. So anyway,
[9:18 - 9:25]  the next one was, we had, we did gobs of this, right? Where this, this, you know, this gentleman
[9:25 - 9:33]  had prostate cancer and needed to have a prostatectomy and his urologist at an in-network
