Title: Hospital CEO Compensation
URL: https://www.youtube.com/watch?v=P1S3JElqgo8
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is Hospital CEO Compensation. Now, are hospital CEOs in America bad people? No, of course not, emphatically no. But are the financial incentives for CEOs in America bad for patients? Potentially. Let's examine that today. There have been multiple reports that show that the increased revenue of a hospital system correlates with the increased overall total compensation for the CEO. And typically the CEO compensation comes in the form of their base salary plus a bonus. And that bonus typically represents about 33% of their total compensation. So, if there's a correlation between the increased hospital revenue and the CEO total compensation, well then let's look at that broken down by specific bands of hospital revenue. So, for hospitals with less than $50 million a year in revenue, then their total CEO compensation on average was $274,000 per year. For hospitals with $50 to $100 million a year in revenue, their average CEO compensation was $351,000 per year. For hospitals with $100 million to $250 million in revenue, their average CEO compensation was $528,000. For hospitals with $250 million to $500 million in revenue, it was $701,000. For hospitals with $500 million to $1 billion a year in revenue, it was $960,000. And for hospital systems with greater than $1 billion a year in revenue, their average CEO compensation was $1.4 million per year. Okay, that's total compensation. So, you can see here that the CEO of a $1 billion plus hospital system is making almost six times as much as the CEO of a hospital system with less than $50 million in revenue. Okay, so obviously the number of employees that a large hospital system has, the number of hospitals that a large system has, the number of clinical areas or departments that that large hospital system has, if it has ASCs, it has multi-ambitory surgery centers, it has multiple sites. So, the complexity of these large hospital systems is much greater, arguably, than the complexity of these smaller hospital systems. So, there is obviously a direct correlation, not only between the overall revenue, but one might argue the complexity of these smaller hospitals is not nearly as complex as these larger hospitals. Okay, so that's the total compensation. But now, let's look specifically at the bonuses. Now, is the bonus structure for a hospital CEO solely based upon the financial performance of the hospital? No, it is not. There are a variety of inputs that go into a CEO's bonus. And they include financial performance, but then also patient satisfaction, clinical quality, the safety of the clinical care, and employee satisfaction. Obviously, that's been a big deal with so many nurses being unhappy and leaving their jobs. So, in fact, now, what percentage of the bonus is based on each one of these five factors? Well, that's not typically publicly released because hospital systems hire compensation consultants. And the sort of the mix of these various bonus factors is sort of part of the proprietary consulting information of these compensation consultants that hospital systems hire. So, it's a combination of things. Now, of course, one of the things that we talk about a lot here on A Healthcare Z is value-based payments or revenue that's at risk because either of capitated payments from the government or from an insurance carrier, or it's based upon, or the revenue itself is based upon quality as determined by, you know, let's say a Medicare score or what have you. So, interestingly, value-based payments and payments that are based on risk, they did a survey of CEOs, hospital CEOs, and just over half, 51% of those hospital CEOs said that 0% of their bonus was based on value-based payments. So, that shows that many hospitals have not specifically carved out value-based payments and risk-based payments as a specific mechanism for financially incentivizing CEOs. Still, the overall largest correlation that you can see here is between hospital revenue and CEO compensation. As the hospital revenue goes up and the complexity goes up, the CEO compensation goes up. So, that then begs the question, what makes hospital revenue go up? Well, let's look at the opposite of that first. What makes hospital revenue go down? What types of things could a hospital do to make their revenue go down? Okay, treating uninsured patients makes their revenue go down. No, notice, I didn't say for here, it says revenue. It doesn't say number of beds. It doesn't say number of patients seen. It doesn't say various other things. It says revenue. You can take care of uninsured patients that have cancer and cardiovascular disease and all sorts of medical problems and that won't necessarily be revenue-generating. Okay, taking care of Medicaid patients, not a high revenue-generating activity. Taking care of having an inpatient psych ward, taking care of psychiatric patients, not a high-revenue-generating activity. Taking care of poor patients, in general. Taking care of poor people, not a high-revenue-generating activity. Taking care of Medicare patients, in general, not a very high-revenue-generating activity. So, major hospital system in the Dallas-Fort Worth area. Building hospitals in various suburbs and then shutting down hospitals in poor parts of the Dallas-Fort Worth area. Hospital in Chicago, where I did some of my medical training. Shut down its psych ward. Okay? So, here, the CEO of the hospital, like, is not going to be incentivized to keep open a hospital in a poor neighborhood. The CEO of a hospital is not going to be incentivized to keep open a psychiatric unit. Okay? So, they're not. So, alternatively, what does increase hospital revenue? Having patients with commercial insurance increases hospital revenue. Having wealthy and middle class patients increases hospital revenue. Having orthopedic services, huge driver of hospital revenue. Cardiovascular services and oncology services, huge drivers of hospital revenue. So, we need to understand, in healthcare finance, how the people at the top of the hospital systems are compensated. Is revenue and is money the only thing that results in bonus payments for hospital CEOs? No. Absolutely not. Are CEOs bad people? No. Absolutely not. Are CEOs in some degree compensated based upon the overall revenue and size and complexity of the organization? Therefore, incentivizing the CEO to have a larger, more complex, more high revenue hospital? Like, my interpretation of the data is yes. I'll leave it up for you to decide for yourself. And thank you for watching AHELPCAREZ.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z.
[0:05 - 0:09]  Today's topic is Hospital CEO Compensation.
[0:09 - 0:12]  Now, are hospital CEOs in America bad people?
[0:12 - 0:15]  No, of course not, emphatically no.
[0:15 - 0:22]  But are the financial incentives for CEOs in America bad for patients?
[0:22 - 0:25]  Potentially. Let's examine that today.
[0:25 - 0:35]  There have been multiple reports that show that the increased revenue of a hospital system correlates with the increased overall total compensation for the CEO.
[0:35 - 0:40]  And typically the CEO compensation comes in the form of their base salary plus a bonus.
[0:40 - 0:44]  And that bonus typically represents about 33% of their total compensation.
[0:44 - 0:50]  So, if there's a correlation between the increased hospital revenue and the CEO total compensation,
[0:50 - 0:55]  well then let's look at that broken down by specific bands of hospital revenue.
[0:55 - 0:59]  So, for hospitals with less than $50 million a year in revenue,
[0:59 - 1:04]  then their total CEO compensation on average was $274,000 per year.
[1:04 - 1:12]  For hospitals with $50 to $100 million a year in revenue, their average CEO compensation was $351,000 per year.
[1:12 - 1:21]  For hospitals with $100 million to $250 million in revenue, their average CEO compensation was $528,000.
[1:21 - 1:27]  For hospitals with $250 million to $500 million in revenue, it was $701,000.
[1:27 - 1:34]  For hospitals with $500 million to $1 billion a year in revenue, it was $960,000.
[1:34 - 1:43]  And for hospital systems with greater than $1 billion a year in revenue, their average CEO compensation was $1.4 million per year.
[1:43 - 1:46]  Okay, that's total compensation.
[1:46 - 2:01]  So, you can see here that the CEO of a $1 billion plus hospital system is making almost six times as much as the CEO of a hospital system with less than $50 million in revenue.
[2:01 - 2:09]  Okay, so obviously the number of employees that a large hospital system has, the number of hospitals that a large system has,
[2:09 - 2:13]  the number of clinical areas or departments that that large hospital system has,
[2:13 - 2:17]  if it has ASCs, it has multi-ambitory surgery centers, it has multiple sites.
[2:17 - 2:26]  So, the complexity of these large hospital systems is much greater, arguably, than the complexity of these smaller hospital systems.
[2:26 - 2:39]  So, there is obviously a direct correlation, not only between the overall revenue, but one might argue the complexity of these smaller hospitals is not nearly as complex as these larger hospitals.
[2:39 - 2:41]  Okay, so that's the total compensation.
[2:41 - 2:43]  But now, let's look specifically at the bonuses.
[2:43 - 2:52]  Now, is the bonus structure for a hospital CEO solely based upon the financial performance of the hospital?
[2:52 - 2:54]  No, it is not.
[2:54 - 2:59]  There are a variety of inputs that go into a CEO's bonus.
[2:59 - 3:12]  And they include financial performance, but then also patient satisfaction, clinical quality, the safety of the clinical care, and employee satisfaction.
[3:12 - 3:18]  Obviously, that's been a big deal with so many nurses being unhappy and leaving their jobs.
[3:18 - 3:25]  So, in fact, now, what percentage of the bonus is based on each one of these five factors?
[3:25 - 3:32]  Well, that's not typically publicly released because hospital systems hire compensation consultants.
[3:32 - 3:45]  And the sort of the mix of these various bonus factors is sort of part of the proprietary consulting information of these compensation consultants that hospital systems hire.
[3:45 - 3:47]  So, it's a combination of things.
[3:47 - 4:00]  Now, of course, one of the things that we talk about a lot here on A Healthcare Z is value-based payments or revenue that's at risk because either of capitated payments from the government or from an insurance carrier,
[4:00 - 4:07]  or it's based upon, or the revenue itself is based upon quality as determined by, you know, let's say a Medicare score or what have you.
[4:07 - 4:29]  So, interestingly, value-based payments and payments that are based on risk, they did a survey of CEOs, hospital CEOs, and just over half, 51% of those hospital CEOs said that 0% of their bonus was based on value-based payments.
[4:29 - 4:48]  So, that shows that many hospitals have not specifically carved out value-based payments and risk-based payments as a specific mechanism for financially incentivizing CEOs.
[4:48 - 4:59]  Still, the overall largest correlation that you can see here is between hospital revenue and CEO compensation.
[4:59 - 5:06]  As the hospital revenue goes up and the complexity goes up, the CEO compensation goes up.
[5:06 - 5:10]  So, that then begs the question, what makes hospital revenue go up?
[5:10 - 5:12]  Well, let's look at the opposite of that first.
[5:12 - 5:15]  What makes hospital revenue go down?
[5:15 - 5:19]  What types of things could a hospital do to make their revenue go down?
[5:19 - 5:23]  Okay, treating uninsured patients makes their revenue go down.
[5:23 - 5:26]  No, notice, I didn't say for here, it says revenue.
[5:26 - 5:28]  It doesn't say number of beds.
[5:28 - 5:30]  It doesn't say number of patients seen.
[5:30 - 5:33]  It doesn't say various other things.
[5:33 - 5:34]  It says revenue.
[5:34 - 5:45]  You can take care of uninsured patients that have cancer and cardiovascular disease and all sorts of medical problems and that won't necessarily be revenue-generating.
[5:45 - 5:50]  Okay, taking care of Medicaid patients, not a high revenue-generating activity.
[5:50 - 5:56]  Taking care of having an inpatient psych ward, taking care of psychiatric patients, not a high-revenue-generating activity.
[5:56 - 5:58]  Taking care of poor patients, in general.
[5:58 - 6:01]  Taking care of poor people, not a high-revenue-generating activity.
[6:01 - 6:11]  Taking care of Medicare patients, in general, not a very high-revenue-generating activity.
[6:11 - 6:15]  So, major hospital system in the Dallas-Fort Worth area.
[6:15 - 6:25]  Building hospitals in various suburbs and then shutting down hospitals in poor parts of the Dallas-Fort Worth area.
[6:25 - 6:29]  Hospital in Chicago, where I did some of my medical training.
[6:29 - 6:31]  Shut down its psych ward.
[6:31 - 6:32]  Okay?
[6:32 - 6:41]  So, here, the CEO of the hospital, like, is not going to be incentivized to keep open a hospital in a poor neighborhood.
