Title: Hospital Chargemaster Explained
URL: https://www.youtube.com/watch?v=2PUwLXW2-sw
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is how the hospital charge master works. Now this video is the result of viewers that specifically asked me to make a video about the charge master and much of this video is from a presentation that was done by Wendy Kennedy who is a billing expert with Vitalware. She's not with them anymore but I will leave a link in the show notes to that presentation that she made. Now the hospital charge master is a list or a database of hospital supplies, medication, and services like a 15-minute block of operating room time and their associated prices. In other words, the prices that they're billing out. In other words, another name for that is their billed charges. So not the price of what it costs the hospital but the price that the hospital is charging Medicare or insurance companies or an individual who doesn't have any insurance, etc. Now let me tell you how the charge master fits into hospital billing or what's referred to as revenue cycle. Okay, so you have the patient who goes into the hospital for care. It could be surgery, it could be pneumonia, etc. And then there's a process of charge capture. Will they capture all the medications and supplies and services that were done for that person? Now that charge capture takes in data from a number of places. It takes it from the electronic medical record. It takes it from materials management for the supplies. It takes it from the pharmacy for the medications that are dispensed. And it takes all those charges and it puts them on a bill. Now a hospital bill is called a UBO4 and I'll leave a link in the show notes to all of the details around billing as well. And then that bill is then subsequently sent to the payer. It's sent electronically these days. And then that payer could be Medicare or it could be Medicaid or it could be commercial insurance like Blue Cross United, Cigna, Aetna, etc. And then the money then goes out to the hospital and they get paid. So that whole thing is called the revenue cycle. And the charge master is that list or that database that facilitates charge capture then being translated into the bill. Now that database, that charge master, has various columns, if you will, or different categories for everything that's done. Okay. So every single, and that could be like an intramuscular injection. It could be the administration of an IV fluid or an IV antibiotic. It could be any number of things. Okay. So it has a department number, which is typically a four digit number. And the department could be radiology or pathology, or if it happens in the ER, then the ER would be the department number. And then it has the charge code. In other words, it has an actual, and oftentimes it's a nine digit code. It's all numeric of what the, it's almost like the license plate for the particular service or medication. Now note, the department number and the charge code are hospital specific. So each hospital can make up their own. So they're not, you can't compare departments and charge codes across hospitals because they each make up their own numbers for that. Okay. Next up, you then have the description, right? Because you can't tell from the charge code, you can't tell from the license plate what it is, but the description will say like, okay, you know, X-ray of the left tibia and fibula, which is the lower leg or chest X-ray, et cetera, et cetera. Now that description is typically only about 36 characters long. And so many things in healthcare are very complex procedures. And those complex procedures need to be scrunched into 36 carriers. And this is why if you ever request an itemized bill, like it'll have some numbers on here and you're like, I don't know what those numbers are, but then it'll actually have like a text description of what it is. And oftentimes you can't even make heads or tails of what the text description is because they've taken this long medical procedure and they've had to shorten it to 36 characters. So they use abbreviations. A lot of times they'll even just like leave out the consonants and just leave the vowels in. And so that's why if you ever get an itemized bill, it's just super hard to tell like what even the charge is for. Okay. Next up, you have a revenue code. Now this is where it is standardized. So a revenue code is a three or a four digit code that is then sort of, it's sort of the rolled up code. So it could be like a, um, like an ER level five visit, which is like the, the highest intensity, most complex ER visits. So there's a revenue code for level five ER visit. Okay. Now the American hospital association actually is the organization that comes up with all the revenue codes. Those are standardized across all the hospitals. And then next you have this CPT, or the HCPCS code, and that's the actual procedure code. And so here you could have a CPT code for like the actual chest X-ray or for, um, now the CPT code, let's say it looks like for an outpatient surgery. So here the CPT code could be for like a laparoscopic cholecystectomy. Okay. So that is like a gallbladder, it's a surgical removal of the gallbladder. Okay, fine. But there's going to be different revenue codes associated with that CPT code of laparoscopic cholecystectomy, right? So there's going to be revenue codes for the OR time. There's going to be revenue codes for the anesthesia medication. There's going to be revenue codes for if they give them any preoperative medic medication, or they might give them like postoperative pain medication, right? So there's going to be a whole bunch of different revenue codes for that one CPT code of laparoscopic cholecystectomy, gallbladder removal. Okay. Next you have modifiers. And so probably the most common modifier is if something is done on the left side or the right side. So if you have like a left totaling replacement or a right totaling replacement, there's going to be a modifier that indicates if it's on the left or the right. But believe it or not, you can actually have up to four modifiers on a particular charge. Now, and then finally, you have the price. Again, that's the billed charges. That's what's being billed out. Now, if it's not confusing enough already, here's where it really gets confusing. Now, when that hospital sends out the bill to Medicare, Medicaid, Blue Cross United, Cigna, et cetera, there is a combination of revenue code, revenue codes, plus the CPT code, plus the modifiers. Okay. Now, the different payers, in other words, the different insurance companies versus Medicare versus the different Medicaid plans, they allow different combinations of the revenue code and the CPT code and the modifiers and other ones they'll reject. In other words, if you have certain rev codes with that gallbladder surgery, you could bill that to Medicare and you're great, they'll totally pay. And you might do that same revenue code and CPT and send it to Blue Cross and they'll deny it because they'll say like, nope, we don't accept that. So then you change it and then you get it to go through to Blue Cross. Okay, great. Super. You got paid by Medicare and by Blue Cross for two different gallbladder surgeries. Let's say you have a third gallbladder surgery. This time it's for somebody with Cigna. Okay. We're like, okay, well, let's just use the same combo we use for Blue Cross. Same revenue codes, same CPT codes. It's denied by Cigna because they don't allow the same combination of revenue codes and CPT codes and modifiers that Blue Cross or Medicare does. So you can imagine that is hugely complicated for a hospital billing department to be able to navigate. Now, what happens? Okay, so fine. So they get to know what do a lot of hospitals do? Anytime they get a denial from an insurance company, sometimes they automatically bill the patient. This is why, as the late Marshall Allen said, you should never pay the first bill. How do you know that your insurance company didn't pay just because the required revenue code, CPT code combination wasn't submitted by the hospital? You should not pay that. Okay. You need to work with, or have a navigation service, work with the hospital to make sure that it gets resubmitted if necessary to actually have it go through. Just because it's denied once does not mean that you, the patient, are responsible for it. Okay. Now, guess what else this presentation said? It said that the hospitals themselves don't even know, like the insurance companies don't even tell the hospitals what revenue code, CPT code combinations they allow. They don't tell them. So the hospitals essentially have to guess, and it's a process of trial and error. I mean, so I can, I can completely understand why hospitals are hugely frustrated with insurance carriers, where for the exact same procedure, for the exact same supplies and medications that were used, they have to have individual coders code them differently, depending upon which insurance it is. And if they don't get it right, they're going to get a denial and they will not get paid. I mean, I, this, this brings me to tears because this doesn't add value to patients at all. Like this entire process of having different combinations of revenue and CPT codes, like it doesn't help patients at all. And if anything, it makes things worse. Think about how much administrative waste is spent both on the hospital side and the insurance carrier side, going through this rigmarole in a way that adds no value to patient care whatsoever. Now, let's add another wrinkle to it. Okay, so this pricing here, how in the world does the hospital decide what that price is that they assign to each different service? Well, they can just make it up. They can assign any price they want to it. And in fact, many hospitals hire outside consultants to tell them how to set those prices on the charge master through a process called strategic pricing, where what they do is they look at the patient volume and the number of procedures that they have for different services at their hospital. And they raise the prices on services that they do a lot of, and then they lower the prices on services that they don't do as much of. So that if you average out, the price increases and the price decreases, well, it looks like it's the same. It's like if you had two different gas stations where one gas station was charging $3 and another gas station was charging $5. And you'd say, okay, well, the average of those two is $4. Yes. But what if you, if the gas station that was charging $5, what if they increased their, their price to six, and then the one that was three decreased it to two? Okay. Well then the average between the six and the two is still $4. But what if the gas station with the $6 is the one that has all the cars coming to it? Well, then the average price of what's paid is actually a lot closer to $6 because the vast majority of cars are going to the $6 gas station. And that's exactly what strategic pricing is. They look at their services and they're like, well, we don't deliver a lot of babies here. So we're going to lower our prices on labor and delivery. And they're like, but we do a lot of orthopedic surgery here. So we're going to increase the prices on our orthopedic surgery. And so if you balance out the OBGYN and the orthopedic services, you're like, oh, the prices are the same. Where in fact, the actual prices paid are much higher because so many more people were going for orthopedic services. Now a hospital down the street might do the exact opposite. They might be like, well, we do a ton of OBGYN services. So we'll jack up the prices on those and we'll have lower orthopedic services to offset it because we don't do as much orthopedics. Okay. So that is just part of the reason why the pricing on the Chargemaster is completely irrational. And in this presentation, they even showed how when the pharmacy sends pricing information over to the revenue cycle software over to the Chargemaster, they'll actually list because the pharmacy actually knows what it costs them to purchase a medication, right? Because they have to purchase it from a wholesaler. They know exactly how much it costs them. And then they show what the up charge is by the hospital. So for example, oxytocin, which is an intravenous medication that is almost universally given to women during labor and delivery. If they're having a normal delivery, typically they're given oxytocin to increase the strength and the frequency of the contractions. Okay. So oxytocin, 30 units in a 500 milligram IV bag, it costs the hospital two cents. And then the price on the Chargemaster is $264. That is a 13,200 X markup. Next up. Next up. Propofol. That's an IV medication that is used to keep patients sedated in the ICU while they are on the ventilator, right? So it's incredibly uncomfortable to have an endotracheal tube in. And so you have to sedate the patient so they don't try to pull it out and choke on it, right? So the Propofol costs the hospital 28 cents for a 10 milligram per ml, 100 milliliter vial. Then they turn around and they charge on their Chargemaster $295 for that. That is a 1054 X markup of the Propofol. And so then the hospital's like, okay, but we're going to give the hospital, we're going to give the insurance company a 50% discount. Oh, great. So it's only been marked up like 6,500 times and it's only been marked up 525 times. Like what a deal, right? So again, this, this once, this, this makes me want to cry because this adds no value to patient care whatsoever, completely irrational pricing. If anything, all it does is it hurts people because then if their insurance denies it and then they're sent the bill and they don't have the wherewithal to actually work with the hospital to resubmit it, then hospitals used to send these bills to the local court and the local court was actually able to garner the wages of employees. There were cases in Virginia of this, there were cases in Tennessee of this. There were people whose wages were garnered for a 13,200 X markup on a medication. I mean, that should be criminal. And it's important for everyone in healthcare to understand, especially doctors. I was never taught this in medical school. I was never taught this in residency. I worked at a hospital that was doing exactly this. And I feel terrible about that. This is in no way acceptable. Now, I don't expect this to change overnight, but there's no way that these irrational prices on this charge master and this entire rev code CPT combination process of denials, this should not be allowed to exist. And that's my point for today. Thank you for watching a Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:06 - 0:14]  how the hospital charge master works. Now this video is the result of viewers that specifically
[0:14 - 0:21]  asked me to make a video about the charge master and much of this video is from a presentation
[0:21 - 0:27]  that was done by Wendy Kennedy who is a billing expert with Vitalware. She's not with them anymore
[0:27 - 0:31]  but I will leave a link in the show notes to that presentation that she made. Now the hospital
[0:31 - 0:41]  charge master is a list or a database of hospital supplies, medication, and services like a 15-minute
[0:41 - 0:46]  block of operating room time and their associated prices. In other words, the prices that they're
[0:46 - 0:50]  billing out. In other words, another name for that is their billed charges. So not the price of what
[0:50 - 0:56]  it costs the hospital but the price that the hospital is charging Medicare or insurance companies
[0:56 - 1:02]  or an individual who doesn't have any insurance, etc. Now let me tell you how the charge master fits into
[1:02 - 1:07]  hospital billing or what's referred to as revenue cycle. Okay, so you have the patient who goes into
[1:07 - 1:14]  the hospital for care. It could be surgery, it could be pneumonia, etc. And then there's a process of
[1:14 - 1:19]  charge capture. Will they capture all the medications and supplies and services that were done for that
[1:19 - 1:24]  person? Now that charge capture takes in data from a number of places. It takes it from the electronic
[1:24 - 1:30]  medical record. It takes it from materials management for the supplies. It takes it from the pharmacy for
[1:30 - 1:35]  the medications that are dispensed. And it takes all those charges and it puts them on a bill. Now a
[1:35 - 1:41]  hospital bill is called a UBO4 and I'll leave a link in the show notes to all of the details around
[1:41 - 1:48]  billing as well. And then that bill is then subsequently sent to the payer. It's sent electronically these days.
[1:48 - 1:53]  And then that payer could be Medicare or it could be Medicaid or it could be commercial insurance like
[1:53 - 1:58]  Blue Cross United, Cigna, Aetna, etc. And then the money then goes out to the hospital and they get paid.
[1:58 - 2:04]  So that whole thing is called the revenue cycle. And the charge master is that list or that database
[2:04 - 2:12]  that facilitates charge capture then being translated into the bill. Now that database, that charge master,
[2:12 - 2:18]  has various columns, if you will, or different categories for everything that's done. Okay. So
[2:18 - 2:24]  every single, and that could be like an intramuscular injection. It could be the administration of an IV
[2:25 - 2:32]  fluid or an IV antibiotic. It could be any number of things. Okay. So it has a department number,
[2:32 - 2:36]  which is typically a four digit number. And the department could be radiology or pathology,
[2:36 - 2:41]  or if it happens in the ER, then the ER would be the department number. And then it has the charge
[2:41 - 2:47]  code. In other words, it has an actual, and oftentimes it's a nine digit code. It's all numeric of what the,
[2:48 - 2:53]  it's almost like the license plate for the particular service or medication. Now note,
[2:53 - 2:59]  the department number and the charge code are hospital specific. So each hospital can make up their
[2:59 - 3:04]  own. So they're not, you can't compare departments and charge codes across hospitals because they each make
[3:04 - 3:09]  up their own numbers for that. Okay. Next up, you then have the description, right? Because you can't
[3:09 - 3:14]  tell from the charge code, you can't tell from the license plate what it is, but the description will
[3:14 - 3:20]  say like, okay, you know, X-ray of the left tibia and fibula, which is the lower leg or chest X-ray,
[3:20 - 3:28]  et cetera, et cetera. Now that description is typically only about 36 characters long. And so many things in
[3:28 - 3:35]  healthcare are very complex procedures. And those complex procedures need to be scrunched
[3:35 - 3:43]  into 36 carriers. And this is why if you ever request an itemized bill, like it'll have some
[3:43 - 3:47]  numbers on here and you're like, I don't know what those numbers are, but then it'll actually have like
[3:47 - 3:52]  a text description of what it is. And oftentimes you can't even make heads or tails of what the text
[3:52 - 3:58]  description is because they've taken this long medical procedure and they've had to shorten it to 36
[3:58 - 4:02]  characters. So they use abbreviations. A lot of times they'll even just like leave out the consonants
[4:02 - 4:07]  and just leave the vowels in. And so that's why if you ever get an itemized bill, it's just super hard
[4:07 - 4:14]  to tell like what even the charge is for. Okay. Next up, you have a revenue code. Now this is where it
[4:14 - 4:20]  is standardized. So a revenue code is a three or a four digit code that is then sort of, it's sort of the
[4:20 - 4:27]  rolled up code. So it could be like a, um, like an ER level five visit, which is like the, the highest
[4:27 - 4:33]  intensity, most complex ER visits. So there's a revenue code for level five ER visit. Okay.
[4:33 - 4:38]  Now the American hospital association actually is the organization that comes up with all the
[4:38 - 4:43]  revenue codes. Those are standardized across all the hospitals. And then next you have this CPT,
[4:44 - 4:50]  or the HCPCS code, and that's the actual procedure code. And so here you could have a CPT code for like
[4:50 - 4:56]  the actual chest X-ray or for, um, now the CPT code, let's say it looks like for an outpatient surgery.
[4:56 - 5:01]  So here the CPT code could be for like a laparoscopic cholecystectomy. Okay. So that is
[5:01 - 5:06]  like a gallbladder, it's a surgical removal of the gallbladder. Okay, fine. But there's going to be
[5:06 - 5:12]  different revenue codes associated with that CPT code of laparoscopic cholecystectomy, right?
[5:12 - 5:15]  So there's going to be revenue codes for the OR time. There's going to be revenue codes for
[5:15 - 5:20]  the anesthesia medication. There's going to be revenue codes for if they give them any preoperative
[5:20 - 5:24]  medic medication, or they might give them like postoperative pain medication, right? So there's going to be a
[5:24 - 5:29]  whole bunch of different revenue codes for that one CPT code of laparoscopic cholecystectomy,
[5:29 - 5:35]  gallbladder removal. Okay. Next you have modifiers. And so probably the most common
[5:35 - 5:40]  modifier is if something is done on the left side or the right side. So if you have like a left
[5:40 - 5:43]  totaling replacement or a right totaling replacement, there's going to be a modifier that indicates if
[5:43 - 5:47]  it's on the left or the right. But believe it or not, you can actually have up to four modifiers
[5:47 - 5:53]  on a particular charge. Now, and then finally, you have the price. Again, that's the billed charges.
[5:53 - 5:58]  That's what's being billed out. Now, if it's not confusing enough already, here's where it really
[5:58 - 6:06]  gets confusing. Now, when that hospital sends out the bill to Medicare, Medicaid, Blue Cross United,
[6:06 - 6:15]  Cigna, et cetera, there is a combination of revenue code, revenue codes, plus the CPT code, plus the
[6:15 - 6:21]  modifiers. Okay. Now, the different payers, in other words, the different insurance companies versus
[6:21 - 6:29]  Medicare versus the different Medicaid plans, they allow different combinations of the revenue code
[6:29 - 6:33]  and the CPT code and the modifiers and other ones they'll reject. In other words, if you have
[6:33 - 6:39]  certain rev codes with that gallbladder surgery, you could bill that to Medicare and you're great,
[6:39 - 6:45]  they'll totally pay. And you might do that same revenue code and CPT and send it to Blue Cross
[6:45 - 6:49]  and they'll deny it because they'll say like, nope, we don't accept that. So then you change it and then
[6:49 - 6:53]  you get it to go through to Blue Cross. Okay, great. Super. You got paid by Medicare and by Blue Cross
[6:53 - 6:58]  for two different gallbladder surgeries. Let's say you have a third gallbladder surgery. This time it's for
[6:58 - 7:03]  somebody with Cigna. Okay. We're like, okay, well, let's just use the same combo we use for Blue Cross. Same revenue
[7:03 - 7:09]  codes, same CPT codes. It's denied by Cigna because they don't allow the same combination of revenue
[7:09 - 7:16]  codes and CPT codes and modifiers that Blue Cross or Medicare does. So you can imagine that is hugely
[7:16 - 7:22]  complicated for a hospital billing department to be able to navigate. Now, what happens? Okay, so fine.
[7:22 - 7:27]  So they get to know what do a lot of hospitals do? Anytime they get a denial from an insurance company,
[7:27 - 7:32]  sometimes they automatically bill the patient. This is why, as the late Marshall Allen said,
[7:32 - 7:40]  you should never pay the first bill. How do you know that your insurance company didn't pay
[7:41 - 7:48]  just because the required revenue code, CPT code combination wasn't submitted by the hospital?
[7:48 - 7:55]  You should not pay that. Okay. You need to work with, or have a navigation service, work with the
[7:55 - 8:02]  hospital to make sure that it gets resubmitted if necessary to actually have it go through.
[8:02 - 8:08]  Just because it's denied once does not mean that you, the patient, are responsible for it. Okay. Now,
[8:08 - 8:14]  guess what else this presentation said? It said that the hospitals themselves don't even know,
[8:14 - 8:19]  like the insurance companies don't even tell the hospitals what revenue code, CPT code combinations
[8:19 - 8:23]  they allow. They don't tell them. So the hospitals essentially have to guess,
[8:23 - 8:30]  and it's a process of trial and error. I mean, so I can, I can completely understand why hospitals are
[8:30 - 8:37]  hugely frustrated with insurance carriers, where for the exact same procedure, for the exact same
[8:37 - 8:45]  supplies and medications that were used, they have to have individual coders code them differently,
[8:45 - 8:50]  depending upon which insurance it is. And if they don't get it right, they're going to get a denial and
[8:50 - 9:00]  they will not get paid. I mean, I, this, this brings me to tears because this doesn't add value
[9:00 - 9:08]  to patients at all. Like this entire process of having different combinations of revenue and CPT codes,
[9:08 - 9:13]  like it doesn't help patients at all. And if anything, it makes things worse. Think about how much
[9:13 - 9:21]  administrative waste is spent both on the hospital side and the insurance carrier side, going through this
[9:21 - 9:30]  rigmarole in a way that adds no value to patient care whatsoever. Now, let's add another wrinkle to it.
[9:30 - 9:35]  Okay, so this pricing here, how in the world does the hospital decide what that price is that they
[9:35 - 9:41]  assign to each different service? Well, they can just make it up. They can assign any price they want to it.
[9:41 - 9:47]  And in fact, many hospitals hire outside consultants to tell them how to set those prices on the
[9:47 - 9:52]  charge master through a process called strategic pricing, where what they do is they look at the
[9:52 - 9:58]  patient volume and the number of procedures that they have for different services at their hospital.
[9:58 - 10:04]  And they raise the prices on services that they do a lot of, and then they lower the prices on services
[10:04 - 10:10]  that they don't do as much of. So that if you average out, the price increases and the price
[10:10 - 10:15]  decreases, well, it looks like it's the same. It's like if you had two different gas stations where
[10:15 - 10:19]  one gas station was charging $3 and another gas station was charging $5. And you'd say, okay,
[10:19 - 10:26]  well, the average of those two is $4. Yes. But what if you, if the gas station that was charging $5,
[10:26 - 10:32]  what if they increased their, their price to six, and then the one that was three decreased it to two?
[10:32 - 10:39]  Okay. Well then the average between the six and the two is still $4. But what if the gas station
