Title: Hospital Contracts Forbid Health Insurance Companies from Guiding Patients
URL: https://www.youtube.com/watch?v=A1X4dxrTjQA
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is carriers are contractually bound to do no steerage. Now what does that mean? So to start off with, hospitals provide an in-network discount to an insurance carrier network. They say, hey, we've got our bill charges of X and we'll reduce that amount to like one half of X. And the insurance carrier says, oh great. But then the hospital says, however, that includes all the docs within our hospital system. And as you know, hospital systems have become larger and larger from consolidation. So this could be like thousands of doctors and that means all of their facilities. So it's not just one hospital. It's not just two hospitals. Sometimes it's like over a dozen hospitals. Sometimes it's dozens of hospitals. So to start off with, we need to understand at a basic level that in the world of PPO contracts, that that discount is given to the insurance carrier and the insurance carrier has to agree that they got to take the whole kit and caboodle at that hospital system. Okay. What are the ramifications of that? So this is a quote from 2018 when the Blue Cross Blue Shield of Texas President, Dr. Paul Hain, was speaking to a very large employer group here in Dallas, Fort Worth. And he said that, look, our challenge with negotiating with hospitals has less to do with reimbursement rates. It has less to do with the actual dollar amounts themselves. And it has more to do with the desire to direct patients. In other words, the insurance carriers didn't like their end of the deal of having to take all the docs and all the facilities. Because let's just say from a quality perspective, I mean, look, they got the data and they know that some of those doctors are not the type of doctors that they would want to have in their network. And they've got some facilities that, whether it be from infection rates or complication rates or readmission rates or whatever, you're like, look, I really don't want people necessarily going to that facility. And for a carrier, the easiest thing to do to not have people go to those facilities or go to those doctors is make them out of network. Okay? So if the carrier could pick and choose which doctors and hospitals that they could steer their members to within a hospital system, then the president of Blue Cross Blue Shield would have never said this quote. Okay. Example number two, Sutter Health, which is a huge hospital system in the San Francisco Bay Area, recently settled an antitrust case with the state of California. So the state of California went after and said, look, you have anti-competitive practices. And it was mainly around the fact of Sutter's contracting practices had this all or none, these all or none, no steerage terms. Okay. So in other words, there was no opportunity for in-network or out-of-network steerage for the insurance carriers in the San Francisco Bay Area. You either had to take all the Sutter physicians and all the Sutter facilities or you needed to hit the highway. Okay. And guess what? They settled. The terms, this literally just happened several days ago. The terms are not completely revealed, but the point is they were going to get, they were going to be, they were being sued for $2.7 billion. Okay. Sutter has $13 billion of revenue a year. Okay. These are substantial sums of money. Again, because of the same issue of not being able to steer. So the point is, is that within a PPO contract, there's really this game of cat and mouse because I've been in many meetings where the carrier representatives talks about, oh, how they can identify high quality facilities and doctors, et cetera, et cetera. But just know that for a lot of their contracts with the major hospital systems, that they're contractually prevented from doing steerage. Okay. Now, but you can't do it at the employer level. The biggest example, again, is Walmart, where just recently Walmart came out with the fact that they have a new benefit for their employees where they're going to provide quality scores for physicians in the specialties of primary care, cardiology, gastroenterology, endocrinology, OBGYN, oncology, orthopedics, and pulmonology. Okay. Walmart, the largest employer in America. If their carriers could already do this for them, then why in the world is Walmart having to do it themselves? The reason is, is because you can do this at the employer level, but the carriers are contractually bound in their PPO contracts to not do this. Okay. And I'm sure there's some exceptions, yada, yada, yada, but overall that's the case. Now that can be confusing, but that is a super important point for everyone here to understand. So thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:06 - 0:16]  carriers are contractually bound to do no steerage. Now what does that mean? So to start off with,
[0:17 - 0:23]  hospitals provide an in-network discount to an insurance carrier network. They say, hey,
[0:23 - 0:31]  we've got our bill charges of X and we'll reduce that amount to like one half of X. And the insurance
[0:31 - 0:38]  carrier says, oh great. But then the hospital says, however, that includes all the docs within our
[0:38 - 0:42]  hospital system. And as you know, hospital systems have become larger and larger from consolidation.
[0:42 - 0:47]  So this could be like thousands of doctors and that means all of their facilities. So it's not just
[0:47 - 0:53]  one hospital. It's not just two hospitals. Sometimes it's like over a dozen hospitals. Sometimes it's
[0:53 - 1:01]  dozens of hospitals. So to start off with, we need to understand at a basic level that in the world
[1:01 - 1:07]  of PPO contracts, that that discount is given to the insurance carrier and the insurance carrier has
[1:07 - 1:14]  to agree that they got to take the whole kit and caboodle at that hospital system. Okay. What are
[1:14 - 1:20]  the ramifications of that? So this is a quote from 2018 when the Blue Cross Blue Shield of Texas
[1:20 - 1:26]  President, Dr. Paul Hain, was speaking to a very large employer group here in Dallas, Fort Worth.
[1:27 - 1:33]  And he said that, look, our challenge with negotiating with hospitals has less to do with reimbursement
[1:33 - 1:39]  rates. It has less to do with the actual dollar amounts themselves. And it has more to do with the
[1:39 - 1:45]  desire to direct patients. In other words, the insurance carriers didn't like their end of the deal
[1:45 - 1:50]  of having to take all the docs and all the facilities. Because let's just say from a quality
[1:50 - 1:55]  perspective, I mean, look, they got the data and they know that some of those doctors are not the
[1:55 - 2:01]  type of doctors that they would want to have in their network. And they've got some facilities that,
[2:01 - 2:05]  whether it be from infection rates or complication rates or readmission rates or whatever, you're like,
[2:05 - 2:09]  look, I really don't want people necessarily going to that facility. And for a carrier, the easiest thing
[2:09 - 2:13]  to do to not have people go to those facilities or go to those doctors is make them out of network.
[2:14 - 2:20]  Okay? So if the carrier could pick and choose which doctors and hospitals that they could steer
[2:20 - 2:27]  their members to within a hospital system, then the president of Blue Cross Blue Shield would have
[2:27 - 2:33]  never said this quote. Okay. Example number two, Sutter Health, which is a huge hospital system in the San
[2:33 - 2:40]  Francisco Bay Area, recently settled an antitrust case with the state of California. So the state of
[2:40 - 2:45]  California went after and said, look, you have anti-competitive practices. And it was mainly around
[2:45 - 2:53]  the fact of Sutter's contracting practices had this all or none, these all or none, no steerage terms.
[2:54 - 3:01]  Okay. So in other words, there was no opportunity for in-network or out-of-network steerage for the
[3:01 - 3:05]  insurance carriers in the San Francisco Bay Area. You either had to take all the Sutter physicians
[3:05 - 3:11]  and all the Sutter facilities or you needed to hit the highway. Okay. And guess what? They settled.
[3:11 - 3:16]  The terms, this literally just happened several days ago. The terms are not completely revealed,
[3:16 - 3:21]  but the point is they were going to get, they were going to be, they were being sued for $2.7 billion.
[3:21 - 3:28]  Okay. Sutter has $13 billion of revenue a year. Okay. These are substantial sums of money. Again,
[3:28 - 3:33]  because of the same issue of not being able to steer. So the point is, is that within a PPO
[3:33 - 3:37]  contract, there's really this game of cat and mouse because I've been in many meetings where the
[3:37 - 3:41]  carrier representatives talks about, oh, how they can identify high quality facilities and doctors,
[3:41 - 3:46]  et cetera, et cetera. But just know that for a lot of their contracts with the major hospital systems,
