Title: Hospital Departments Explained
URL: https://www.youtube.com/watch?v=DAVk2q8QUPo
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker. Thank you for watching A Healthcare Z. Today's training session is on how hospitals really work. Clinical training for non-clinical healthcare professionals. Now, thank you so much for being here today. This is my favorite time of the week is to be able to speak with all of you or at least meet with all of you virtually as let's go through some of the different departments in the hospital. You've got radiology where you've got CTs, MRIs, X-rays, PET scans, and GI radiology. So that's like where you swallow contrast like barium and then they take X-rays of the barium to see how it's flowing through your gastrointestinal tract. That's done through the radiology department. Then there's interventional radiology, which is where they actually, and interventional radiology actually looks a lot like this. So this is actually a cardiac cath lab, but interventional radiology looks the same way. This right here is what's referred to as a C-arm where you can take actually movies with an X-ray. You can barely see it, but this is an actual TV screen where you can see a movie. And this is where the interventional radiologist is using the imaging to stick drains in like abscesses to drain the pus without surgery. We're going to take biopsies, let's say from a part of the piece of the lung, and they're using the imaging to guide where the needle goes into the lung to take the biopsy or place what's referred to as an IVC filter, which is an inferior vena cava filter, which is a very common procedure at a hospital. When people have what's referred to as a DVT, a deep vein thrombosis, which is a blood clot in their legs, it breaks off and then goes to the lungs, which is then referred to as a pulmonary embolism. And that is potentially lethal. People die from pulmonary embolisms. And not everybody who has a DVT and a pulmonary embolism requires an IVC filter to basically, if any more clot breaks loose from their legs, the filter in their large vein of their abdomen actually catches that blood clot before it then travels further to the lungs, preventing the pulmonary embolism. So I won't get into detail any more about that, but just know that that's a common procedure that's done by the interventional radiologist as well. And then of course, there's cardiac catheterization. This actually is the cardiac cath lab. And there's most likely the cardiologist here. There's actually a patient underneath this blue drape. This person here is called the circulating nurse. And this person could be another cardiologist or could be an assistant or a PA. And this is where the person lies flat and they actually enter the person's artery through their groin. And then they snake a catheter up through their artery into the left side of their heart. And that's where they can actually go into the coronary arteries to put, to, to, to do balloon angioplasty, where you open up a blockage and then you put in a stent all done through the catheters here. And then you can monitor, they have them on EKG or telemetry so that they can constantly monitor how the heart is electrically functioning while they're doing these procedures. So obviously for things like not only angioplasty and stents for heart attacks, but also in what's referred to as the electrophysiology lab or the EP lab, which is sort of a specialized heart lab where they'll put, do ablations for a condition called atrial fibrillation, where the heart is just beating erratically and too fast. And you can actually burn small areas of the heart that are electrically defective, if you will. And by destroying that electrically defective part of the heart, very, again, a microscopic level, then you can actually stop the atrial fibrillation from happening. That's a very common procedure. And then you also have pacemakers that are put in, in the, the EP lab as well. Another department would be endoscopy. This would be where the gastroenterologists are doing the upper endoscopies, which are referred to as EGDs or the colonoscopies. Then of course, there's the operating room, which again is mostly outpatient. And then you have inpatient surgeries for joints and spine, emergency surgeries, like, you know, ruptured appendix, cancer surgeries, like on tumors, coronary artery bypass graft, valve replacements, like aortic valve replacements. A triple A is an abdominal aortic aneurysm. So that's a very significant vascular surgery that's performed on an inpatient basis. There's cardiac stress testing. So this is where the, the nuclear stress tests are done in the hospital. There's of course lab and then phlebotomists. So sometimes the nurses do their own blood draws, but typically they have specialized phlebotomists where all they do is go around drawing blood all day long. Now there's also of course the pharmacy. Um, and then there is the, uh, the blood bank again, sort of similar to oxygen, countless lives in America have been saved because of blood transfusions. And so all hospitals have a blood bank because you have to be like matched to the right type of blood and it's frozen and they got a thought. And so, um, all of this, the blood work, um, and the, the, a lot of the medications and the blood is actually transferred through the tubing system. And everybody who works in healthcare needs to understand the tubing system. So you can barely see it right here, but here's the tubing system. Here's how you transport stuff around the hospital. Now, sometimes people go around with carts, um, et cetera, but a lot of stuff is transferred by the tubing system. And why is that important? Because stuff is constantly coming and going. You can both receive things and send things through the tubing system. And you like push a button for like where you want to send it to. Now, the problem with the tubing system is that things will sit in the tubes after they've been tubed to you. Let me give you two examples. Things will be tubed to the lab. And a lot of times they'll sit at the lab before they actually get processed. And for certain blood samples, if they sit for too long for like a lactate, then you get an inaccurate reading. Likewise, a lot of medications are tubed to the floor and they actually have protocols for how frequently the tubing system is checked. Or sometimes they don't have protocols over how frequently the tubing system is checked. So you can go by the tubing system and be like, oh, look, there's a tube with something in it that's been sitting in the tubing system for a long time. And I'm not saying anybody's lazy, but they're busy. And shoot, that could be a stat medication that the physician ordered electronically that they want the patient to be given like rapidly. And believe it or not, a lot of hospitals have protocols where stat literally means within one hour. So like a lot of doctors don't know that. They're like, oh, stat, that means they're going to get it right away. No. If the medication is not on the floor, it has to be tubed from, it has to be filled to the pharmacy, tubed to the floor. The nurse has to get it out of the tubing system. They got to give it to the patient. And like that oftentimes does not happen within an hour. So honestly, one of the things that I would do is, is if I ordered something stat, I would then walk to the pharmacy, be like, I need this filled now. And they would fill it for me. I would walk it to the nurse on the floor and be like, I just ordered this stat. And typically it would be like an antibiotic for like a person who like just had their infection identified. And frankly, their heart rate was kind of high, their blood pressure was kind of low, and they were becoming septic. And so the sooner you got in those antibiotics, the better. I'd be like, look, you need to hang this now. Like, unless you got an emergency going on with some other patient, like I need you to hang this right now. I'd be nice about it. But just know that again, from a process perspective, there are major breakdowns constantly. Again, it requires the heroics. I'm not saying I'm a hero, but it requires the heroics of the nurses and the docs and the techs to constantly make up for these breakdowns in processes at the hospital. All right, moving on. Patient room, departments, and of course, nutrition, the food. We got to talk about the food. Now, the important thing about nutrition is the lack of nutrition. What is referred to as NPO, nothing per oral or none per oral. Patients are kept NPO and cannot eat constantly at the hospital. So you want to talk about hospitalization? Let me tell you what hospitalization is all about. Hospitalization, you constantly get interrupted, you can't get any sleep, and you can't eat. And we wonder why the elderly patients get delirium in the hospital. Okay? So this is not as much of a big deal for younger patients, but it's very, very common for the elderly to have an altered mental state where they get confused. And I literally saw a guy once who constantly thought that his call bell was a fishing pole. And he would literally throw his call bell across the room because he was like casting, because he thought he was fishing. And oh man, now we're getting spammed. All right, so forget this. I'm going to try to block this particular user. So I apologize about that. All right. Now, so just know that people are often hungry and sleep deprived because they're kept NPO for various tests and procedures. And what happens is, okay, you're testing your procedures in the afternoon. Well, you're kept NPO after midnight, which means you go from not eating anything, let's say at 8 or 9 PM, till like three in the afternoon. And it's very common for your test of procedure to get canceled. So there you go. And you've waited all day and you can't eat. And then like, you got to go through it all over again because they move it to the next day. So it's miserable.

Detailed segments with timestamps:

[0:00 - 0:10]  Hello, this is Dr. Eric Bricker. Thank you for watching A Healthcare Z. Today's training session
[0:10 - 0:18]  is on how hospitals really work. Clinical training for non-clinical healthcare professionals. Now,
[0:18 - 0:23]  thank you so much for being here today. This is my favorite time of the week is to be able to
[0:23 - 0:28]  speak with all of you or at least meet with all of you virtually as let's go through some of the
[0:28 - 0:34]  different departments in the hospital. You've got radiology where you've got CTs, MRIs, X-rays,
[0:34 - 0:42]  PET scans, and GI radiology. So that's like where you swallow contrast like barium and then they take
[0:42 - 0:47]  X-rays of the barium to see how it's flowing through your gastrointestinal tract. That's
[0:47 - 0:52]  done through the radiology department. Then there's interventional radiology, which is where they
[0:52 - 0:55]  actually, and interventional radiology actually looks a lot like this. So this is actually a
[0:55 - 0:59]  cardiac cath lab, but interventional radiology looks the same way. This right here is what's
[0:59 - 1:05]  referred to as a C-arm where you can take actually movies with an X-ray. You can barely see it, but
[1:05 - 1:10]  this is an actual TV screen where you can see a movie. And this is where the interventional radiologist
[1:10 - 1:15]  is using the imaging to stick drains in like abscesses to drain the pus without surgery.
[1:16 - 1:21]  We're going to take biopsies, let's say from a part of the piece of the lung, and they're using
[1:21 - 1:27]  the imaging to guide where the needle goes into the lung to take the biopsy or place what's referred
[1:27 - 1:33]  to as an IVC filter, which is an inferior vena cava filter, which is a very common procedure at a
[1:33 - 1:39]  hospital. When people have what's referred to as a DVT, a deep vein thrombosis, which is a blood clot in
[1:39 - 1:44]  their legs, it breaks off and then goes to the lungs, which is then referred to as a pulmonary
[1:44 - 1:51]  embolism. And that is potentially lethal. People die from pulmonary embolisms. And not everybody who
[1:51 - 1:58]  has a DVT and a pulmonary embolism requires an IVC filter to basically, if any more clot breaks loose
[1:58 - 2:06]  from their legs, the filter in their large vein of their abdomen actually catches that blood clot
[2:06 - 2:13]  before it then travels further to the lungs, preventing the pulmonary embolism. So I won't get into detail
[2:13 - 2:18]  any more about that, but just know that that's a common procedure that's done by the interventional
[2:18 - 2:23]  radiologist as well. And then of course, there's cardiac catheterization. This actually is the
[2:23 - 2:29]  cardiac cath lab. And there's most likely the cardiologist here. There's actually a patient
[2:29 - 2:35]  underneath this blue drape. This person here is called the circulating nurse. And this person could
[2:35 - 2:41]  be another cardiologist or could be an assistant or a PA. And this is where the person lies flat and they
[2:41 - 2:47]  actually enter the person's artery through their groin. And then they snake a catheter up through
[2:47 - 2:52]  their artery into the left side of their heart. And that's where they can actually go into the
[2:52 - 2:58]  coronary arteries to put, to, to, to do balloon angioplasty, where you open up a blockage and then
[2:58 - 3:05]  you put in a stent all done through the catheters here. And then you can monitor, they have them on EKG or
[3:05 - 3:10]  telemetry so that they can constantly monitor how the heart is electrically functioning while they're
[3:10 - 3:17]  doing these procedures. So obviously for things like not only angioplasty and stents for heart
[3:17 - 3:22]  attacks, but also in what's referred to as the electrophysiology lab or the EP lab, which is sort
[3:22 - 3:29]  of a specialized heart lab where they'll put, do ablations for a condition called atrial fibrillation,
[3:29 - 3:35]  where the heart is just beating erratically and too fast. And you can actually burn small areas of
[3:35 - 3:42]  the heart that are electrically defective, if you will. And by destroying that electrically defective
[3:42 - 3:48]  part of the heart, very, again, a microscopic level, then you can actually stop the atrial fibrillation
[3:48 - 3:53]  from happening. That's a very common procedure. And then you also have pacemakers that are put in,
[3:53 - 3:58]  in the, the EP lab as well. Another department would be endoscopy. This would be where the
[3:58 - 4:04]  gastroenterologists are doing the upper endoscopies, which are referred to as EGDs or the colonoscopies.
[4:04 - 4:08]  Then of course, there's the operating room, which again is mostly outpatient. And then you have
[4:08 - 4:15]  inpatient surgeries for joints and spine, emergency surgeries, like, you know, ruptured appendix,
[4:15 - 4:21]  cancer surgeries, like on tumors, coronary artery bypass graft, valve replacements, like aortic valve
[4:21 - 4:26]  replacements. A triple A is an abdominal aortic aneurysm. So that's a very significant
[4:26 - 4:32]  vascular surgery that's performed on an inpatient basis. There's cardiac stress testing. So this is
[4:32 - 4:38]  where the, the nuclear stress tests are done in the hospital. There's of course lab and then
[4:38 - 4:42]  phlebotomists. So sometimes the nurses do their own blood draws, but typically they have specialized
[4:42 - 4:50]  phlebotomists where all they do is go around drawing blood all day long. Now there's also of course the
[4:50 - 4:57]  pharmacy. Um, and then there is the, uh, the blood bank again, sort of similar to oxygen,
[4:57 - 5:03]  countless lives in America have been saved because of blood transfusions. And so all hospitals have a
[5:03 - 5:08]  blood bank because you have to be like matched to the right type of blood and it's frozen and they got
[5:08 - 5:16]  a thought. And so, um, all of this, the blood work, um, and the, the, a lot of the medications
[5:16 - 5:21]  and the blood is actually transferred through the tubing system. And everybody who works in
[5:21 - 5:24]  healthcare needs to understand the tubing system. So you can barely see it right here,
[5:24 - 5:29]  but here's the tubing system. Here's how you transport stuff around the hospital. Now,
[5:29 - 5:34]  sometimes people go around with carts, um, et cetera, but a lot of stuff is transferred by the
[5:34 - 5:40]  tubing system. And why is that important? Because stuff is constantly coming and going. You can both
[5:40 - 5:45]  receive things and send things through the tubing system. And you like push a button for like where you
[5:45 - 5:51]  want to send it to. Now, the problem with the tubing system is that things will sit in the tubes
[5:51 - 5:57]  after they've been tubed to you. Let me give you two examples. Things will be tubed to the lab. And a
[5:57 - 6:03]  lot of times they'll sit at the lab before they actually get processed. And for certain blood samples,
[6:03 - 6:10]  if they sit for too long for like a lactate, then you get an inaccurate reading. Likewise, a lot of
[6:10 - 6:19]  medications are tubed to the floor and they actually have protocols for how frequently the tubing system
[6:19 - 6:24]  is checked. Or sometimes they don't have protocols over how frequently the tubing system is checked.
[6:24 - 6:29]  So you can go by the tubing system and be like, oh, look, there's a tube with something in it that's
[6:29 - 6:35]  been sitting in the tubing system for a long time. And I'm not saying anybody's lazy, but they're busy.
[6:35 - 6:40]  And shoot, that could be a stat medication that the physician ordered electronically that they want
[6:40 - 6:47]  the patient to be given like rapidly. And believe it or not, a lot of hospitals have protocols where
[6:47 - 6:54]  stat literally means within one hour. So like a lot of doctors don't know that. They're like, oh,
[6:54 - 6:58]  stat, that means they're going to get it right away. No. If the medication is not on the floor,
[6:58 - 7:03]  it has to be tubed from, it has to be filled to the pharmacy, tubed to the floor. The nurse has to
[7:03 - 7:07]  get it out of the tubing system. They got to give it to the patient. And like that oftentimes does not
[7:07 - 7:12]  happen within an hour. So honestly, one of the things that I would do is, is if I ordered something
[7:12 - 7:17]  stat, I would then walk to the pharmacy, be like, I need this filled now. And they would fill it for
[7:17 - 7:22]  me. I would walk it to the nurse on the floor and be like, I just ordered this stat. And typically it
[7:22 - 7:30]  would be like an antibiotic for like a person who like just had their infection identified. And frankly,
[7:30 - 7:33]  their heart rate was kind of high, their blood pressure was kind of low, and they were becoming
[7:33 - 7:37]  septic. And so the sooner you got in those antibiotics, the better. I'd be like, look,
[7:37 - 7:42]  you need to hang this now. Like, unless you got an emergency going on with some other patient,
[7:42 - 7:46]  like I need you to hang this right now. I'd be nice about it. But just know that again,
[7:46 - 7:51]  from a process perspective, there are major breakdowns constantly. Again, it requires the
[7:51 - 7:56]  heroics. I'm not saying I'm a hero, but it requires the heroics of the nurses and the docs and the techs
[7:56 - 8:03]  to constantly make up for these breakdowns in processes at the hospital. All right, moving on.
[8:03 - 8:09]  Patient room, departments, and of course, nutrition, the food. We got to talk about the food. Now,
[8:10 - 8:17]  the important thing about nutrition is the lack of nutrition. What is referred to as NPO, nothing per
[8:17 - 8:26]  oral or none per oral. Patients are kept NPO and cannot eat constantly at the hospital. So you want
[8:26 - 8:29]  to talk about hospitalization? Let me tell you what hospitalization is all about. Hospitalization,
[8:29 - 8:36]  you constantly get interrupted, you can't get any sleep, and you can't eat. And we wonder why
[8:36 - 8:42]  the elderly patients get delirium in the hospital. Okay? So this is not as much of a big deal for younger
[8:42 - 8:49]  patients, but it's very, very common for the elderly to have an altered mental state where they get
[8:49 - 8:57]  confused. And I literally saw a guy once who constantly thought that his call bell was a
[8:57 - 9:02]  fishing pole. And he would literally throw his call bell across the room because he was like casting,
[9:03 - 9:11]  because he thought he was fishing. And oh man, now we're getting spammed. All right, so forget this.
[9:12 - 9:18]  I'm going to try to block this particular user. So I apologize about that. All right. Now,
[9:21 - 9:27]  so just know that people are often hungry and sleep deprived because they're kept NPO for various tests
[9:27 - 9:33]  and procedures. And what happens is, okay, you're testing your procedures in the afternoon. Well,
[9:33 - 9:38]  you're kept NPO after midnight, which means you go from not eating anything, let's say at 8 or 9 PM,
[9:38 - 9:43]  till like three in the afternoon. And it's very common for your test of procedure to get canceled.
[9:43 - 9:48]  So there you go. And you've waited all day and you can't eat. And then like, you got to go through
[9:48 - 9:54]  it all over again because they move it to the next day. So it's miserable.
