Title: Hospital-Insurance Contracting Part 3: Carve-Outs Explained
URL: https://www.youtube.com/watch?v=Fxm70Wr_VbI
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is Hospital Insurance Contracting Part 3. Yes, this is the third part in our series about how hospital systems and insurance carriers negotiate their prices and today's topic is about the carve-out contract term. So, let me take you now to a presentation excerpt about carve-outs. Okay, next up, carve-out. A carve-out is a specific line item for reimbursement within the bill and typically this is used for joint replacements or spine surgeries that use implants like rods and screws or pacemakers, which is a cardiac pacemaker where there's an ICD is an implantable cardiac defibrillator. So, people that have had either heart attacks or have congestive heart failure that's really bad, they'll have an ICD, which is kind of like a pacemaker. It looks like a pacemaker, except what it does is it's kind of like the outside paddles that shocks the heart, but it does it from inside the body and it has sensors inside of the heart so that it knows when the heart goes into an arrhythmia and then it immediately shocks it out, the person out of that arrhythmia without the person knowing or doing anything. Um, and then, well actually they'll know because they'll feel it. Um, but they don't have to do anything for it to happen. It happens automatically. Um, and then also for cardiac stents, so you have a heart attack and they might have carve-outs where the carve-out is there's a line item for the joint itself in the reimbursement methodology. There are line items for the rods and the screws, for each rod, for each screw. There are line items of reimbursement for the pacemaker. There's a line item of reimbursement for each stent. There is a line item of reimbursement for each stent. So let's say here, this is a spine surgery. So at hospital a they'll have builds, build charges of a total new replacement of a 60 grand. Now they have negotiated to, you know, let's say the overall surgery itself has a case rate of 30 grand. Look for the OR, for the nurses time, for the lights, for everything. Um, it is 30 grand that you're going to reimburses, but hospital a has also negotiated a carve-out for 20 grand for the implant itself. So the total reimbursement is the 30 grand case rate plus the 20 grand carve-out or 50 grand. Now, as you can imagine, hospitals really like carve-out negotiations or clauses. Whereas insurance carriers do not like carve-out clauses. Now hospital B for a knee replacement has build charges of 50,000. So it's a little less than hospital a, but it's pretty similar. And at hospital B, they don't have as much negotiating power vis-a-vis the carrier. So they have negotiated a $40,000 case rate reimbursement, which by the way, hospital B thinks that 40 grand is pretty good. They're like, Oh, we're getting a great deal, right? I mean, 40 grand is only 10 grand off of our 50 grand. We're getting a great, great deal, but they didn't get a carve-out for the implant itself. There is no carve-out at hospital B. That's why it says plus zero dollars. So the total reimbursement is just the 40 grand plus the zero or 40 grand total. So again, at which hospital do you have better savings? Well, you would think hospital A because it only has a case rate of 30 grand versus hospital B. It's got a case rate of 40 grand. So if you don't look at the carve-out aspect of that contract, you will completely miss the fact that hospital A is more expensive than hospital B because of the contract. And that is why specifically you'll look at your joint replacements and you will see that at some hospitals, look, a total knee or a total hip is only 25 grand. And at another place, it's 75 grand. And a lot of that difference, it's like a big leap, right? It's not just incrementally more. There's like a big leap more between facilities. And that leap is the specific carve-out for the implant itself. Which by the way, the problem here is, is that with car, and listen, this is, at the end of the day, this probably doesn't happen a lot, but this is where there literally was a cardiologist in Maryland who was put in prison because it was found that he was putting stents in people's hearts in parts of the coronary arteries where there were not significant enough blockages to clinically warrant a stent. And the nurses in the cath lab turned him in and he is in prison now. And so why would a doctor and why would a hospital system want more stents to be put in a heart? Because they would be paid carve-outs for each stent. They might be paid an extra thousand dollars for every single stent that is put in. So that is where you absolutely had a case of financial incentive altering the clinical decision-making of the doctor, such to the point that it was criminal and he was put in prison. So that's an extreme example. I don't want you to think that like all cardiologists think that way. They certainly don't, but that is an example of how carve-outs work specifically for stents. Go to the questions here. Thank you. Mahala, are you going to post this on YouTube? Yes, I'm going to. This is all being recorded and it will, the recording of this will be available on both LinkedIn and on YouTube as well. All right. That concludes our segment about hospital insurance carrier contracting part three, carve-outs. Thank you for watching a healthcare scene.

Detailed segments with timestamps:

[0:01 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic
[0:05 - 0:13]  is Hospital Insurance Contracting Part 3. Yes, this is the third part in our series about
[0:13 - 0:17]  how hospital systems and insurance carriers negotiate their prices and today's topic is
[0:17 - 0:24]  about the carve-out contract term. So, let me take you now to a presentation excerpt
[0:24 - 0:37]  about carve-outs. Okay, next up, carve-out. A carve-out is a specific line item for reimbursement
[0:37 - 0:43]  within the bill and typically this is used for joint replacements or spine surgeries that
[0:43 - 0:49]  use implants like rods and screws or pacemakers, which is a cardiac pacemaker where there's
[0:49 - 0:57]  an ICD is an implantable cardiac defibrillator. So, people that have had either heart attacks
[0:57 - 1:02]  or have congestive heart failure that's really bad, they'll have an ICD, which is kind of like
[1:02 - 1:06]  a pacemaker. It looks like a pacemaker, except what it does is it's kind of like the outside
[1:06 - 1:11]  paddles that shocks the heart, but it does it from inside the body and it has sensors inside
[1:11 - 1:16]  of the heart so that it knows when the heart goes into an arrhythmia and then it immediately
[1:16 - 1:21]  shocks it out, the person out of that arrhythmia without the person knowing or doing anything.
[1:21 - 1:25]  Um, and then, well actually they'll know because they'll feel it. Um, but they don't have to
[1:25 - 1:29]  do anything for it to happen. It happens automatically. Um, and then also for cardiac stents, so you
[1:29 - 1:34]  have a heart attack and they might have carve-outs where the carve-out is there's a line item
[1:34 - 1:42]  for the joint itself in the reimbursement methodology. There are line items for the rods and the screws,
[1:42 - 1:48]  for each rod, for each screw. There are line items of reimbursement for the pacemaker. There's a line
[1:48 - 1:54]  item of reimbursement for each stent. There is a line item of reimbursement for each stent. So let's
[1:54 - 2:01]  say here, this is a spine surgery. So at hospital a they'll have builds, build charges of a total new
[2:01 - 2:09]  replacement of a 60 grand. Now they have negotiated to, you know, let's say the overall surgery itself
[2:09 - 2:15]  has a case rate of 30 grand. Look for the OR, for the nurses time, for the lights, for everything.
[2:16 - 2:22]  Um, it is 30 grand that you're going to reimburses, but hospital a has also negotiated a carve-out
[2:23 - 2:32]  for 20 grand for the implant itself. So the total reimbursement is the 30 grand case rate plus the 20
[2:32 - 2:38]  grand carve-out or 50 grand. Now, as you can imagine, hospitals really like carve-out
[2:38 - 2:46]  negotiations or clauses. Whereas insurance carriers do not like carve-out clauses. Now hospital B
[2:46 - 2:51]  for a knee replacement has build charges of 50,000. So it's a little less than hospital a,
[2:51 - 2:58]  but it's pretty similar. And at hospital B, they don't have as much negotiating power vis-a-vis the
[2:58 - 3:06]  carrier. So they have negotiated a $40,000 case rate reimbursement, which by the way, hospital B thinks
[3:06 - 3:10]  that 40 grand is pretty good. They're like, Oh, we're getting a great deal, right? I mean, 40 grand
[3:10 - 3:14]  is only 10 grand off of our 50 grand. We're getting a great, great deal, but they didn't get a carve-out
[3:14 - 3:22]  for the implant itself. There is no carve-out at hospital B. That's why it says plus zero dollars.
[3:22 - 3:29]  So the total reimbursement is just the 40 grand plus the zero or 40 grand total. So again, at which
[3:29 - 3:36]  hospital do you have better savings? Well, you would think hospital A because it only has a case
[3:36 - 3:41]  rate of 30 grand versus hospital B. It's got a case rate of 40 grand. So if you don't look at the
[3:42 - 3:50]  carve-out aspect of that contract, you will completely miss the fact that hospital A is more expensive than
[3:50 - 3:55]  hospital B because of the contract. And that is why specifically you'll look at your joint replacements
[3:55 - 4:00]  and you will see that at some hospitals, look, a total knee or a total hip is only 25 grand. And
[4:00 - 4:06]  at another place, it's 75 grand. And a lot of that difference, it's like a big leap, right? It's not
[4:06 - 4:13]  just incrementally more. There's like a big leap more between facilities. And that leap is the specific
[4:13 - 4:22]  carve-out for the implant itself. Which by the way, the problem here is, is that with car, and listen,
[4:22 - 4:28]  this is, at the end of the day, this probably doesn't happen a lot, but this is where there
[4:28 - 4:36]  literally was a cardiologist in Maryland who was put in prison because it was found that he was putting
