Title: Hospitals Do Not Know Their Own Costs... Learn Why
URL: https://www.youtube.com/watch?v=BzvalVPUowE
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Here's a dirty little secret that no hospital executive wants you to know. Very few hospitals are actually managing their costs, and that is costing you money. I'm Dr. Eric Bricker, and I'm also a healthcare finance expert. I know how doctors get taken advantage of financially, and that's why I've partnered with KnowMeHealth to share with you what I know. This is Healthcare Uncovered. Doctors, if you receive money from a hospital either because you are an employee or receive a stipend, then you need to know this. Hospitals do not measure their own costs per service. How much does a gallbladder surgery cost at a hospital? Good luck getting a straight answer. How much does a patient in the ER for four hours cost? No one knows. How much does a CT of the abdomen and pelvis cost? They don't know. Most hospitals simply have no idea how much different procedures cost. The business discipline of measuring the cost of a particular service is called activity-based cost accounting. And the majority of hospitals in America don't do it. But you're a doctor. Why do you care? You are getting paid, right? Not so fast. During salary or stipend negotiations between doctors and hospitals, hospitals frequently complain about how little money they have to pay doctors. Part of the reason for this complaint is because hospital management teams don't effectively manage their own costs. And you can't manage what you don't measure. Hospitals are poor managers of their own costs because they don't even attempt to measure them. There are exceptions, however. There are some hospitals that do activity-based cost accounting and they know exactly what it costs to perform a gallbladder surgery or a CT scan. And guess what? These hospitals tend to be far more efficient and financially stable than those that do not. Here's a specific example. The University of Utah does activity-based cost accounting. It knows in detail that one minute in the ER for a patient costs the hospital 82 cents. It knows that one minute in the operating room for an orthopedic surgery costs the hospital $12. And they know these detailed costs for all their services. They know what stuff costs. As a result of measuring their costs, the University of Utah actually became more efficient and lowered their costs, while almost all other academic medical centers saw their own costs rise. And they regularly give raises to their employed doctors. Doctors, you have a choice. You can raise your voice to hospital administrators about their own bloated costs, or you can leave. But you don't have to stay and listen to the same song and dance you hear year after year about there not being enough money. The U.S. spends $4.3 trillion on health care per year. It's almost $13,000 for every man, woman, and child in America. Surely there's enough money. I'm Dr. Eric Bricker, and this is Healthcare Uncovered, where we break down a broken system.

Detailed segments with timestamps:

[0:00 - 0:05]  Here's a dirty little secret that no hospital executive wants you to know.
[0:05 - 0:11]  Very few hospitals are actually managing their costs, and that is costing you money.
[0:15 - 0:18]  I'm Dr. Eric Bricker, and I'm also a healthcare finance expert.
[0:18 - 0:26]  I know how doctors get taken advantage of financially, and that's why I've partnered with KnowMeHealth to share with you what I know.
[0:26 - 0:29]  This is Healthcare Uncovered.
[0:30 - 0:38]  Doctors, if you receive money from a hospital either because you are an employee or receive a stipend, then you need to know this.
[0:38 - 0:43]  Hospitals do not measure their own costs per service.
[0:43 - 0:48]  How much does a gallbladder surgery cost at a hospital? Good luck getting a straight answer.
[0:48 - 0:53]  How much does a patient in the ER for four hours cost? No one knows.
[0:53 - 0:57]  How much does a CT of the abdomen and pelvis cost? They don't know.
[0:57 - 1:01]  Most hospitals simply have no idea how much different procedures cost.
[1:01 - 1:08]  The business discipline of measuring the cost of a particular service is called activity-based cost accounting.
[1:08 - 1:11]  And the majority of hospitals in America don't do it.
[1:11 - 1:17]  But you're a doctor. Why do you care? You are getting paid, right? Not so fast.
[1:17 - 1:27]  During salary or stipend negotiations between doctors and hospitals, hospitals frequently complain about how little money they have to pay doctors.
[1:27 - 1:32]  Part of the reason for this complaint is because hospital management teams don't effectively manage their own costs.
[1:32 - 1:36]  And you can't manage what you don't measure.
[1:36 - 1:40]  Hospitals are poor managers of their own costs because they don't even attempt to measure them.
[1:40 - 1:42]  There are exceptions, however.
[1:42 - 1:51]  There are some hospitals that do activity-based cost accounting and they know exactly what it costs to perform a gallbladder surgery or a CT scan.
[1:51 - 1:58]  And guess what? These hospitals tend to be far more efficient and financially stable than those that do not.
[1:58 - 2:04]  Here's a specific example. The University of Utah does activity-based cost accounting.
[2:04 - 2:10]  It knows in detail that one minute in the ER for a patient costs the hospital 82 cents.
[2:10 - 2:16]  It knows that one minute in the operating room for an orthopedic surgery costs the hospital $12.
[2:16 - 2:22]  And they know these detailed costs for all their services. They know what stuff costs.
[2:22 - 2:29]  As a result of measuring their costs, the University of Utah actually became more efficient and lowered their costs,
[2:29 - 2:34]  while almost all other academic medical centers saw their own costs rise.
[2:34 - 2:37]  And they regularly give raises to their employed doctors.
[2:37 - 2:46]  Doctors, you have a choice. You can raise your voice to hospital administrators about their own bloated costs, or you can leave.
[2:46 - 2:54]  But you don't have to stay and listen to the same song and dance you hear year after year about there not being enough money.
[2:54 - 3:00]  The U.S. spends $4.3 trillion on health care per year.
[3:00 - 3:05]  It's almost $13,000 for every man, woman, and child in America.
[3:05 - 3:08]  Surely there's enough money.
[3:08 - 3:15]  I'm Dr. Eric Bricker, and this is Healthcare Uncovered, where we break down a broken system.
