Title: How Finance Changes Biochemistry and Causes Disease... Metabolical Book Review
URL: https://www.youtube.com/watch?v=K8rdfeaM5uQ
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is the book Metabolical and how finance literally changes our biochemistry to make us sick. Now, Metabolical is the most recent book from Dr. Robert Lustig. Now, I have made previous A Healthcare Z videos about Dr. Robert Lustig's work. He is a retired neuroendocrinologist, pediatric neuroendocrinologist from the University of California at San Francisco. And the most important thing about this book is the fact that Dr. Lustig wrote it after he retired. Okay. So I talked to this investigative journalist once and he said that he loved talking to recently retired people because they knew so much about their industry, but they no longer were tied to a lot of the career risk and financial risk that goes along with having a job because they were retired. They're like, well, I'm kind of my own person and I can say what I really think. And so that's exactly what Dr. Robert Lustig does in this book Metabolical. So just know that anytime anybody in any industry writes a book and they are recently retired, then like we should totally read that. Okay. Cause there's probably a lot of truth in there because I won't get into it today, but there's a lot of people in the insurance world and the hospital world and the physician world, pharmaceutical world, you name it. There's a lot of people who keep quiet. And so if we're going to improve healthcare and improve health for patients, then it's going to take a lot of like recently retired people like Dr. Lustig to no longer be quiet anymore. Okay. So that's super important. Okay. So he's on a mission to fix food. Now I'm going to summarize Metabolical with this flow chart right here. He basically makes the point in his book that, that finance, that the profit motive, that the money has driven the food and agricultural and food processing industry in America to create tons of added sugar in our food supply. And that food supply then leads to then us eating more sugar. And that sugar then results in high levels of insulin and the high levels of insulin in our body are really the culprit of so much disease. So it's not literally the sugar, it's the insulin. And you know, I'm going to do very brief biochemistry lesson here. Okay. So insulin is a hormone. Okay. And what's a hormone? Hormones are what are called transcription factors. So whether it's testosterone or estrogen or insulin, all hormones, what a transcription factor does is it goes into the cell and it goes into the nucleus and it literally turns on and off DNA, it turns on and off genes. So you can think of the DNA like the software and the transcription factor like insulin says, okay, well, what software are you going to run? Are you going to run windows? Are you going to run Excel? Are you going to run PowerPoint? It's all the transcription factors that determine which software gets run at what time. So transcription factors are hugely powerful. And insulin does a ton more than just quote unquote lower blood sugar. And we're going to talk about all the diseases that high levels of insulin cause. So just know that hyperinsulinemia, high levels of insulin is super bad. And there's different things that this book covers to try to address high levels of insulin. Okay. Working backwards. Listen, there's medications that we take to try to lower levels of insulin, right? So like metformin is not only taken by people with diabetes, but also women with polycystic ovarian disease, polycystic ovarian syndrome, it's sometimes called PCOS. Okay. That's a disease of hyperinsulinemia. So they take metformin to try to decrease insulin levels. Okay. Next, we can just like eat less. We can eat less food. We can eat less sugar specifically. Okay. That's how these GLP-1 medications like Ozempic work. Like Ozempic isn't some sort of like magic. It just helps you eat less. Like if you take Ozempic and eat the exact same amount in the exact same way you did before, like it's not, it's not going to help you. Okay. But also other, there's lots of other ways to decrease your sugar intake as well, right? So there's intermittent fasting. There's the keto diet. There's just decreased access to sugary foods, specifically sugary sweetened beverages. So specifically Dr. Lusten talks about a study that they did at UCSF because they used to serve tons of sugar sweetened beverages at the pediatric cafeteria. They're like, holy moly, we're treating kids for all of these metabolic diseases caused by sugar sweetened beverages like soda and Gatorade. And now we're serving it in the cafeteria. Maybe we should stop doing that. So they stopped doing it and they studied it and they found that it, now of course you could bring it from home. They didn't ban it from the hospital. They just didn't sell it in the cafeteria anymore. And what did they find? Consumption of sugar sweetened beverages actually went down and consumption of water went up. So to a certain extent, like now people are going to be like, ah, you can't play food police by the, listen, restricting access absolutely changes behavior when it comes to sugar consumption. Just like restricting access decreases, um, smoke, restricting access to cigarettes reduces smoking. Okay. So just know that potentially for employers, like you might want to restrict access to, and you might want to look at your cafeteria or your vending machines. Um, I know a specifically an employer in Jacksonville, Florida, I mentioned them before. They started making lunch for all, they were, they were an air conditioning and heating company and they provided healthy lunches to all their employees because all their employees were going to 7-Eleven and getting junk food every day for lunch. They're like, we can't have this. So they made them healthy lunches. They had a kitchen at their office and they made healthy lunches for free for all their employees. Okay. So you can decrease your insulin by taking a drug like metformin or you can actually change the amount of sugar that you're eating. Okay. So, or you can do what Robert Lustig is trying to do. He's trying to fix food. He's trying to affect the interchange between the government and the food companies and they're adding sugar to our food supply. That's why I put an asterisk there. That's what Dr. Lustig's working on. And why did they add sugar? Because it increases the palatability of food. Obviously it makes it taste better, but also sugar is an addictive substance. It stimulates dopamine in our brain and it makes us want to eat more. And as a result, Dr. Lustig talks about how the profitability of the food industry is actually much higher than it was in the 1960s. So all this sugar and all this high fructose corn syrup got started adding to food in the 1970s. And he looked at the profitability of food companies in the 1960s versus the profitability of the food companies after they started adding all these sugars in the 1970s. And guess what? It totally worked. When you add a substance that increases palatability and is addictive, it totally boosts your sales and it boosts your profits. And then the food companies did more lobbying and campaign contributions. So the politicians won as well. So they all won and we all lost. Okay. So now what I want to point out here is, so fine, it's like, you're like, okay, diet, I get it. I hear about this ad nauseum, et cetera. But this isn't just about obesity and diabetes, which is typically what's associated with sugar and high levels of insulin. Really what this book does an excellent job of explaining is, now it's a little scientific, but it really explains how high levels of insulin just on their own are so detrimental to our health in so many ways. Specifically, high levels of insulin alone, like you're not, you know, you can be not obese, you can have like not have diabetes and you can still have super high levels of insulin and it will increase inflammation throughout your body. It increases your risk of cancer independent of anything else. Just high insulin on its own increases your risk for cancer, breast cancer, colon cancer, pancreatic cancer, kidney cancer. I could go on. It doubles, it doubles the mortality rate from cancer. Just high levels of insulin on their own. It increases, get this, it increases the risk of cardiovascular disease independent of high cholesterol and diabetes and all these other risk factors. Okay. This was, this independent risk factor of high levels of insulin as its own risk factor for cardiovascular disease was published in a study in the New England Journal of Medicine, like one of the most prominent journals in the world in 1996. We've known about this for almost 30 years. Do you hear about this in the news? Do you hear about this from the heart community? Hyperinsulinemia itself is a risk factor and we've known it for 30 years. So, the book Metabolical by Dr. Robert Lustig is fantastic. I have no connection to him or this book, but I wanted to share this summary with you today. And thank you for watching A Healthcare Z. A cometary. Dr. Robert citrus DR. Dr.�� Brick Will T. psychiatry T. To To

Detailed segments with timestamps:

[0:00 - 0:06]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:06 - 0:17]  the book Metabolical and how finance literally changes our biochemistry to make us sick. Now,
[0:17 - 0:25]  Metabolical is the most recent book from Dr. Robert Lustig. Now, I have made previous A
[0:25 - 0:31]  Healthcare Z videos about Dr. Robert Lustig's work. He is a retired neuroendocrinologist,
[0:31 - 0:36]  pediatric neuroendocrinologist from the University of California at San Francisco. And the most
[0:36 - 0:45]  important thing about this book is the fact that Dr. Lustig wrote it after he retired. Okay. So I
[0:45 - 0:54]  talked to this investigative journalist once and he said that he loved talking to recently retired
[0:54 - 1:01]  people because they knew so much about their industry, but they no longer were tied to a lot
[1:01 - 1:06]  of the career risk and financial risk that goes along with having a job because they were retired.
[1:06 - 1:11]  They're like, well, I'm kind of my own person and I can say what I really think. And so that's exactly
[1:11 - 1:18]  what Dr. Robert Lustig does in this book Metabolical. So just know that anytime anybody in any industry
[1:18 - 1:25]  writes a book and they are recently retired, then like we should totally read that. Okay. Cause there's
[1:25 - 1:32]  probably a lot of truth in there because I won't get into it today, but there's a lot of people in
[1:32 - 1:38]  the insurance world and the hospital world and the physician world, pharmaceutical world, you name it.
[1:38 - 1:44]  There's a lot of people who keep quiet. And so if we're going to improve healthcare and improve health
[1:44 - 1:50]  for patients, then it's going to take a lot of like recently retired people like Dr. Lustig to no
[1:50 - 1:55]  longer be quiet anymore. Okay. So that's super important. Okay. So he's on a mission to fix food.
[1:56 - 2:03]  Now I'm going to summarize Metabolical with this flow chart right here. He basically makes the point
[2:03 - 2:12]  in his book that, that finance, that the profit motive, that the money has driven the food and
[2:12 - 2:21]  agricultural and food processing industry in America to create tons of added sugar in our food supply.
[2:21 - 2:30]  And that food supply then leads to then us eating more sugar. And that sugar then results in high
[2:30 - 2:39]  levels of insulin and the high levels of insulin in our body are really the culprit of so much disease.
[2:39 - 2:45]  So it's not literally the sugar, it's the insulin. And you know, I'm going to do very brief biochemistry
[2:45 - 2:50]  lesson here. Okay. So insulin is a hormone. Okay. And what's a hormone? Hormones are what are called
[2:50 - 2:57]  transcription factors. So whether it's testosterone or estrogen or insulin, all hormones, what a
[2:57 - 3:03]  transcription factor does is it goes into the cell and it goes into the nucleus and it literally
[3:03 - 3:11]  turns on and off DNA, it turns on and off genes. So you can think of the DNA like the software and the
[3:11 - 3:15]  transcription factor like insulin says, okay, well, what software are you going to run? Are you going
[3:15 - 3:20]  to run windows? Are you going to run Excel? Are you going to run PowerPoint? It's all the transcription
[3:20 - 3:28]  factors that determine which software gets run at what time. So transcription factors are hugely powerful.
[3:28 - 3:35]  And insulin does a ton more than just quote unquote lower blood sugar. And we're going to talk about
[3:35 - 3:42]  all the diseases that high levels of insulin cause. So just know that hyperinsulinemia, high levels of
[3:42 - 3:48]  insulin is super bad. And there's different things that this book covers to try to address high levels
[3:48 - 3:53]  of insulin. Okay. Working backwards. Listen, there's medications that we take to try to lower levels of
[3:53 - 3:58]  insulin, right? So like metformin is not only taken by people with diabetes, but also women with
[3:58 - 4:04]  polycystic ovarian disease, polycystic ovarian syndrome, it's sometimes called PCOS. Okay.
[4:04 - 4:10]  That's a disease of hyperinsulinemia. So they take metformin to try to decrease insulin levels. Okay.
[4:10 - 4:18]  Next, we can just like eat less. We can eat less food. We can eat less sugar specifically. Okay.
[4:18 - 4:25]  That's how these GLP-1 medications like Ozempic work. Like Ozempic isn't some sort of like magic.
[4:25 - 4:33]  It just helps you eat less. Like if you take Ozempic and eat the exact same amount in the exact same
[4:33 - 4:39]  way you did before, like it's not, it's not going to help you. Okay. But also other, there's lots of
[4:39 - 4:44]  other ways to decrease your sugar intake as well, right? So there's intermittent fasting. There's
[4:44 - 4:52]  the keto diet. There's just decreased access to sugary foods, specifically sugary sweetened beverages.
[4:52 - 4:58]  So specifically Dr. Lusten talks about a study that they did at UCSF because they used to serve tons of
[4:58 - 5:05]  sugar sweetened beverages at the pediatric cafeteria. They're like, holy moly, we're treating kids for all
[5:05 - 5:11]  of these metabolic diseases caused by sugar sweetened beverages like soda and Gatorade. And now we're
[5:11 - 5:17]  serving it in the cafeteria. Maybe we should stop doing that. So they stopped doing it and they studied it
[5:17 - 5:22]  and they found that it, now of course you could bring it from home. They didn't ban it from the
[5:22 - 5:27]  hospital. They just didn't sell it in the cafeteria anymore. And what did they find? Consumption of
[5:27 - 5:33]  sugar sweetened beverages actually went down and consumption of water went up. So to a certain
[5:33 - 5:38]  extent, like now people are going to be like, ah, you can't play food police by the, listen,
[5:38 - 5:45]  restricting access absolutely changes behavior when it comes to sugar consumption. Just like
[5:45 - 5:52]  restricting access decreases, um, smoke, restricting access to cigarettes reduces smoking. Okay. So just
[5:52 - 5:59]  know that potentially for employers, like you might want to restrict access to, and you might want to
[5:59 - 6:05]  look at your cafeteria or your vending machines. Um, I know a specifically an employer in Jacksonville,
[6:05 - 6:09]  Florida, I mentioned them before. They started making lunch for all, they were, they were an air
[6:09 - 6:15]  conditioning and heating company and they provided healthy lunches to all their employees because all
[6:15 - 6:19]  their employees were going to 7-Eleven and getting junk food every day for lunch. They're like, we can't
[6:19 - 6:24]  have this. So they made them healthy lunches. They had a kitchen at their office and they made healthy
[6:24 - 6:29]  lunches for free for all their employees. Okay. So you can decrease your insulin by taking a drug like
[6:29 - 6:38]  metformin or you can actually change the amount of sugar that you're eating. Okay. So, or you can do
[6:38 - 6:43]  what Robert Lustig is trying to do. He's trying to fix food. He's trying to affect the interchange between
[6:43 - 6:51]  the government and the food companies and they're adding sugar to our food supply. That's why I put an
[6:51 - 6:56]  asterisk there. That's what Dr. Lustig's working on. And why did they add sugar? Because it increases the
[6:56 - 7:01]  palatability of food. Obviously it makes it taste better, but also sugar is an addictive substance.
[7:01 - 7:06]  It stimulates dopamine in our brain and it makes us want to eat more. And as a result, Dr. Lustig
[7:06 - 7:13]  talks about how the profitability of the food industry is actually much higher than it was in the 1960s.
[7:13 - 7:18]  So all this sugar and all this high fructose corn syrup got started adding to food in the 1970s. And he
[7:18 - 7:23]  looked at the profitability of food companies in the 1960s versus the profitability of the food companies
