Title: Independent Physicians Will Win - Introduction to Meroka
URL: https://www.youtube.com/watch?v=SCzh9Bidt14
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and today I'd like to speak with you about why independent physicians will win. Now, independent physicians can provide better patient care, they themselves have more freedom and autonomy, and they can provide patient care at lower cost. Now, conversely, the majority of doctors in America are actually employed by hospitals and private equity firms and insurance companies. That's right, 74% of doctors are employed. They're not independent. So why is that? If independence is so much better, why are so many doctors employed? Well, when doctors graduate from medical school and finish their residency, on average, they have $240,000 of educational debt that they need to pay off. And it's really hard for them to acquire patients. And it's also really hard for them to get paid by insurance companies. And so as a result, they join hospitals and private equity firms and insurance companies so they can get patients and be able to be paid reasonably and then be able to pay back that debt, which is accruing interest. Now, there are catalysts for change. So the pendulum has swung in the direction of physicians being employed. But now it's actually swinging back. And there's four reasons for that. One, the government is actually opposing it. So there are acquisitions of physician practices that the government is like actively opposing and going against both at the federal and the state level. Two, physicians are burnt out. There is incredible job dissatisfaction when they are employed by a hospital or a private equity firm or an insurance company. They don't like it. And then three, there's financial confiscation by the employer. In other words, a lot of the value and a lot of the revenue that the physician is billing and bringing in is essentially being taken away from them. And then finally, fourth, there's a lot of new technology that frankly allows for much more effective revenue cycle management. In other words, billing and getting paid and also that decrease the cost of administration. But a lot of this new technology, frankly, isn't adopted by these employers of physicians because there's such large organizations that they kind of stick with their old systems. So what is a model or a framework for being independent? Well, one is to have skin in the game, not only for yourself as a physician, but also for your nurses and the other employees that work at the independent practice as well. And the structure for that skin in the game is referred to as an ESOP, an employee share ownership program. Now, that provides financial alignment such that you have all the physicians and the nurses and all the other employees working in the same direction for the good of the patients and the good of the practice. Now, there's a new company called Maroka that's actually helping physician practices form ESOPs. And if you'd like to learn more about them, then see the link in the video description below. Thank you for watching.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and today I'd like to speak with you about why independent
[0:05 - 0:12]  physicians will win. Now, independent physicians can provide better patient care, they themselves
[0:12 - 0:19]  have more freedom and autonomy, and they can provide patient care at lower cost. Now, conversely,
[0:20 - 0:26]  the majority of doctors in America are actually employed by hospitals and private equity firms
[0:26 - 0:33]  and insurance companies. That's right, 74% of doctors are employed. They're not independent.
[0:34 - 0:40]  So why is that? If independence is so much better, why are so many doctors employed? Well,
[0:40 - 0:45]  when doctors graduate from medical school and finish their residency, on average, they have
[0:45 - 0:54]  $240,000 of educational debt that they need to pay off. And it's really hard for them to acquire
[0:54 - 1:01]  patients. And it's also really hard for them to get paid by insurance companies. And so as a result,
[1:02 - 1:07]  they join hospitals and private equity firms and insurance companies so they can get patients and
[1:07 - 1:11]  be able to be paid reasonably and then be able to pay back that debt, which is accruing interest.
[1:12 - 1:20]  Now, there are catalysts for change. So the pendulum has swung in the direction of physicians being
[1:20 - 1:27]  employed. But now it's actually swinging back. And there's four reasons for that. One, the government
[1:27 - 1:34]  is actually opposing it. So there are acquisitions of physician practices that the government is like
[1:34 - 1:40]  actively opposing and going against both at the federal and the state level. Two, physicians are
[1:40 - 1:47]  burnt out. There is incredible job dissatisfaction when they are employed by a hospital or a private
[1:47 - 1:55]  equity firm or an insurance company. They don't like it. And then three, there's financial confiscation
[1:55 - 2:02]  by the employer. In other words, a lot of the value and a lot of the revenue that the physician is
[2:02 - 2:09]  billing and bringing in is essentially being taken away from them. And then finally, fourth, there's a lot of
[2:09 - 2:17]  new technology that frankly allows for much more effective revenue cycle management. In other words, billing and
[2:17 - 2:23]  getting paid and also that decrease the cost of administration. But a lot of this new technology,
[2:23 - 2:28]  frankly, isn't adopted by these employers of physicians because there's such large organizations
[2:28 - 2:36]  that they kind of stick with their old systems. So what is a model or a framework for being independent?
[2:36 - 2:43]  Well, one is to have skin in the game, not only for yourself as a physician, but also for your nurses
[2:43 - 2:49]  and the other employees that work at the independent practice as well. And the structure for that skin in
[2:49 - 2:57]  the game is referred to as an ESOP, an employee share ownership program. Now, that provides financial
[2:57 - 3:03]  alignment such that you have all the physicians and the nurses and all the other employees working in
[3:03 - 3:10]  the same direction for the good of the patients and the good of the practice. Now, there's a new company
[3:10 - 3:16]  called Maroka that's actually helping physician practices form ESOPs. And if you'd like to learn
[3:16 - 3:20]  more about them, then see the link in the video description below. Thank you for watching.
