Title: Inpatient Psychiatric Care: Top Diagnoses, Cost, Long Wait Times
URL: https://www.youtube.com/watch?v=DeNe9O3EQac
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is inpatient psychiatric care. Now, this is a very infrequently talked about topic, but it's super important. In fact, 6.7% of all inpatient admissions at hospitals in America are for inpatient psychiatric care. So it's important for us to talk about it. Now, why would a person, because obviously mental health is a huge challenge for many Americans, but why would a person need to be hospitalized for a psychiatric need? Well, the reason is typically because they're a threat either to themselves or to others. What are referred to as suicidal or homicidal ideations or even attempts. Now, what are the psychiatric diagnoses that typically lead to threats of people to themselves or to others? Typically, they fall into two broad categories and those are mood disorders and schizophrenia. Now, examples of mood disorders are things like depression and bipolar disorder. And oftentimes, these people will have suicidal ideations, like have thoughts and a plan for killing themselves. Or maybe they've even tried. And also schizophrenia, which is a mental health condition that you're probably very familiar with, it is not multiple personalities, okay? Literally, having multiple personalities is called multiple personality disorder. It is not schizophrenia. Schizophrenia is characterized by psychosis. And what psychosis is, is a detachment from reality. And so this is, and you can even have depression so bad. It's called depression with psychotic features. So you can be so depressed that you can actually have psychosis. You can be detached from reality. Now, it oftentimes manifests itself as delusions. In other words, thoughts that are not consistent with reality. And also in the form of hallucinations, which can be either visual or auditory, where you see things that are not really there or you hear things that are not really there. Like a tree or a shrub is talking to you. Now, a cost of an inpatient psychiatric stay on average for a commercially insured American is $9,293. And the average length of stay is about one week. Now, that's the allowed amount. That's not billed charges. So it's about $10,000 and a person stays for about one week. Now, there are severe challenges with inpatient psychiatric care in America in that there are too few beds. There's too few hospitals that provide inpatient psychiatric care. And for the hospitals that do provide inpatient psychiatric care, there's not enough beds for the need. Now, there has been a dramatic decrease in the number of psychiatric beds in America over the prior several generations. So back in the 1950s, there was 560,000 inpatient psychiatric beds. These were mostly at state-run hospitals because many people back then were forced to be hospitalized if they had schizophrenia. So the point of this video today is not to debate that issue, but just to say, look, the ratio back then was 337 inpatient beds for every 100,000 in the population. Whereas today, there's only about 101,000 inpatient psychiatric beds in all of America. Obviously, the population of America is much larger now back than it was in the 1950s. And so the number of inpatient psychiatric beds is one-tenth of what it used to be. There's only 30 inpatient psychiatric beds for every 100,000 Americans, where it used to be 337. So it's less than 10% of the number of psychiatric beds. And the problem is, is that not only is it low, it's too low. And it's too low, not only, mainly, like, you know, you can turn a unit within a hospital in a relatively straightforward way into a psychiatric unit. Oftentimes, the issue is the staff. So you need the psychiatric nurses, you need the psychiatrists, you need the medical assistants and the clerks, et cetera, et cetera. Now, psychiatric nurses are amazing people. Now, oftentimes, psychiatric nurses need to be large men. Because when people are detached from reality in psychosis, sometimes they can lash out and become violent against themselves or violent against other people. And when I did my inpatient psychiatry rotations in medical school, the psych ward did not have security within the ward. So they would use the staff and the nurses to address any sort of altercation that either between the patients and the staff or among the patients. In fact, literally, on my first day of my inpatient psychiatry rotation, our attending psychiatrist was attacked by a patient. Now, we didn't see it. We were not in the same room with him. But they have a protocol where they tell everybody to go into the nurses' station. And the nurses' stations for psychiatry units typically are completely walled off. This one had the glass walls that had sort of the chicken wire sort of impregnated in it so that if anything was banged against the glass, even if it shattered, the person could not get in through the wiring that was inside of the glass. So the protocol was for everybody to go in and they called security, but it took like five minutes for security to get there. And a lot can happen in five minutes. And so fortunately, the attending was fairly large and strong himself. And the nurses and the other staff of large men were able to control the patient until the staff got there. And so, I mean, it's a very challenging job. Now, look, it's incredibly important for inpatient psychiatric care, really all psychiatric care, is to separate the person's behavior and their thoughts from the person themselves. I mean, these are not bad people. They're sick. They have a disease, whether it be depression or bipolar disorder, I mean, schizophrenia, what have you? They have a disease. And our psychiatrist did a great job of teaching us of like, and really through his example of like, not getting mad at these patients. And they would say all sorts of things that might be considered, you know, rude or just downright mean and nasty, or like, you know, spit. I mean, all sorts of stuff that you could be like, well, you know, that's not the right thing to do. That's not very nice. I feel disrespected. And the psychiatry attending was like, no, no, these people are sick. You wouldn't get mad at somebody if they had cancer. So, like, there's, it makes no sense to get mad at somebody with a, with a, with a, with a psychiatric care. Now, now, in me talking to you here on this video, that's sort of easy to quote unquote conceptualize. But you're, when you're right there in the moment, it's a little harder. You kind of get this like, reaction in your gut where it's like, hey, like, it's not okay to say that. And so you have to really, you know, you know, learn through, you know, repeated, you know, professional experiences, etc. To really separate the patient from their thoughts and their behavior. And so, same thing for the nurses and the staff and everybody. So, you know, my point of telling the story is, is that at Mass General Brigham, they actually have across their hospital system, they actually have 600 psychiatric beds, but a hundred of them are closed due to lack of staff. And specifically in Massachusetts, that causes huge problems with the wait times for psychiatric care. So, there's a story of one patient where she had to wait two weeks for inpatient psychiatric care. These people do not wait at home because they have suicidal or homicidal ideations. They need to be hospitalized. And oftentimes they're literally kept on a gurney in the emergency room for like two weeks. Or sometimes they're given like a medical surgical bed in the inpatient floor. So, in fact, in Massachusetts, they, across 50 hospitals in their state, they had 559 borders that were waiting for inpatient psychiatric care. And across those 50 hospitals where these 559 borders were located, it represented 20% of the inpatient bed, inpatient and ER beds. The point is, is that the backup of these patients, not only was it horrible for them to not be able to get the inpatient psychiatric care they needed, but also they were taking up space in the ER and for inpatient beds that might be necessary for things like COVID or for cancer surgery, etc, etc. So, there was a real problem in Massachusetts. And I'm not picking on Massachusetts. This is true across the country. Where the hospital had the beds, but they couldn't staff them. And so, therefore, it hurt the patients and it hurt the flow of other patients through the hospital. Now, the question then becomes, why are there so few psychiatric beds? Why are there not enough psychiatric beds? Why aren't they staffing enough psychiatric beds? Well, the reason is, is because psychiatric care in the inpatient setting is very poorly reimbursed. And by very poorly reimbursed, meaning that it doesn't cover the cost of inpatient psychiatric care. So, one example for a hospital that was interviewed in San Diego said, look, this hospital executive said that they lose 34% on every single inpatient psychiatric admission that they take. Where they get paid about $1,024. And typically, people with psychiatric diagnosis are either self-pay, don't pay at all. The hospital might get a stipend or lump sum payments from the city or the county. A lot of times they're also covered by Medicaid as well. So, it's a combination of Medicaid payments as well. Where the cost, they get reimbursed $1,024. But on average, it costs them about $1,500 to take care of them. So, they're losing money. So, they look at their different departments or service lines, as they call them. At orthopedics and oncology and psychiatry. And they look at their psychiatry services and they're like, well, we need to decrease our psychiatry services or even eliminate our psychiatry services. Because we're losing so much money on them. Now, this brings me to my final point. At Johns Hopkins, I was fortunate enough when I was there as a resident to be able to hear the CEO speak to kind of a small group of people. I was kind of standing off to this side. It was kind of just like a circle of like eight or nine people listening to this CEO. He was a radiologist. And he said something that I thought was very interesting. He said, principles aren't principles until they cost you money. Right? A principle requires sacrifice to prove that it's a principle. So, taking care of psychiatric patients is very difficult. You listen, you ask any psychiatrist or any psychiatric nurse, like it's really hard. And not a lot of people want to do it. So, I mean, just like the law of supply and demand, like you're probably going to have to pay them more to get them to do it. Or you might have to pay a traveling psychiatry nurse if you're not able to staff your psychiatry unit because you're short on nurses. Okay, fine. So, one particular hospital, because they were facing these economic pressures, they reduced, as part of a very large hospital system, but one particular hospital within that hospital system, they reduced their inpatient adult psychiatric beds from 54 to 16, and they reduced their child psychiatry beds from 17 to 9, while at the same time they started a $1 billion private equity fund. So, like they could have used maybe some of the money from that private equity fund to keep it at 54, or maybe even expand the number of beds. You know, likewise, Mass General, again, I'm not picking on Mass General Brigham, but they're doing a $2 billion building campaign. I mean, they could take some of that $2 billion and go out and hire the nurses to open up those 100 beds that they've got closed right now. So, it's really a question of principles and priorities. And this hospital system down here, their mission statement is to provide service to all people with special attention paid to those who are poor and vulnerable. Well, listen, psychiatric patients are oftentimes poor and vulnerable. So, if they are in keeping with the hospital's mission statement, well then, it seems to me not necessarily the case that they are prioritizing their budget in keeping with their mission. And so, the reason I bring up that final point is because inpatient psychiatric stays are a perfect example of that Andrew Carnegie adage that I've said before, which is, don't listen to what people say, watch what they do. So, people say, well, healthcare is under, you know, it's confusing. Who knew it was so confusing? Healthcare becomes much less confusing and it becomes much more clear when instead of listening to what people say or to what, you know, mission statements on websites, instead to watch what people within healthcare do and you get a much better understanding of what's going on. And that's my point for today. Thank you for watching a Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z.
[0:05 - 0:09]  Today's topic is inpatient psychiatric care.
[0:09 - 0:15]  Now, this is a very infrequently talked about topic, but it's super important.
[0:15 - 0:23]  In fact, 6.7% of all inpatient admissions at hospitals in America are for inpatient psychiatric care.
[0:23 - 0:25]  So it's important for us to talk about it.
[0:25 - 0:30]  Now, why would a person, because obviously mental health is a huge challenge for many Americans,
[0:30 - 0:35]  but why would a person need to be hospitalized for a psychiatric need?
[0:35 - 0:39]  Well, the reason is typically because they're a threat either to themselves or to others.
[0:39 - 0:44]  What are referred to as suicidal or homicidal ideations or even attempts.
[0:44 - 0:52]  Now, what are the psychiatric diagnoses that typically lead to threats of people to themselves or to others?
[0:52 - 0:57]  Typically, they fall into two broad categories and those are mood disorders and schizophrenia.
[0:57 - 1:01]  Now, examples of mood disorders are things like depression and bipolar disorder.
[1:01 - 1:07]  And oftentimes, these people will have suicidal ideations, like have thoughts and a plan for killing themselves.
[1:07 - 1:09]  Or maybe they've even tried.
[1:09 - 1:16]  And also schizophrenia, which is a mental health condition that you're probably very familiar with,
[1:16 - 1:18]  it is not multiple personalities, okay?
[1:18 - 1:22]  Literally, having multiple personalities is called multiple personality disorder.
[1:22 - 1:23]  It is not schizophrenia.
[1:23 - 1:26]  Schizophrenia is characterized by psychosis.
[1:26 - 1:31]  And what psychosis is, is a detachment from reality.
[1:31 - 1:34]  And so this is, and you can even have depression so bad.
[1:34 - 1:36]  It's called depression with psychotic features.
[1:36 - 1:38]  So you can be so depressed that you can actually have psychosis.
[1:38 - 1:40]  You can be detached from reality.
[1:40 - 1:43]  Now, it oftentimes manifests itself as delusions.
[1:43 - 1:47]  In other words, thoughts that are not consistent with reality.
[1:47 - 1:52]  And also in the form of hallucinations, which can be either visual or auditory,
[1:52 - 1:57]  where you see things that are not really there or you hear things that are not really there.
[1:57 - 2:00]  Like a tree or a shrub is talking to you.
[2:00 - 2:10]  Now, a cost of an inpatient psychiatric stay on average for a commercially insured American is $9,293.
[2:10 - 2:14]  And the average length of stay is about one week.
[2:14 - 2:15]  Now, that's the allowed amount.
[2:15 - 2:16]  That's not billed charges.
[2:16 - 2:20]  So it's about $10,000 and a person stays for about one week.
[2:20 - 2:29]  Now, there are severe challenges with inpatient psychiatric care in America in that there are too few beds.
[2:29 - 2:33]  There's too few hospitals that provide inpatient psychiatric care.
[2:33 - 2:39]  And for the hospitals that do provide inpatient psychiatric care, there's not enough beds for the need.
[2:39 - 2:46]  Now, there has been a dramatic decrease in the number of psychiatric beds in America over the prior several generations.
[2:46 - 2:51]  So back in the 1950s, there was 560,000 inpatient psychiatric beds.
[2:51 - 3:01]  These were mostly at state-run hospitals because many people back then were forced to be hospitalized if they had schizophrenia.
[3:01 - 3:12]  So the point of this video today is not to debate that issue, but just to say, look, the ratio back then was 337 inpatient beds for every 100,000 in the population.
[3:12 - 3:18]  Whereas today, there's only about 101,000 inpatient psychiatric beds in all of America.
[3:18 - 3:23]  Obviously, the population of America is much larger now back than it was in the 1950s.
[3:23 - 3:31]  And so the number of inpatient psychiatric beds is one-tenth of what it used to be.
[3:31 - 3:38]  There's only 30 inpatient psychiatric beds for every 100,000 Americans, where it used to be 337.
[3:38 - 3:42]  So it's less than 10% of the number of psychiatric beds.
[3:42 - 3:47]  And the problem is, is that not only is it low, it's too low.
[3:47 - 3:59]  And it's too low, not only, mainly, like, you know, you can turn a unit within a hospital in a relatively straightforward way into a psychiatric unit.
[3:59 - 4:01]  Oftentimes, the issue is the staff.
[4:01 - 4:10]  So you need the psychiatric nurses, you need the psychiatrists, you need the medical assistants and the clerks, et cetera, et cetera.
[4:10 - 4:14]  Now, psychiatric nurses are amazing people.
[4:14 - 4:19]  Now, oftentimes, psychiatric nurses need to be large men.
[4:19 - 4:27]  Because when people are detached from reality in psychosis, sometimes they can lash out and become violent against themselves or violent against other people.
[4:27 - 4:35]  And when I did my inpatient psychiatry rotations in medical school, the psych ward did not have security within the ward.
[4:35 - 4:45]  So they would use the staff and the nurses to address any sort of altercation that either between the patients and the staff or among the patients.
[4:45 - 4:55]  In fact, literally, on my first day of my inpatient psychiatry rotation, our attending psychiatrist was attacked by a patient.
[4:55 - 4:57]  Now, we didn't see it. We were not in the same room with him.
[4:57 - 5:00]  But they have a protocol where they tell everybody to go into the nurses' station.
[5:00 - 5:06]  And the nurses' stations for psychiatry units typically are completely walled off.
[5:06 - 5:16]  This one had the glass walls that had sort of the chicken wire sort of impregnated in it so that if anything was banged against the glass,
[5:16 - 5:22]  even if it shattered, the person could not get in through the wiring that was inside of the glass.
[5:22 - 5:29]  So the protocol was for everybody to go in and they called security, but it took like five minutes for security to get there.
[5:29 - 5:31]  And a lot can happen in five minutes.
[5:31 - 5:37]  And so fortunately, the attending was fairly large and strong himself.
[5:37 - 5:47]  And the nurses and the other staff of large men were able to control the patient until the staff got there.
[5:47 - 5:49]  And so, I mean, it's a very challenging job.
[5:49 - 5:54]  Now, look, it's incredibly important for inpatient psychiatric care, really all psychiatric care,
[5:54 - 5:58]  is to separate the person's behavior and their thoughts from the person themselves.
[5:58 - 6:01]  I mean, these are not bad people. They're sick.
[6:01 - 6:06]  They have a disease, whether it be depression or bipolar disorder, I mean, schizophrenia, what have you?
[6:06 - 6:07]  They have a disease.
[6:07 - 6:13]  And our psychiatrist did a great job of teaching us of like, and really through his example of like,
[6:13 - 6:15]  not getting mad at these patients.
[6:15 - 6:22]  And they would say all sorts of things that might be considered, you know, rude or just downright mean and nasty,
[6:22 - 6:25]  or like, you know, spit.
[6:25 - 6:29]  I mean, all sorts of stuff that you could be like, well, you know, that's not the right thing to do.
[6:29 - 6:30]  That's not very nice.
[6:30 - 6:31]  I feel disrespected.
[6:31 - 6:35]  And the psychiatry attending was like, no, no, these people are sick.
[6:35 - 6:38]  You wouldn't get mad at somebody if they had cancer.
[6:38 - 6:42]  So, like, there's, it makes no sense to get mad at somebody with a, with a, with a, with a psychiatric care.
[6:42 - 6:47]  Now, now, in me talking to you here on this video, that's sort of easy to quote unquote conceptualize.
[6:47 - 6:51]  But you're, when you're right there in the moment, it's a little harder.
[6:51 - 6:57]  You kind of get this like, reaction in your gut where it's like, hey, like, it's not okay to say that.
[6:57 - 7:04]  And so you have to really, you know, you know, learn through, you know, repeated, you know, professional experiences, etc.
[7:04 - 7:09]  To really separate the patient from their thoughts and their behavior.
[7:09 - 7:11]  And so, same thing for the nurses and the staff and everybody.
[7:11 - 7:20]  So, you know, my point of telling the story is, is that at Mass General Brigham, they actually have across their hospital system,
[7:20 - 7:26]  they actually have 600 psychiatric beds, but a hundred of them are closed due to lack of staff.
[7:26 - 7:32]  And specifically in Massachusetts, that causes huge problems with the wait times for psychiatric care.
[7:32 - 7:38]  So, there's a story of one patient where she had to wait two weeks for inpatient psychiatric care.
[7:38 - 7:42]  These people do not wait at home because they have suicidal or homicidal ideations.
[7:42 - 7:44]  They need to be hospitalized.
[7:44 - 7:48]  And oftentimes they're literally kept on a gurney in the emergency room for like two weeks.
[7:48 - 7:52]  Or sometimes they're given like a medical surgical bed in the inpatient floor.
[7:52 - 8:01]  So, in fact, in Massachusetts, they, across 50 hospitals in their state, they had 559 borders that were waiting for inpatient psychiatric care.
[8:01 - 8:13]  And across those 50 hospitals where these 559 borders were located, it represented 20% of the inpatient bed, inpatient and ER beds.
[8:13 - 8:19]  The point is, is that the backup of these patients, not only was it horrible for them to not be able to get the inpatient psychiatric care they needed,
[8:19 - 8:31]  but also they were taking up space in the ER and for inpatient beds that might be necessary for things like COVID or for cancer surgery, etc, etc.
[8:31 - 8:33]  So, there was a real problem in Massachusetts.
[8:33 - 8:35]  And I'm not picking on Massachusetts.
[8:35 - 8:37]  This is true across the country.
[8:37 - 8:43]  Where the hospital had the beds, but they couldn't staff them.
[8:43 - 8:49]  And so, therefore, it hurt the patients and it hurt the flow of other patients through the hospital.
[8:49 - 8:55]  Now, the question then becomes, why are there so few psychiatric beds?
[8:55 - 8:57]  Why are there not enough psychiatric beds?
[8:57 - 9:00]  Why aren't they staffing enough psychiatric beds?
[9:00 - 9:06]  Well, the reason is, is because psychiatric care in the inpatient setting is very poorly reimbursed.
