Title: Kaiser Permanente Success Factors: Unique in the Healthcare Industry
URL: https://www.youtube.com/watch?v=M-YgihI3XH0
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is Kaiser Permanente Success Factors and they are unique. Now if we're going to talk about healthcare finance we have to know about the Kaiser Permanente Health System. Now it has 12 million members and as many of you already know it is a combination of a health insurance company, a health plan that collects premium and they have the doctors and the hospitals and the clinics and the nurses so they actually deliver care as well. So they are truly a fully integrated healthcare system. Now they've got 22,000 doctors, they have 211,000 employees total, they've got 39 hospitals, they have 680 doctors offices, they are obviously as many of you know mostly in California but they're also heavily in Washington State and Oregon, they're also in Colorado, they're also in Georgia and the Atlanta area and then they're also in the Washington DC metro area in Maryland and Northern Virginia as well. Now there's a fantastic slide presentation that gives an overview of the entire Kaiser Permanente Health System. I will leave a link to it in the show notes. One of the things that really struck me were the success factors of Kaiser Permanente that they list themselves and as I was looking at them they really struck me as unique for an integrated health plan and hospital system. Now number one, they have a clear agreed upon mission and the key word here is agreed upon by the administration, by the doctors, by the nurses, by the support staff, by everybody else. Okay and what is that agreed upon mission? High quality, affordable health care for the improvement of health of their patients and their communities. With the key word there being affordable. If you look at the missions of many of the major health care systems in America, nowhere at all do you find the word affordable ever. Whether it be profit or non-profit. Okay so that is unique they realize that they need and forget about being affordable, let's just call being good stewards right. So they just say being good stewards is part of their mission and they agree upon that. Okay number two, what is also unique? Clinical leadership. In other words, the docs and the nurses, they lead. They lead. What is that? That's the Mayo model right. One of the keys to Mayo's success is clinical leadership as well. Okay not like other hospitals right. We've talked about how, and I'll leave a link to it in the show notes, how the boards of directors of most of their hospitals, they don't have hardly any clinicians on it. Most, a lot of the administrative staff that like are the executive c-suite, not clinicians at all. So arguably that is unique among Kaiser and having this clinical leadership. Okay next up aligned structure and incentives. Again they own a health plan. They are capitated. Okay they are aligned as opposed to you might have a doctor that has one particular goal, but you might have a nurse with a different goal. You might have a CFO with yet another goal right. That it is the goal of many of the constituents within the hospital to increase the hospital's revenue as much as possible as I have displayed in many A Healthcare Z videos. Okay because Kaiser is collecting premium and has to compete on the insurance market for premiums for individuals and employers, they're not trying to jack up the cost of healthcare as much as humanly possible. They have aligned incentives with the marketplace and their patients and their customers, the employers. Okay next up integrated technology. Believe it or not across the entire cost permanent health system, they have a hundred percent EMR access. That means that if you go into the emergency room, if you go into a clinic, if you talk to a doctor or nurse on the phone, they all have access to the same electronic medical record information. Okay at most other health systems that is not true. Even if it is all under one like name, a lot of times they use, sometimes they use dozens of different electronic medical record systems that do not always talk to each other because these health systems have grown by acquisition and they haven't necessarily integrated their EMRs. I can tell you even at Hopkins when I was there, the main hospital EMR had no connection whatsoever to the clinic EMRs. They were made by two completely separate companies. Now they may have fixed that, but even at a huge place like Hopkins, that was a huge deal. That is what they're committed to. That is a key to their success. Now they have another key to success, which is measurement, constant improvement. I think that's probably pretty consistent across other hospitals as well. Okay fine, let's judge the tree by its fruit. What are the results? Okay, Kaiser Permanente is the highest rated health plan by members in America, according to J.D. Powers. Okay, it is the highest rated health plan in America for commercially insured people. Okay, now they are in the 85th percentile, as measured by HEDIS scores, and that's another conversation for another day, for diabetes care. They are in the 91st percentile for cardiovascular care. They are in the 89th. So in terms of like actual care, you are like, oh, well they are just skimping on care. That's how they are making money, right? Is by skimping on care. Look, they are way above the 50th percentile. They are way above average. Okay, so if they were really trying to collect premium and skimp on care, would they really be the 85th percentile and the 91st percentile? Probably not. Okay, 89th percentile for cervical cancer screening, 83rd percentile for colon cancer screening. Again, well above the average or median 50th percentile for preventive care. So my point for today is that if we are concerned about health care finance, and we are concerned about horizontal and vertical integration across health care, where here is an example of potentially where vertical integration has done right in Kaiser. And thank you for watching A Healthcare Seed.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:05 - 0:12]  Kaiser Permanente Success Factors and they are unique. Now if we're going to talk about
[0:12 - 0:19]  healthcare finance we have to know about the Kaiser Permanente Health System. Now it has 12
[0:19 - 0:25]  million members and as many of you already know it is a combination of a health insurance company,
[0:25 - 0:30]  a health plan that collects premium and they have the doctors and the hospitals and the clinics and
[0:30 - 0:35]  the nurses so they actually deliver care as well. So they are truly a fully integrated healthcare
[0:35 - 0:44]  system. Now they've got 22,000 doctors, they have 211,000 employees total, they've got 39 hospitals,
[0:44 - 0:53]  they have 680 doctors offices, they are obviously as many of you know mostly in California but they're
[0:53 - 0:59]  also heavily in Washington State and Oregon, they're also in Colorado, they're also in Georgia and the
[0:59 - 1:05]  Atlanta area and then they're also in the Washington DC metro area in Maryland and Northern Virginia as
[1:05 - 1:11]  well. Now there's a fantastic slide presentation that gives an overview of the entire Kaiser Permanente
[1:11 - 1:15]  Health System. I will leave a link to it in the show notes. One of the things that really struck me
[1:15 - 1:21]  were the success factors of Kaiser Permanente that they list themselves and as I was looking at them
[1:21 - 1:31]  they really struck me as unique for an integrated health plan and hospital system. Now number one,
[1:32 - 1:39]  they have a clear agreed upon mission and the key word here is agreed upon by the administration,
[1:39 - 1:44]  by the doctors, by the nurses, by the support staff, by everybody else. Okay and what is that agreed upon
[1:44 - 1:53]  mission? High quality, affordable health care for the improvement of health of their patients and their
[1:53 - 2:00]  communities. With the key word there being affordable. If you look at the missions of many of the major
[2:00 - 2:09]  health care systems in America, nowhere at all do you find the word affordable ever. Whether it be profit or
[2:09 - 2:15]  non-profit. Okay so that is unique they realize that they need and forget about being affordable,
[2:15 - 2:21]  let's just call being good stewards right. So they just say being good stewards is part of their mission
[2:21 - 2:27]  and they agree upon that. Okay number two, what is also unique? Clinical leadership. In other words,
[2:27 - 2:35]  the docs and the nurses, they lead. They lead. What is that? That's the Mayo model right. One of the keys to
[2:35 - 2:40]  Mayo's success is clinical leadership as well. Okay not like other hospitals right. We've talked about
[2:40 - 2:45]  how, and I'll leave a link to it in the show notes, how the boards of directors of most of their hospitals,
[2:45 - 2:50]  they don't have hardly any clinicians on it. Most, a lot of the administrative staff that like are the
[2:50 - 2:58]  executive c-suite, not clinicians at all. So arguably that is unique among Kaiser and having this clinical
[2:58 - 3:07]  leadership. Okay next up aligned structure and incentives. Again they own a health plan. They are
[3:07 - 3:18]  capitated. Okay they are aligned as opposed to you might have a doctor that has one particular goal,
[3:18 - 3:25]  but you might have a nurse with a different goal. You might have a CFO with yet another goal right.
[3:25 - 3:33]  That it is the goal of many of the constituents within the hospital to increase the hospital's
[3:33 - 3:41]  revenue as much as possible as I have displayed in many A Healthcare Z videos. Okay because Kaiser
[3:41 - 3:46]  is collecting premium and has to compete on the insurance market for premiums for individuals and
[3:46 - 3:52]  employers, they're not trying to jack up the cost of healthcare as much as humanly possible. They have
[3:52 - 3:59]  aligned incentives with the marketplace and their patients and their customers, the employers. Okay
[3:59 - 4:04]  next up integrated technology. Believe it or not across the entire cost permanent health system,
[4:04 - 4:09]  they have a hundred percent EMR access. That means that if you go into the emergency room, if you go into
[4:09 - 4:14]  a clinic, if you talk to a doctor or nurse on the phone, they all have access to the same electronic
[4:14 - 4:21]  medical record information. Okay at most other health systems that is not true. Even if it is all under one
[4:21 - 4:28]  like name, a lot of times they use, sometimes they use dozens of different electronic medical
[4:28 - 4:31]  record systems that do not always talk to each other because these health systems have grown by
[4:31 - 4:37]  acquisition and they haven't necessarily integrated their EMRs. I can tell you even at Hopkins when I was there,
[4:38 - 4:44]  the main hospital EMR had no connection whatsoever to the clinic EMRs. They were made by two completely
[4:44 - 4:48]  separate companies. Now they may have fixed that, but even at a huge place like Hopkins, that was a huge deal.
[4:48 - 4:52]  That is what they're committed to. That is a key to their success. Now they have another key to success,
[4:52 - 4:56]  which is measurement, constant improvement. I think that's probably pretty consistent across other
