Title: MCG Care Guidelines Sets Rules for Prior Authorization
URL: https://www.youtube.com/watch?v=4KOGZg2s8cI
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today we're going to be discussing the Milliman Care Guidelines. So many of you are familiar with the large actuarial for Milliman, but we're going to specifically talk about the Milliman Care Guidelines. Okay, but in order to talk about the Milliman Care Guidelines, we first have to talk about medical policy. Okay, so medical policy is a specific insurance term and it's used by the carriers and what it means is it's used for determination if medical care is effective or medically necessary. Okay, so medical policy determines if medical care is effective or medically necessary. Why is that important? Because ineffective, in other words, unproven or experimental care is and not medically necessary care is typically not covered. In other words, medical policy is the source of denials. This is where the denials come from. They come from the medical policy. It's the fine print in your insurance policy, either on paper or online when you look at it. Okay, great. Medical policy is administered in conjunction with Milliman Care Guidelines. Okay, this is where we get to Milliman. Okay, oftentimes just referred to as MCG Care Guidelines. If you look at the carriers' websites, they'll call them MCG Care Guidelines. Okay, wonderful. Now, what is the history of the Milliman Care Guidelines? Okay, Milliman Care Guidelines was a subsidiary of Milliman, but now it's owned by Hurst Health. Okay, and it was bought and transferred from Milliman over to Hurst in 2012 when Hurst bought them. Okay, fantastic. Now, a little bit more background about how pervasive these Milliman Care Guidelines are. They're used by the eight largest health plans in America. Not seven out of the eight, eight out of the eight largest. Okay, they're used by 1900 hospitals. Oh, by the way, that's the majority of hospitals in America. It's used by Medicare honors. In other words, most of Medicare uses the MCG Care Guidelines. Okay, interesting. They impact, according to their own website, they impact 208 million covered lives. Okay, that's also known as like almost two-thirds of America. Okay, 85% of all discharges in some way, shape, or form are related to the Milliman Care Guidelines. Wow, that is powerful. All right, so if it's so powerful, who in the world are these Hurst people that own it? Okay, Hurst Health is owned by Hurst, right? As in like William Randolph Hurst, as in the famous newspaper guy from the 1800s, as in like the Patty Hurst thing from the 1970s. Okay, they have 10 billion in revenue. It's owned by the Hurst family. It's like 67 people that like collectively own Hurst. Okay, they got 10 billion in revenue. It's the 24th largest privately owned company in America. They own 360 businesses, right? So it's a huge media company. It owns the Houston Chronicle, the San Francisco Chronicle. They own a bunch of magazines like Cosmo. They own a bunch of local TV stations. They own cable networks like A&E and the History Channel. They own Fitch, which is a rating agency like Moody's or Standard & Poor's for like bond ratings. So, okay, what is my point for you today? The point is, is that medical policy for most of America is created in conjunction with a single source. And that single source is Hurst. That single source, Hurst, also owns major news and media outlets. So, does that create a conflict in terms of like reporting on the middleman care guidelines? Like, would the Houston Chronicle or the San Francisco Chronicle actually report on it? I don't know. I'll leave that up to you to decide. Okay, is there disclosure when these media outlets report on healthcare? Do they disclose that they are owned by the same company that owns the rule book for over two-thirds of Americans? Okay. And then lastly, look, healthcare coverage and payment determination is already highly centralized. It's already highly centralized. In this world we live in today, where we talk about Medicare for all, we already have highly centralized rules. We already have it. I'm not here to debate Medicare for all or not. I'm just saying, in terms of the centralization of healthcare decision making for two-thirds of Americans, eight of the largest carriers, 1900 hospitals, we already have it. And that's my point for today. Thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today we're
[0:05 - 0:11]  going to be discussing the Milliman Care Guidelines. So many of you are familiar with the large
[0:11 - 0:14]  actuarial for Milliman, but we're going to specifically talk about the Milliman Care
[0:14 - 0:17]  Guidelines. Okay, but in order to talk about the Milliman Care Guidelines, we first have
[0:17 - 0:23]  to talk about medical policy. Okay, so medical policy is a specific insurance term and it's
[0:23 - 0:29]  used by the carriers and what it means is it's used for determination if medical care
[0:29 - 0:34]  is effective or medically necessary. Okay, so medical policy determines if medical care
[0:34 - 0:40]  is effective or medically necessary. Why is that important? Because ineffective, in other
[0:40 - 0:47]  words, unproven or experimental care is and not medically necessary care is typically not
[0:47 - 0:53]  covered. In other words, medical policy is the source of denials. This is where the denials
[0:53 - 0:57]  come from. They come from the medical policy. It's the fine print in your insurance policy,
[0:57 - 1:05]  either on paper or online when you look at it. Okay, great. Medical policy is administered
[1:05 - 1:09]  in conjunction with Milliman Care Guidelines. Okay, this is where we get to Milliman. Okay,
[1:10 - 1:14]  oftentimes just referred to as MCG Care Guidelines. If you look at the carriers' websites, they'll
[1:14 - 1:20]  call them MCG Care Guidelines. Okay, wonderful. Now, what is the history of the Milliman Care Guidelines?
[1:20 - 1:27]  Okay, Milliman Care Guidelines was a subsidiary of Milliman, but now it's owned by Hurst Health. Okay,
[1:27 - 1:34]  and it was bought and transferred from Milliman over to Hurst in 2012 when Hurst bought them. Okay,
[1:34 - 1:41]  fantastic. Now, a little bit more background about how pervasive these Milliman Care Guidelines are.
[1:41 - 1:48]  They're used by the eight largest health plans in America. Not seven out of the eight, eight out of
[1:48 - 1:54]  the eight largest. Okay, they're used by 1900 hospitals. Oh, by the way, that's the majority of
[1:54 - 2:01]  hospitals in America. It's used by Medicare honors. In other words, most of Medicare uses the MCG Care
[2:01 - 2:07]  Guidelines. Okay, interesting. They impact, according to their own website, they impact 208 million covered
[2:07 - 2:16]  lives. Okay, that's also known as like almost two-thirds of America. Okay, 85% of all discharges
[2:16 - 2:23]  in some way, shape, or form are related to the Milliman Care Guidelines. Wow, that is powerful.
[2:24 - 2:29]  All right, so if it's so powerful, who in the world are these Hurst people that own it? Okay,
[2:30 - 2:34]  Hurst Health is owned by Hurst, right? As in like William Randolph Hurst, as in the famous newspaper guy
[2:34 - 2:44]  from the 1800s, as in like the Patty Hurst thing from the 1970s. Okay, they have 10 billion in
[2:44 - 2:50]  revenue. It's owned by the Hurst family. It's like 67 people that like collectively own Hurst. Okay,
[2:50 - 2:55]  they got 10 billion in revenue. It's the 24th largest privately owned company in America. They own 360
[2:55 - 3:00]  businesses, right? So it's a huge media company. It owns the Houston Chronicle, the San Francisco Chronicle.
[3:00 - 3:07]  They own a bunch of magazines like Cosmo. They own a bunch of local TV stations. They own cable
[3:07 - 3:15]  networks like A&E and the History Channel. They own Fitch, which is a rating agency like Moody's or
[3:15 - 3:22]  Standard & Poor's for like bond ratings. So, okay, what is my point for you today? The point is, is that
[3:22 - 3:28]  medical policy for most of America is created in conjunction with a single source. And that single
[3:28 - 3:37]  source is Hurst. That single source, Hurst, also owns major news and media outlets. So, does that
[3:37 - 3:43]  create a conflict in terms of like reporting on the middleman care guidelines? Like, would the Houston
