Title: Market Segmentation for Healthcare Entrepreneurs
URL: https://www.youtube.com/watch?v=ylGqiyKFVLc
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is market segmentation for healthcare entrepreneurs. Now, today's video about businesses starting in healthcare relates to healthcare utilization and customers because in order for a business to be successful, it has to have product market fit. And many entrepreneurs that I have seen have really a lack of understanding when it comes to the market, when it comes to the customers. And so that's what we're going to go over today. Specifically, who are the high healthcare utilizers? Who's sick? Okay. Versus who are the low healthcare utilizers? Who's really not sick? Okay. High healthcare utilizers tend to be old. They tend to be obese. They tend to be uneducated. They tend to be poor. Now, people who don't use a lot of healthcare tend to be younger. They tend to be thinner. They tend to be educated. And they tend to be richer. Now, there is a very complex interplay here between what makes you sick and a high healthcare utilizzer and what makes you a low healthcare utilizzer and healthier. And there's cause and effect on both sides. In other words, there's things about being obese and uneducated and poor that cause you to be unhealthy, but also poor health then contribute to being obese and uneducated poor as well. So there's like back and forth between two. It's an incredibly complicated topic. That is not the point for the video today. The point is, is that if you are starting a company in healthcare to address healthcare utilization, healthcare costs, healthcare quality, then you need to understand that your customers in general are going to be old, obese, uneducated, and poor. Okay. What's some proof for that? Okay. In regards to age, the elderly have about seven visits per year, whereas younger people only have like 3.5 visits per year, right? So that you just go to the doctor twice as often. Obese people use primary care services 80 to 102% more than non-obese people. And that holds true for specialists as well. It's like 20 to 80% higher for people who are obese using specialists versus people who are normal weight using specialists. Okay. Next up, people who are uneducated, in other words, the prevalence of diabetes, if you don't have a high school diploma, is 15%. Whereas for people who've graduated college, it's less than half as much as only 7%. Okay. Now, in a study that was done for both Los Angeles and Milwaukee, they looked at wealthy versus poor zip codes, and they found that people in poor zip codes had 35% higher hospital utilization than people in wealthy zip codes. So, you don't even need these statistics. There's a very simple experiment that you can do. Go to your local hospital, and most hospitals have like medical office buildings like right next door. Just go into the lobby of that medical office building, sit down, and look at who comes through the door. And in general, the people going to that medical office building for health care services are older people, obese people, uneducated people, and poor people. I'm not trying to be pejorative at all, but we need to understand. If we're going to work with high health care utilizing people, if we're going to work with people that are sick, then we need to understand who they are. And that's super important, because entrepreneurs and venture capitalists, what are they? They tend to be younger, thinner, educated, and richer people. So, there tends to be this complete lack of understanding, where they think that the customers are going to be like them. And they're not going to be like them at all. Again, I'm not, listen, many of these people are victims. Many of these people make poor choices. Like, it's a super complicated topic. I'm not going to cover that today, okay? However, let's move on to then how this relates to entrepreneurship and businesses, specifically looking at two separate companies. One is Innovage, which works with the high group. And one is Teladoc, which tends to work with the low group. Okay. Now, what does Innovage do? They do care for people who are both eligible for Medicare and Medicaid. Okay. So, they're old and they're poor. And these are people that generally would have been in a nursing home, but they take care of them at home. They do the doctor visits, they coordinate their care, they address transportation needs, a whole bunch of psychosocial, social determinants of health. Now, they have about 5,000 members. They do this for about 5,000 people. They're a publicly traded company. They just had an IPO, like every other healthcare company out there, right? They have, they are valued at 2.4 billion people. Excuse me, 2.4 billion dollars. Now, the exact opposite of that is Teladoc. Teladoc works through employers. Like, people that work, in general, are younger, thinner, more educated, and they're wealthier, right? So, obviously, there's a spectrum, but I'm just saying in general. All right. Teladoc has 43 million members, as opposed to the 5,000 for Innovage. Okay. Teladoc's valuation is 30 billion dollars. That's their market capitalization. Okay. But, if you take their valuation, their market capitalization, and divide it by the number of members, you see that Innovage is worth 480,000 dollars per member, whereas Teladoc is worth only 698 dollars per member. They're totally different businesses. They're totally different in terms of the value that they can create for each individual person. Obviously, Innovage is creating much more value per person, if they're able to extract 480,000 dollars of company valuation per person, whereas Teladoc is not providing. The vast majority of the services that Teladoc provides for people are things like antibiotic for upper respiratory tract infections, and antibiotics for urinary tract infections, and antifungals for yeast infections. It's great. It provides value, and it makes things much more convenient in terms of accessing care, but it's accessing care for not complicated, not expensive stuff. And as a result, they can only extract 698 dollars per member in terms of their company valuation. So, it's a totally different business. I'm not saying that one is better or worse than the other. My point is, don't get confused and try to do both. Okay? If you're like, we're going to be a healthcare startup that's going to improve quality and decrease costs and dramatically increase access to care, and we're going to be incredibly impactful in the lives of our members, then you need to follow the Innovage model. And if you are like, well, we're going to sell to employers, and we want to have a whole bunch of members, right? Well, that's the Teladoc model. That could be a value too. But just know, like, don't try to provide life-changing value if you're going the Teladoc route. And don't try to sign up 43 million members if you're going the Innovage route. Okay? And I see, I'm not going to name names, but I see companies and entrepreneurs and venture capitalists making this mistake all the time. And it needs to stop. And it needs to stop because it is a huge waste of time and money. Billions and billions of dollars and countless hours are spent by people who do not have the basic understanding of these two different ways of going about it. And so that's my point for today. Thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:05 - 0:15]  market segmentation for healthcare entrepreneurs. Now, today's video about businesses starting in
[0:15 - 0:22]  healthcare relates to healthcare utilization and customers because in order for a business
[0:22 - 0:28]  to be successful, it has to have product market fit. And many entrepreneurs that I have seen
[0:28 - 0:33]  have really a lack of understanding when it comes to the market, when it comes to the customers.
[0:34 - 0:38]  And so that's what we're going to go over today. Specifically, who are the high healthcare
[0:38 - 0:45]  utilizers? Who's sick? Okay. Versus who are the low healthcare utilizers? Who's really not sick?
[0:46 - 0:53]  Okay. High healthcare utilizers tend to be old. They tend to be obese. They tend to be uneducated.
[0:53 - 0:58]  They tend to be poor. Now, people who don't use a lot of healthcare tend to be younger.
[0:59 - 1:05]  They tend to be thinner. They tend to be educated. And they tend to be richer. Now, there is a very
[1:05 - 1:12]  complex interplay here between what makes you sick and a high healthcare utilizzer and what makes you
[1:12 - 1:19]  a low healthcare utilizzer and healthier. And there's cause and effect on both sides. In other words,
[1:19 - 1:23]  there's things about being obese and uneducated and poor that cause you to be unhealthy, but also poor
[1:23 - 1:28]  health then contribute to being obese and uneducated poor as well. So there's like back and forth between
[1:28 - 1:34]  two. It's an incredibly complicated topic. That is not the point for the video today. The point is,
[1:34 - 1:40]  is that if you are starting a company in healthcare to address healthcare utilization, healthcare costs,
[1:41 - 1:46]  healthcare quality, then you need to understand that your customers in general are going to be old,
[1:46 - 1:53]  obese, uneducated, and poor. Okay. What's some proof for that? Okay. In regards to age, the elderly have
[1:53 - 1:59]  about seven visits per year, whereas younger people only have like 3.5 visits per year, right? So that
[1:59 - 2:09]  you just go to the doctor twice as often. Obese people use primary care services 80 to 102% more than
[2:09 - 2:16]  non-obese people. And that holds true for specialists as well. It's like 20 to 80% higher for people who are
[2:16 - 2:23]  obese using specialists versus people who are normal weight using specialists. Okay. Next up, people who
[2:23 - 2:30]  are uneducated, in other words, the prevalence of diabetes, if you don't have a high school diploma,
[2:30 - 2:36]  is 15%. Whereas for people who've graduated college, it's less than half as much as only 7%.
[2:36 - 2:46]  Okay. Now, in a study that was done for both Los Angeles and Milwaukee, they looked at wealthy versus poor
[2:46 - 2:54]  zip codes, and they found that people in poor zip codes had 35% higher hospital utilization than people in
[2:54 - 3:02]  wealthy zip codes. So, you don't even need these statistics. There's a very simple experiment that you can do.
[3:02 - 3:08]  Go to your local hospital, and most hospitals have like medical office buildings like right next door.
[3:08 - 3:15]  Just go into the lobby of that medical office building, sit down, and look at who comes through
[3:15 - 3:21]  the door. And in general, the people going to that medical office building for health care services are
[3:21 - 3:29]  older people, obese people, uneducated people, and poor people. I'm not trying to be pejorative at all,
[3:29 - 3:35]  but we need to understand. If we're going to work with high health care utilizing people, if we're going to
[3:35 - 3:44]  work with people that are sick, then we need to understand who they are. And that's super important,
[3:44 - 3:49]  because entrepreneurs and venture capitalists, what are they? They tend to be younger, thinner,
[3:49 - 3:55]  educated, and richer people. So, there tends to be this complete lack of understanding, where they think
[3:55 - 3:59]  that the customers are going to be like them. And they're not going to be like them at all. Again,
[3:59 - 4:05]  I'm not, listen, many of these people are victims. Many of these people make poor choices. Like,
[4:05 - 4:11]  it's a super complicated topic. I'm not going to cover that today, okay? However, let's move on to then
[4:11 - 4:18]  how this relates to entrepreneurship and businesses, specifically looking at two separate companies.
[4:18 - 4:25]  One is Innovage, which works with the high group. And one is Teladoc, which tends to work with the low
[4:25 - 4:33]  group. Okay. Now, what does Innovage do? They do care for people who are both eligible for Medicare
[4:33 - 4:38]  and Medicaid. Okay. So, they're old and they're poor. And these are people that generally would have
[4:38 - 4:43]  been in a nursing home, but they take care of them at home. They do the doctor visits, they coordinate
[4:43 - 4:50]  their care, they address transportation needs, a whole bunch of psychosocial, social determinants of
[4:50 - 4:56]  health. Now, they have about 5,000 members. They do this for about 5,000 people. They're a publicly
[4:56 - 5:01]  traded company. They just had an IPO, like every other healthcare company out there, right? They have,
[5:01 - 5:09]  they are valued at 2.4 billion people. Excuse me, 2.4 billion dollars. Now, the exact opposite of that
[5:09 - 5:15]  is Teladoc. Teladoc works through employers. Like, people that work, in general, are younger, thinner,
[5:15 - 5:20]  more educated, and they're wealthier, right? So, obviously, there's a spectrum, but I'm just saying
[5:20 - 5:29]  in general. All right. Teladoc has 43 million members, as opposed to the 5,000 for Innovage. Okay.
[5:29 - 5:36]  Teladoc's valuation is 30 billion dollars. That's their market capitalization. Okay. But, if you take their
[5:36 - 5:42]  valuation, their market capitalization, and divide it by the number of members, you see that Innovage
[5:43 - 5:52]  is worth 480,000 dollars per member, whereas Teladoc is worth only 698 dollars per member.
[5:53 - 6:00]  They're totally different businesses. They're totally different in terms of the value that they can
[6:00 - 6:07]  create for each individual person. Obviously, Innovage is creating much more value per person,
