Title: Marketing in Healthcare:  How to Apply the 4 Ps of Marketing to Healthcare
URL: https://www.youtube.com/watch?v=rnqjmelyZ_0
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today we're going to be discussing marketing in healthcare. Now, I wrote B2B here because the vast majority of marketing in healthcare is business-to-business marketing as opposed to business-to-consumer marketing. Now, marketing typically has been broken down into the four P's of product, price, placement, and promotion. So we're going to go through those four P's specifically as it relates to healthcare. Now, the first P, product, the key is that whatever the product of services is that it has a 10X better value proposition from what is currently in the marketplace. And what I mean by 10 times better is that it's essentially an order of magnitude better. It's got to be like really better. And what do I mean by better? I mean by either it's better for the top line or it's better for the bottom line of the business-to-business customer. And for the top line, that means it's better in producing revenue. And in healthcare, what that means is specifically for the provider, right? Because it's the doctors, it's the hospitals, they're the ones that are most, or the pharmaceutical company for the medical device company, they're the ones that are most interested in boosting revenue. Okay. But really my expertise is really in 10X for the buyers, which is really a bottom line value proposition, right? And who are the, who are the buyers? Who are the payers in healthcare? That's government, employers, individuals, unions, et cetera. Insurance carriers, those are the payers of healthcare, right? So they're really looking for decreased costs or increased operational efficiency, increased speed, increased flexibility, decreased risk. Okay. So an example for a top line innovation might be like robotic surgery. And the reason why hospitals love robotic surgery is because they can charge so much more for it, improving their revenue. And an example for a bottom line improvement would be the consumer directed health plan. So this is where in the early 2000s, this is where Luminos and DFINITY were really the two, um, harbingers of the, of the consumer directed health plan. And they were both subsequently bought by major insurance carriers, but their 10X proposition was that the consumer directed health plan is actually, is actually an actuarially superior plan vis-a-vis PPO. Okay. So it's gotta be 10X. Next up is the price. And the key to the price is that it motivates the channel. And that channel might even be like your internal sales force, or it might be the channel sales that you're going through. In other words, it can't be too high and it can't be too low. And especially when it comes to bottom line improvements, your 10X value proposition might actually be your price. So that is, it's key to understanding that the price is not what like covers your expenses. Like the marketplace doesn't care about your expenses. Okay. What is important about the price is that it motivates the channel. Okay. Next up is the placement. So you can think of that as like merchandising, like where do people like buy what it is that you're selling? And in the world of payers, employers, the folks who they traditionally buy stuff from is from their insurance broker, their benefit consultant, from the insurance carrier, from other folks that help them run their plan, whether it be their HRIS system or their bed admin platform. And so if you have a very different 10X value proposition, you cannot have a very different way of selling it. Okay. So you can't come in through like a totally different department. You can't come in with a 10X benefits proposition trying to go through like the IT department. It's okay. That's just not how it's going to work. So you need to, you need to understand where people buy. It's like selling tomatoes next to the road, right? Sure. You can sell some tomatoes next to the road, but at the end of the day where people buy the vast majority of their tomatoes is in the grocery store. Okay. So these are like, this is the grocery store. This is where people go to actually buy what it is that you're selling. Okay. And then finally, that's promotion is the promotion. And that's what people historically think of when they think of marketing, but notice that promotion is just one of the four Ps. And in my opinion, it's the bottom of the four Ps, right? And so you have sort of outbound and inbound promotional marketing. And outbound might be like emails or relationships that your existing salespeople have with their, with people in the industry. And then inbound might be blogs or videos where you're sending out content and then you're getting leads into you. Now, within both outbound and inbound, you have the framework of interrupt, engage, educate, and then the offer or the call to action. Now that needs to be gotten right as well. Now I won't go into any more detail for the sake of brevity on this video, but notice I put these in a specific order. Okay. Because like you have to get all four of these, right? But let's say you get the promotion, the placement and the price, right? If you do not have a 10 X value proposition, it's not going to work. Likewise, if you have a 10 X value proposition and people are used to kind of paying a dollar PEPM for your services and you're charging like $10 PEPM, like it's not going to work, right? Because the price is like totally wrong. And again, if you try to go direct, maybe that'll work, but maybe you have to actually go to where people are buying it through the brokers and the benefit consultants, et cetera. Okay. Now that brings me to my final point, which is segmentation. Okay. The market is not some homogeneous place. It's very heterogeneous, meaning it has very different market segments and the four P's change by market segment. So this gets super complicated. You'll have to essentially create a matrix where you're like, okay, well, what are my four P's for this segment? And what are my four P's for that segment? And let me give you a specific example, just in terms of the placement. So in an employer, uh, employee sponsored health plans. So you can go direct for national accounts and jumbo employers, but in the mid market, they almost never talk to vendors directly. You really need to go through their broker, their benefit consultant, or get baked into their insurance carrier or their TPA. Okay. Likewise, that goes as well for how you promote to these folks. It even goes to what the specific value proposition is. So just know that as you're going through the four P's of marketing, you need to identify which segment you're talking about, and then customize the four P's for that segment in order to be successful. And that's my point for today. Thank you for watching a healthcare Z.

Detailed segments with timestamps:

[0:01 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today we're
[0:05 - 0:11]  going to be discussing marketing in healthcare. Now, I wrote B2B here because the vast majority
[0:11 - 0:15]  of marketing in healthcare is business-to-business marketing as opposed to business-to-consumer
[0:15 - 0:19]  marketing. Now, marketing typically has been broken down into the four P's of product,
[0:19 - 0:24]  price, placement, and promotion. So we're going to go through those four P's specifically
[0:24 - 0:29]  as it relates to healthcare. Now, the first P, product, the key is that whatever the product
[0:29 - 0:34]  of services is that it has a 10X better value proposition from what is currently in the
[0:34 - 0:38]  marketplace. And what I mean by 10 times better is that it's essentially an order of magnitude
[0:38 - 0:44]  better. It's got to be like really better. And what do I mean by better? I mean by either
[0:44 - 0:48]  it's better for the top line or it's better for the bottom line of the business-to-business
[0:48 - 0:52]  customer. And for the top line, that means it's better in producing revenue. And in healthcare,
[0:52 - 0:57]  what that means is specifically for the provider, right? Because it's the doctors, it's the hospitals,
[0:57 - 1:01]  they're the ones that are most, or the pharmaceutical company for the medical device company, they're
[1:01 - 1:05]  the ones that are most interested in boosting revenue. Okay. But really my expertise is really
[1:05 - 1:12]  in 10X for the buyers, which is really a bottom line value proposition, right? And who are the,
[1:12 - 1:18]  who are the buyers? Who are the payers in healthcare? That's government, employers, individuals,
