Title: Medicare Advantage Cost Containment Strategies -  Can Employer-Sponsored Health Plans Use Them?
URL: https://www.youtube.com/watch?v=WNQCThmaNxM
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today we're going to be discussing Medicare Advantage cost control. So Medicare Advantage is the plan where people that are on Medicare can receive their insurance through a commercial insurance company as opposed to through traditional Medicare and the government. Now, those insurance carriers are paid a capitated monthly dollar amount per member. So the government basically says, okay, for every single enrollee that you have, we're going to write you a check each month and then you need to provide insurance for those folks. And that dollar amount is about $1,000 per member per month. Now, it can go up and down somewhat a little bit based upon what's referred to as risk adjustment. In other words, they pay them more for folks that have more diseases like, you know, let's say bad diabetes. And then they also pay, the government also pays them more if they achieve certain quality bonuses. So just know that it can be somewhat above or below $1,000 a month based upon those additional things. Now, note also that the gross margin for a Medicare Advantage plan is about $1,600 per member per year. Now, interestingly, compared to an insurance company's employer group services that they provide, they only make $855 per member per year on the group. So they make almost twice as much on their Medicare Advantage plans than they do on their employer-sponsored plans. Now, notice from a previous video that I talked about how revenue growth for insurance carriers is much more from government than it is from private employers. And so specifically for Medicare Advantage, from 2006 until today, they've increased from 7 million members to 22 million members. So it's more than tripled. And as a percentage of Medicare beneficiaries, it's gone from 16% to 34%. So it has essentially doubled on a percentage basis in terms of people that have Medicare. So it's growing. And it's understandable why the commercial insurers would want to get into this business more and more because their margins are like twice as high on it. Okay. So that being said, if you take the margin out of the about $12,000 per year that they're getting paid by the government, that means that they're paying out about $10,400 in claims per member per year. Now, let's compare that to an employer-sponsored plan where they pay on it. So individual coverage per employee per year is about $6,715. And oh, by the way, all these statistics are from the Kaiser Family Foundation. They have put together wonderful information. I mean, it's awesome. And I will leave links in the show notes to these sources. Now, so obviously, Medicare Advantage has paid out a lot more claims per person than commercial insurance is. And probably one of the main reasons for that is just because obviously the population is younger. It tends to be not as sick, right? I mean, at the end of the day, like, we cannot stop the march of time. And so they're just dealing with much, much sicker folks in Medicare Advantage. So that then begs the question, okay, is there, what is Medicare Advantage doing for cost control? And is there anything that employers can learn from that? Because here, the commercial insurance plans, the more that they can control costs, then they're just going to make more money, right? So that margin is going to go up in terms of, like, either paying less for health care services or having less health care services paid for or getting people healthier. Okay, so you can see here that we have just a breakdown. Again, this is a chart from Kaiser Family Foundation, which was awesome. So I wanted to recreate it here, where 66% of folks are on traditional Medicare. 34% are on Medicare Advantage. Now, of that 34% that are on Medicare Advantage, 62% are in an HMO, which is that, you know, as many of you well know, where you have a PCP gatekeeper and you require referrals in order to see specialists and have certain tests or procedures, labs done, okay? So it's not like a PPO. I mean, there is control. In order for you to have coverage, there is control over what you, the patient, can or cannot receive that is dictated by the doctor. Okay, next up, about 37% are on what's referred to as a traditional PPO plan that we're all familiar with, right, where you can choose individual doctors, whether it be PCPs or specialists that you go to. Now, note that the networks for those PPOs tend to be narrow. So specifically, like here in DFW, a major, major, major Medicare Advantage commercial plan does not have a major, major, major hospital system in the DFW area in their network, okay? So why is that important? It's because when you have a narrow network, then the insurance carrier can go to a hospital system and say, look, we're really going to steer. You're going to get all of our, almost all of our Medicare Advantage patients, so you need to give us a better contracted rate or a loud amount. And so it's important to note here that when an insurance company negotiates a contract with a hospital, they will have one rate for their employer members, okay? So you've got XYZ company that gives you insurance. There's going to be that allowed amount. And there's going to be a different allowed amount for that same insurance carrier for their Medicare Advantage patients, okay? So just because you both have the same insurance company and the same name on that insurance card, the reimbursement from the insurance carrier to the hospital is different if it's a Medicare Advantage plan versus an employer-sponsored commercial plan, all right? So what's my point? Why am I telling you all this? Well, I was asking myself, okay, are there any sort of special or unique or sort of awesome cost control mechanisms that Medicare Advantage plans are using? Because if anybody is an expert on cost control, it's the insurance companies themselves. And because of this capitation arrangement, they are really on the hook for controlling this. They are bearing risk. And so the answer is no. They're kind of using traditional control methods. Now, maybe I'm being a little too harsh here, but they're using HMOs, okay? Like, we've known that HMOs control costs for decades, okay? They're using narrow network PPOs, okay? We've known that that decreases costs. We've known that for decades. So I think what the insurance companies are doing here is they're just doing what they know best. And so in terms of, like, new and innovative ways to decrease healthcare costs, increase quality, in terms of, like, really, is there anything that employers can learn from these Medicare Advantage plans that they're doing that employers are not doing? You know, I don't really think so. And that's just my opinion. I might be totally wrong, but I wanted to share these thoughts with you today. And thank you for watching a healthcare seat.

Detailed segments with timestamps:

[0:00 - 0:08]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today we're going to be discussing Medicare Advantage cost control.
