Title: Medicare Inpatient Only List Explained
URL: https://www.youtube.com/watch?v=wQRA2kekuV4
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is the inpatient only list explained. Now, this video is super nuanced, but it's also super important. So I urge you to pay extra attention to what I'm about to go through. So there is a rule by Medicare, CMS, that says that there are only certain procedures that must be done on an inpatient basis. And that list of procedures is about 1,800 codes. And it tends to be for more complex surgeries like coronary artery bypass grafts, where CMS is like, look, these are very invasive procedures. And so they require what's called the two midnight rule, where the patient has to stay for two midnights in order for this surgery to be done. So it has to be done as an inpatient and it has to be done at a hospital. Because by definition, you can't do it at an ambulatory surgery center because you don't do inpatient two midnight procedures at an ambulatory surgery center. But there was a huge change in 2021 when CMS started removing procedures from the inpatient list. And in fact, it removed 298 codes that year. And every year they make changes. So in 2024, they removed more. And then sometimes like new procedures are created, like, you know, doctors are like, hey, we're going to do this new procedure, yada, yada, yada. So sometimes new procedures are added to the inpatient list. Okay. Now there are 6,000 ambulatory surgery centers in America. So it affects a huge number of facilities because if a procedure falls off the inpatient only list, then it can be done at an ASC. And that's a huge deal because then an ASC that is potentially not owned by a hospital system can do these procedures and they can compete with the hospitals. So in effect, procedures coming off the inpatient only list is like bad for hospital systems, right? Hospital systems are like, no, we want things on the inpatient only list. That way we can continue to have control over these procedures. But if it falls off the inpatient only list, well then shoot, then all these ASCs that pop up, they can compete with us and they can steal away our patients and do these procedures as an outpatient at an ASC. So let's get into the details specifically of where these regulations lie. Where is this list? So the changes occur on the hospital outpatient prospective payment and ASC payment rule. I can't even say it. Guess what? It's 646 pages long. I will leave a link in the video description. Okay. It is officially for 2024. It is officially referred to as CMS rule 1786 FC. Now the list itself is found on addendum E. Okay. So if you're like, oh, I can just Google CMS impatient only list and that will just tell me, right? Believe me, it is not that easy. Maybe I was just being dense, but it literally took me over an hour and a half to specifically find addendum E that actually has the inpatient list. Okay. So drum roll, please. Here's the actual URL. It's cms.gov slash node slash one, two, seven, five, eight, four, one. Only in America would they make the CMS inpatient only list, which is hugely impactful in healthcare finance. So incredibly difficult to find with an incredibly like abstract URL name. And when you look at it, okay, so fine. You, so you go to that, you click it, it gives you this Excel spreadsheet and it gives you all the codes for the inpatient only list. Aha. It does not give you some like easy to understand list of like, okay, well, what used to be on the inpatient only list, but now you can do as an outpatient, like that list of what you can do as an outpatient. Now, that would be helpful. Okay. That list does exist, but you have to pay for it. So literally the American college of physician advisors. So if you go to ACP advisors website, you can, if you become a member and you pay $295, which I did just so that I could gain access to this list. And guess what? When you gain access to this list, it expressly says, you cannot share this list on the internet. Okay. So I know what specifically is on this list, but I can't share it because I had to pay $295 for it. So you can either search for the list, which only gives you the inpatient list, but you want to know, okay, well, what can you actually do it in ASC? Well, then you got to pay the $295 to actually figure that out. Okay. What is the financial implication of this, uh, of this inpatient list of procedures coming off of the inpatient list? Well, two of the largest hospital systems in America are essentially, are essentially betting their future on it. Okay. So like I said, the, the, the hospital systems, like they don't want to do a procedures outpatient. They would prefer to do them inpatient, but because this inpatient list has changed. They're like, Oh shoot, we better build a whole bunch of ASCs so that we don't lose this outpatient surgery, um, volume to competition. So hospital corporation America, by far the largest hospital, um, corporation in America has 124 ASCs. They have planned to dramatically increase that number in an outpatient procedures represent 38% of their revenue and it is growing. The second largest hospital system, uh, uh, commercially traded, uh, hospital system in America is tenant, which bought us surgical partners, international USPI several years ago for billions of dollars and USPI now in Q3 of 24, 24 made up $941 million. And just one quarter alone made up almost a billion dollars of tenants revenue, which for that quarter was $5.1 billion. Okay. So the ASC revenue alone was almost 20% of tenants revenue. And it's the fastest growing segment of tenants revenue. It was up 17% year over year. Okay. So in fact, uh, ambulatory surgery centers and outpatient procedures are such a big deal. That's 71%. The vast majority of hospital systems of America are making investments into ambulatory surgery centers. In fact, tenant is making $250 million a year of investments in ambulatory surgery centers. Okay. So why, why is this? Is it because of some sort of new technology? Is it because of patient demand? No, it was because of the Medicare inpatient only list rule change. And as Medicare goes, that's how the commercial insurance goes as well. So all these hospital systems are now either employing orthopedic surgeons and other, uh, doctors that perform surgery, or they're entering into joint ventures so that they can share in that ambulatory surgery center revenue with the surgeons. When it was on the inpatient only list, the hospital can't share the inpatient revenue with the doctors. That's against the Stark law. But with an ASC, there is an, there is a safe harbor to the Stark law. So the hospital systems or the independent, uh, company that owns the ASCs, they can actually share revenue with the doctors. And that's a huge deal. And that's why all of this patient volume is now going to the ASCs because it allows the physicians to make more money because they can share in the ASC revenue and they couldn't share in the inpatient revenue. Okay. Now, what does this mean for employer sponsored health plans? Okay. All these hospital systems are building all of these ASCs so that the ASCs can be under the very expensive hospital system contract, very high reimbursement rates, right? Whereas, so if you're self-funded though, you don't want that. You're like, okay, great. So now it's done an ASC instead of a hospital, but it's still under the hospital's contract. So it still might be a 30, 40, $70,000 procedure, even though it's done on an outpatient basis instead of inpatient. So it's still expensive. Don't think that hospital ASC based procedures are inexpensive. They're still run through the hospital systems contract and they are still very expensive. So what's the alternative? The alternative is that if you're self-funded, you can direct contract with an independent ASC that tends to be much less expensive. In fact, there are ASCs that offer cash prices. So, and physicians can own these ASCs. Again, there's a, there's a safe harbor to, uh, the Stark law that says that physicians can own ASCs. Only physicians that practice at ASCs can, can, can own ASCs. Okay. Me as an internist, I don't practice in an ASC. I don't do procedures. I cannot be a partial owner of an ASC. It's against the law, but, uh, a pain, uh, management specialist that owns an ASC can, can, uh, a pain management specialist that does procedures in an ASC. They can own an ASC. A surgeon, an OBGYN, um, uh, gastroenterologist. They all perform procedures at ASCs and they can be partial owners of ASCs. And so it actually is a fantastic opportunity to actually the lower the cost of health care while maintaining or even improving the quality with these physician owned independent ASCs that are not a part of a hospital system. Let me give you a specific example. There is a physician owned ASC in a suburb of Dallas, Texas that is called the North Texas Team Care ASC. I have no financial connection with them. Now I know the Dr. Kakiri who founded this thing and they have cash pricing. They do a total knee arthroplasty on an outpatient basis for $20,000. That includes the preoperative visit. It includes the surgeon's fee. It includes the facility fee. It includes the anesthesiologist fee and it includes all the supplies, et cetera, et cetera, for the actual procedure itself. $20,000. Okay. The in network allowed amount for total knee arthroplasties, total knee replacements is upwards of $70,000. That could be done as an outpatient through a hospital system. So literally through a non-hospital system based ASC, it can cost $50,000 less. If your business has a 10% profit margin, that means that you need to sell an extra half a million dollars of revenue. You have to bring in an extra half a million dollars of revenue just to pay for what it's going to cost you to have one of your employees get their knee surgery done at a hospital system ASC versus at an independent ASC. So if anything, the fact that the inpatient only list is actually changing and more procedures can be done on an outpatient basis and paid for by Medicare is actually pro competitive. And it's actually good for employer sponsored plans if they self fund and they direct contract with an independent ASC. So after watching this video, the very first question you need to ask your broker is, what can we do to set up an independent direct contract with an ASC? Because that could actually save you $500,000 of revenue a year because of what you save on that one surgery. And that's my point for today. Thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:06 - 0:15]  the inpatient only list explained. Now, this video is super nuanced, but it's also super
[0:15 - 0:22]  important. So I urge you to pay extra attention to what I'm about to go through. So there is a
[0:22 - 0:30]  rule by Medicare, CMS, that says that there are only certain procedures that must be done on an
[0:30 - 0:37]  inpatient basis. And that list of procedures is about 1,800 codes. And it tends to be for more
[0:37 - 0:43]  complex surgeries like coronary artery bypass grafts, where CMS is like, look, these are very
[0:43 - 0:48]  invasive procedures. And so they require what's called the two midnight rule, where the patient
[0:48 - 0:55]  has to stay for two midnights in order for this surgery to be done. So it has to be done as an
[0:55 - 1:00]  inpatient and it has to be done at a hospital. Because by definition, you can't do it at an
[1:00 - 1:05]  ambulatory surgery center because you don't do inpatient two midnight procedures at an ambulatory
[1:05 - 1:15]  surgery center. But there was a huge change in 2021 when CMS started removing procedures
[1:15 - 1:24]  from the inpatient list. And in fact, it removed 298 codes that year. And every year they make
[1:24 - 1:30]  changes. So in 2024, they removed more. And then sometimes like new procedures are created,
[1:30 - 1:34]  like, you know, doctors are like, hey, we're going to do this new procedure, yada, yada, yada.
[1:34 - 1:41]  So sometimes new procedures are added to the inpatient list. Okay. Now there are 6,000 ambulatory surgery
[1:41 - 1:50]  centers in America. So it affects a huge number of facilities because if a procedure falls off the
[1:50 - 1:59]  inpatient only list, then it can be done at an ASC. And that's a huge deal because then an ASC
[1:59 - 2:08]  that is potentially not owned by a hospital system can do these procedures and they can compete with the
[2:08 - 2:17]  hospitals. So in effect, procedures coming off the inpatient only list is like bad for hospital
[2:17 - 2:22]  systems, right? Hospital systems are like, no, we want things on the inpatient only list. That way
[2:22 - 2:26]  we can continue to have control over these procedures. But if it falls off the inpatient only list,
[2:27 - 2:32]  well then shoot, then all these ASCs that pop up, they can compete with us and they can steal away
[2:32 - 2:39]  our patients and do these procedures as an outpatient at an ASC. So let's get into the details
[2:39 - 2:47]  specifically of where these regulations lie. Where is this list? So the changes occur on the hospital
[2:47 - 2:58]  outpatient prospective payment and ASC payment rule. I can't even say it. Guess what? It's 646 pages long.
[2:58 - 3:04]  I will leave a link in the video description. Okay. It is officially for 2024. It is officially
[3:04 - 3:15]  referred to as CMS rule 1786 FC. Now the list itself is found on addendum E. Okay. So if you're like,
[3:15 - 3:22]  oh, I can just Google CMS impatient only list and that will just tell me, right? Believe me,
[3:22 - 3:29]  it is not that easy. Maybe I was just being dense, but it literally took me over an hour and a half
[3:29 - 3:36]  to specifically find addendum E that actually has the inpatient list. Okay. So drum roll, please.
[3:36 - 3:44]  Here's the actual URL. It's cms.gov slash node slash one, two, seven, five, eight, four, one.
[3:44 - 3:51]  Only in America would they make the CMS inpatient only list, which is hugely impactful
[3:51 - 4:00]  in healthcare finance. So incredibly difficult to find with an incredibly like abstract URL name.
[4:01 - 4:06]  And when you look at it, okay, so fine. You, so you go to that, you click it, it gives you this Excel
[4:06 - 4:12]  spreadsheet and it gives you all the codes for the inpatient only list. Aha. It does not give you
[4:12 - 4:18]  some like easy to understand list of like, okay, well, what used to be on the inpatient only list,
[4:18 - 4:24]  but now you can do as an outpatient, like that list of what you can do as an outpatient. Now,
[4:24 - 4:30]  that would be helpful. Okay. That list does exist, but you have to pay for it. So literally the American
[4:30 - 4:39]  college of physician advisors. So if you go to ACP advisors website, you can, if you become a member and
[4:39 - 4:47]  you pay $295, which I did just so that I could gain access to this list. And guess what? When you gain
[4:47 - 4:54]  access to this list, it expressly says, you cannot share this list on the internet. Okay. So I know
[4:54 - 5:02]  what specifically is on this list, but I can't share it because I had to pay $295 for it. So you can either
[5:02 - 5:07]  search for the list, which only gives you the inpatient list, but you want to know, okay, well, what can you
[5:07 - 5:12]  actually do it in ASC? Well, then you got to pay the $295 to actually figure that out. Okay.
[5:12 - 5:18]  What is the financial implication of this, uh, of this inpatient list of procedures coming off of
[5:18 - 5:22]  the inpatient list? Well, two of the largest hospital systems in America are essentially,
[5:22 - 5:29]  are essentially betting their future on it. Okay. So like I said, the, the, the hospital systems,
[5:29 - 5:33]  like they don't want to do a procedures outpatient. They would prefer to do them inpatient, but
[5:33 - 5:39]  because this inpatient list has changed. They're like, Oh shoot, we better build a whole bunch of
[5:39 - 5:47]  ASCs so that we don't lose this outpatient surgery, um, volume to competition. So hospital
[5:47 - 5:56]  corporation America, by far the largest hospital, um, corporation in America has 124 ASCs. They have
[5:56 - 6:02]  planned to dramatically increase that number in an outpatient procedures represent 38% of their
[6:02 - 6:07]  revenue and it is growing. The second largest hospital system, uh, uh, commercially traded,
[6:07 - 6:15]  uh, hospital system in America is tenant, which bought us surgical partners, international USPI
[6:15 - 6:25]  several years ago for billions of dollars and USPI now in Q3 of 24, 24 made up $941 million.
[6:25 - 6:32]  And just one quarter alone made up almost a billion dollars of tenants revenue, which for that quarter
[6:32 - 6:40]  was $5.1 billion. Okay. So the ASC revenue alone was almost 20% of tenants revenue. And it's the
[6:40 - 6:48]  fastest growing segment of tenants revenue. It was up 17% year over year. Okay. So in fact,
[6:48 - 6:54]  uh, ambulatory surgery centers and outpatient procedures are such a big deal. That's 71%. The vast
[6:54 - 6:59]  majority of hospital systems of America are making investments into ambulatory surgery centers. In
[6:59 - 7:05]  fact, tenant is making $250 million a year of investments in ambulatory surgery centers. Okay.
[7:05 - 7:12]  So why, why is this? Is it because of some sort of new technology? Is it because of patient demand? No,
[7:12 - 7:19]  it was because of the Medicare inpatient only list rule change. And as Medicare goes, that's how the
[7:19 - 7:26]  commercial insurance goes as well. So all these hospital systems are now either employing orthopedic
[7:26 - 7:31]  surgeons and other, uh, doctors that perform surgery, or they're entering into joint ventures
[7:31 - 7:38]  so that they can share in that ambulatory surgery center revenue with the surgeons. When it was on the
[7:38 - 7:44]  inpatient only list, the hospital can't share the inpatient revenue with the doctors. That's against
[7:44 - 7:51]  the Stark law. But with an ASC, there is an, there is a safe harbor to the Stark law. So the hospital
[7:51 - 7:58]  systems or the independent, uh, company that owns the ASCs, they can actually share revenue with the
[7:58 - 8:05]  doctors. And that's a huge deal. And that's why all of this patient volume is now going to the ASCs
[8:05 - 8:13]  because it allows the physicians to make more money because they can share in the ASC revenue and they
[8:13 - 8:18]  couldn't share in the inpatient revenue. Okay. Now, what does this mean for employer sponsored
[8:18 - 8:24]  health plans? Okay. All these hospital systems are building all of these ASCs so that the ASCs can be
[8:24 - 8:29]  under the very expensive hospital system contract, very high reimbursement rates, right? Whereas,
[8:30 - 8:34]  so if you're self-funded though, you don't want that. You're like, okay, great. So now it's done
[8:34 - 8:38]  an ASC instead of a hospital, but it's still under the hospital's contract. So it still might be a 30,
[8:38 - 8:44]  40, $70,000 procedure, even though it's done on an outpatient basis instead of inpatient. So it's
[8:44 - 8:50]  still expensive. Don't think that hospital ASC based procedures are inexpensive. They're still
[8:50 - 8:54]  run through the hospital systems contract and they are still very expensive. So what's the
[8:54 - 8:58]  alternative? The alternative is that if you're self-funded, you can direct contract with an
[8:58 - 9:05]  independent ASC that tends to be much less expensive. In fact, there are ASCs that offer cash prices.
