Title: Mental Health Treatment Lowers Healthcare Costs
URL: https://www.youtube.com/watch?v=M8J2xiDWKD4
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today we're going to be discussing mental health. And mental health is somewhat of the elephant in the room because not a lot of people like to talk about it and there is quite a bit of stigma associated with it, but I think that's why it's particularly important for us to address it today. And we're going to talk about two of the most frequent mental health diagnoses and those are depression and anxiety. Okay, so depression is found about 7% of the adult US population and it's actually even more prevalent in 18 to 25 year olds. So about 11% of 18 to 25 year olds have depression. So for employers that have like a large millennial workforce, just know that you actually probably will have a higher rate of depression in your employee population, vis-a-vis an employer that has older employees. Okay, as far as anxiety goes, it's even more common, 19%, so about one in five US adults. And as you can imagine there are varying degrees of severity of anxiety, but a full 56% of that 19%, in other words about 10% have either moderate or severe anxiety that actually causes them a fair amount of impairment in their lives, in their home lives and in their work lives. Okay, and so that impairment is really one of the reasons I wanted to bring that up today. I would see this in my patients where it wasn't just a mood disorder, it wasn't just about their emotions, these people just had a hard time thinking. They had a hard time remembering things. They had a hard time articulating themselves and talking. And, you know, through a combination of antidepressant medication and cognitive behavioral therapy and a variety of things, you know, certainly these are tough diseases to treat, but I certainly would see people to get better, get better. And it was amazing. As they got better, like they became more articulate. They were able to use logic and reasoning a lot better because their mental health disease was actually impairing their ability to think. And the prototypical example of this is in diabetes, right, where diabetes, actually 12% of people with diabetes have depression. So it's even more common in people with diabetes. And they've done research to find that people with diabetes who were depressed, they didn't make their appointments as often. They missed a lot of them. They weren't able to adhere to their dietary recommendations, and they weren't able to adhere to their medication regimen, whether with pills and or insulin as well as those people with diabetes who did not have a mental health problem, right? And as a result of all of this, it caused increased complications. So worsening retinopathy, which is damage to the eye, worsening neuropathy, which is damage to the nerves, worsening nephropathy, which is damage to the kidneys. So, and I would see this in my patients where I just saw that there was no way that I could really effectively help them with their diabetes unless we also helped them with their depression and their anxiety, okay? Well, this video is not meant to be doom and gloom. There is hope. So the Intermountain Healthcare System out in Utah actually did something incredibly innovative where they actually incorporated a mental health professional, whether it be a nurse or a counselor or a psychologist, actually in their primary care clinics. And they would work as a team collaboratively with the primary care physician. And what they found, this is a very long study, it's like 10 years, it was published in the Journal of the American Medical Association. It literally had over 100,000 participants. And they found that compliance with best practices in diabetes care went up in the clinics that had the mental health professionals. And they also found that hospitalization for patients that saw the PCPs that had the mental health professionals went down and ER visits went down as well. So it really had a positive outcome in terms of their diabetes care and also their overall utilization of healthcare services. Now, in terms of the bottom line, it actually saved money. It saved about $260 per member per year. And so if you take your typical plan, that's like, let's say $10,000 per employee per year, where there's typically a ratio of two members for every employee. So that's about $5,000 per member per year. And so the $260, that's about 5%. Okay, so your trend is not going to be like totally reversed because of addressing mental health, but you know, it's a start. And then specifically for people with diabetes, their costs decreased $340 per member per year. And for people with depression, it decreased $285 per member per year. And what did it cost Intermountain Healthcare? Interestingly, they reported that as well, it cost them $22 per member per year. Now that's just for the mental health component. It's not for the entire PCP office. However, look at that. That's an over 10 to 1 ROI by addressing mental health. So there are numerous ways that employers can implement mental health as it relates to the overall medical care. But I want to just begin to address the elephant in the room. And I hope that you all learned something from this today. And thank you for watching A Health Care Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today we're
[0:05 - 0:10]  going to be discussing mental health. And mental health is somewhat of the elephant
[0:10 - 0:14]  in the room because not a lot of people like to talk about it and there is quite a bit
[0:14 - 0:17]  of stigma associated with it, but I think that's why it's particularly important for
[0:17 - 0:23]  us to address it today. And we're going to talk about two of the most frequent mental
[0:23 - 0:29]  health diagnoses and those are depression and anxiety. Okay, so depression is found
[0:29 - 0:36]  about 7% of the adult US population and it's actually even more prevalent in 18 to 25 year
[0:36 - 0:42]  olds. So about 11% of 18 to 25 year olds have depression. So for employers that have like
[0:42 - 0:46]  a large millennial workforce, just know that you actually probably will have a higher rate
[0:46 - 0:53]  of depression in your employee population, vis-a-vis an employer that has older employees. Okay,
[0:53 - 0:58]  as far as anxiety goes, it's even more common, 19%, so about one in five US adults. And as
[0:58 - 1:04]  you can imagine there are varying degrees of severity of anxiety, but a full 56% of that
[1:04 - 1:11]  19%, in other words about 10% have either moderate or severe anxiety that actually causes them a
[1:11 - 1:16]  fair amount of impairment in their lives, in their home lives and in their work lives. Okay,
[1:16 - 1:21]  and so that impairment is really one of the reasons I wanted to bring that up today. I would
[1:21 - 1:26]  see this in my patients where it wasn't just a mood disorder, it wasn't just about their emotions,
[1:26 - 1:31]  these people just had a hard time thinking. They had a hard time remembering things. They had a hard
[1:31 - 1:38]  time articulating themselves and talking. And, you know, through a combination of antidepressant
[1:38 - 1:44]  medication and cognitive behavioral therapy and a variety of things, you know, certainly these are
[1:44 - 1:48]  tough diseases to treat, but I certainly would see people to get better, get better. And it was
[1:48 - 1:55]  amazing. As they got better, like they became more articulate. They were able to use logic and
[1:55 - 2:01]  reasoning a lot better because their mental health disease was actually impairing their ability to
[2:01 - 2:08]  think. And the prototypical example of this is in diabetes, right, where diabetes, actually 12% of
[2:08 - 2:12]  people with diabetes have depression. So it's even more common in people with diabetes. And they've done
[2:12 - 2:16]  research to find that people with diabetes who were depressed, they didn't make their appointments as
[2:16 - 2:21]  often. They missed a lot of them. They weren't able to adhere to their dietary recommendations,
[2:21 - 2:26]  and they weren't able to adhere to their medication regimen, whether with pills and or insulin as well
[2:26 - 2:33]  as those people with diabetes who did not have a mental health problem, right? And as a result of all of
[2:33 - 2:39]  this, it caused increased complications. So worsening retinopathy, which is damage to the eye,
[2:39 - 2:44]  worsening neuropathy, which is damage to the nerves, worsening nephropathy, which is damage to the kidneys.
[2:44 - 2:50]  So, and I would see this in my patients where I just saw that there was no way that I could really
[2:50 - 2:55]  effectively help them with their diabetes unless we also helped them with their depression and their
[2:55 - 3:01]  anxiety, okay? Well, this video is not meant to be doom and gloom. There is hope. So the Intermountain
[3:01 - 3:06]  Healthcare System out in Utah actually did something incredibly innovative where they actually incorporated
[3:06 - 3:11]  a mental health professional, whether it be a nurse or a counselor or a psychologist, actually in their
[3:11 - 3:17]  primary care clinics. And they would work as a team collaboratively with the primary care physician.
[3:18 - 3:22]  And what they found, this is a very long study, it's like 10 years, it was published in the Journal of the
[3:22 - 3:29]  American Medical Association. It literally had over 100,000 participants. And they found that compliance
[3:29 - 3:35]  with best practices in diabetes care went up in the clinics that had the mental health professionals.
[3:35 - 3:41]  And they also found that hospitalization for patients that saw the PCPs that had the mental health
[3:41 - 3:48]  professionals went down and ER visits went down as well. So it really had a positive outcome in terms of
[3:48 - 3:54]  their diabetes care and also their overall utilization of healthcare services. Now, in terms of the bottom
[3:54 - 4:01]  line, it actually saved money. It saved about $260 per member per year. And so if you take your typical
[4:01 - 4:06]  plan, that's like, let's say $10,000 per employee per year, where there's typically a ratio of two
[4:06 - 4:14]  members for every employee. So that's about $5,000 per member per year. And so the $260, that's about
[4:14 - 4:20]  5%. Okay, so your trend is not going to be like totally reversed because of addressing mental health,
[4:20 - 4:26]  but you know, it's a start. And then specifically for people with diabetes, their costs decreased $340
[4:26 - 4:33]  per member per year. And for people with depression, it decreased $285 per member per year. And what did
[4:33 - 4:39]  it cost Intermountain Healthcare? Interestingly, they reported that as well, it cost them $22 per
[4:39 - 4:44]  member per year. Now that's just for the mental health component. It's not for the entire PCP office.
[4:44 - 4:54]  However, look at that. That's an over 10 to 1 ROI by addressing mental health. So there are numerous ways
[4:54 - 5:02]  that employers can implement mental health as it relates to the overall medical care. But I want
[5:02 - 5:09]  to just begin to address the elephant in the room. And I hope that you all learned something from this
[5:09 - 5:11]  today. And thank you for watching A Health Care Z.
