Title: Nursing Home Zero COVID Infections
URL: https://www.youtube.com/watch?v=Ds3LqKL4GRI
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is a nursing home with zero COVID infections. So this story comes from the Baltimore Sun on June 18th of 2020 and it is awesome. It's a microcosm of a major problem in healthcare. So to start out with, here's the humdinger of coronavirus in America. 42% of coronavirus deaths are in people in nursing homes and assisted living facilities that only make up 0.62% of the population. Look at that. The coronavirus, as many of you already know, is just horrible for nursing homes. Now, there is a nursing home in West Baltimore that not only has zero coronavirus deaths, it has zero coronavirus infections. Not a single person there has gotten coronavirus. They have no COVID there. So this article from the Baltimore Sun talks about, well, what did they do? Well, one, they started early when they got first wind of coronavirus in America, when there are only 15 cases of coronavirus in America on February 26th, they got started. Two, they had an infection control nurse already on staff. They already had a dedicated person setting up protocols, training on those protocols, and ensuring that those protocols were followed already. So they already had a rubric in place for infection control. Next up, they put in a bunch of additional measures. They said, no visitors. No, the non-patient care staffs. In other words, if they had clerks or the accountant or whatever, they worked from home. They didn't go into the nursing home. They got extra PPE right away. They started extra cleaning by the janitorial staff. They asked the staff that did work with the residents to not travel. They had a daily questionnaire for the staff when they showed up to work about their physical health and their home conditions. They checked this daily. They checked people's temperatures three times a day. Not once, not twice, but three times a day. They had the residents who were able to wear masks. They got rid of communal eating. They, what do a lot of people in nursing homes do? They sit in close proximity watching one television. What did they do? They got more TVs so that people wouldn't have to congregate around one. They could be spread out and do social distancing. Now, they did even more than this. There is so much stuff, I can't even fit it on the board. But the point, the point that this illustrates with healthcare is that healthcare is a services business. And services, by definition, are highly variable. Anybody who's ever gotten a bad haircut knows that services are highly variable. Now, why is it that they're highly variable? It's because the attention to detail, which makes the service good or not good, is highly variable. Look at the attention to detail at this nursing home. That is why they have been so successful. Okay, so fine. Do we rely upon just the individual astuteness and diligence of people to afford the attention to detail? No! That is a horrible way to ensure attention to detail, is to just think that every person is going to individually be responsible for it. No! You put in place protocols. You systematize it. You create the protocols. You adapt the protocols. You train on the protocols. And you ensure that the protocols are being followed. Okay, that is the only way you can routinize attention to detail. And that is the only way that you can decrease the variability of service performance and therefore improve the service. So, this West Baltimore nursing home is a microcosm of what needs to happen in healthcare. So, my point for today is just know that when you're walking into any healthcare institution, whether it be a nursing home or a hospital or a doctor's office, that it is a services business. It's highly variable. The quality of that service is dependent upon the attention to detail. And so, to the extent that the office or the nursing home or the hospital does or does not have protocols, will likely determine its success. And that's my point for today. Thank you for watching A Healthcare to See.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:05 - 0:14]  a nursing home with zero COVID infections. So this story comes from the Baltimore Sun on June
[0:14 - 0:22]  18th of 2020 and it is awesome. It's a microcosm of a major problem in healthcare. So to start out
[0:22 - 0:31]  with, here's the humdinger of coronavirus in America. 42% of coronavirus deaths are in people
[0:31 - 0:41]  in nursing homes and assisted living facilities that only make up 0.62% of the population. Look at
[0:41 - 0:47]  that. The coronavirus, as many of you already know, is just horrible for nursing homes. Now,
[0:47 - 0:54]  there is a nursing home in West Baltimore that not only has zero coronavirus deaths,
[0:54 - 1:01]  it has zero coronavirus infections. Not a single person there has gotten coronavirus. They have
[1:01 - 1:08]  no COVID there. So this article from the Baltimore Sun talks about, well, what did they do? Well,
[1:08 - 1:14]  one, they started early when they got first wind of coronavirus in America, when there are only
[1:14 - 1:23]  15 cases of coronavirus in America on February 26th, they got started. Two, they had an infection
[1:23 - 1:32]  control nurse already on staff. They already had a dedicated person setting up protocols,
[1:32 - 1:38]  training on those protocols, and ensuring that those protocols were followed already. So they
[1:38 - 1:47]  already had a rubric in place for infection control. Next up, they put in a bunch of additional measures.
[1:47 - 1:54]  They said, no visitors. No, the non-patient care staffs. In other words, if they had clerks or the
[1:54 - 2:00]  accountant or whatever, they worked from home. They didn't go into the nursing home. They got extra PPE
[2:00 - 2:12]  right away. They started extra cleaning by the janitorial staff. They asked the staff that did work with the residents to not travel.
[2:13 - 2:21]  They had a daily questionnaire for the staff when they showed up to work about their physical health
[2:21 - 2:32]  and their home conditions. They checked this daily. They checked people's temperatures three times a day. Not once, not twice, but three times a day.
[2:32 - 2:39]  They had the residents who were able to wear masks. They got rid of communal eating.
[2:41 - 2:47]  They, what do a lot of people in nursing homes do? They sit in close proximity watching one television.
[2:47 - 2:57]  What did they do? They got more TVs so that people wouldn't have to congregate around one. They could be spread out and do social distancing.
[2:57 - 3:02]  Now, they did even more than this. There is so much stuff, I can't even fit it on the board.
[3:03 - 3:09]  But the point, the point that this illustrates with healthcare is that healthcare is a services business.
[3:09 - 3:13]  And services, by definition, are highly variable.
[3:13 - 3:20]  Anybody who's ever gotten a bad haircut knows that services are highly variable.
[3:21 - 3:23]  Now, why is it that they're highly variable?
[3:24 - 3:32]  It's because the attention to detail, which makes the service good or not good, is highly variable.
[3:33 - 3:36]  Look at the attention to detail at this nursing home.
[3:36 - 3:39]  That is why they have been so successful.
[3:39 - 3:48]  Okay, so fine. Do we rely upon just the individual astuteness and diligence of people to afford the attention to detail?
[3:48 - 3:55]  No! That is a horrible way to ensure attention to detail, is to just think that every person is going to individually be responsible for it.
[3:55 - 3:57]  No! You put in place protocols.
[3:58 - 3:59]  You systematize it.
[4:00 - 4:02]  You create the protocols. You adapt the protocols.
[4:02 - 4:03]  You train on the protocols.
[4:03 - 4:06]  And you ensure that the protocols are being followed.
[4:06 - 4:11]  Okay, that is the only way you can routinize attention to detail.
[4:11 - 4:18]  And that is the only way that you can decrease the variability of service performance and therefore improve the service.
[4:19 - 4:25]  So, this West Baltimore nursing home is a microcosm of what needs to happen in healthcare.
[4:25 - 4:32]  So, my point for today is just know that when you're walking into any healthcare institution, whether it be a nursing home or a hospital or a doctor's office,
[4:32 - 4:33]  that it is a services business.
[4:34 - 4:35]  It's highly variable.
[4:35 - 4:38]  The quality of that service is dependent upon the attention to detail.
[4:39 - 4:46]  And so, to the extent that the office or the nursing home or the hospital does or does not have protocols, will likely determine its success.
[4:46 - 4:47]  And that's my point for today.
[4:47 - 4:50]  Thank you for watching A Healthcare to See.
