Title: Open Enrollment for Health Insurance - 53% of Employees Regret Decision
URL: https://www.youtube.com/watch?v=HdVbS9WddQM
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's topic is open enrollment for health insurance. 53% of employees actually regret the choice that they made during open enrollment. Now, I'm wearing a blue shirt today because you, one of the viewers, asked me, hey Dr. Bricker, why don't you wear something else other than a white shirt and tie? So, I just want you to know, look, I'm responsive to you people. Okay, open enrollment, equitable, the company did a survey and they found that 53% of people actually regretted their open enrollment choice. More than half regretted their open enrollment choice. And then they asked them, why did you regret your decision? 25% of people regretted their decision for open enrollment because they failed to change, make changes for their lifestyle. So during open enrollment, obviously you're choosing your medical insurance and your dental and your vision and maybe short-term disability and long-term disability and group life. So your life situation changes. Maybe you wanted to move from an HMO to a PPO, from a high deductible plan to a PPO or vice versa. There's all sorts of choices to make and you didn't make them because you failed to make a change. Okay, two, 20% of people forgot. Okay, and we're going to get to that in a minute. 19% of people did not understand like their options. And so after they made their choice and they actually found out what their choice meant, they're like, Oh, well, I regret that. Which brings us to the next point, which is the issue of active versus passive open enrollment. So an active open enrollment is when typically during the fall for the next plan year, which typically starts on January 1st, then each of the employees needs to make a decision to pick a particular medical plan or a dental plan or a vision plan. And if they don't make a choice, they will not be put on the health insurance or the dental insurance or the vision insurance, as opposed to a passive enrollment, which just says, Hey, look, employees, if you do nothing, you're just going to automatically be put on whatever choices you made last year. Those choices are going to continue on for next year. So if you chose this particular medical plan and this particular dental plan and this particular vision plan, if you do nothing, then you will automatically stay on those plans for the next year. And believe it or not, there's been a survey about that as well, which showed that about 50% of plans in America through employers have active enrollments where the employees actually have to make a choice every year. Otherwise they're not going to get the benefits or, and 50% of employers actually do a passive enrollment. Now notice that is somewhat of a change because about 10, 15 years ago, believe it or not, only 30% of plans were active and 70% were passive. So it used to be that the majority of open enrollments were passive and now it's 50, 50. Okay. So there, as you can imagine, there's pros and cons to both active and passive enrollments. Okay. So let's go through the benefits of an active open enrollment where the employees actually have to make a choice. Okay. One, they can identify the best fit for their lifestyle. Okay. So this gets us to, okay. So for the 25 of people who failed to make a change for their lifestyle and 20% of the people who forgot, guess what? They probably had passive enrollments. They probably just didn't do anything. And as a result, they just were automatically put through. Now for the 25% that, um, that they failed to make a change for their lifestyle, they probably had passive. And then for the 20% that forgot, they might've been on an active plan. And so they regretted their benefit choice because they, they got dropped from the benefits because they just forgot to do something. Okay. So if it's active, then they can say, okay, now my lifestyle has changed. So maybe I need a higher deductible or a low deductible, or maybe last year I didn't need dental in this year. I do need dental. Okay. Now two, active enrollments give employers an opportunity to educate the employees around changes in the plan. So if like there's additional benefits, like an onsite near site clinic, like telemedicine, like a navigation service, like a new plan option that you're adding, that if you do a passive enrollment, then it is highly unlikely that the majority of your employees will even like notice that that change happened to your plan. Okay. Next up, you, the employees can drop benefits that they no longer want. So a lot of times this will be for what are called worksite, uh, or, you know, critical illness benefits. And they'll be like, well, I don't really need that critical illness policy. I don't need that worksite voluntary benefit anymore. So they can drop it and they can save the money coming off their paycheck because they don't need it anymore. And then also it allows the employer to, uh, remove ineligible dependents, right? Because the, you know, prime example of that might be an ex spouse. Whereas if you did a passive enrollment, like you could literally still have an ex spouse on your plan who really shouldn't be eligible for your plan anymore. Okay. Next up, it allows the employees to actually consider a flexible spending account, FSA contributions, right? Because for your FSAs, that money that you put in every year, it's use it or lose it. And so you might want to increase the amount of money. You might want to decrease the amount of money. And so you need to actively think about that during open enrollment, where if it's passive, they might just say, okay, we're just going to put X amount of dollars in because that's what you put in last year. And that might be totally the wrong amount of money. Okay. Now there are also, so fine. So active sounds wonderful. Why is it 50, 50 for active versus passive? Why doesn't everybody do active? Well, there are benefits to passive. The A number one benefit to a passive open enrollment is it's easier because of course the employees don't mistakenly drop off the benefits. And believe me, I've told you before, I've actually personally presented at over 200 open enrollment meetings. And I will tell you that. And we did open enrollment support across our 2000 employer clients at Compass. And by and large, many employees are just tuned out. They don't pay attention. They don't put much effort into it. I'm not making a value judgment around that. I'm just saying they don't. Okay. And in fact, this equitable survey found that the typical employee only put in about 30 to 60 minutes thinking about their open enrollment decision. And they contrasted that to the fact that the average employee spends two hours a day on social media. So like 30 to 60 minutes a year on open enrollment, two hours a day on social media. So again, I'm not making a value judgment. I'm just saying they're not willing to put in the time. Okay. So that's really the enemy. The enemy here of this whole active versus passive, the enemy here for this whole 53% regretting, the enemy is employee inattention. And believe it or not, I have actually seen employers who have effectively addressed employee inattention. And here's how they did it. Open enrollment was not the sole responsibility of HR. Show me a company where open enrollment is the sole responsibility of HR. And I will show you a company that has probably more than 53% of the employees actually regretting their decision. Why? Because at most companies, the employees don't pay attention to HR. And again, I'm not like, I'm not making a value judgment. I'm just saying like, that's been my observation. That's how it is. Now, how have companies overcome this? It's because overall, the employee health plan isn't just the responsibility of HR, that people outside of HR on the executive team actually care about the employee health plan. You know, besides the fact that it costs $15,000 per employee per year, but this is where the CEO has essentially said to the company that, or, you know, the, whoever the head of the organization is, the executive director, if it's a nonprofit, et cetera, is that, look, we are going to use management to disseminate information about open enrollment to the employee population, because we use management to disseminate information throughout the company for a whole bunch of things, whether it be related to sales goals or operational goals, or it might be safety goals for the organization. And so if we're going to, if we're, it's not, it's not the words, it's not the images, it's not even the plan offerings, it's who's delivering that information. And so at a, at a 5,000 employee utility company, I saw where that utility company had, had approximately 80 peer wellness leaders within that organization that were sort of the, the folks in the trenches alongside the employees who acted as the, the, the adjunctive communication mechanism for open enrollment and employee benefits. Okay. So it wasn't just coming from HR. They also had people who were working alongside of them who were also tasked with communicating and answering questions, et cetera, et cetera, hugely effective. Next up for retail to multi thousand employee nationwide retailers that I've worked with, those retailers would have daily standups in the store to talk about like certain merchandise that they were trying to push for the salespeople or various priorities for like shipments coming in and stock and shells, et cetera, et cetera. So they would use it like operationally and for sales purposes. And they included in those daily standups information about the employee benefits and open enrollment. So it, again, it was through the management. And so show me a company where they actually include the management team and the executives outside of HR in the employee health plan and in open enrollment. And I will show you an employer that actually has greater employee engagement in their open enrollment, greater satisfaction with their open enrollment choices. And I would argue even better healthcare quality and lower healthcare costs. So this is hugely important. Now I understand, look, the CEO and the management, they're busy. Like no one is ever not going to be busy. The question is, is it just a priority? And if you want to make open enrollment in a priority, a priority within your organization, then you can absolutely improve these numbers. And that's what I wanted to share today. Thank you for watching a healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's topic is
[0:06 - 0:13]  open enrollment for health insurance. 53% of employees actually regret the choice that they
[0:13 - 0:19]  made during open enrollment. Now, I'm wearing a blue shirt today because you, one of the viewers,
[0:19 - 0:23]  asked me, hey Dr. Bricker, why don't you wear something else other than a white shirt and tie?
[0:23 - 0:29]  So, I just want you to know, look, I'm responsive to you people. Okay, open enrollment, equitable,
[0:29 - 0:35]  the company did a survey and they found that 53% of people actually regretted their open enrollment
[0:35 - 0:40]  choice. More than half regretted their open enrollment choice. And then they asked them,
[0:40 - 0:44]  why did you regret your decision? 25% of people regretted their decision for open enrollment
[0:44 - 0:49]  because they failed to change, make changes for their lifestyle. So during open enrollment,
[0:49 - 0:53]  obviously you're choosing your medical insurance and your dental and your vision and maybe short-term
[0:53 - 0:59]  disability and long-term disability and group life. So your life situation changes. Maybe you wanted to
[0:59 - 1:04]  move from an HMO to a PPO, from a high deductible plan to a PPO or vice versa. There's all sorts of
[1:04 - 1:10]  choices to make and you didn't make them because you failed to make a change. Okay, two, 20% of people
[1:10 - 1:17]  forgot. Okay, and we're going to get to that in a minute. 19% of people did not understand like their
[1:17 - 1:22]  options. And so after they made their choice and they actually found out what their choice meant,
[1:22 - 1:30]  they're like, Oh, well, I regret that. Which brings us to the next point, which is the issue of active
[1:30 - 1:39]  versus passive open enrollment. So an active open enrollment is when typically during the fall for
[1:39 - 1:44]  the next plan year, which typically starts on January 1st, then each of the employees needs to
[1:44 - 1:52]  make a decision to pick a particular medical plan or a dental plan or a vision plan. And if they don't make a
[1:52 - 1:56]  choice, they will not be put on the health insurance or the dental insurance or the vision
[1:56 - 2:02]  insurance, as opposed to a passive enrollment, which just says, Hey, look, employees, if you do
[2:02 - 2:08]  nothing, you're just going to automatically be put on whatever choices you made last year. Those
[2:08 - 2:13]  choices are going to continue on for next year. So if you chose this particular medical plan and this
[2:13 - 2:17]  particular dental plan and this particular vision plan, if you do nothing, then you will automatically
[2:17 - 2:23]  stay on those plans for the next year. And believe it or not, there's been a survey about that as well,
[2:23 - 2:28]  which showed that about 50% of plans in America through employers have active enrollments where
[2:28 - 2:32]  the employees actually have to make a choice every year. Otherwise they're not going to get the benefits
[2:32 - 2:38]  or, and 50% of employers actually do a passive enrollment. Now notice that is somewhat of a change
[2:38 - 2:46]  because about 10, 15 years ago, believe it or not, only 30% of plans were active and 70% were
[2:46 - 2:51]  passive. So it used to be that the majority of open enrollments were passive and now it's 50, 50.
[2:51 - 2:57]  Okay. So there, as you can imagine, there's pros and cons to both active and passive enrollments.
[2:57 - 3:02]  Okay. So let's go through the benefits of an active open enrollment where the employees actually have
[3:02 - 3:09]  to make a choice. Okay. One, they can identify the best fit for their lifestyle. Okay. So this gets us
[3:09 - 3:13]  to, okay. So for the 25 of people who failed to make a change for their lifestyle and 20% of the people
[3:13 - 3:17]  who forgot, guess what? They probably had passive enrollments. They probably just didn't do anything.
[3:18 - 3:25]  And as a result, they just were automatically put through. Now for the 25% that, um, that they failed
[3:25 - 3:29]  to make a change for their lifestyle, they probably had passive. And then for the 20% that forgot,
[3:30 - 3:35]  they might've been on an active plan. And so they regretted their benefit choice because they,
[3:35 - 3:41]  they got dropped from the benefits because they just forgot to do something. Okay. So if it's active,
[3:41 - 3:45]  then they can say, okay, now my lifestyle has changed. So maybe I need a higher deductible
[3:45 - 3:49]  or a low deductible, or maybe last year I didn't need dental in this year. I do need dental. Okay.
[3:49 - 3:56]  Now two, active enrollments give employers an opportunity to educate the employees around
[3:56 - 4:00]  changes in the plan. So if like there's additional benefits, like an onsite near site clinic,
[4:00 - 4:06]  like telemedicine, like a navigation service, like a new plan option that you're adding,
[4:06 - 4:13]  that if you do a passive enrollment, then it is highly unlikely that the majority of your
[4:13 - 4:17]  employees will even like notice that that change happened to your plan. Okay. Next up,
[4:19 - 4:23]  you, the employees can drop benefits that they no longer want. So a lot of times this will be
[4:23 - 4:28]  for what are called worksite, uh, or, you know, critical illness benefits. And they'll be like,
[4:28 - 4:32]  well, I don't really need that critical illness policy. I don't need that worksite voluntary benefit
[4:32 - 4:37]  anymore. So they can drop it and they can save the money coming off their paycheck because they
[4:37 - 4:44]  don't need it anymore. And then also it allows the employer to, uh, remove ineligible dependents,
[4:44 - 4:47]  right? Because the, you know, prime example of that might be an ex spouse. Whereas if you did a
[4:47 - 4:53]  passive enrollment, like you could literally still have an ex spouse on your plan who really shouldn't
[4:53 - 4:58]  be eligible for your plan anymore. Okay. Next up, it allows the employees to actually consider
[4:58 - 5:06]  a flexible spending account, FSA contributions, right? Because for your FSAs, that money that
[5:06 - 5:10]  you put in every year, it's use it or lose it. And so you might want to increase the amount of money.
[5:10 - 5:14]  You might want to decrease the amount of money. And so you need to actively think about that during
[5:14 - 5:17]  open enrollment, where if it's passive, they might just say, okay, we're just going to put X amount
[5:17 - 5:21]  of dollars in because that's what you put in last year. And that might be totally the wrong amount of
[5:21 - 5:27]  money. Okay. Now there are also, so fine. So active sounds wonderful. Why is it 50, 50 for active versus
[5:27 - 5:33]  passive? Why doesn't everybody do active? Well, there are benefits to passive. The A number one
[5:33 - 5:42]  benefit to a passive open enrollment is it's easier because of course the employees don't mistakenly
[5:42 - 5:52]  drop off the benefits. And believe me, I've told you before, I've actually personally presented at over
[5:52 - 5:57]  200 open enrollment meetings. And I will tell you that. And we did open enrollment support
[5:57 - 6:05]  across our 2000 employer clients at Compass. And by and large, many employees are just tuned out.
[6:05 - 6:09]  They don't pay attention. They don't put much effort into it. I'm not making a value judgment
[6:09 - 6:13]  around that. I'm just saying they don't. Okay. And in fact, this equitable survey found that the
[6:13 - 6:20]  typical employee only put in about 30 to 60 minutes thinking about their open enrollment decision.
[6:20 - 6:25]  And they contrasted that to the fact that the average employee spends two hours a day on social
[6:25 - 6:31]  media. So like 30 to 60 minutes a year on open enrollment, two hours a day on social media. So
[6:31 - 6:35]  again, I'm not making a value judgment. I'm just saying they're not willing to put in the time.
[6:35 - 6:42]  Okay. So that's really the enemy. The enemy here of this whole active versus passive, the enemy here
[6:42 - 6:50]  for this whole 53% regretting, the enemy is employee inattention. And believe it or not, I have actually
[6:50 - 6:57]  seen employers who have effectively addressed employee inattention. And here's how they did it.
[6:58 - 7:07]  Open enrollment was not the sole responsibility of HR. Show me a company where open enrollment is the
[7:07 - 7:12]  sole responsibility of HR. And I will show you a company that has probably more than 53% of the
[7:12 - 7:17]  employees actually regretting their decision. Why? Because at most companies, the employees don't pay
[7:17 - 7:22]  attention to HR. And again, I'm not like, I'm not making a value judgment. I'm just saying like,
