Title: Patient Trust in Healthcare: 84% Trust Doctors, 33% Health Insurance Companies
URL: https://www.youtube.com/watch?v=xkfCiAgXr0k
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is patient trust in healthcare. So the ABIM, which is the American Board of Internal Medicine, conducted a survey just this year in January of 2021 in regards to trust in healthcare. Now the ABIM is the organization that sort of certifies or gives accreditation to interns such as myself. Now, what did they find in their survey? They found that the group of healthcare professionals that have the highest level of trust is nurses. That's no surprise. 85% of their respondents said that they trust nurses. 84% of their respondents said that they trust doctors. 56% of their respondents said that they trust the government as it relates to healthcare. 34% trust pharmaceutical companies and 33% trust health insurance companies. Okay, so you can see that it drops off significantly. Now, they also asked them how they trust hospitals and 72% of the respondents said they trust hospitals. Now, that's certainly not as high as nurses and doctors, but it certainly is higher than the government, pharmaceutical companies, and insurance companies. Now, interestingly, the ABIM also surveyed doctors and they asked doctors, do you trust hospital executives? And only 53%, so about half of doctors said they trust hospital executives. They're like, whoa, that is a significant statistic. You mean to tell me the large building and organizations that doctors practice in? Like, only half the doctors actually trust them? Like, that was shocking to me. Shockingly low. Now, why is it that I'm talking about trust today? Well, obviously in healthcare, many of us want things to change because we're just not satisfied, especially as it comes to what's going on for patients, right? The cost is too high. The quality is too variable. There's not enough access. It's not equal enough across the population. So, we need things to change. Well, there's a model for change that was started way back in ancient Greece, and it was in regards to persuasion. And the ancient Greeks, smart people that they were, they said, look, it relies on ethos, pathos, and logos to persuade someone. Ethos is one's credibility. Pathos is the ability to empathize with another person. In other words, put yourself in their shoes. And then logos is the logic. So, notice it goes in this order. First, you have to establish credibility and trust. And then you have to empathize and understand the other person. And then, and only then, can you use logic. So, logic comes at the very end after empathy and credibility and trust. So, therefore, trust has to come first. So, when we're talking about changing the healthcare system, we need to understand who trusts who and who doesn't trust who. So, my question to all of us is, can insurance companies really drive patient behavior change when only 33% of patients actually trust health insurance companies? And then, can hospital executives really drive doctor behavior change when only about half of doctors trust hospital executives? So, I think we can change healthcare, but I think we need to be realistic about where that change is going to come from. And that change comes from trusted relationships. Now, let's look a little bit more at who doctors trust, right? Because if patients trust doctors and nurses so much, well, who in the world do doctors trust? Guess who they trust? Shocker. They trust other doctors. So, they trust, 94% of the doctors that they surveyed trust other doctors in their practice. And that kind of makes sense, right? Because they are doctors that they're familiar with, that they know, that they interact with. Now, it drops off somewhat that doctors only trust 85% of other doctors out there that they don't know. So, I don't know. That doesn't really seem super high. It doesn't really seem super low. Kind of seems in the middle to me. Now, interestingly, doctors, of the doctor respondents, 78% trust the government. Okay, so trust in the government among doctors is higher than the general public's trust in the government. All right, general public's trust in the government in regards to health issues is only 56%. The physicians themselves trust in the government is 78%. So, it's higher. Okay? Now, interestingly, doctors trust in pharmaceutical companies. Only 47%. Wow, that tells you something. If the makers of drugs themselves, medications themselves, only like less than half of doctors actually trust pharmaceutical companies. And then only 19% of doctors trust insurance companies. So, it's even lower than what the patient trust is of insurance companies. So, if we're going to see how patient behavior change is going to change, let's say within an employer health plan population, then we have to look at, okay, well, who are those employees going to trust? Well, they're going to trust nurses and doctors. Okay. And so, if we're going to influence those doctors, how are we going to do that? Then we're going to have to do that through other physicians, which this video today is not about how to do that. But this video today is about how not to do that. And it sounds like trying to change patient behavior change through an insurance company, probably a bad idea because there's no trust. And changing doctor behavior through a health insurance company, it's also probably a bad idea because there isn't any trust there. And that's my point for today. Thank you for watching a healthcare scene.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic
[0:05 - 0:13]  is patient trust in healthcare. So the ABIM, which is the American Board of Internal Medicine,
[0:13 - 0:20]  conducted a survey just this year in January of 2021 in regards to trust in healthcare.
[0:20 - 0:28]  Now the ABIM is the organization that sort of certifies or gives accreditation to interns
[0:28 - 0:34]  such as myself. Now, what did they find in their survey? They found that the group of healthcare
[0:34 - 0:41]  professionals that have the highest level of trust is nurses. That's no surprise. 85%
[0:41 - 0:47]  of their respondents said that they trust nurses. 84% of their respondents said that they trust
[0:47 - 0:53]  doctors. 56% of their respondents said that they trust the government as it relates to
[0:53 - 1:02]  healthcare. 34% trust pharmaceutical companies and 33% trust health insurance companies.
[1:02 - 1:10]  Okay, so you can see that it drops off significantly. Now, they also asked them how they trust hospitals
[1:10 - 1:18]  and 72% of the respondents said they trust hospitals. Now, that's certainly not as high as nurses
[1:18 - 1:22]  and doctors, but it certainly is higher than the government, pharmaceutical companies, and
[1:22 - 1:31]  insurance companies. Now, interestingly, the ABIM also surveyed doctors and they asked doctors,
[1:31 - 1:43]  do you trust hospital executives? And only 53%, so about half of doctors said they trust hospital executives.
[1:43 - 1:52]  They're like, whoa, that is a significant statistic. You mean to tell me the large building and
[1:52 - 2:01]  organizations that doctors practice in? Like, only half the doctors actually trust them? Like,
[2:01 - 2:10]  that was shocking to me. Shockingly low. Now, why is it that I'm talking about trust today? Well,
[2:10 - 2:15]  obviously in healthcare, many of us want things to change because we're just not satisfied,
[2:15 - 2:20]  especially as it comes to what's going on for patients, right? The cost is too high. The quality
[2:20 - 2:25]  is too variable. There's not enough access. It's not equal enough across the population. So,
[2:25 - 2:32]  we need things to change. Well, there's a model for change that was started way back in ancient Greece,
[2:32 - 2:37]  and it was in regards to persuasion. And the ancient Greeks, smart people that they were,
[2:37 - 2:46]  they said, look, it relies on ethos, pathos, and logos to persuade someone. Ethos is one's credibility.
[2:46 - 2:51]  Pathos is the ability to empathize with another person. In other words, put yourself in their shoes.
[2:52 - 2:59]  And then logos is the logic. So, notice it goes in this order. First, you have to establish credibility
[2:59 - 3:05]  and trust. And then you have to empathize and understand the other person. And then, and only
[3:05 - 3:12]  then, can you use logic. So, logic comes at the very end after empathy and credibility and trust.
[3:12 - 3:18]  So, therefore, trust has to come first. So, when we're talking about changing the healthcare system,
[3:18 - 3:26]  we need to understand who trusts who and who doesn't trust who. So, my question to all of us is,
[3:26 - 3:36]  can insurance companies really drive patient behavior change when only 33% of patients actually trust
[3:36 - 3:44]  health insurance companies? And then, can hospital executives really drive doctor behavior change
[3:44 - 3:53]  when only about half of doctors trust hospital executives? So, I think we can change healthcare,
[3:53 - 3:58]  but I think we need to be realistic about where that change is going to come from. And that change
[3:58 - 4:04]  comes from trusted relationships. Now, let's look a little bit more at who doctors trust, right?
[4:04 - 4:09]  Because if patients trust doctors and nurses so much, well, who in the world do doctors trust?
[4:10 - 4:16]  Guess who they trust? Shocker. They trust other doctors. So, they trust, 94% of the doctors that they
[4:16 - 4:22]  surveyed trust other doctors in their practice. And that kind of makes sense, right? Because they are
[4:22 - 4:27]  doctors that they're familiar with, that they know, that they interact with. Now, it drops off
[4:27 - 4:36]  somewhat that doctors only trust 85% of other doctors out there that they don't know. So, I don't know.
[4:37 - 4:43]  That doesn't really seem super high. It doesn't really seem super low. Kind of seems in the middle to me.
[4:43 - 4:50]  Now, interestingly, doctors, of the doctor respondents, 78% trust the government. Okay, so trust in the
[4:50 - 4:57]  government among doctors is higher than the general public's trust in the government. All right,
[4:57 - 5:01]  general public's trust in the government in regards to health issues is only 56%. The physicians
