Title: Pharma 'Rebate' Payments to PBMs No Longer Protected by Federal 'Safe Harbor'
URL: https://www.youtube.com/watch?v=6RkTNTy3hVg
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is pharma rebates to PBMs are no longer safe. What do I mean here? So the Department of Health and Human Services removed the safe harbor from pharma rebate payments to PBMs as of November of 2020. Now with all the craziness that's been going on, I don't think a lot of attention has been paid to this, but it has implications, huge implications for healthcare finance. So that's why we're going to talk about it for healthcare today. Now you remember in a previous A Healthcare Z video, I explained to you that the anti-kickback statute was created back in the late 1970s as it related to government-sponsored program, federal government-sponsored program, in other words Medicare and Medicaid, which essentially said that vendors could not provide a kickback to folks that billed Medicare and Medicaid in order to like increase their sales and essentially increase cost of Medicare and Medicaid. They're like, look, you can't give kickbacks to people, right? And then they said, okay, well, you know, there was lobbying pressure, blah, blah, blah. And they said, okay, well, we'll create this safe harbor from the anti-kickback statute. In other words, the safe harbor means that you are allowed to pay a kickback or a commission or essentially what a rebate is, right? A rebate is essentially a commission. Okay. So, and that's my point here for number two, is that, you know, healthcare is filled with euphemisms and rebate is a euphemism. Basically, a rebate is a commission paid by the pharmaceutical company to the PBM to help encourage sales or whether it's pay to play to get on the formula. I mean, there's a gazillion ways to think about it, but it's not a rebate. It's a commission. Okay. So now because of the removal of safe harbor, in other words, now the rebates are subject to the anti-kickback statute. And as a result of being subject to the anti-kickback statute, you cannot pay a kickback to the PBM anymore. And the money, whether you call it a rebate or a commission, has to now go to the seniors. Okay. And per the study that I will leave a link to in the show notes, they estimate that on an annual basis that a senior will see savings of about $381 to $1,522 per person per year. Now, if you're a senior on a fixed income getting social security, that's real money. And that's money that used to go to the PBM that is now going to be going to the senior. Now, of course, the PBM and the insurance carriers that own them are crying poor. And they're saying, well, we're just going to have to increase our premiums to make up for the decreased revenue. Now look, in a competitive marketplace, they would have to compete with each other. Now, as long as they're not colluding, then they would still need to compete on price of their premium. So it's not guaranteed that they have to quote unquote, raise their premiums, right? So just because they lose their rebate, it's not required that they raise their premiums. So we'll see what happens. Now, here's where it gets really interesting. So as I previously reported on, hey, healthcare Z. So Cigna obviously owns Express Scripts. And actually in the fall, late summer, fall of 2020, then Cigna actually renamed the whole Express Scripts side of the business. They called it Evernorth. It's basically the Cigna version of Optum, right? Optum's got OptumRx. Evernorth has their clinical services, you know, prior off called Evercore. And they also have Express Scripts in there and they call it Evernorth now. Anyway, Evernorth has a subsidiary called Ascent Health Services. What in the world is Ascent Health Services? It is a group purchasing organization, a GPO. It's based in Switzerland. So why in the world would Express Scripts need to create a group purchasing organization? Aha, because group purchasing organizations still have safe harbor from the anti-kickback statute. So in other words, GPOs can still legally get commissions and charge government programs even though they're getting commissions. So what they do is, and oh by the way, CVS then over the summer did the same thing. They started a GPO called Zinc. Probably, this is just my opinion, probably for the same reason. Now, they don't call it a rebate anymore. So now they go to the pharmaceutical company and they say, okay, we're going to charge you an administrative fee. Again, call it what you want. It is money being paid by the pharmaceutical company to the PBM. And it's an admin fee that's going to a GPO. Therefore, it falls under safe harbor from the anti-kickback statute. So the money from the government can keep flowing to Signix Scripts and CVS Aetna. Okay. Now, the safe harbor from the anti-kickback statute is only for government payers. This does not apply to employers. As an employer, you might want to do exactly what HHS is doing, right? HHS is a payer just like an employer is a payer. And obviously, HHS can like do what it wants and you as an employer, you might want to do the same thing, but you can't because you're not the government. So just know that everything I'm talking about here is it relates to federal government programs, not to employer sponsored health plans. So if the PBMs are still paying a rebate commission, or if the pharmaceutical companies are still paying rebate commissions to the PBMs, they can still do that for commercial plans. Okay. This is just for the government payers. And that's the point I wanted to make today. Thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:05 - 0:13]  pharma rebates to PBMs are no longer safe. What do I mean here? So the Department of Health and
[0:13 - 0:26]  Human Services removed the safe harbor from pharma rebate payments to PBMs as of November of 2020.
[0:26 - 0:32]  Now with all the craziness that's been going on, I don't think a lot of attention has been paid to
[0:32 - 0:36]  this, but it has implications, huge implications for healthcare finance. So that's why we're going
[0:36 - 0:40]  to talk about it for healthcare today. Now you remember in a previous A Healthcare Z video,
[0:41 - 0:48]  I explained to you that the anti-kickback statute was created back in the late 1970s as it related to
[0:48 - 0:52]  government-sponsored program, federal government-sponsored program, in other words Medicare
[0:52 - 0:59]  and Medicaid, which essentially said that vendors could not provide a kickback to folks that billed
[0:59 - 1:04]  Medicare and Medicaid in order to like increase their sales and essentially increase cost of
[1:04 - 1:08]  Medicare and Medicaid. They're like, look, you can't give kickbacks to people, right? And then they said,
[1:09 - 1:12]  okay, well, you know, there was lobbying pressure, blah, blah, blah. And they said, okay, well,
[1:12 - 1:19]  we'll create this safe harbor from the anti-kickback statute. In other words, the safe harbor means
[1:19 - 1:25]  that you are allowed to pay a kickback or a commission or essentially what a rebate is,
[1:26 - 1:30]  right? A rebate is essentially a commission. Okay. So, and that's my point here for number two,
[1:31 - 1:35]  is that, you know, healthcare is filled with euphemisms and rebate is a euphemism. Basically,
[1:35 - 1:41]  a rebate is a commission paid by the pharmaceutical company to the PBM to help encourage sales or whether
[1:41 - 1:44]  it's pay to play to get on the formula. I mean, there's a gazillion ways to think about it,
[1:44 - 1:52]  but it's not a rebate. It's a commission. Okay. So now because of the removal of safe harbor,
[1:52 - 1:57]  in other words, now the rebates are subject to the anti-kickback statute. And as a result of being
[1:57 - 2:02]  subject to the anti-kickback statute, you cannot pay a kickback to the PBM anymore. And the money,
[2:02 - 2:09]  whether you call it a rebate or a commission, has to now go to the seniors. Okay. And per the study
[2:09 - 2:15]  that I will leave a link to in the show notes, they estimate that on an annual basis that a senior
[2:15 - 2:26]  will see savings of about $381 to $1,522 per person per year. Now, if you're a senior on a fixed income
[2:26 - 2:33]  getting social security, that's real money. And that's money that used to go to the PBM that is
[2:33 - 2:38]  now going to be going to the senior. Now, of course, the PBM and the insurance carriers that own them
[2:38 - 2:41]  are crying poor. And they're saying, well, we're just going to have to increase our premiums to make
[2:41 - 2:46]  up for the decreased revenue. Now look, in a competitive marketplace, they would have to
[2:46 - 2:51]  compete with each other. Now, as long as they're not colluding, then they would still need to compete
[2:51 - 2:57]  on price of their premium. So it's not guaranteed that they have to quote unquote, raise their premiums,
[2:57 - 3:01]  right? So just because they lose their rebate, it's not required that they raise their premiums.
[3:01 - 3:07]  So we'll see what happens. Now, here's where it gets really interesting. So as I previously reported on,
[3:07 - 3:11]  hey, healthcare Z. So Cigna obviously owns Express Scripts. And actually in the fall,
[3:11 - 3:17]  late summer, fall of 2020, then Cigna actually renamed the whole Express Scripts side of the
[3:17 - 3:21]  business. They called it Evernorth. It's basically the Cigna version of Optum, right? Optum's got
[3:21 - 3:28]  OptumRx. Evernorth has their clinical services, you know, prior off called Evercore. And they also have
[3:28 - 3:34]  Express Scripts in there and they call it Evernorth now. Anyway, Evernorth has a subsidiary called
[3:34 - 3:39]  Ascent Health Services. What in the world is Ascent Health Services? It is a group purchasing
[3:39 - 3:45]  organization, a GPO. It's based in Switzerland. So why in the world would Express Scripts need to
[3:45 - 3:53]  create a group purchasing organization? Aha, because group purchasing organizations still have safe
[3:53 - 3:59]  harbor from the anti-kickback statute. So in other words, GPOs can still legally get commissions
[3:59 - 4:05]  and charge government programs even though they're getting commissions. So what they do is,
[4:05 - 4:09]  and oh by the way, CVS then over the summer did the same thing. They started a GPO called Zinc.
[4:10 - 4:15]  Probably, this is just my opinion, probably for the same reason. Now, they don't call it a rebate
[4:15 - 4:18]  anymore. So now they go to the pharmaceutical company and they say, okay, we're going to charge
[4:18 - 4:24]  you an administrative fee. Again, call it what you want. It is money being paid by the pharmaceutical
[4:24 - 4:31]  company to the PBM. And it's an admin fee that's going to a GPO. Therefore, it falls under safe harbor
[4:31 - 4:37]  from the anti-kickback statute. So the money from the government can keep flowing to Signix Scripts
[4:37 - 4:46]  and CVS Aetna. Okay. Now, the safe harbor from the anti-kickback statute is only for government payers.
[4:46 - 4:54]  This does not apply to employers. As an employer, you might want to do exactly what HHS is doing,
[4:54 - 5:01]  right? HHS is a payer just like an employer is a payer. And obviously, HHS can like do what it wants
[5:01 - 5:06]  and you as an employer, you might want to do the same thing, but you can't because you're not the
[5:06 - 5:11]  government. So just know that everything I'm talking about here is it relates to federal government
[5:11 - 5:18]  programs, not to employer sponsored health plans. So if the PBMs are still paying a rebate commission,
[5:18 - 5:22]  or if the pharmaceutical companies are still paying rebate commissions to the PBMs, they can
[5:22 - 5:26]  still do that for commercial plans. Okay. This is just for the government payers. And that's the point
[5:26 - 5:29]  I wanted to make today. Thank you for watching A Healthcare Z.
