Title: Physician Performance Reviews Explained
URL: https://www.youtube.com/watch?v=CmRlEFZD5tQ
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is Physician Performance Reviews Explained. So, between undergrad and medical school, I actually worked as a hospital finance consultant. I had a job and at that job, like, and I was on a salary and like many other people with jobs who were on salary, I had performance reviews and whether I was promoted and if I got any sort of bonus at the end of the year or if I got a pay increase at the end of the year, it was based upon my performance reviews. So, I'm like, okay, now that I'm a doctor, where are my performance reviews? And I had performance reviews when I was in my clerkships, my third year of medical school. I found that the feedback was obviously super helpful, okay? In my residency, I had zero performance reviews and in my, I worked as a hospitalist physician with a large hospital system. Also, zero performance reviews while I worked as a hospitalist. So, I'm like, okay, like, what's the experience in general for physician performance reviews? And this is particularly relevant because, right, as we move from fee-first service to value-based care, it's like, okay, well, are we going to translate the value-based care into the performance review and then have that impact physician's salary? I mean, what's the status of that? And then also, as we have physicians moving from independent to being actually employed, whether it be by a hospital system or a private equity firm or an insurance company, like United employs a bunch of doctors, or retail, so for like Amazon or Walmart. So, now that physicians are like employees, then the matter of the performance review is also becoming increasingly important. So, let's look at physician performance reviews. Okay, so I went out and I sort of surveyed, I took an informal survey of some of my colleagues in a variety of clinical settings in various parts of America. And so, for the physicians that worked at, you know, sort of large academic medical centers, they said, look, there is a formalized annual review process. It does involve your productivity, in other words, your RVUs that you build out. But then it also involves things like, you know, feedback from actually medical students that they're training, plus feedback from patients. It does involve clinical issues like, you know, how well you can control blood pressure or control on hemoglobin A1C if you're a primary care doctor, or chart reviews for various medical specialties. You know, at another medical center, they even had metrics around things like hand washing and meeting attendance. But at the end of the day, the overall compensation impact for all the, for, for not the RVUs, but for all the other measures, it was pretty minimal. It was only about two to four percent. It was like, they gave all the doctors basically a two to four percent raise every year. And if you were not a good performer, you got a two percent raise. And then if you were an excellent performer, you got a four percent raise. And if you were in the middle, you got like a three percent raise. Okay. Now at a community hospital system, so not academic, but also for an employed physician at a community hospital, there they have reviews annually around things like your length of stay. They do have patient surveys. Interestingly, one of their metrics was the ER callback time. In other words, when the doctor was called by the ER, how quickly did they return the phone call? And the sort of benchmark that they used was within 30 minutes. So interestingly, they had a hard time getting the doctors to call the ER back. So they, they tied their performance review in part to call them back to ER in a timely fashion. Okay. They also did chart reviews so they could kind of clinically review what the person was doing with their patient care. And they also took nursing feedback as well. But again, the, the financial impact of all that was only about three percent of their overall take-home pay was based upon the performance review. Okay. Next in private practice, interestingly, they tend to divide up the doctors in sort of two groups, sort of the younger, non-partners, and then the older doctors who are partners in the practice. So for the non-partners, the younger docs, they did have, um, they do have RVU sort of productivity, uh, benchmarks and requirements that they need to meet. Plus they would sit down like every six months with a more senior partner to talk about like how things are going, maybe review some charts, et cetera. Now, interestingly for the partners, nothing. And this is from multiple private practices. There was no performance review process for a variety of specialties in a variety of parts in America that if you're a partner at an independent practice and a private practice, like there's potentially like no performance review process at all. And this is important because when you go to a hospital, especially like a community hospital, like not all the doctors there are going to be employed physicians. You're going to have a mix of employed physicians and physicians like specialists that are going to be like in private practice, but they still have admitting privileges at the hospital and they're going to see you. So you're going to have a variety of physicians with a variety of performance reviews seeing you not only in the hospital, but also in the outpatient clinics associated with that hospital system. Okay. Now, so I'm like, okay, well for a hospital system, they have like certain rules that they need to adhere by in order to, to receive Medicare payment and those being accredited by the joint commission. The joint commission is actually an independent, uh, organization. It's not part of the government, but in order for a hospital to get government payment, it has to be approved by the joint commission. So I'm like, okay, does the joint commission have rules around what kind of performance review process a hospital should have? And the answer is yes, they do. They says, look, the hospital has to have an eval process every 12 months and it has to have both qualitative and quantitative aspects to that review. And the, the sort of the, the leverage that they use, because obviously the, for the private practice physicians, then like the hospital doesn't employ them. So like they can't like give them a raise or not give them a raise because they don't employ them. But really the, so the leverage that the joint commission says to do is that this needs to be done through the admitting privileges process. So in order for a physician to have admitting privileges at a hospital, then that physician's practice or group or they themselves must have a, uh, a performance review process. Now it sounds like, you know, no, no process is perfect. It sounds like there's private practice physicians that have admitting privileges at hospitals that actually don't comply. So, you know, it probably should be no shocker that the letter of the law and the rules are not like perfectly followed. So just be aware of that. Okay. Now the whole like idea of performance reviews is like not new. Okay. I have, I've got a little bit of a, of a, of a sort of an ecclesiastical view of the world, which is to say that there is nothing new. Okay. So this entire process of like doing performance reviews on people is not new, even for people who are very educated, are very highly compensated and work in life and death situations. Like just because you, you're smart and you get paid a lot and you work in life and death situations that doesn't absolve you from like the performance review process. And believe it or not, there was this gentleman by the name of Napoleon Hill, who was actually commissioned by Andrew Carnegie, uh, to study success. Not only Andrew Carnegie's, Andrew Carnegie's success at Carnegie Steel, but success across all many different industries. And what Napoleon Hill found was that all these large organizations had a performance review, the successful ones had a performance review process that involved what he called the QQS system. And QQS stands for the quantity of work, the quality of work, and the spirit that the work is performed in. Now, when I've made these videos before about five-piece care and fee for service, and I'm like, well, the physicians should be on salary. Then I get all these comments that are like, yeah, but that salary is based on RV use. Listen, of course, of course, part of a performance review is going to be based on the quantity of work. And one way to measure the quantity of work is the RVU. So does it, would Napoleon Hill in his study of performance reviews say that using physician RVU should be a part of the quality of the performance review process? Of course, right? You can't have some doctor just twiddling his thumbs all the time, not doing anything. I remember when I was a medical student, there was this, there was this radiologist that we could like never find. And we were like waiting like days to get a read on like an MRI. And our job as a medical student was to chase this guy down and to convince him to sit down and actually read the MRI. Okay. So that's a rather extreme example. But the point is, is that you actually have to do the work, right? So you got to measure that. Okay. Next, the quality of the work is also important, right? And so this is where, look, there are steps in all of these organizations around the quality of the work. Now, one might argue that the percent now, I would tell you that my informal survey said, look, a lot of this stuff is just kind of for show and hand-waving and it doesn't have any real consequence to it. In other words, it doesn't really change the physician behavior. And you can tell by the amount of money that they put behind it, that it really doesn't, it's not given any financial teeth. And so from a best practices standpoint, I'll leave a link in the show notes, but you know, for more senior managers and executives at an organization, upwards to 20 to 30% of their total annual take-home pay should be based on their performance review. So like having to be like two to 4% is like one-tenth the dollar amount that it should be in terms of like the percent of their overall take-home pay. So arguably, there's some increase in how much of a physician's take-home pay should actually be based on their performance review to give it some more teeth and actually modify the behavior to, uh, in the direction that would be best for patients. Okay, fine. So then there's the qualities. And then finally, the spirit of the service, what they, what, what Napoleon Hill meant by this, and oh, by the way, this was, uh, chapter seven in his book, Think and Grow Rich. But, um, chapter seven says that the spirit is really like the, the spirit of teamwork. Like how good of a, uh, uh, of a teammate are them as they produce the quantity of the work and the quality of the work. And again, this is a huge deal for physicians, right? Because everybody has a story of a physician just acting like a complete jerk. I mean, there are situations where like the nurses are like scared to call the physician because the physician like constantly yells at them every time they call them. I mean, in my opinion, like being a good team member is a patient safety issue. Obviously providing high quality care is a patient safety issue. Obviously providing a certain quantity of care and not just twiddling your thumbs all day, not reading MRIs. That's a patient safety issue. Okay. So arguably the issue of physician performance reviews is a patient safety issue that, you know, just like everything else in healthcare has a lot of room for improvement, but that's the way I would look at this. Not as, not in terms of like judging or not judging physicians, but in terms of like, look, if you are a patient going into a hospital, like you should just know, like, I mean, I mean, I was shocked, right? I'm like, well, where's the, again, where's my, where's my performance review? Like when I had a job, like I actually found the performance review process, like actually helpful because my boss actually took the time and explained it to me and we set our goals and I could, you know, so it's like, it's not perfect, but if you were a patient, you'd be like, oh, by the way, like your doctor, they're not reviewed. Like that would kind of make you think twice as a patient. Okay. So finally, are there other organizations that deal with life and death situations where they have a very intentional use of the performance review process? The answer is absolutely. And one of those examples is the United States military. So I was reading this book about, it's the biography of John Boyd, who was actually a colonel in the air force, but he's actually, you know, you know, everybody within the Marine Corps knows who John Boyd is. He actually has a statue of himself in the Marine Corps museum and Quantico. So a very famous military leader in, and in his, in his, um, biography, it talks about a very detailed performance review process that he would go through. And I was shocked at what he in the air force had to go through in terms of a performance review. So I looked up and it turns out that all the branches of the military have very detailed performance review processes. And they have like manuals that explain their performance review processes. And this one is specifically from the army and I'll leave a link to it in the, uh, in the show notes, but they said, look, you know, the, the, the, the people within the army are going to be reviewed based upon their results. Okay. Well, that makes sense. You know, are you accomplishing your mission, whether it's a mission in training or an active duty mission? Okay, fine. So that results is kind of around the quantity and the quality of the work, right? Because obviously if you're going to get results, you have to have a lot of results and they have to be good. So obviously that's important, but notice the other areas that are part of the formal review process in the army, you're reviewed for empathy, you're reviewed for physical fitness, you're reviewed for tact, you're reviewed for expertise, you're reviewed for, um, fostering an esprit de corps, team spirit. You were, you're reviewed for, do you build trust? You're reviewed for innovation. Are you constantly trying to improve the policies and procedures and tactics that you're using? Interestingly, so much of the review process for the military involves the spirit. It's not just quantity. It's not, listen, they're dealing with national security, life and death situation, like stuff that blows up and breaks down and crashes and can be sunk. I mean, they're dealing with very serious situations. And so they know that you need to have serious performance reviews when you're dealing with serious situations. And even in, um, the private sector, like if you read Jack Welch's autobiography straight from the gut, listen, GE was like the number one company in America in the nineties when Jack Welch was running it. And regardless of your opinion of him, that book goes into incredible detail about the performance review process at GE. And it was incredibly rigorous and incredibly stringent and Jack Welch spent a ton of his time doing performance reviews. My dad was an executive at a defense contractor where frankly, like what they did again, kind of because they worked with the military, like it was of like vital importance to like national defense. And like all my dad did was like performance reviews all day long. I'm like, dad, what'd you do today? Oh, I had a performance review. And so like, you know, most of his career was during the cold war. And so it is just vitally important for the performance of an organization, including a healthcare organization that is taking care of patients to have a sophisticated, detailed, like financially impactful performance review process. And we just have a lot of room for improvement for that in healthcare. And that's my point for today. Thank you for watching a healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:05 - 0:11]  Physician Performance Reviews Explained. So, between undergrad and medical school,
[0:11 - 0:15]  I actually worked as a hospital finance consultant. I had a job and at that job,
[0:15 - 0:18]  like, and I was on a salary and like many other people with jobs who were on salary,
[0:18 - 0:22]  I had performance reviews and whether I was promoted and if I got any sort of bonus at
[0:22 - 0:26]  the end of the year or if I got a pay increase at the end of the year, it was based upon my
[0:26 - 0:31]  performance reviews. So, I'm like, okay, now that I'm a doctor, where are my performance reviews?
[0:31 - 0:37]  And I had performance reviews when I was in my clerkships, my third year of medical school.
[0:37 - 0:42]  I found that the feedback was obviously super helpful, okay? In my residency, I had zero
[0:42 - 0:47]  performance reviews and in my, I worked as a hospitalist physician with a large hospital
[0:47 - 0:52]  system. Also, zero performance reviews while I worked as a hospitalist. So, I'm like, okay,
[0:52 - 0:58]  like, what's the experience in general for physician performance reviews? And this is
[0:58 - 1:02]  particularly relevant because, right, as we move from fee-first service to value-based care, it's
[1:02 - 1:07]  like, okay, well, are we going to translate the value-based care into the performance review and
[1:07 - 1:11]  then have that impact physician's salary? I mean, what's the status of that? And then also, as we
[1:11 - 1:16]  have physicians moving from independent to being actually employed, whether it be by a hospital
[1:16 - 1:22]  system or a private equity firm or an insurance company, like United employs a bunch of doctors,
[1:23 - 1:29]  or retail, so for like Amazon or Walmart. So, now that physicians are like employees, then the matter
[1:29 - 1:33]  of the performance review is also becoming increasingly important. So, let's look at physician
[1:33 - 1:38]  performance reviews. Okay, so I went out and I sort of surveyed, I took an informal survey of some of my
[1:38 - 1:43]  colleagues in a variety of clinical settings in various parts of America. And so, for the physicians
[1:43 - 1:48]  that worked at, you know, sort of large academic medical centers, they said, look, there is a formalized
[1:48 - 1:53]  annual review process. It does involve your productivity, in other words, your RVUs that you build out.
[1:54 - 1:58]  But then it also involves things like, you know, feedback from actually medical students that they're
[1:58 - 2:04]  training, plus feedback from patients. It does involve clinical issues like, you know, how well you can
[2:04 - 2:10]  control blood pressure or control on hemoglobin A1C if you're a primary care doctor, or chart reviews for
[2:10 - 2:15]  various medical specialties. You know, at another medical center, they even had metrics around things
[2:15 - 2:20]  like hand washing and meeting attendance. But at the end of the day, the overall compensation
[2:20 - 2:26]  impact for all the, for, for not the RVUs, but for all the other measures, it was pretty minimal. It was
[2:26 - 2:30]  only about two to four percent. It was like, they gave all the doctors basically a two to four percent
[2:30 - 2:34]  raise every year. And if you were not a good performer, you got a two percent raise. And then if you
[2:34 - 2:38]  were an excellent performer, you got a four percent raise. And if you were in the middle, you got like a
[2:38 - 2:43]  three percent raise. Okay. Now at a community hospital system, so not academic, but also for
[2:43 - 2:48]  an employed physician at a community hospital, there they have reviews annually around things
[2:48 - 2:53]  like your length of stay. They do have patient surveys. Interestingly, one of their metrics was
[2:53 - 2:58]  the ER callback time. In other words, when the doctor was called by the ER, how quickly did they return
[2:58 - 3:04]  the phone call? And the sort of benchmark that they used was within 30 minutes. So interestingly,
[3:04 - 3:08]  they had a hard time getting the doctors to call the ER back. So they, they tied their performance
[3:08 - 3:13]  review in part to call them back to ER in a timely fashion. Okay. They also did chart reviews so they
[3:13 - 3:17]  could kind of clinically review what the person was doing with their patient care. And they also took
[3:17 - 3:22]  nursing feedback as well. But again, the, the financial impact of all that was only about three
[3:22 - 3:29]  percent of their overall take-home pay was based upon the performance review. Okay. Next in private
[3:29 - 3:34]  practice, interestingly, they tend to divide up the doctors in sort of two groups, sort of the younger,
[3:34 - 3:39]  non-partners, and then the older doctors who are partners in the practice. So for the non-partners,
[3:39 - 3:45]  the younger docs, they did have, um, they do have RVU sort of productivity, uh, benchmarks and
[3:45 - 3:48]  requirements that they need to meet. Plus they would sit down like every six months with a more
[3:48 - 3:52]  senior partner to talk about like how things are going, maybe review some charts, et cetera.
[3:52 - 3:58]  Now, interestingly for the partners, nothing. And this is from multiple private practices. There was
[3:58 - 4:03]  no performance review process for a variety of specialties in a variety of parts in America that if
[4:03 - 4:06]  you're a partner at an independent practice and a private practice, like there's potentially like
[4:06 - 4:11]  no performance review process at all. And this is important because when you go to a hospital,
[4:11 - 4:15]  especially like a community hospital, like not all the doctors there are going to be employed
[4:15 - 4:20]  physicians. You're going to have a mix of employed physicians and physicians like specialists that are
[4:20 - 4:24]  going to be like in private practice, but they still have admitting privileges at the hospital
[4:24 - 4:29]  and they're going to see you. So you're going to have a variety of physicians with a variety of
[4:29 - 4:33]  performance reviews seeing you not only in the hospital, but also in the outpatient clinics
[4:33 - 4:40]  associated with that hospital system. Okay. Now, so I'm like, okay, well for a hospital system,
[4:40 - 4:45]  they have like certain rules that they need to adhere by in order to, to receive Medicare payment
[4:45 - 4:50]  and those being accredited by the joint commission. The joint commission is actually an independent,
[4:50 - 4:55]  uh, organization. It's not part of the government, but in order for a hospital to get government
[4:55 - 4:59]  payment, it has to be approved by the joint commission. So I'm like, okay, does the joint commission
[4:59 - 5:04]  have rules around what kind of performance review process a hospital should have? And the answer
[5:04 - 5:10]  is yes, they do. They says, look, the hospital has to have an eval process every 12 months and it has
[5:10 - 5:17]  to have both qualitative and quantitative aspects to that review. And the, the sort of the, the leverage
[5:17 - 5:24]  that they use, because obviously the, for the private practice physicians, then like the hospital
[5:24 - 5:29]  doesn't employ them. So like they can't like give them a raise or not give them a raise because they
[5:29 - 5:33]  don't employ them. But really the, so the leverage that the joint commission says to do is that this
[5:33 - 5:39]  needs to be done through the admitting privileges process. So in order for a physician to have admitting
[5:39 - 5:46]  privileges at a hospital, then that physician's practice or group or they themselves must have a,
[5:46 - 5:52]  uh, a performance review process. Now it sounds like, you know, no, no process is perfect. It sounds like
[5:52 - 5:56]  there's private practice physicians that have admitting privileges at hospitals that actually
[5:56 - 6:02]  don't comply. So, you know, it probably should be no shocker that the letter of the law and the rules
[6:02 - 6:10]  are not like perfectly followed. So just be aware of that. Okay. Now the whole like idea of performance
[6:10 - 6:17]  reviews is like not new. Okay. I have, I've got a little bit of a, of a, of a sort of an ecclesiastical
[6:17 - 6:21]  view of the world, which is to say that there is nothing new. Okay. So this entire process of like
[6:21 - 6:27]  doing performance reviews on people is not new, even for people who are very educated,
[6:27 - 6:32]  are very highly compensated and work in life and death situations. Like just because you,
[6:32 - 6:37]  you're smart and you get paid a lot and you work in life and death situations that doesn't absolve
[6:37 - 6:42]  you from like the performance review process. And believe it or not, there was this gentleman by the
[6:42 - 6:49]  name of Napoleon Hill, who was actually commissioned by Andrew Carnegie, uh, to study success. Not only
[6:49 - 6:56]  Andrew Carnegie's, Andrew Carnegie's success at Carnegie Steel, but success across all many
[6:56 - 7:02]  different industries. And what Napoleon Hill found was that all these large organizations
[7:02 - 7:08]  had a performance review, the successful ones had a performance review process that involved what he
[7:08 - 7:16]  called the QQS system. And QQS stands for the quantity of work, the quality of work, and the spirit
[7:16 - 7:22]  that the work is performed in. Now, when I've made these videos before about five-piece care and fee for
[7:22 - 7:26]  service, and I'm like, well, the physicians should be on salary. Then I get all these comments that are
[7:26 - 7:34]  like, yeah, but that salary is based on RV use. Listen, of course, of course, part of a performance review
[7:34 - 7:41]  is going to be based on the quantity of work. And one way to measure the quantity of work is the RVU.
[7:42 - 7:49]  So does it, would Napoleon Hill in his study of performance reviews say that using physician RVU
[7:49 - 7:54]  should be a part of the quality of the performance review process? Of course, right? You can't have
[7:54 - 7:58]  some doctor just twiddling his thumbs all the time, not doing anything. I remember when I was a medical
[7:58 - 8:03]  student, there was this, there was this radiologist that we could like never find. And we were like
[8:03 - 8:09]  waiting like days to get a read on like an MRI. And our job as a medical student was to chase this
[8:09 - 8:14]  guy down and to convince him to sit down and actually read the MRI. Okay. So that's a rather
[8:14 - 8:18]  extreme example. But the point is, is that you actually have to do the work, right? So you got
[8:18 - 8:24]  to measure that. Okay. Next, the quality of the work is also important, right? And so this is where,
[8:24 - 8:32]  look, there are steps in all of these organizations around the quality of the work. Now, one might argue
[8:32 - 8:38]  that the percent now, I would tell you that my informal survey said, look, a lot of this stuff
[8:38 - 8:42]  is just kind of for show and hand-waving and it doesn't have any real consequence to it. In other
[8:42 - 8:46]  words, it doesn't really change the physician behavior. And you can tell by the amount of money
[8:46 - 8:52]  that they put behind it, that it really doesn't, it's not given any financial teeth. And so from a
[8:52 - 8:57]  best practices standpoint, I'll leave a link in the show notes, but you know, for more senior managers
[8:57 - 9:04]  and executives at an organization, upwards to 20 to 30% of their total annual take-home pay should be
[9:04 - 9:12]  based on their performance review. So like having to be like two to 4% is like one-tenth the dollar
[9:12 - 9:18]  amount that it should be in terms of like the percent of their overall take-home pay. So arguably,
[9:18 - 9:23]  there's some increase in how much of a physician's take-home pay should actually be based on their
[9:23 - 9:28]  performance review to give it some more teeth and actually modify the behavior to, uh, in the
[9:28 - 9:32]  direction that would be best for patients. Okay, fine. So then there's the qualities. And then finally,
[9:32 - 9:36]  the spirit of the service, what they, what, what Napoleon Hill meant by this, and oh, by the way,
[9:36 - 9:42]  this was, uh, chapter seven in his book, Think and Grow Rich. But, um, chapter seven says that the
[9:42 - 9:48]  spirit is really like the, the spirit of teamwork. Like how good of a, uh, uh, of a teammate are them as
[9:48 - 9:52]  they produce the quantity of the work and the quality of the work. And again, this is a huge deal
[9:52 - 9:57]  for physicians, right? Because everybody has a story of a physician just acting like a complete
[9:57 - 10:03]  jerk. I mean, there are situations where like the nurses are like scared to call the physician
[10:03 - 10:08]  because the physician like constantly yells at them every time they call them. I mean, in my opinion,
[10:08 - 10:13]  like being a good team member is a patient safety issue. Obviously providing high quality care is a
[10:13 - 10:18]  patient safety issue. Obviously providing a certain quantity of care and not just twiddling your thumbs
