Title: Prescription Patient Assistance Programs Explained
URL: https://www.youtube.com/watch?v=H_bCtus49Lg
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is Pharma Patient Assistant Programs, especially for the uninsured. Now, because of coronavirus here in America, we now have 43 million Americans who have lost their jobs. And about 47% of those jobs, in other words about half of those jobs, provided health insurance for those employees and their family members. So unemployment now stands at around 15%. Remember for the Great Recession of 2008-2009, it peaked at 10%, so it's almost like 50% higher in terms of unemployment. So just the degree of uninsured people is going to impact people's prescriptions. That's one of the most important things that losing insurance is going to impact. Because, as we're going to see here, there are medications that people need to survive. That their insurance would mostly pay for. And they would either have a very small or no co-pay for many of these medications. And now that they're losing insurance, this medication becomes incredibly expensive. So it behooves us to look into the pharmaceutical company patient assistant programs. And we're going to look at three medications. The first class of medications we're going to look at is insulin. Of course, the reason that we're looking at this is because if you have diabetes, especially type 1 diabetes, and you stop taking your insulin, like you will die. There's a condition called diabetic ketoacidosis, or DKA, and it is life-ending if you do not take your insulin. So Lantus is long-acting insulin. It's one of the most common forms of insulin. And there is a patient assistance program from its maker where you can get a month's supply for $99, which is 10 vials or 10 packs for their insulin pens, for a month. So that's 167 units a day. That is a lot of units per day. A lot of people only need like 10, 20, 40 units per day. So to get the equivalent of 167 units per day, that's a lot. Now the price of $99 for a month's supply is guaranteed for 12 months. It doesn't say that it's open-ended, it'll go beyond that. And this is an offer from Sanofi. Okay? Now, the next long-acting insulin that's not quite as popular as Lantus, but is still fairly commonly used, is Levemir. Now they have a program that's a little different, where they will actually give you 90 days of free Levemir if your job loss is COVID-19 related. And you don't have to have any proof of income, low income, in order to qualify for it. Whereas for the Sanofi program, and typically for the Levemir program, non-COVID related, you got to submit pay stubs, your tax return, you have to show unemployment insurance payments that you're getting. So there's a lot of paperwork that you have to fill out to show that you are indigent and needy, in addition to not having insurance, in order to qualify for these programs. Now, in addition to you, the patient, having to do it, your doctor needs to fill out part of this paperwork as well. You will not qualify for this program unless your doctor fills out the doctor section of the paperwork. So just know that's an incredibly important part. Okay, next up, we have Humira, which is the highest grossing or highest revenue drug in America and in the world. It's an injection that's given about every two weeks. The person gives it to themselves at home, typically. It's for things like rheumatoid arthritis and Crohn's disease and psoriatic arthritis. And their program just says that you may be eligible for Humira for free if you don't have insurance. And then it gives some income guidelines. It says for a family of four, if your family brings in less than $157,200, that you may qualify for free Humira. Okay, that's fairly high. Like $157,000 for a family of four is more than 600% of the federal poverty level. Like it puts you in like the 85th percentile of income. In other words, you'll make more, it'll cover like 85% of households because they make less than that amount. Pretty high number. Likewise, for singles, if you make less than $76,560 a year, you also could qualify for it. Now there's an on, and that's from AbbVie, that's the makers of Humira. Okay, there's an online application process for that. So again, it's a little unclear. You don't get all the details up front, but there are, there is a process and there are options for you. And that's what really gets me to the summer year. Look, this is a process to sign up for a pharmaceutical company patient assistance program. It is a process. What do processes involve? They involve time. They involve effort. Like you, the patient, are going to have to actually work to do this. It involves the doctor's office, you know, helping you out. They have to do their part too. And it requires paperwork. You've got to get these pay stubs and these forms, et cetera, et cetera. So you've got to be organized. So probably the biggest thing about this is that it takes time. So like if you run out of your insulin and you don't have insurance and you're like, oh shoot, I don't have any insulin, like you're not immediately going to be able to qualify for this, right? It's going to take time. So really, if you have just lost your insurance or you're about to lose your insurance and you still have some insulin at home, it would behoove you to start the process for the patient assistance program now instead of waiting until it's too late. And that's my point for today. Thank you for watching A Healthcare Z. Thank you.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic
[0:05 - 0:13]  is Pharma Patient Assistant Programs, especially for the uninsured. Now, because of coronavirus
[0:13 - 0:21]  here in America, we now have 43 million Americans who have lost their jobs. And about 47% of
[0:21 - 0:26]  those jobs, in other words about half of those jobs, provided health insurance for those
[0:26 - 0:33]  employees and their family members. So unemployment now stands at around 15%. Remember for the
[0:33 - 0:37]  Great Recession of 2008-2009, it peaked at 10%, so it's almost like 50% higher in terms
[0:37 - 0:44]  of unemployment. So just the degree of uninsured people is going to impact people's prescriptions.
[0:44 - 0:50]  That's one of the most important things that losing insurance is going to impact. Because,
[0:50 - 0:55]  as we're going to see here, there are medications that people need to survive. That their insurance
[0:55 - 1:00]  would mostly pay for. And they would either have a very small or no co-pay for many of
[1:00 - 1:05]  these medications. And now that they're losing insurance, this medication becomes incredibly
[1:05 - 1:11]  expensive. So it behooves us to look into the pharmaceutical company patient assistant programs.
[1:11 - 1:15]  And we're going to look at three medications. The first class of medications we're going
[1:15 - 1:20]  to look at is insulin. Of course, the reason that we're looking at this is because if you
[1:20 - 1:25]  have diabetes, especially type 1 diabetes, and you stop taking your insulin, like you will
[1:25 - 1:32]  die. There's a condition called diabetic ketoacidosis, or DKA, and it is life-ending if you do not
[1:32 - 1:38]  take your insulin. So Lantus is long-acting insulin. It's one of the most common forms of insulin.
[1:38 - 1:42]  And there is a patient assistance program from its maker where you can get a month's supply
[1:42 - 1:50]  for $99, which is 10 vials or 10 packs for their insulin pens, for a month. So that's 167 units a day.
[1:50 - 1:57]  That is a lot of units per day. A lot of people only need like 10, 20, 40 units per day. So to get
[1:57 - 2:04]  the equivalent of 167 units per day, that's a lot. Now the price of $99 for a month's supply is guaranteed
[2:04 - 2:09]  for 12 months. It doesn't say that it's open-ended, it'll go beyond that. And this is an offer from
[2:09 - 2:15]  Sanofi. Okay? Now, the next long-acting insulin that's not quite as popular as Lantus, but is still
[2:15 - 2:19]  fairly commonly used, is Levemir. Now they have a program that's a little different, where
[2:19 - 2:26]  they will actually give you 90 days of free Levemir if your job loss is COVID-19 related.
[2:26 - 2:36]  And you don't have to have any proof of income, low income, in order to qualify for it. Whereas
[2:36 - 2:42]  for the Sanofi program, and typically for the Levemir program, non-COVID related, you got to submit pay stubs,
[2:42 - 2:49]  your tax return, you have to show unemployment insurance payments that you're getting. So there's a lot of
[2:49 - 2:55]  paperwork that you have to fill out to show that you are indigent and needy, in addition to not having
[2:55 - 3:00]  insurance, in order to qualify for these programs. Now, in addition to you, the patient, having to do it,
[3:00 - 3:07]  your doctor needs to fill out part of this paperwork as well. You will not qualify for this program unless
[3:07 - 3:14]  your doctor fills out the doctor section of the paperwork. So just know that's an incredibly important part.
[3:14 - 3:23]  Okay, next up, we have Humira, which is the highest grossing or highest revenue drug in America and in the world.
[3:23 - 3:27]  It's an injection that's given about every two weeks. The person gives it to themselves at home, typically.
[3:27 - 3:34]  It's for things like rheumatoid arthritis and Crohn's disease and psoriatic arthritis. And their program just says
[3:34 - 3:42]  that you may be eligible for Humira for free if you don't have insurance. And then it gives some income guidelines.
[3:42 - 3:50]  It says for a family of four, if your family brings in less than $157,200, that you may qualify for free Humira.
[3:50 - 3:58]  Okay, that's fairly high. Like $157,000 for a family of four is more than 600% of the federal poverty level.
[3:58 - 4:06]  Like it puts you in like the 85th percentile of income. In other words, you'll make more, it'll cover like 85% of households
[4:06 - 4:14]  because they make less than that amount. Pretty high number. Likewise, for singles, if you make less than $76,560 a year,
[4:14 - 4:20]  you also could qualify for it. Now there's an on, and that's from AbbVie, that's the makers of Humira.
[4:20 - 4:26]  Okay, there's an online application process for that. So again, it's a little unclear.
