Title: Preventive Health Screening Covered at 100% - US Preventive Services Task Force Explained
URL: https://www.youtube.com/watch?v=emv0Ic0YAK0
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello and welcome. Today we're going to talk about the US Preventive Services Task Force, otherwise known as the USPSTF. How's that for an acronym? So a branch of the US government went out and they looked at, okay, what screening tests are there sufficient scientific evidence for being useful? And actually as part of the Affordable Care Act, those screening tests that have shown up been proven to actually help maintain or improve or catch disease, make people healthier, are required to be, that screening is required to be covered at 100% by health insurance. If I'm being covered at 100%, it means the health insurance company has to pay for it, but the individual patient itself has zero out-of-pocket cost. So it's very common for primary care physicians and OBGYNs, some other physicians, to do a variety of screening tests that are covered at 100% in conjunction with the US Preventive Services Task Force. So virtual primary care services are going to be referring out for a variety of these screening services or performing a number of these screening services. So let's go through them. First off, there's going to be some screening services that are based on labs, based on blood draws, and those are things like check-in for a high cholesterol and also check-in for high blood glucose for diabetes. And those are typically done starting at the age of 35 for the cholesterol or starting at age 40 for the blood glucose and the diabetes. However, if you're at increased risk of cardiovascular disease, either because of obesity or hypertension or another risk factor, then actually it's recommended that you start earlier for the cholesterol screening as young as 18. So there are guidelines around age and gender and when you should test, and there are some exceptions to that based upon risk factors. And we'll talk about that more with other testing as well. Okay, so those are blood-based screenings. Next up, there's also mammograms for women for breast cancer screening recommended at age of 50 or greater. Now that is one guideline. Other guidelines from the American Cancer Society actually recommend 40 or greater. So it depends upon the insurance company as to whether or not they want to cover at 50 or at 40. Or if a woman is at increased risk for breast cancer, sometimes she can even have screening mammograms starting younger than the age of 40. But you have to go through sort of an approval process to get that done. So screening mammograms, also a screening that is covered at 100%. Next up, screening colonoscopies. So these are done by gastroenterologists and they are to screen for colon polyps and colon polyps are essentially pre-cancerous lesions. So colon cancer actually starts out as a benign polyp and then it transforms over time into cancer. So if you can go in and you can identify the polyp and actually remove the polyp, then you've actually removed the pre-cancerous lesion. So it's recommended and it's recommended that colon cancer screening start at age 50. It's actually a new recommendation that it start at the age of 45 for both men and women. It's recommended that you get a colonoscopy every 10 years. And then for people that have a family history of colon cancer, it's even recommended that you start earlier than age 50 or 45. So again, there are exceptions where a person might be able to get their screening colonoscopy covered at 100% at an even younger age. Okay, next up, a CT scan of the lungs screening for a lung cancer. So of course, people that are at increased risk of lung cancer are people who are smokers. So if you're over the age of 50 and you have greater than a 30 pack year history of smoking, and a 30 pack year history means that you smoked a pack a day in excess of 30 years, then those people are at increased risk of lung cancer and therefore they qualify for a screening CT scan of their lungs, covered at 100%. Next up, now so those are like, you know, like radiologic. So mammograms, CT scans, that's a radiology, send somebody to an imaging center to get that done. Screening colonoscopy, you have to refer them to a gastroenterologist and they would perform the colonoscopy on an outpatient basis, either at the hospital or in an endoscopy center. And then there's some that are just done typically in the primary care physician's office, or we might do a home blood pressure monitoring kit, etc. So screening for hypertension by checking somebody's blood pressure with a blood pressure cuff. So it's recommended it starts at greater than the age of 18. There's also screening for obesity, and that's based upon BMI, which is calculated based upon your height and your weight, with obesity being defined as a BMI greater than 30 and overweight is a BMI between 25 and 30. And that's recommended to be screened for obesity at an age greater than 18 years old. There's also sexually transmitted disease and cervical cancer screening. This is typically done for women at their OBGYN when they have their pelvic exam and their pap smear done. So OBGYNs do US Preventive Services Task Force screening as well. It's covered at 100%. And then there's also questionnaire based screening as well for depression and for alcohol abuse and also for smoking. And believe it or not, this does not even cover all of the screenings. It's a very lengthy and complicated chart based upon your age and your gender and your risk factors. But here's a variety of the more frequent screenings that are done in conjunction with USPSTF. And thank you for watching.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello and welcome. Today we're going to talk about the US Preventive Services
[0:06 - 0:15]  Task Force, otherwise known as the USPSTF. How's that for an acronym? So a branch of
[0:15 - 0:19]  the US government went out and they looked at, okay, what screening tests are
[0:19 - 0:25]  there sufficient scientific evidence for being useful? And actually as part of the
[0:25 - 0:28]  Affordable Care Act, those screening tests that have shown up been proven to
[0:28 - 0:33]  actually help maintain or improve or catch disease, make people healthier, are
[0:33 - 0:38]  required to be, that screening is required to be covered at 100% by health insurance.
[0:38 - 0:42]  If I'm being covered at 100%, it means the health insurance company has to pay for it, but the
[0:42 - 0:46]  individual patient itself has zero out-of-pocket cost. So it's very common for
[0:46 - 0:51]  primary care physicians and OBGYNs, some other physicians, to do a variety of
[0:51 - 0:55]  screening tests that are covered at 100% in conjunction with the US Preventive
[0:55 - 1:01]  Services Task Force. So virtual primary care services are going to be referring
[1:01 - 1:04]  out for a variety of these screening services or performing a number of these
[1:04 - 1:08]  screening services. So let's go through them. First off, there's going to be some
[1:08 - 1:11]  screening services that are based on labs, based on blood draws, and those are things
[1:11 - 1:15]  like check-in for a high cholesterol and also check-in for high blood glucose
[1:15 - 1:20]  for diabetes. And those are typically done starting at the age of 35 for the
[1:20 - 1:25]  cholesterol or starting at age 40 for the blood glucose and the diabetes. However, if you're at
[1:25 - 1:29]  increased risk of cardiovascular disease, either because of obesity or hypertension
[1:29 - 1:33]  or another risk factor, then actually it's recommended that you start earlier for the
[1:33 - 1:39]  cholesterol screening as young as 18. So there are guidelines around age and gender
[1:39 - 1:44]  and when you should test, and there are some exceptions to that based upon risk
[1:44 - 1:48]  factors. And we'll talk about that more with other testing as well. Okay, so those are blood-based screenings.
[1:48 - 1:55]  Next up, there's also mammograms for women for breast cancer screening recommended at age of 50 or greater.
[1:55 - 2:00]  Now that is one guideline. Other guidelines from the American Cancer Society actually recommend
[2:00 - 2:04]  40 or greater. So it depends upon the insurance company as to whether or not they want to cover
[2:04 - 2:10]  at 50 or at 40. Or if a woman is at increased risk for breast cancer, sometimes she can even have
[2:10 - 2:14]  screening mammograms starting younger than the age of 40. But you have to go through sort of an approval
[2:14 - 2:21]  process to get that done. So screening mammograms, also a screening that is covered at 100%.
[2:21 - 2:27]  Next up, screening colonoscopies. So these are done by gastroenterologists and they are to screen for
[2:27 - 2:32]  colon polyps and colon polyps are essentially pre-cancerous lesions. So colon cancer actually
[2:32 - 2:39]  starts out as a benign polyp and then it transforms over time into cancer. So if you can go in and you can
[2:39 - 2:44]  identify the polyp and actually remove the polyp, then you've actually removed the pre-cancerous lesion.
[2:44 - 2:50]  So it's recommended and it's recommended that colon cancer screening start at age 50. It's actually a new
[2:50 - 2:55]  recommendation that it start at the age of 45 for both men and women. It's recommended that you get a
[2:55 - 3:00]  colonoscopy every 10 years. And then for people that have a family history of colon cancer, it's even
[3:00 - 3:06]  recommended that you start earlier than age 50 or 45. So again, there are exceptions where a person might be
[3:06 - 3:11]  able to get their screening colonoscopy covered at 100% at an even younger age.
[3:11 - 3:17]  Okay, next up, a CT scan of the lungs screening for a lung cancer. So of course, people that are at
[3:17 - 3:21]  increased risk of lung cancer are people who are smokers. So if you're over the age of 50 and you have
[3:21 - 3:26]  greater than a 30 pack year history of smoking, and a 30 pack year history means that you smoked a pack a day
[3:26 - 3:32]  in excess of 30 years, then those people are at increased risk of lung cancer and therefore they qualify for a
[3:32 - 3:38]  screening CT scan of their lungs, covered at 100%. Next up, now so those are like, you know, like
[3:38 - 3:42]  radiologic. So mammograms, CT scans, that's a radiology, send somebody to an imaging
[3:42 - 3:46]  center to get that done. Screening colonoscopy, you have to refer them to a gastroenterologist and they
