Title: Public Safety Net Hospitals... Hidden Subsidy to Other Hospitals
URL: https://www.youtube.com/watch?v=8W5aFiknf90
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is public safety net hospitals and the hidden subsidy that they provide for other hospitals. Now, what in the world is a public safety net hospital? So these are hospitals, typically they're very large and they're in very large cities, that are funded by the local taxes, in part. Now, as you can imagine, one of the largest public safety net hospital systems in America is in New York City and they've got a whole bunch of hospitals across the different boroughs. Probably one of the most famous ones is Bellevue. Now, they also have LA County, what's now, or LA General Hospital or Medical Center, if you will, obviously huge in Los Angeles. You got San Francisco General, you've got Jackson Memorial in Miami, you've got Grady Memorial in Atlanta, you've got Cook County Hospital in Chicago, and I went to the University of Illinois Chicago for medical school and I did part of my training at Cook County. And Cook County was where the TV show ER was fictitiously based back in the 90s. Okay, of course, Parkland here in Dallas where I am. And then in Houston, there is Ben Taub and also LBJ Hospital and they're part of the Harris Health Health System, which is the public safety net hospital for Harris County, which is the county where Houston is located. And there is a fantastic new book about Ben Taub and Harris Health that's called The People's Hospital and it's by Dr. Ricardo Nwila and I listened to it on audiobook. If you're a healthcare nerd like me, I think you'll love it. I have no association with Dr. Nwila, but he has written a fantastic book about the essential role that Ben Taub plays for the people of Houston and Harris County. And I'm sure it's very analogous to the role that these other public safety net hospitals play in these other cities. Now note, they've got them in New York and LA and San Francisco and Chicago and Houston and Dallas, etc. But not every city has. In fact, a lot of cities don't have public safety net hospitals. Where I did my residency at Johns Hopkins in Baltimore, Baltimore has no public safety net hospital. Okay. So just know that while they're in some large cities, they're certainly not in all of them. But listen, it is amazing what Ben Taub does for Houston and Harris County. Like all Houstonians watching this, like you should feel very proud of the type of healthcare that your local safety net hospital system provides for its people. Now, Ben Taub and Harris Health takes 56% of their patients are uninsured. Okay. Listen, they take everybody no matter what. Okay. That's one of their roles. They take everybody no matter what, because at the end of the day, no matter what your opinion is, we are all part of the brotherhood and sisterhood of humanity. And so the wonderful people of Harris County said back in the 1960s, look, we got to do something. So they're like, we're going to take some of our property tax to then pay for this hospital system for people in Harris County. And by the way, Harris County is huge. It's got 5 million people and it's the size of Rhode Island. Okay. So this is, so everything's bigger in Texas, right? So Harris County is big. All right. Listen, so fine. Over half their patients are uninsured. One out of every five uninsured hospital admission in all of Harris County goes to Harris Health. So they're taking care of over 20% of the uninsured hospitalizations for the entire county of 5 million people. And this gets to a very interesting quote. When Dr. Nwila was interviewing one of the executives at Harris Health and Ben Taub, the executives said, if we meaning Ben Taub go, then they meaning the not for profit and for profit hospital systems in Houston, they go. If we go, they go. Now, why is that? Well, it's because Harris Health has a $1.9 billion a year budget. That's right. Their budget is almost $2 billion a year. And 46% of that budget comes from the local property tax. So if you take the $1.9 billion times the .46, then that gets to $875 million. Well, if Harris Health didn't exist, like if Harris Health was like Baltimore, where I did my residency, well then those one in five uninsured admits would then go to the not for profit hospital or to the for profit hospitals because HCA has a bunch of for profit hospitals in Houston as well. So shoot. So essentially Harris Health and Ben Taub offload one in every five uninsured hospital admits from those not for profit and for profit hospitals. And so essentially the citizens, the people of Harris County through their $875 million a year in taxes are essentially subsidizing those not for profit and for profit hospitals in Harris County because they don't have to take care of the uninsured people that Ben Taub and Harris Health are taking care of. So not only do not for profit hospitals not have to pay property tax themselves, but they also are getting subsidized by the taxpayers. I just thought you should know that. Now, interestingly, patients that go to Ben Taub, they still have to pay something. So unless you're a pregnant woman or you're homeless, if you're pregnant or you're homeless, you don't have to pay anything. But otherwise, you're expected to pay something and they do it based upon your sliding scale. Do you have any income whatsoever? Do you have a part time job? Do you have any assets whatsoever? And Dr. Nguila talks about a variety. There's all types of people that come in here, working class people, dirt poor people, incredibly wealthy people who get into like, you know, have like traumatic like car accidents. Because believe me, Ben Taub is like the place you want to go if you get into trauma. Okay. And look, for an off and it's not just the hospital, even tire house. They got outpatient clinics, they got primary care clinics, they got specialty clinics. So it's a whole health system. It's not just the hospital, right? Because not all healthcare just happens in the hospital. You got to have outpatient clinics too. And so a visit is 95 bucks. An ER visit is $150. And if you have to have same day surgery, it's $2,500. And if you have a hospital admit, it's also $2,500. And they set up payment plans. And like, there are people who like, still get healthcare, and they don't have health insurance. Okay. So I think the other thing too, to note here is that these public safety net hospitals, listen, they prove that you don't have to have health insurance to get healthcare, to get healthcare. Okay. Like, it's not, it's not required. Okay. You don't have to have health insurance to get healthcare. Because a lot of these people in Harris County, like, for a variety of reasons, do not have access to health insurance. But they're still able to get healthcare for things like heart attacks, for things like chronic kidney disease, for things like cancer. Now, this then gets me to the real problem for cities that do not have public safety net hospitals, and instead rely on the not-for-profit and the for-profit hospitals only. And believe me, I experienced this in Baltimore. So there's this rule that I'm sure many of you are familiar with, that's called EMTALA. And it passed in the 1980s. And it basically says that a hospital has to admit and take in a patient, regardless of their ability to pay. It's actually referred to as the anti-dump patient dumping law. Because back before the 1980s, when this was passed, hospitals used to dump uninsured patients, they wouldn't let them in, they would let them in and then literally dump them out. And so we said, listen, here in America, we can't be like dumping people on the street. So they made this rule. I'm tall. It said, look, you got it. If they're sick, if they've got a heart attack, they got no insurance, they got no money, you still got to admit them. Okay, fine. But they only have to be stabilized. As soon as they are stabilized, the hospital can discharge them, and they no longer have any responsibility. So this becomes a huge problem with like cancer. Because a person can come in with, let's say, they have some sort of abdominal tumor, they might have colon cancer. And that colon cancer has grown to the point where it's literally blocking the ureters, the tubes that go from the kidneys to the bladder. And so they're in acute renal failure, because the tumor has like blocked their kidneys, they might even have a kidney infection. And so you can actually have a procedure to put in stents to open up those tubes that go from the kidneys to the bladder so that urine can pass through. And then the patient is stabilized. They can be discharged. But guess what? They still have cancer. They haven't had surgery on their cancer. They haven't had radiation on their cancer. They haven't had chemo on their cancer. And I saw this in Baltimore, where once a patient without insurance, with no money, was stabilized, they were discharged. And of course, there was no place for them to go. Nobody would take them. So what would happen? Their cancer would grow, and they would come back into the hospital, and they would stabilize them again, and then they would discharge them. And then their cancer would grow again, and then it would metastasize to their liver or their lungs. And then they'd be admitted, and then they'd stabilize them again, and then they'd discharge them. And then their cancer would spread to their brain. You get the point. And then they would eventually die. And it's just, it's horrible, okay? It is really hard. I mean, it's awful. It is, it is, anybody who has ever seen this, I mean, it is heartbreaking. And obviously, for the person who's going through it, it's much worse. So just know that that horrible drama goes on in America every day. And at places like Ben Taub, they can actually, like, do the surgery and cut out the tumor and set them up with an outpatient appointment and set them up with chemo and set them up with radiation, so that you can actually have continuity of care. So these public safety net hospitals actually allow for a continuity of care for human beings who bleed red, just like you and me, regardless of if they're rich or poor, if they have insurance or they don't. And so really, again, hats off to the taxpayers of Harris County and all the taxpayers in these towns as well. They are doing an amazing service for humanity. And these hospitals and the doctors and the nurses and the therapists that work at these hospitals are doing a wonderful service to humanity. And I just wanted to bring that to your attention today. Thank you for watching a Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:05 - 0:11]  public safety net hospitals and the hidden subsidy that they provide for other hospitals.
[0:12 - 0:15]  Now, what in the world is a public safety net hospital? So these are hospitals, typically
[0:15 - 0:19]  they're very large and they're in very large cities, that are funded by the local taxes,
[0:20 - 0:26]  in part. Now, as you can imagine, one of the largest public safety net hospital systems in
[0:26 - 0:30]  America is in New York City and they've got a whole bunch of hospitals across the different
[0:30 - 0:36]  boroughs. Probably one of the most famous ones is Bellevue. Now, they also have LA County,
[0:36 - 0:42]  what's now, or LA General Hospital or Medical Center, if you will, obviously huge in Los Angeles.
[0:42 - 0:48]  You got San Francisco General, you've got Jackson Memorial in Miami, you've got Grady Memorial in
[0:48 - 0:52]  Atlanta, you've got Cook County Hospital in Chicago, and I went to the University of Illinois
[0:52 - 0:57]  Chicago for medical school and I did part of my training at Cook County. And Cook County was
[0:57 - 1:03]  where the TV show ER was fictitiously based back in the 90s. Okay, of course, Parkland here in Dallas
[1:03 - 1:10]  where I am. And then in Houston, there is Ben Taub and also LBJ Hospital and they're part of the
[1:10 - 1:16]  Harris Health Health System, which is the public safety net hospital for Harris County, which is the
[1:16 - 1:25]  county where Houston is located. And there is a fantastic new book about Ben Taub and Harris Health
[1:25 - 1:33]  that's called The People's Hospital and it's by Dr. Ricardo Nwila and I listened to it on audiobook.
[1:33 - 1:38]  If you're a healthcare nerd like me, I think you'll love it. I have no association with Dr. Nwila,
[1:38 - 1:45]  but he has written a fantastic book about the essential role that Ben Taub plays for the people
[1:45 - 1:51]  of Houston and Harris County. And I'm sure it's very analogous to the role that these other public
[1:51 - 1:57]  safety net hospitals play in these other cities. Now note, they've got them in New York and LA and
[1:57 - 2:04]  San Francisco and Chicago and Houston and Dallas, etc. But not every city has. In fact, a lot of cities
[2:04 - 2:10]  don't have public safety net hospitals. Where I did my residency at Johns Hopkins in Baltimore,
[2:10 - 2:16]  Baltimore has no public safety net hospital. Okay. So just know that while they're in some large cities,
[2:16 - 2:23]  they're certainly not in all of them. But listen, it is amazing what Ben Taub does for Houston and
[2:23 - 2:29]  Harris County. Like all Houstonians watching this, like you should feel very proud of the type of
[2:29 - 2:37]  healthcare that your local safety net hospital system provides for its people. Now, Ben Taub and Harris
[2:37 - 2:45]  Health takes 56% of their patients are uninsured. Okay. Listen, they take everybody no matter what.
[2:45 - 2:51]  Okay. That's one of their roles. They take everybody no matter what, because at the end of the day,
[2:51 - 2:58]  no matter what your opinion is, we are all part of the brotherhood and sisterhood of humanity.
[2:58 - 3:04]  And so the wonderful people of Harris County said back in the 1960s, look, we got to do something.
[3:04 - 3:11]  So they're like, we're going to take some of our property tax to then pay for this hospital system
[3:11 - 3:16]  for people in Harris County. And by the way, Harris County is huge. It's got 5 million people and it's
[3:16 - 3:20]  the size of Rhode Island. Okay. So this is, so everything's bigger in Texas, right? So Harris
[3:20 - 3:26]  County is big. All right. Listen, so fine. Over half their patients are uninsured. One out of every
[3:26 - 3:34]  five uninsured hospital admission in all of Harris County goes to Harris Health. So they're taking
[3:34 - 3:40]  care of over 20% of the uninsured hospitalizations for the entire county of 5 million people. And this
[3:40 - 3:47]  gets to a very interesting quote. When Dr. Nwila was interviewing one of the executives at Harris
[3:47 - 3:56]  Health and Ben Taub, the executives said, if we meaning Ben Taub go, then they meaning the not for profit
[3:56 - 4:05]  and for profit hospital systems in Houston, they go. If we go, they go. Now, why is that? Well, it's because
[4:05 - 4:15]  Harris Health has a $1.9 billion a year budget. That's right. Their budget is almost $2 billion a year. And 46% of that
[4:15 - 4:22]  budget comes from the local property tax. So if you take the $1.9 billion times the .46, then that gets
[4:22 - 4:30]  to $875 million. Well, if Harris Health didn't exist, like if Harris Health was like Baltimore,
[4:30 - 4:36]  where I did my residency, well then those one in five uninsured admits would then go to the not
[4:36 - 4:42]  for profit hospital or to the for profit hospitals because HCA has a bunch of for profit hospitals in
[4:42 - 4:48]  Houston as well. So shoot. So essentially Harris Health and Ben Taub offload one in every five
[4:48 - 4:55]  uninsured hospital admits from those not for profit and for profit hospitals. And so essentially the
[4:55 - 5:02]  citizens, the people of Harris County through their $875 million a year in taxes are essentially
[5:02 - 5:08]  subsidizing those not for profit and for profit hospitals in Harris County because they don't have
[5:08 - 5:12]  to take care of the uninsured people that Ben Taub and Harris Health are taking care of.
[5:13 - 5:19]  So not only do not for profit hospitals not have to pay property tax themselves, but they also are
[5:19 - 5:27]  getting subsidized by the taxpayers. I just thought you should know that. Now, interestingly, patients
[5:27 - 5:32]  that go to Ben Taub, they still have to pay something. So unless you're a pregnant woman or you're
[5:32 - 5:36]  homeless, if you're pregnant or you're homeless, you don't have to pay anything. But otherwise,
[5:36 - 5:41]  you're expected to pay something and they do it based upon your sliding scale. Do you have any
[5:41 - 5:48]  income whatsoever? Do you have a part time job? Do you have any assets whatsoever? And Dr. Nguila
[5:48 - 5:55]  talks about a variety. There's all types of people that come in here, working class people, dirt poor
[5:55 - 6:00]  people, incredibly wealthy people who get into like, you know, have like traumatic like car accidents.
[6:00 - 6:04]  Because believe me, Ben Taub is like the place you want to go if you get into trauma. Okay. And look,
[6:04 - 6:07]  for an off and it's not just the hospital, even tire house. They got outpatient clinics,
[6:07 - 6:11]  they got primary care clinics, they got specialty clinics. So it's a whole health system. It's not
[6:11 - 6:15]  just the hospital, right? Because not all healthcare just happens in the hospital. You got to have
[6:15 - 6:23]  outpatient clinics too. And so a visit is 95 bucks. An ER visit is $150. And if you have to have same day
[6:23 - 6:29]  surgery, it's $2,500. And if you have a hospital admit, it's also $2,500. And they set up payment plans.
[6:29 - 6:36]  And like, there are people who like, still get healthcare, and they don't have health insurance.
[6:36 - 6:40]  Okay. So I think the other thing too, to note here is that these public safety net hospitals,
[6:40 - 6:45]  listen, they prove that you don't have to have health insurance to get healthcare,
[6:45 - 6:51]  to get healthcare. Okay. Like, it's not, it's not required. Okay. You don't have to have health
[6:51 - 6:56]  insurance to get healthcare. Because a lot of these people in Harris County, like, for a variety of
[6:56 - 7:02]  reasons, do not have access to health insurance. But they're still able to get healthcare for things
[7:02 - 7:09]  like heart attacks, for things like chronic kidney disease, for things like cancer. Now,
[7:10 - 7:18]  this then gets me to the real problem for cities that do not have public safety net hospitals,
[7:18 - 7:23]  and instead rely on the not-for-profit and the for-profit hospitals only. And believe me,
[7:23 - 7:28]  I experienced this in Baltimore. So there's this rule that I'm sure many of you are familiar with,
[7:28 - 7:34]  that's called EMTALA. And it passed in the 1980s. And it basically says that a hospital has to admit
[7:34 - 7:41]  and take in a patient, regardless of their ability to pay. It's actually referred to as the anti-dump
[7:41 - 7:46]  patient dumping law. Because back before the 1980s, when this was passed, hospitals used to dump
[7:46 - 7:51]  uninsured patients, they wouldn't let them in, they would let them in and then literally dump them out.
[7:51 - 7:54]  And so we said, listen, here in America, we can't be like dumping people on the street.
[7:55 - 7:58]  So they made this rule. I'm tall. It said, look, you got it. If they're sick, if they've got a heart
[7:58 - 8:04]  attack, they got no insurance, they got no money, you still got to admit them. Okay, fine. But
