Title: Scaling Primary Care: Growing Customers and Clinical Staff
URL: https://www.youtube.com/watch?v=6KSTMrMTUUs
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's topic is scaling primary care and how to do that with more customers and more inputs. So today's video is based upon a discussion I had with a group that's called X equals PC or X equals primary care where they're solving for X, where X is really innovation in primary care. Now this organization was founded by doctors Kenneth Q and Paulius Mui and Dr. Dave Nichols as part of them as well and they are three very young ambitious family practice physicians who are looking to dramatically improve primary care in America. It's an incredibly laudable goal that they have. Now when they got this group of folks together to discuss scaling primary care it was a fantastic discussion and I learned a lot and I wanted to share with you a lot of what came up during that discussion. So obviously if you're scaling, in other words if you're growing primary care, then you have to have more patients, you have to have more customers, you have to have more people that you're treating. So we discussed how do you go about doing that. And so what was really interesting was that primary care is in a variety of settings and so the ways that you acquire customers is very different depending upon those settings. And so I broke it down by the various ways to acquire customers. So one is direct to consumer. And so the form of primary care that acquires customers direct to consumer, in other words the primary care physician themselves is acquiring those customers. One of the prime examples of that as far as like innovative primary care solutions is DPC, is direct primary care where it's a member, it's a monthly membership. It's not fee for service. And what's interesting is that what was discussed is that really the relationship between the physician and the patients and the customers was really instrumental in actually growing the direct to consumer channel for direct primary care practices because as one would expect like word of mouth was one of the primary ways. Okay, so it was really like like the bedside manner, the personality of the physician, how personable they were. There was a lot around availability as well in terms of the physician being highly available for that patient member, whether it be for virtual visits or nights and weekends, etc. So it wasn't about like, you know, special advertisements or using social media or blah, blah, blah, blah. It was really focused around if you could get that right. And I will add something else that another XPC physician added to was that their practice would actually call every single one of their patients like two days after the visit, just to say, like, or just to ask rather, how's it going? And just that just the effort two days after the visit was sort of like extraordinary for people, right? You want to give people sort of an extraordinary customer experience so that it's remarkable, so that they tell other people about their experience. And just having the doctor be so concerned that they would actually call you two days after the visit, just to make sure that, you know, to see if there was anything going on or how you were doing. And they found that about 15% of the time when they made that call, like something was up, they couldn't fill the medication, their symptoms had gotten worse, etc, etc. So it was incredibly helpful as far as like scaling DPC. Now, next up is acquiring customers through employers. This is where it not only direct primary care, but then also on-site near-site clinics, that's really another way to acquire patients and customers is by really, it's really working with their employer. And their employer is the one who is actually paying for the primary care services, again, sort of in a membership fashion, it's not fee-first service. And what was really interesting there during the discussion is that one of the people at the XPC event was an insurance broker. And this insurance broker was in a relatively small town in Texas, and he was able to get one DPC doctor to have an, go from nothing to a full patient panel in 11 months, just by signing up employers for the direct primary care physician. So what do you call that? Hugely successful. I mean, most direct primary care physicians in America do not have a full practice in 11 months. So to have this broker, so basically there, the acquisition strategy is that you just need to find these sort of stellar brokers, right? So they don't exist everywhere, but to a certain extent, maybe you identify the stellar broker first, and then you create the DPC practice like where the broker is, not vice versa. You don't just create the DPC practice and then try to contact the broker. It's like, let's just find those brokers. And then wherever those brokers exist, let's build DPC practices like next to them or in their geographic proximity. Okay, next up for government, this is fine, but like for government programs, for people that are on government programs, those two ways of acquiring patients don't really make sense, right? So for the poor and the elderly, they're going to be on Medicaid managed care, that's what MMC is here, or they're going to be on a Medicare Advantage plan. And so for those folks, it's really with, it's actually through the managed care plan, right? Whether it be the MA plan or the Medicaid managed care plan, that's really going to how you're going to be acquiring patients. And interestingly, we had an executive from a Medicaid managed care plan there. And he said that their organization is most interested in working with primary care physicians who frankly have high engagement with their patient populations. Now, by engagement, it's like, okay, you have an active relationship with you. The patient actively seeks care from you, as opposed to going to the emergency room or going directly to a specialist. So it's like frequency of interactions, they don't necessarily have to be in-person visits, they could be phone calls, they could be virtual visits. But the point is, is that there was an actual, and by engagement, like I'm going to say, that's just called a good old-fashioned relationship, right? So if you have a working relationship, I might even go as far, I wouldn't want to call it a friendship, but the point is, is that there's mutual trust and understanding. And that's like gold, right? And if the primary care physician has that, then the Medicaid managed care plan wants to do everything humanly possible to support those types of primary care doctors that have that type of engagement and trust with their patient populations. Okay, fine. But if you're scaling, you can't just grow customers, you have to grow your operations as well. In other words, you have to scale your inputs. Okay, now what's one of the, one of sort of the limiting reagents of inputs for primary care as it scales are the actual clinical staff or the actual clinicians that are interacting with the patients. And interestingly, the source of that scaling, at least as part of this XPC discussion, was really around nurse practitioners, physicians assistants, and interestingly, pharmacists. And so something that, one of the many things I learned during this session is, is that there's a fair number of primary care practices that are looking to scale, not by adding nurse practitioners and physicians assistants, but rather by adding pharmacists to their clinical staff, because the pharmacist can interact with the patients. And one of the main things that's super helpful to work with patients is around medication adherence, making sure that they're getting medications, they're taking their medications. Because obviously, like, just like talking to me doesn't necessarily make you better, right? You might have to have some sort of biochemical change in your body, and you're taking a pill in order to make that happen. So if you don't take the pill, then you're not going to lower your blood pressure or better control your diabetes, etc. So, I mean, not all the time, but a lot of the times you have to have a medication intervention in order to help the person. And so the pharmacists are like instrumental in assisting with that and helping make sure that patients are actually adherent and taking their medications. And then also too, there was discussion around how the, you know, the nurse practitioners and the physician's assistants, they need to have a certain degree of oversight by the primary care doc. But there's actually many ways in which, and again, it's regulated at the state level in terms of what the pharmacist can do in terms of patient interactions. But there's a lot of independence that the pharmacist can have in terms of their interactions with patients. So I thought that was super interesting in terms of scaling the inputs or the clinical staff for primary care. And then there were, I'll put this last fourth category, just like other. There were lots of other tidbits that were super interesting. So one is that there was a physician there that had gone out with his organization and they had surveyed patients about what would they pay for primary care services. And interestingly, the direct-to-consumer price point for sort of a membership for primary care services was like 19 to $29 a month. So keep in mind that most direct primary care practices, they're charging 50, 80, 100, $120. And so to a certain extent, is there some sort of scaled back primary care offering that can be done at this 19 to $29 per month price point? And then maybe over time, there's a buy up to more extensive primary care services at that higher membership. But to a certain extent, you kind of have to kind of get people in the door and get them to trust you and get them to be like, wow, this experience is very, very helpful. And starting out at a 19 to $29 per month price point might be one way to enter into that population that's not willing to fork over the full 80 to 100 bucks per month to start. Okay, next up, one of the administrators for a super huge hospital system in America, one of the largest hospital systems in the country said that look, for their primary care physicians, a quarter to a third of their primary care visits are for musculoskeletal complaints. Okay, so if you're doing direct primary care or on-site near-site clinics or you're doing Medicaid managed care or Medicare Advantage, like you better have good solutions for an MSK, right? What that really means in clinical current terms is like osteoarthritis. Another name for that is degenerative joint disease, right? And that typically is pain and decreased range of motion and problems with mobility with your knees and your hips and your spine, because those are the weight bearing joints and maybe to a certain extent your hands, because your hands get a lot of osteoarthritis as well. So just know that if you're going into primary care, like you need to have good solutions for your patients around musculoskeletal because it's going to be a quarter to a third of your patient's visits are going to be for that chief complaint. And then finally, what was really interesting was that many people thought that in this XPC event thought that really primary care was really competing with the ER and urgent care, right? That primary care wasn't necessarily competing with specialists. It wasn't necessarily competing with other primary care physicians, but what it was really competing with was urgent care and ER. Why? Because urgent care in the ER is available 24-7. So to a certain extent that these primary care offerings that are quote unquote innovative can sort of offer something either equal to or close to the availability, right? To a certain extent, just availability is a huge attractor of patients in a business. And also too, is that the cost for some of these populations in the ER is super low, right? Depending upon whether you could be like a government program or if someone on Medicaid managed care or Medicare Advantage when they go to the ER, like, it might not cost them very much. So like those people are like, okay, well, like if it doesn't really cost me very much and it's open available 24 hours a day, why don't I just use the ER as my primary care venue? And that's incredibly common. A lot of people do use the ER as their primary care venue. And so it's super important that primary care keeps in mind, okay, well, how can we actually compete with the ER and the urgent care? Because that's actually where we're going to draw a lot of our patients from. So I really wanted to share this X equals primary care organization with you, give you a little bit of information about what we discussed around scaling primary care. And that's my point for today. Thank you for watching a healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:04]  Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's topic
[0:04 - 0:13]  is scaling primary care and how to do that with more customers and more inputs.
[0:13 - 0:19]  So today's video is based upon a discussion I had with a group that's called X equals
[0:19 - 0:26]  PC or X equals primary care where they're solving for X, where X is really innovation
[0:26 - 0:33]  in primary care. Now this organization was founded by doctors Kenneth Q and Paulius Mui
[0:33 - 0:39]  and Dr. Dave Nichols as part of them as well and they are three very young ambitious family
[0:39 - 0:44]  practice physicians who are looking to dramatically improve primary care in America. It's an incredibly
[0:44 - 0:50]  laudable goal that they have. Now when they got this group of folks together to discuss
[0:50 - 0:56]  scaling primary care it was a fantastic discussion and I learned a lot and I wanted to share with you
[0:56 - 1:01]  a lot of what came up during that discussion. So obviously if you're scaling, in other words if
[1:01 - 1:06]  you're growing primary care, then you have to have more patients, you have to have more customers,
[1:06 - 1:11]  you have to have more people that you're treating. So we discussed how do you go about doing that.
[1:11 - 1:17]  And so what was really interesting was that primary care is in a variety of settings and so the ways
[1:17 - 1:22]  that you acquire customers is very different depending upon those settings. And so I broke it
[1:22 - 1:29]  down by the various ways to acquire customers. So one is direct to consumer. And so the form of primary
[1:29 - 1:34]  care that acquires customers direct to consumer, in other words the primary care physician themselves
[1:34 - 1:39]  is acquiring those customers. One of the prime examples of that as far as like innovative primary
[1:39 - 1:45]  care solutions is DPC, is direct primary care where it's a member, it's a monthly membership. It's not
[1:45 - 1:51]  fee for service. And what's interesting is that what was discussed is that really the relationship
[1:51 - 2:01]  between the physician and the patients and the customers was really instrumental in actually growing
[2:01 - 2:09]  the direct to consumer channel for direct primary care practices because as one would expect like word
[2:09 - 2:15]  of mouth was one of the primary ways. Okay, so it was really like like the bedside manner, the personality
[2:15 - 2:20]  of the physician, how personable they were. There was a lot around availability as well in terms of the
[2:20 - 2:28]  physician being highly available for that patient member, whether it be for virtual visits or nights and
[2:28 - 2:35]  weekends, etc. So it wasn't about like, you know, special advertisements or using social media or blah,
[2:35 - 2:40]  blah, blah, blah. It was really focused around if you could get that right. And I will add something
[2:40 - 2:46]  else that another XPC physician added to was that their practice would actually call every single one
[2:46 - 2:51]  of their patients like two days after the visit, just to say, like, or just to ask rather, how's it
[2:51 - 2:57]  going? And just that just the effort two days after the visit was sort of like extraordinary for people,
[2:57 - 3:03]  right? You want to give people sort of an extraordinary customer experience so that it's remarkable,
[3:03 - 3:07]  so that they tell other people about their experience. And just having the doctor be so
[3:07 - 3:12]  concerned that they would actually call you two days after the visit, just to make sure that, you know,
[3:12 - 3:16]  to see if there was anything going on or how you were doing. And they found that about 15% of the
[3:16 - 3:21]  time when they made that call, like something was up, they couldn't fill the medication, their symptoms
[3:21 - 3:28]  had gotten worse, etc, etc. So it was incredibly helpful as far as like scaling DPC. Now, next up
[3:28 - 3:34]  is acquiring customers through employers. This is where it not only direct primary care, but then
[3:34 - 3:39]  also on-site near-site clinics, that's really another way to acquire patients and customers is
[3:39 - 3:44]  by really, it's really working with their employer. And their employer is the one who is actually paying
[3:44 - 3:50]  for the primary care services, again, sort of in a membership fashion, it's not fee-first service.
[3:50 - 3:54]  And what was really interesting there during the discussion is that one of the people
[3:54 - 3:59]  at the XPC event was an insurance broker. And this insurance broker was in a relatively small
[3:59 - 4:06]  town in Texas, and he was able to get one DPC doctor to have an, go from nothing to a full patient
[4:06 - 4:13]  panel in 11 months, just by signing up employers for the direct primary care physician. So what do you
[4:13 - 4:18]  call that? Hugely successful. I mean, most direct primary care physicians in America do not have a full
[4:18 - 4:25]  practice in 11 months. So to have this broker, so basically there, the acquisition strategy is
[4:25 - 4:30]  that you just need to find these sort of stellar brokers, right? So they don't exist everywhere,
[4:30 - 4:34]  but to a certain extent, maybe you identify the stellar broker first, and then you create the DPC
[4:34 - 4:39]  practice like where the broker is, not vice versa. You don't just create the DPC practice and then try
[4:39 - 4:43]  to contact the broker. It's like, let's just find those brokers. And then wherever those brokers exist,
[4:43 - 4:49]  let's build DPC practices like next to them or in their geographic proximity. Okay, next up for
[4:49 - 4:54]  government, this is fine, but like for government programs, for people that are on government programs,
[4:54 - 4:59]  those two ways of acquiring patients don't really make sense, right? So for the poor and the elderly,
[4:59 - 5:04]  they're going to be on Medicaid managed care, that's what MMC is here, or they're going to be on a
[5:04 - 5:11]  Medicare Advantage plan. And so for those folks, it's really with, it's actually through the managed
[5:11 - 5:15]  care plan, right? Whether it be the MA plan or the Medicaid managed care plan, that's really going to
[5:15 - 5:21]  how you're going to be acquiring patients. And interestingly, we had an executive from a Medicaid
[5:21 - 5:26]  managed care plan there. And he said that their organization is most interested in working with
[5:26 - 5:32]  primary care physicians who frankly have high engagement with their patient populations. Now,
[5:32 - 5:37]  by engagement, it's like, okay, you have an active relationship with you. The patient actively
[5:37 - 5:43]  seeks care from you, as opposed to going to the emergency room or going directly to a specialist.
[5:44 - 5:47]  So it's like frequency of interactions, they don't necessarily have to be in-person visits,
[5:47 - 5:51]  they could be phone calls, they could be virtual visits. But the point is, is that there was an
[5:51 - 5:57]  actual, and by engagement, like I'm going to say, that's just called a good old-fashioned
[5:57 - 6:04]  relationship, right? So if you have a working relationship, I might even go as far, I wouldn't
[6:04 - 6:09]  want to call it a friendship, but the point is, is that there's mutual trust and understanding.
[6:12 - 6:15]  And that's like gold, right? And if the primary care physician has that, then the Medicaid managed
[6:15 - 6:21]  care plan wants to do everything humanly possible to support those types of primary care doctors
[6:21 - 6:26]  that have that type of engagement and trust with their patient populations. Okay, fine. But if you're
[6:26 - 6:32]  scaling, you can't just grow customers, you have to grow your operations as well. In other words,
[6:32 - 6:38]  you have to scale your inputs. Okay, now what's one of the, one of sort of the limiting reagents of
[6:38 - 6:44]  inputs for primary care as it scales are the actual clinical staff or the actual clinicians that are
[6:44 - 6:50]  interacting with the patients. And interestingly, the source of that scaling, at least as part of this
[6:50 - 6:57]  XPC discussion, was really around nurse practitioners, physicians assistants, and interestingly, pharmacists.
[6:57 - 7:02]  And so something that, one of the many things I learned during this session is, is that there's a
[7:02 - 7:07]  fair number of primary care practices that are looking to scale, not by adding nurse practitioners
[7:07 - 7:12]  and physicians assistants, but rather by adding pharmacists to their clinical staff, because the
[7:12 - 7:19]  pharmacist can interact with the patients. And one of the main things that's super helpful to work with
[7:19 - 7:24]  patients is around medication adherence, making sure that they're getting medications, they're taking their
[7:24 - 7:29]  medications. Because obviously, like, just like talking to me doesn't necessarily make you better,
[7:29 - 7:33]  right? You might have to have some sort of biochemical change in your body, and you're taking a pill
[7:34 - 7:38]  in order to make that happen. So if you don't take the pill, then you're not going to lower your blood
[7:38 - 7:43]  pressure or better control your diabetes, etc. So, I mean, not all the time, but a lot of the times you have to
[7:43 - 7:50]  have a medication intervention in order to help the person. And so the pharmacists are like
[7:50 - 7:55]  instrumental in assisting with that and helping make sure that patients are actually adherent and
[7:55 - 7:59]  taking their medications. And then also too, there was discussion around how the, you know,
[7:59 - 8:02]  the nurse practitioners and the physician's assistants, they need to have a certain degree
[8:02 - 8:07]  of oversight by the primary care doc. But there's actually many ways in which, and again, it's regulated
[8:07 - 8:12]  at the state level in terms of what the pharmacist can do in terms of patient interactions. But there's a
[8:12 - 8:17]  lot of independence that the pharmacist can have in terms of their interactions with patients. So I thought
[8:17 - 8:23]  that was super interesting in terms of scaling the inputs or the clinical staff for primary care.
[8:23 - 8:27]  And then there were, I'll put this last fourth category, just like other. There were lots of
[8:27 - 8:34]  other tidbits that were super interesting. So one is that there was a physician there that had gone
[8:34 - 8:38]  out with his organization and they had surveyed patients about what would they pay for primary care
[8:38 - 8:44]  services. And interestingly, the direct-to-consumer price point for sort of a membership for primary
