Title: Sentara Cone Merger Hospital Health Plan Integration
URL: https://www.youtube.com/watch?v=NSxmo84Inz4
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is Centara and Cone Health System merger. A patient and employer win. So, it was recently reported here in the middle of August 2020 that the Centara Health Care System, which is based in Norfolk, Virginia and has 12 hospitals, is going to be merging or plans to merge with the Cone Health System in the Greensboro, North Carolina area, which has five hospitals. So obviously Centara is the much larger of the two health systems. And what is super interesting about this merger is that Centara also runs a big health plan. I mean it's pretty unique among major healthcare systems in that it runs like a real health plan. It's called Optima and it has 900,000 members. It has almost a million members and they've been doing this for like 20 years. So Centara has a lot of health plan experience. Now Cone also runs a health plan that's called Health Team. It's a Medicare Advantage plan. It's much smaller. It's only 15,000 lives. They've only been doing it for a few years. But the point is that they've already started moving in the health plan direction. And in the press releases, which I'll leave a link to in the show notes, they talk about how they're very like-minded in the form of running health plans, value-based care, and really being a model for future health systems across the country. So they're really thinking big here in terms of this vertically integrated health system that's collecting premium and delivering care. Now, what's interesting is that the impetus for this merger may have been, maybe, I'm just saying, that Centara lost $770 million in 2020 because of COVID. Now, what does that tell us? We know that health insurers that are collecting premium are doing great because people are not receiving as much care. They're collecting the premium. They're not having to pay out as much in claims. What does that mean? That means that the premium they're collecting for these 900,000 folks and the decreased care that they're needing is not enough to make up for the vast majority of their patients who are fee-for-service. And as a result, they're hemorrhaging money. So if anything, if Centara wants to put itself in a better financial position, then it wants to collect more premium to hedge against the decreased patient volume risk. Okay. Now, who's really going to benefit here? Who's really going to benefit is that this is going to be competition with Blue Cross Blue Shield of North Carolina, specifically in the Greensboro area. Okay. So this is a huge win for employers and patients in the Greensboro area because Blue Cross has 77% market share in North Carolina. I mean, that's ridiculous. That's laughable. I mean, the fact that we let this happen, the fact that we let one company have 77% market share, and they're not even the most. I'll leave a link in the show notes to the top 10 most highly concentrated states, and Blue Cross dominates in places like Alabama and Michigan and Nebraska and South Carolina. So, like, this is, I mean, this is crazy. If you're a broker or an employer, this is awesome. The fact that Centara, with its health plan expertise, might come in to the Greensboro area and run a health plan that they can sell to employers in Greensboro is awesome. Okay. Now, this is great for patients because it also aligns the incentives, right? In the typical fee-for-service mill in, again, let's say hospitals in North Carolina, then they are incentivized to do more, potentially more than they need to do. And with this type of model of vertical integration with plan and healthcare provider, it's essentially Kaiser, right? It's establishing sort of a mini Kaiser along the eastern seaboard, all right? Now, what's also interesting is that Centara is specifically targeting North Carolina. They could have merged with other hospital systems in Virginia. They could have gone north to Maryland to Delaware, etc. They're in the Tidewater area, but they chose North Carolina, and that's interesting, right? Wouldn't it be interesting if other hospital systems also targeted hospitals in carrier-dominated states, just like North Carolina, that have very low competition for insurance carriers, because that would mean there would be an opportunity to gain market share and premium, right? Other states like Alabama, which has north of 90% Blue Cross Blue Shield market concentration. Michigan has incredibly high blue cross blue shield market concentration. Iowa has incredibly high market concentrations on Larry Lowe competition. So, this is potentially a very exciting development, and will be interesting to see if this is only the first domino, and if other health systems follow. Specifically with this health plan, hospital vertical integration, and then expanding to another health system that doesn't have as much experience, and then bringing that health plan experience to them. And that's my point for today. Thank you for watching a Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic
[0:05 - 0:15]  is Centara and Cone Health System merger. A patient and employer win. So, it was recently
[0:15 - 0:19]  reported here in the middle of August 2020 that the Centara Health Care System, which
[0:19 - 0:25]  is based in Norfolk, Virginia and has 12 hospitals, is going to be merging or plans to merge with
[0:25 - 0:30]  the Cone Health System in the Greensboro, North Carolina area, which has five hospitals.
[0:30 - 0:38]  So obviously Centara is the much larger of the two health systems. And what is super interesting
[0:38 - 0:44]  about this merger is that Centara also runs a big health plan. I mean it's pretty unique
[0:44 - 0:49]  among major healthcare systems in that it runs like a real health plan. It's called Optima
[0:49 - 0:53]  and it has 900,000 members. It has almost a million members and they've been doing this
[0:53 - 1:00]  for like 20 years. So Centara has a lot of health plan experience. Now Cone also runs
[1:00 - 1:04]  a health plan that's called Health Team. It's a Medicare Advantage plan. It's much smaller.
[1:05 - 1:09]  It's only 15,000 lives. They've only been doing it for a few years. But the point is that they've
[1:09 - 1:14]  already started moving in the health plan direction. And in the press releases, which I'll leave
[1:14 - 1:20]  a link to in the show notes, they talk about how they're very like-minded in the form of
[1:20 - 1:26]  running health plans, value-based care, and really being a model for future health systems
[1:26 - 1:32]  across the country. So they're really thinking big here in terms of this vertically integrated
[1:32 - 1:38]  health system that's collecting premium and delivering care. Now, what's interesting is that
[1:38 - 1:45]  the impetus for this merger may have been, maybe, I'm just saying, that Centara lost $770 million
[1:45 - 1:53]  in 2020 because of COVID. Now, what does that tell us? We know that health insurers that are
[1:53 - 1:58]  collecting premium are doing great because people are not receiving as much care. They're collecting
[1:58 - 2:02]  the premium. They're not having to pay out as much in claims. What does that mean? That means that the
[2:02 - 2:08]  premium they're collecting for these 900,000 folks and the decreased care that they're needing
[2:08 - 2:15]  is not enough to make up for the vast majority of their patients who are fee-for-service. And as a
[2:15 - 2:21]  result, they're hemorrhaging money. So if anything, if Centara wants to put itself in a better financial
[2:21 - 2:26]  position, then it wants to collect more premium to hedge against the decreased patient volume risk.
[2:26 - 2:34]  Okay. Now, who's really going to benefit here? Who's really going to benefit is that this is going to be
[2:34 - 2:41]  competition with Blue Cross Blue Shield of North Carolina, specifically in the Greensboro area.
[2:41 - 2:48]  Okay. So this is a huge win for employers and patients in the Greensboro area because Blue Cross
[2:48 - 2:56]  has 77% market share in North Carolina. I mean, that's ridiculous. That's laughable. I mean,
[2:56 - 3:02]  the fact that we let this happen, the fact that we let one company have 77% market share, and they're not
[3:02 - 3:06]  even the most. I'll leave a link in the show notes to the top 10 most highly concentrated states,
[3:06 - 3:11]  and Blue Cross dominates in places like Alabama and Michigan and Nebraska and South Carolina.
[3:11 - 3:17]  So, like, this is, I mean, this is crazy. If you're a broker or an employer, this is awesome. The fact
[3:17 - 3:23]  that Centara, with its health plan expertise, might come in to the Greensboro area and run a health plan
[3:23 - 3:29]  that they can sell to employers in Greensboro is awesome. Okay. Now, this is great for patients
[3:29 - 3:37]  because it also aligns the incentives, right? In the typical fee-for-service mill in, again, let's say
[3:37 - 3:42]  hospitals in North Carolina, then they are incentivized to do more, potentially more than they need to do.
[3:43 - 3:49]  And with this type of model of vertical integration with plan and healthcare provider, it's essentially
[3:49 - 3:56]  Kaiser, right? It's establishing sort of a mini Kaiser along the eastern seaboard, all right? Now,
[3:56 - 4:03]  what's also interesting is that Centara is specifically targeting North Carolina. They could have merged with other hospital systems in Virginia.
