Title: Shortages in Healthcare: Why?  How Do We Fix Them?
URL: https://www.youtube.com/watch?v=_PeiaSXmVgM
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's topic is shortages in health care. So I'm sure many of you have been seeing in the news how there's a shortage of doctors, all different types of doctors, but especially primary care physicians. So it's estimated that there will be a shortage of between 21,000 and 55,000 primary care physicians by 2033, just nine short years away. Shoot, today, people are having a hard time making an appointment with a primary care physician because there's a shortage of them. Likewise, I'm sure many of you have been seeing in the news or have been experiencing in your own health care a shortage of nurses where there is an estimate that there is going to be approximately 195,000 open nursing positions per year that need to be filled, but there's demand for them to be filled, but there's not supply. There's not of people. There's a shortage of people that want to be nurses to fill those job openings. So let's talk about shortages because we got a lot of shortages in health care. And in order to understand shortages, then you have to understand the basic economic supply and demand curves, right? So the law and supply and demand is what determines shortages in health care. Now, you don't have to understand the law of supply and demand, but I would argue that if you're like an educated adult, then you need to understand the law of supply and demand. So I'm sorry, this is just one of these things that you just need to know as an adult. Okay, how do you draw it? You draw a y-axis and an x-axis. Okay, on the y-axis, you have price. On the x-axis, you have quantity. Then you draw a downward sloping demand curve and an upward sloping supply curve, and they intersect. And where they intersect, that's called the equilibrium. And the price where they intersect is the equilibrium price. In other words, that's the price that is, in this case, since we're talking about jobs, right? So this is the price for labor. In other words, your wage. So the price for labor is your wage. So where the demand curve and the supply curve intersect, that determines the wage. Is the nurse going to make $75,000 or $50,000 or $100,000? Is the primary care physician going to make $150,000 or $200,000 or $250,000, right? That is determined by the intersection of the supply and demand curve. Okay, now down to the quantity. Well, how many people are going to become doctors? Well, how many people are going to become primary care physicians? How many people are going to go into nursing? Okay, that is the quantity, the number of people working at those jobs, the number of hours that they work. Okay, that's going to be the equilibrium quantity of, is going to be determined by the intersection of the price of quiet. Okay, whew, you're like, this is so boring. This is like some high school, college class. Please get to the point already. Okay, if you have an artificially low set price, by definition, you will have a shortage because the amount supplied will be back here. The amount demanded will be way up here. And so the difference between here, the amount supplied at that artificially low price, and here, the amount demanded at that artificially low price gives you the shortage, right? So that much nursing or that much primary care, that's what's supplied at the artificially low price. But this is how much is demanded by patients, etc. Okay, so fine. So by definition, if you have an artificially low set price, you will have a shortage. End of story. So anytime you see a shortage anywhere, you should say to yourself, aha, there's an artificially low set price. So you have rationing. By definition, when you have shortages, you have rationing. And there's two types of rationing. There is a queue. There is a wait list. It's first come first serve, right? By definition, if there's not enough, you gotta wait. Okay, or two, there's price rationing, which is okay, well, if you don't want to wait, then you pay more. So in other words, it allows the price to go from the artificially low price up to the equilibrium price. So here in America, in the free market for like, let's say at the grocery store, we do largely do price rationing, right? Well, we you know, you pay more for your bananas or your bread, and they supply the bananas and the bread, and then you get this equilibrium, there's enough bananas and bread, and people pay for it, right? Whereas like back in the 20th century, with like, you know, Maoism and, you know, and communism and Marxism, right? What did they have? They had artificially low set prices. So they didn't have enough bananas and bread. So there was a shortage, right? Okay, so there was a waitlist, there was a queue. All right, so that exists in healthcare across the planet. Okay, the important thing about shortages in healthcare in America is that healthcare in America is filled with both queue rationing and price rationing. It's not a question of one, it's not a question of the other, both exist. Okay, now, this happens all over the world. Let me give you an example. The British National Health Service, so in the United Kingdom, they have the British National Health Services, which has artificially low set prices, because the government sets the prices for what they pay the doctors and the nurses or whatever. But, and so there, what do they have in the British National Health Service? They have queues, they got lots of lines. Okay, but in the UK, they don't have one, but they rather have two healthcare systems. That's right. In Great Britain, they also have a private pay healthcare system, where the doctors are allowed to set a certain amount of time. It's like 20% of their time for people who can pay. They can essentially skip the line by paying. So, in other words, they use price to ration for like 20% of their office visits. Okay, so it's a combination of a queue, first come, first serve in Great Britain, and price rationing based on the ability to pay. Now, just north up of the border, up in Canada, Canada, the whole price rationing thing, against the wall. Everybody in Canada has to wait in a queue on a first come, first serve basis. And I'll tell you a specific story about a wait list. We had an employee at Compass who was Canadian. She lived in America. She was married to an American guy. Her sister was still living in Canada, and her Canadian sister's small child was having some lung problems. Needed to see a pediatric pulmonologist. And so the two sisters are talking. The Canadian sister says, you know, it's May. I couldn't get an appointment until September. And the American sister says, I can't believe that till September. That's outrageous. That's June, July, August, September. That's four months from now. And the Canadian sister said, no, it's not September of this year. It's September of next year. What? So the woman, the Canadian woman's child didn't have to wait four months. The Canadian woman's child had to wait 16 months for a pediatric pulmonology appointment. Okay. So everyone says, okay, well, you know, it's affordable, et cetera, et cetera. But just know that there is, if you're going to set artificially low prices, then by definition, you will have a wait list and you will have children waiting 16 months for pediatric pulmonologists. Okay. I'm not, I'm not trying to be alarmist here, but we just need to understand that, you know, we talk about how expensive healthcare is in America. Listen, and that's bad, but listen, 18 month waiting lists or 16 month waiting lists, they're bad too. Again, the point of this video today is not to debate which is better or worse. The point is, is that shortages exist as a result of artificially low prices. By definition, you will either have a wait list queue or price rationing. There's no other way. And specifically, let's look at how it relates to the severity. I told you there was a mix in America. Let's look at the severity of illness in America. So let's look at trauma. Okay. So in a traumatic situation, the demand curve is perfectly inelastic. It goes up and down. You're going to demand services for that trauma, no matter what. Let's specifically use your hand getting caught in a lawnmower, because that's actually a real example. This is a real example for the County in Texas, where I live, where there's about a million people. And there is only one hand surgeon that takes weekend call in this entire County of 1 million people. So if one guy sticks his hand in the lawnmower, which by the way, this happened and has to go to the hospital on the weekend, there's only one guy for a million people to do something about that. Now, let's say two people put their hands in the lawnmower on the weekends. Those two people, they have to wait because there is an artificially low set price for trauma surgery. Okay. So why? Because we have government payment and third party insurance company payment for these services. Okay. It's not self-pay. It's not private pay. So there is no equilibrium price. By definition, there is a shortage. And by definition, when there's a shortage, then it's going to become first come first serve. When there is no opportunity, you can't like pay the hand surgeon more. There's no opportunity to do price rationing. It's not even an option, right? So there now, but we have a completely opposite situation in America as well for healthcare. It's called LASIK eye surgery. That's right. You go to the ophthalmologist, you can have vision correction, laser surgery on your eyes. So you don't need your glasses anymore. That is completely self-pay by the patient. There's no third party payment. The government doesn't pay for it. Insurance companies don't pay for it. And as a result, there is an equilibrium between the supply of ophthalmologists performing LASIK eye surgery and the demand for LASIK eye surgery. There is no shortage of LASIK eye surgery. You want to get your LASIK eye surgery done? You can totally get it done. You might not be able to afford it, in which case you won't demand it. But if you want it and you're willing to pay for it, you can get it. Now, there's pros and cons to each. I'm sure that there are people that want to have LASIK eye surgery that can't afford to have it, so they don't. And then likewise, there are people here who get their hands stuck in a lawnmower who have to wait hours, maybe even days, to get their hand operated on because of this artificially low set price. So again, the point of this video is not to quote-unquote solve this issue. Okay, these quote-unquote issues will never be solved. But the point is, is that it's not complicated. The underlying cause of it is not complicated. The underlying cause of a shortage is an artificially low set price. And then there are subsequently two forms of rationing, a queue or price rationing. And so we individually, as people, and collectively, as companies, and collectively, as states, and collectively, as a country, need to decide, okay, in which medical situations are we willing to put up with a queue? And in which medical situations are we willing to pay a higher price to not have a queue? And that is the lens through which we can clearly look at a variety of healthcare services. And that's my point for today. Thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:01 - 0:04]  Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's
