Title: Startup Signify Health Valued at $5.4B for Medicare Advantage Risk Adjustment?
URL: https://www.youtube.com/watch?v=-1_mBZLsKvU
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's topic is Signify Health's IPO valuing the company at 5.4 billion dollars and how that relates to Medicare Advantage. So Signify Health just went public on February 11th of 2021 so just this month and they have 502 million dollars of revenue as of 2019 which got them to a valuation year in 2021 of 5.4 billion dollars so I mean that's a significant amount of revenue and obviously that is a hugely significant company valuation so what in the world does Signify Health do? They are a quote-unquote value-based healthcare platform. What in the world does that mean? So Signify Health does the Medicare Advantage risk adjustment scoring for Medicare Advantage plans. So an insurance company hires Signify Health to go out and visit their Medicare Advantage beneficiaries in person to say okay well how sick are you? Do you have diabetes? Do you have emphysema? High blood pressure? Coronary artery disease? And the sicker that beneficiary is the more the government pays the Medicare Advantage plan per beneficiary because if you're not a very sick beneficiary the government doesn't pay very much because you're probably not going to have as many claims and if you're a very sick beneficiary then you're probably going to incur a lot of claims so the government gives the insurance company even more money to make up for that. So to the extent that the Medicare Advantage plan can take somebody who's sick and collect a lot of money from the government and then make them well so that they don't incur a lot of claims then the Medicare Advantage plan gets to keep the difference and make more money. So that's why Medicare Advantage plans hire Signify Health. Now those home assessments are actually done by the Signify Health employees and they document the disease. Now Signify Health is actually a relatively new company. It was formed by the combination of Sensio Health and Advanced Health in 2018 so just three years ago. Now Sensio Health had somewhat of a troubled past when there was a whistleblower lawsuit that was filed in 2014 and this employee claimed that Sensio Health was exaggerating the illness severity of the beneficiaries when they went out to do the home visits and maybe these people weren't even doctors that were doing the home visits and when they were making all these assessments they didn't do any treatment. Well shoot what's the point of the doctor going out and seeing the person if all they're going to do is document it but not do anything about their diabetes or their high blood pressure. I mean the whole point of a home visit is to actually do something about it. Well Sensio was doing this for 30 plans, 30 different Medicare Advantage plans. So in other words they were just contracted with one health insurance company they were contracted with a whole bunch of health insurance companies including Blue Cross plans and even Humana across 15 states. I mean Sensio was a serious operation and this lawsuit was settled in January of 2018. Settled. Aha! The same year that Sensio and Advanced Health combined. Maybe it was a coincidence. Now interestingly Health Evolution Partners was the private equity firm that had initially invested in Sensio and David Brailler from Health Evolution Partners was on the board of Sensio. Who is David Brailler? He was the health information czar for President George W. Bush. Isn't that interesting? Now we had previously talked about other companies that had very high political connections on their boards and with their investors. So let's see how this high connection with David Brailler plays out. Now this whole, so there's a couple stories going on here right, so there's the government connection story, but then there's this whole like risk adjustment whistleblower, you know Medicare Advantage thing like not being real right? And guess what? United Healthcare, the Department of Justice filed a suit against United Healthcare for very similar reasons, which has since been dropped. But then Cigna also has a lawsuit filed against it. But then Cigna also has a lawsuit filed against it by the Department of Justice, again for very similar things, for making their beneficiaries appear sicker than they actually were so that they could get paid more money by the government for these quote unquote risk adjustment payments. And it's a suit is for $1.4 billion. So Cigna is a huge company, but $1.4 billion is still a significant amount of money. Okay. Now, the other connection that's very similar to David Brailler was NaviHealth, which is a company that I did a previous A HealthCare Z video on. And NaviHealth does discharge planning for people that are on Medicare Advantage plans. Aha, again, Medicare Advantage. And it's for Tom, Tom, there, Thomas Scully was the original sort of investor and got on the board of directors. And Thomas Scully was also in both President H.W. Bush and George W. Bush's administrations. So what's my point? My point is, is that here we have two companies, and NaviHealth was a multi-billion dollar acquisition by UnitedHealth Group. So this is where, other than their value proposition of home assessments or discharge planning, they had incredibly high political connections as it related to like Medicare Advantage, which was the ultimate space that they were in. And then two, this area of Medicare Advantage, frankly, has been having some challenges around whether these assessments are exaggerated or not. And so I wanted to bring that to your attention today. And thank you for watching A HealthCare Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's
[0:05 - 0:11]  topic is Signify Health's IPO valuing the company at 5.4 billion dollars and
[0:11 - 0:16]  how that relates to Medicare Advantage. So Signify Health just went public on
[0:16 - 0:23]  February 11th of 2021 so just this month and they have 502 million dollars of
[0:23 - 0:29]  revenue as of 2019 which got them to a valuation year in 2021 of 5.4 billion
[0:29 - 0:33]  dollars so I mean that's a significant amount of revenue and obviously that is
[0:33 - 0:38]  a hugely significant company valuation so what in the world does Signify Health do?
[0:38 - 0:43]  They are a quote-unquote value-based healthcare platform. What in the world
[0:43 - 0:50]  does that mean? So Signify Health does the Medicare Advantage risk adjustment scoring
[0:50 - 0:55]  for Medicare Advantage plans. So an insurance company hires Signify Health to
[0:55 - 1:02]  go out and visit their Medicare Advantage beneficiaries in person to say okay well
[1:02 - 1:05]  how sick are you? Do you have diabetes? Do you have emphysema? High blood pressure?
[1:05 - 1:10]  Coronary artery disease? And the sicker that beneficiary is the more the
[1:10 - 1:14]  government pays the Medicare Advantage plan per beneficiary because if you're
[1:14 - 1:17]  not a very sick beneficiary the government doesn't pay very much because
[1:17 - 1:20]  you're probably not going to have as many claims and if you're a very sick
[1:20 - 1:24]  beneficiary then you're probably going to incur a lot of claims so the government
[1:24 - 1:28]  gives the insurance company even more money to make up for that. So to the
[1:28 - 1:33]  extent that the Medicare Advantage plan can take somebody who's sick and collect a
[1:33 - 1:37]  lot of money from the government and then make them well so that they don't
[1:37 - 1:41]  incur a lot of claims then the Medicare Advantage plan gets to keep the
[1:41 - 1:45]  difference and make more money. So that's why Medicare Advantage plans hire
[1:45 - 1:50]  Signify Health. Now those home assessments are actually done by the Signify Health
[1:50 - 1:56]  employees and they document the disease. Now Signify Health is actually a relatively new company.
[1:56 - 2:02]  It was formed by the combination of Sensio Health and Advanced Health in
[2:02 - 2:10]  2018 so just three years ago. Now Sensio Health had somewhat of a troubled past when
[2:10 - 2:15]  there was a whistleblower lawsuit that was filed in 2014 and this employee claimed that
[2:15 - 2:20]  Sensio Health was exaggerating the illness severity of the beneficiaries
[2:20 - 2:25]  when they went out to do the home visits and maybe these people weren't even doctors that
[2:25 - 2:30]  were doing the home visits and when they were making all these assessments they didn't do
[2:30 - 2:34]  any treatment. Well shoot what's the point of the doctor going out and seeing the
[2:34 - 2:38]  person if all they're going to do is document it but not do anything about their diabetes or their high
[2:38 - 2:42]  blood pressure. I mean the whole point of a home visit is to actually do something about it.
[2:42 - 2:48]  Well Sensio was doing this for 30 plans, 30 different Medicare Advantage plans. So in other words they were
[2:48 - 2:51]  just contracted with one health insurance company they were contracted with a whole
[2:51 - 2:57]  bunch of health insurance companies including Blue Cross plans and even Humana across 15 states.
[2:57 - 3:11]  I mean Sensio was a serious operation and this lawsuit was settled in January of 2018. Settled. Aha! The same year that Sensio
[3:11 - 3:38]  and Advanced Health combined. Maybe it was a coincidence. Now interestingly Health Evolution Partners was the private equity firm that had initially invested in Sensio and David Brailler from Health Evolution Partners was on the board of Sensio. Who is David Brailler? He was the health information czar for President George W. Bush. Isn't that interesting?
[3:38 - 3:52]  Now we had previously talked about other companies that had very high political connections on their boards and with their investors. So let's see how this high connection with David Brailler plays out.
[3:52 - 4:12]  Now this whole, so there's a couple stories going on here right, so there's the government connection story, but then there's this whole like risk adjustment whistleblower, you know Medicare Advantage thing like not being real right? And guess what? United Healthcare, the Department of Justice filed a suit against United Healthcare for very similar reasons, which has since been dropped.
[4:12 - 4:26]  But then Cigna also has a lawsuit filed against it. But then Cigna also has a lawsuit filed against it by the Department of Justice, again for very similar things, for making their beneficiaries appear sicker than they actually were so that they could get paid more money by the government for these quote unquote risk adjustment payments.
