Title: Story of Cigna PR Executive Whistleblower Wendell Potter
URL: https://www.youtube.com/watch?v=laqFFN47wDQ
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's topic is the story of Cigna PR executive whistleblower. And the name of this whistleblower is Wendell Potter. Now many of you have probably already heard of him before, but if you haven't and you work in healthcare or health insurance, you have to know who Wendell Potter is. Now, he used to be in PR first at Humana, then he was the head of corporate communications and PR at Cigna until he left in 2007. So this is a while ago, 13 years ago. Now, why is he so famous? Well, he revealed as a whistleblower after he left Cigna a lot of things about the practices of health insurance companies and their PR. So for example, he announced that AHIP, American's Health Insurance Plan, another with a lobby group for health insurance companies in America, they gave cherry-picked data about the Canadian healthcare system to make it look particularly bad during the political debates during Obamacare and before that. He also revealed that the entire language of quote-unquote death panels that was used in, you know, whether it be Congress or the Senate, etc., that was, those were PR talking points that were given to them by the health insurance PR machine. Okay. Well, that may or may not be surprising to folks, but he came out and said it. Now, why did he, why did he make this change? It's a fascinating thing. So, he is from East Tennessee, from the Knoxville area. He went back home where he saw, not on purpose, but he happened to see a health expedition at their local fairgrounds where they set up all these clinics and all this free care for people to come who didn't have any health insurance, didn't have any money. And so they used the fairgrounds. He saw, there there were so many people, they had driven from miles and miles away, they were sleeping in their cars to wait for care multiple days. They waited in animal stalls to receive care. And that's when he said, look, what I'm doing in the health insurance industry, it's not good for people. He saw it with his own eyes and he saw that it wasn't good for people. Now, he then gave SEDA testimony in 2009 that was very famous as well. This is during the time of Michael Moore's Sicko movie coming out where he talked about patient dumping by the insurance industry. Again, this is pre-Obamacare ACA when insurance companies would be like, oh, you're getting sick? We're just going to dump you. Okay? So, obviously as an insurance company, that's a great way to make money if you collect premium. And then the entire reason that you have insurance is like, then don't, so that you don't have to make the payout, right? I mean, that's a pretty good deal for the insurance company, right? So, he alluded to this. And that was part of the reason why those types of practices were then included in Obamacare, so that they couldn't do it anymore, right? So, now, most recently he has started a website called Tarbell.org, which is a non-profit organization that does investigative journalism. And interestingly, it's named after Ida Tarbell, who was a journalist who did a lot of the reporting over a hundred years ago about Standard Oil, and what she brought to light ended up contributing to the breakup of Standard Oil. Now, why am I bringing this up today? Well, one, you need to know who Wendell Potter is. And then, two is, I would say on almost a weekly basis, I talk with doctors, hospital executives, and managed care executives and middle managers in these places as well, who essentially tell me things that are very similar to Wendell Potter. The only difference is, they have not come forth and done what Wendell Potter did. So, listen, I am not judging them at all. Listen, they are making their own choices. I am very thankful for what they tell me. However, Wendell Potter is not an exception. That's my point. Based upon my conversations with these other people, there are a lot more Wendell Potters out there. So, that's point number one. Point number two is, is that there are a lot of people in the physician world, the hospital world, the health insurance world, who want to make positive change. And I think one of the things that caused Wendell Potter, to sort of see the light, if you will, is that he saw in person, the effects. And once you see the effects in person, I think for most people, you can't deny it. So, I would say to the A Healthcare Z community, that one of the things that we need to do, is we need to help our colleagues see in person what's going on, to see the faces of the people that are being impacted. Because once you do, you can't deny it. And that's my point for today. Thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:04]  Hello, this is Dr. Eric Bricker and thank you for watching A Health Care Z. Today's
[0:04 - 0:13]  topic is the story of Cigna PR executive whistleblower. And the name of this whistleblower is Wendell
[0:13 - 0:17]  Potter. Now many of you have probably already heard of him before, but if you haven't and
[0:17 - 0:23]  you work in healthcare or health insurance, you have to know who Wendell Potter is. Now,
[0:23 - 0:29]  he used to be in PR first at Humana, then he was the head of corporate communications
[0:29 - 0:37]  and PR at Cigna until he left in 2007. So this is a while ago, 13 years ago. Now, why is
[0:37 - 0:46]  he so famous? Well, he revealed as a whistleblower after he left Cigna a lot of things about the
[0:46 - 0:53]  practices of health insurance companies and their PR. So for example, he announced that
[0:53 - 0:58]  AHIP, American's Health Insurance Plan, another with a lobby group for health insurance companies
[0:58 - 1:05]  in America, they gave cherry-picked data about the Canadian healthcare system to make it look
[1:05 - 1:14]  particularly bad during the political debates during Obamacare and before that. He also revealed
[1:14 - 1:21]  that the entire language of quote-unquote death panels that was used in, you know, whether
[1:22 - 1:27]  it be Congress or the Senate, etc., that was, those were PR talking points that were given
[1:27 - 1:34]  to them by the health insurance PR machine. Okay. Well, that may or may not be surprising
[1:34 - 1:43]  to folks, but he came out and said it. Now, why did he, why did he make this change? It's a fascinating
[1:43 - 1:50]  thing. So, he is from East Tennessee, from the Knoxville area. He went back home where he
[1:50 - 1:57]  saw, not on purpose, but he happened to see a health expedition at their local fairgrounds
[1:57 - 2:02]  where they set up all these clinics and all this free care for people to come who didn't
[2:02 - 2:08]  have any health insurance, didn't have any money. And so they used the fairgrounds. He saw, there
[2:08 - 2:13]  there were so many people, they had driven from miles and miles away, they were sleeping
[2:13 - 2:20]  in their cars to wait for care multiple days. They waited in animal stalls to receive care.
[2:20 - 2:27]  And that's when he said, look, what I'm doing in the health insurance industry, it's not good
[2:27 - 2:33]  for people. He saw it with his own eyes and he saw that it wasn't good for people. Now, he then
[2:33 - 2:40]  gave SEDA testimony in 2009 that was very famous as well. This is during the time of Michael
[2:40 - 2:46]  Moore's Sicko movie coming out where he talked about patient dumping by the insurance industry.
[2:46 - 2:51]  Again, this is pre-Obamacare ACA when insurance companies would be like, oh, you're getting sick?
[2:51 - 2:56]  We're just going to dump you. Okay? So, obviously as an insurance company, that's a great way to
[2:56 - 3:02]  make money if you collect premium. And then the entire reason that you have insurance is like,
[3:02 - 3:07]  then don't, so that you don't have to make the payout, right? I mean, that's a pretty good deal
[3:07 - 3:11]  for the insurance company, right? So, he alluded to this. And that was part of the reason why
[3:11 - 3:16]  those types of practices were then included in Obamacare, so that they couldn't do it anymore, right?
[3:16 - 3:25]  So, now, most recently he has started a website called Tarbell.org, which is a non-profit organization
[3:25 - 3:31]  that does investigative journalism. And interestingly, it's named after Ida Tarbell, who was a journalist
[3:31 - 3:36]  who did a lot of the reporting over a hundred years ago about Standard Oil, and what she brought to light
[3:36 - 3:41]  ended up contributing to the breakup of Standard Oil. Now, why am I bringing this up today?
[3:41 - 3:48]  Well, one, you need to know who Wendell Potter is. And then, two is, I would say on almost a weekly basis,
[3:48 - 3:57]  I talk with doctors, hospital executives, and managed care executives and middle managers in these places as well,
[3:57 - 4:04]  who essentially tell me things that are very similar to Wendell Potter. The only difference is,
