Title: Superior Diabetes Care with 1) Shared Decision Making, 2) a Diabetes Checklist and 3) Screenings
URL: https://www.youtube.com/watch?v=gazzgCfY-Z0
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is Superior Diabetes Care. New year, new topic. Let's discuss the best ways to take care of one of the banes of existence for an employee health plan. Diabetes. Diabetes is a huge risk factor for heart attack and stroke. It's the number one cause of kidney failure and people needing to go on dialysis. It's the number one cause of blindness. It leads to neuropathy. It leads to amputations. It leads to non-healing of foot wounds. I mean, it's horrible. I've seen all this personally, both in the outpatient setting and in the hospital. If there is anything that we can do to better treat the scourge of diabetes, then we should do it. Well, guess what? There's been a lot of research on that. And this particular study from the University of Minnesota Medical School that identified three systems of care that led to superior diabetes outcomes. And we're going to discuss those right now. System of care number one, shared decision making. Whoa! Imagine that in healthcare, a physician and a patient actually sharing a decision. In other words, it's not the physician saying, oh, you've got to do this and you've got to do this. And the patient passively saying, okay, doctor, I'll do this and I'll do that. No, it needs to be a conversation. It needs to be collaborative. It needs to be a dialogue. And here's the key, according to the paper. It needs to identify reasonable management options for the individual. Now, I have had patients that had no transportation other than walking and the bus and the subway. Okay. I have patients who could not read. So we had to do things like, hey, let's have your spouse who can read come with you to the appointments. Okay. For the person who couldn't walk, it was like, okay, guess what? They like couldn't get to the pharmacy. So guess what? They got all their medications from the clinic. Like we're like, hey, you need your medications? You're just going to get them from the clinic. That's what we're going to get. Okay. You have to talk about these very boring, pragmatic things in people's lives to effectively treat their diabetes. If the doctor during a fast seven minute visit just says, you need to do this, you need to do this, you need to do this, you need to do this, and doesn't engage in a collaborative dialogue with the patient. It will fail. I've seen it happen myself. Now, number two, a diabetes care checklist. That's right. Just like the famous doctor, Artul Gawande, had his surgery checklist, a checklist for diabetes care is hugely effective. Relying on the physician's memory for what should and should not be done for a person with diabetes is a horrible approach. There needs to be a checklist. It could be written. It could be in the EMR. It's the 21st century. Hello. Let's use a checklist. Now, hemoglobin A1C, which is the 90 day control of a person's blood sugar, needs to be checked periodically. A retina exam needs to be done by an ophthalmologist on an annual basis. The urine needs to be checked for protein to make sure that there's not nephropathy. Also, the kidney function, which can be tested by a blood test by creatinine, also needs to be checked as well. And there's other checks as well. But the point is, is that people typically come in for sick visits. I would see this all the time. Hey, I've got sinusitis. Hey, I've got a rash. Hey, I've got a bladder infection. People don't really come in and be like, hey, you know, I really haven't had my nephropathy screened for with a serum creatinine recently. I don't think I've ever had a patient tell me that. So the doctor needs a checklist to remind them that during all of that sick visit stuff, oh, by the way, we got to take care of those silent chronic diseases. And oh, by the way, it's the diabetes that's ultimately going to cause so much disability and suffering and potentially even death. And so it's the doctor's responsibility to stay on top of that with a checklist. Come on, this is not rocket science. Okay, number three, guideline-based screening. So believe it or not, the screenings outside of diabetes are hugely important for people with diabetes. What do I mean by that? The regular U.S. Preventive Services Task Force screenings for things like hypertension and high cholesterol. Why? Because those are major risk factors for coronary artery disease, as is diabetes. So if you treat the person's diabetes and you neglect their hypertension and their high cholesterol, guess what? You're still allowing damage to the blood vessels of the heart to happen, and you need to stop it. So you got to stay on top of their hypertension and their high cholesterol. You also have to screen them for their depression. If a person has diabetes and is depressed, it's really hard for them to take care of themselves. So you got to treat the depression. You got to screen them for cigarettes. Cigarettes are horrible for your blood vessels. It's not just bad for your lungs. Cigarette smoke is horrible for your blood vessels. So again, if you've got a diabetic and you're taking care of their diabetes, but you're neglecting the fact that they still smoke, you got to do something about that. You got to have a shared decision-making discussion around their smoking cessation. Now, alcohol abuse is also incredibly damaging for diabetics, and there's other screenings as well. So, all of this underlines the point that just having a primary care physician is not magic. Okay? Somebody just like, quote-unquote, saying that I'm their primary care doc does not like magically cure them or effectively treat them for their diabetes. You got to do this stuff. There has to be a visit, and that visit has to involve shared decision-making. It has to involve a checklist. It has to involve screenings. Oh, by the way, especially during the pandemic, you can do so much of this virtually. Like, a lot of my patients, okay, we didn't have virtual care back when I saw patients in person. Like, you had to come into the office. And guess what my patients did? They didn't come into the office. And guess what? I didn't do virtual visits with them, and they missed out on all this. So just imagine how much more effectively you could do all this virtually. And that's my point for today. Thank you for watching.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic
[0:05 - 0:14]  is Superior Diabetes Care. New year, new topic. Let's discuss the best ways to take care of
[0:14 - 0:21]  one of the banes of existence for an employee health plan. Diabetes. Diabetes is a huge
[0:21 - 0:27]  risk factor for heart attack and stroke. It's the number one cause of kidney failure and
[0:27 - 0:32]  people needing to go on dialysis. It's the number one cause of blindness. It leads to
[0:32 - 0:39]  neuropathy. It leads to amputations. It leads to non-healing of foot wounds. I mean, it's
[0:39 - 0:44]  horrible. I've seen all this personally, both in the outpatient setting and in the hospital.
[0:44 - 0:50]  If there is anything that we can do to better treat the scourge of diabetes, then we should
[0:50 - 0:53]  do it. Well, guess what? There's been a lot of research on that. And this particular study
[0:53 - 0:59]  from the University of Minnesota Medical School that identified three systems of care that
[0:59 - 1:05]  led to superior diabetes outcomes. And we're going to discuss those right now. System of
[1:05 - 1:12]  care number one, shared decision making. Whoa! Imagine that in healthcare, a physician and
[1:12 - 1:17]  a patient actually sharing a decision. In other words, it's not the physician saying, oh, you've
[1:17 - 1:21]  got to do this and you've got to do this. And the patient passively saying, okay, doctor,
[1:21 - 1:25]  I'll do this and I'll do that. No, it needs to be a conversation. It needs to be collaborative.
[1:25 - 1:33]  It needs to be a dialogue. And here's the key, according to the paper. It needs to identify
[1:33 - 1:42]  reasonable management options for the individual. Now, I have had patients that had no transportation
[1:42 - 1:52]  other than walking and the bus and the subway. Okay. I have patients who could not read. So we had to do
[1:52 - 1:58]  things like, hey, let's have your spouse who can read come with you to the appointments. Okay. For the
[1:58 - 2:04]  person who couldn't walk, it was like, okay, guess what? They like couldn't get to the pharmacy. So guess
[2:04 - 2:08]  what? They got all their medications from the clinic. Like we're like, hey, you need your medications?
[2:08 - 2:11]  You're just going to get them from the clinic. That's what we're going to get. Okay. You have to
[2:11 - 2:21]  talk about these very boring, pragmatic things in people's lives to effectively treat their diabetes.
[2:21 - 2:26]  If the doctor during a fast seven minute visit just says, you need to do this, you need to do this,
[2:26 - 2:30]  you need to do this, you need to do this, and doesn't engage in a collaborative dialogue with the
[2:30 - 2:41]  patient. It will fail. I've seen it happen myself. Now, number two, a diabetes care checklist. That's right.
[2:41 - 2:47]  Just like the famous doctor, Artul Gawande, had his surgery checklist, a checklist for diabetes care is
[2:47 - 2:52]  hugely effective. Relying on the physician's memory for what should and should not be done for a person with diabetes
[2:52 - 3:02]  is a horrible approach. There needs to be a checklist. It could be written. It could be in the EMR. It's the 21st century. Hello. Let's use a checklist. Now,
[3:03 - 3:09]  hemoglobin A1C, which is the 90 day control of a person's blood sugar, needs to be checked periodically.
[3:09 - 3:18]  A retina exam needs to be done by an ophthalmologist on an annual basis. The urine needs to be checked for protein to make sure that there's not nephropathy.
[3:18 - 3:24]  Also, the kidney function, which can be tested by a blood test by creatinine, also needs to be checked as well.
[3:24 - 3:30]  And there's other checks as well. But the point is, is that people typically come in for sick visits. I would see this all the time.
[3:30 - 3:37]  Hey, I've got sinusitis. Hey, I've got a rash. Hey, I've got a bladder infection. People don't really come in and be like,
[3:37 - 3:42]  hey, you know, I really haven't had my nephropathy screened for with a serum creatinine recently.
[3:42 - 3:51]  I don't think I've ever had a patient tell me that. So the doctor needs a checklist to remind them that during all of that sick visit stuff,
[3:51 - 4:01]  oh, by the way, we got to take care of those silent chronic diseases. And oh, by the way, it's the diabetes that's ultimately going to cause so much disability and suffering and potentially even death.
[4:02 - 4:07]  And so it's the doctor's responsibility to stay on top of that with a checklist. Come on, this is not rocket science.
[4:07 - 4:17]  Okay, number three, guideline-based screening. So believe it or not, the screenings outside of diabetes are hugely important for people with diabetes.
[4:17 - 4:23]  What do I mean by that? The regular U.S. Preventive Services Task Force screenings for things like hypertension and high cholesterol.
[4:23 - 4:27]  Why? Because those are major risk factors for coronary artery disease, as is diabetes.
[4:28 - 4:32]  So if you treat the person's diabetes and you neglect their hypertension and their high cholesterol, guess what?
[4:32 - 4:37]  You're still allowing damage to the blood vessels of the heart to happen, and you need to stop it.
[4:37 - 4:40]  So you got to stay on top of their hypertension and their high cholesterol.
[4:41 - 4:42]  You also have to screen them for their depression.
[4:43 - 4:48]  If a person has diabetes and is depressed, it's really hard for them to take care of themselves.
[4:48 - 4:50]  So you got to treat the depression. You got to screen them for cigarettes.
[4:51 - 4:53]  Cigarettes are horrible for your blood vessels.
[4:54 - 4:57]  It's not just bad for your lungs. Cigarette smoke is horrible for your blood vessels.
[4:57 - 5:03]  So again, if you've got a diabetic and you're taking care of their diabetes, but you're neglecting the fact that they still smoke, you got to do something about that.
[5:03 - 5:07]  You got to have a shared decision-making discussion around their smoking cessation.
[5:07 - 5:12]  Now, alcohol abuse is also incredibly damaging for diabetics, and there's other screenings as well.
[5:13 - 5:21]  So, all of this underlines the point that just having a primary care physician is not magic.
[5:21 - 5:29]  Okay? Somebody just like, quote-unquote, saying that I'm their primary care doc does not like magically cure them or effectively treat them for their diabetes.
[5:29 - 5:35]  You got to do this stuff. There has to be a visit, and that visit has to involve shared decision-making.
[5:35 - 5:37]  It has to involve a checklist. It has to involve screenings.
[5:38 - 5:42]  Oh, by the way, especially during the pandemic, you can do so much of this virtually.
[5:42 - 5:49]  Like, a lot of my patients, okay, we didn't have virtual care back when I saw patients in person.
[5:49 - 5:54]  Like, you had to come into the office. And guess what my patients did? They didn't come into the office.
[5:54 - 5:58]  And guess what? I didn't do virtual visits with them, and they missed out on all this.
[5:58 - 6:03]  So just imagine how much more effectively you could do all this virtually.
[6:03 - 6:06]  And that's my point for today. Thank you for watching.
