Title: Top 5 Challenges for Doctors: Pre-COVID
URL: https://www.youtube.com/watch?v=Xg3nqH_9dwM
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and welcome to A Healthcare Z. Today we're going to be discussing challenges for doctors. So this is based upon an article from the magazine Medical Economics from December 25th, 2016, so a little over two years ago, but I think the information is still relevant today, where they surveyed physicians and they asked them, what were your top challenges? And here were the top five. So number one, surviving reimbursement changes. So the way that doctors are being paid is mostly being changed by Medicare and that is costing them a great amount of stress. Number two, time and energy required for pre-certification or what is also called prior authorization. So that typically is a requirement that comes from a health insurance company and the percentage of tests and procedures that actually require pre-certification or prior authorization has actually been going up, right? It was very high back in the 90s with managed care and then went way down and now it's slowly starting to come back up. And as a result, it's requiring physicians to spend more time and energy on it and it's causing them stress. Number three, lack of negotiating power with the insurance company. So this is in regards to specifically things like their payment for office visits or surgery or procedures like upper endoscopies and colonoscopies. Number four, remain dedicated to medicine. So this is a major issue of physician burnout. And so within whether it be the New England Journal of Medicine or the Journal of the American Medical Association or various other publications, physician burnout is a major issue among healthcare professionals and doctors. And then number five, maintenance of certification and money it takes. So the American Board of Internal Medicine, the A BIM, is what provides me as an internist with my maintenance of certification or my board certification. Likewise, there are boards for pediatrics and OBD, GYN, etc. And especially for internal medicine, that requirement is changing and that changing in that dramatically, dramatically changing. And those changes are causing stress and they're also very expensive. So what I want you to notice about these top five things is they are not specifically or directly related to patient care. So in other words, on this list is not, hey, all of my patients are suffering from tuberculosis and I don't know how to treat them. It's not, hey, I don't know how to diagnose diabetes and I don't know what to do about it. Okay. So they're not specific patient care challenges. What they are related to, if you notice here, is about time and money and bureaucracy. And so it's important to know because these are the physicians that are taking care of your employees and their family members. And so to know that these are the challenges for them. And so for you as an employer or for a plan sponsor, the issues of cost and quality are of great interest to you. No, those are not anywhere on the list for the actual physicians themselves. And that disconnect is a major problem with healthcare. We're not going to talk about how to solve that today, but I at least wanted to make you all aware of it. And thank you for watching a healthcare C.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello, this is Dr. Eric Bricker and welcome to A Healthcare Z. Today we're going to be discussing
[0:06 - 0:13]  challenges for doctors. So this is based upon an article from the magazine Medical Economics
[0:13 - 0:19]  from December 25th, 2016, so a little over two years ago, but I think the information is still
[0:19 - 0:23]  relevant today, where they surveyed physicians and they asked them, what were your top challenges?
[0:24 - 0:29]  And here were the top five. So number one, surviving reimbursement changes. So the way
[0:29 - 0:36]  that doctors are being paid is mostly being changed by Medicare and that is costing them a
[0:36 - 0:41]  great amount of stress. Number two, time and energy required for pre-certification or what is also
[0:41 - 0:47]  called prior authorization. So that typically is a requirement that comes from a health insurance
[0:47 - 0:53]  company and the percentage of tests and procedures that actually require pre-certification or prior
[0:53 - 0:57]  authorization has actually been going up, right? It was very high back in the 90s with managed care
[0:57 - 1:01]  and then went way down and now it's slowly starting to come back up. And as a result,
[1:01 - 1:05]  it's requiring physicians to spend more time and energy on it and it's causing them stress.
[1:06 - 1:10]  Number three, lack of negotiating power with the insurance company. So this is in regards to
[1:10 - 1:17]  specifically things like their payment for office visits or surgery or procedures like upper endoscopies
[1:17 - 1:23]  and colonoscopies. Number four, remain dedicated to medicine. So this is a major issue of physician
[1:23 - 1:29]  burnout. And so within whether it be the New England Journal of Medicine or the Journal of the American
[1:29 - 1:36]  Medical Association or various other publications, physician burnout is a major issue among healthcare
[1:36 - 1:40]  professionals and doctors. And then number five, maintenance of certification and money it takes.
[1:41 - 1:48]  So the American Board of Internal Medicine, the A BIM, is what provides me as an internist with my
[1:48 - 1:53]  maintenance of certification or my board certification. Likewise, there are boards for pediatrics and OBD,
[1:53 - 2:00]  GYN, etc. And especially for internal medicine, that requirement is changing and that changing in that
[2:00 - 2:05]  dramatically, dramatically changing. And those changes are causing stress and they're also very expensive.
[2:06 - 2:11]  So what I want you to notice about these top five things is they are not specifically or directly
[2:11 - 2:16]  related to patient care. So in other words, on this list is not, hey, all of my patients are suffering
[2:16 - 2:22]  from tuberculosis and I don't know how to treat them. It's not, hey, I don't know how to diagnose
[2:22 - 2:28]  diabetes and I don't know what to do about it. Okay. So they're not specific patient care challenges.
[2:29 - 2:36]  What they are related to, if you notice here, is about time and money and bureaucracy. And so it's
[2:36 - 2:41]  important to know because these are the physicians that are taking care of your employees and their
[2:41 - 2:46]  family members. And so to know that these are the challenges for them. And so for you as an employer
[2:46 - 2:53]  or for a plan sponsor, the issues of cost and quality are of great interest to you. No, those are not
[2:53 - 2:58]  anywhere on the list for the actual physicians themselves. And that disconnect is a major problem
[2:58 - 3:02]  with healthcare. We're not going to talk about how to solve that today, but I at least wanted to make
[3:02 - 3:05]  you all aware of it. And thank you for watching a healthcare C.
