Title: Top 5 Health Insurance Carrier Strategy Comparison
URL: https://www.youtube.com/watch?v=LhISjTy5_Ig
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is Insurance Carrier Strategy Differences. And so what I have listed here are the five major publicly traded health insurance carriers in America and we're going to go through each of their distinct strategies as they relate to healthcare cost containment and increasing healthcare quality. Really the major conundrum for healthcare in America, basically how are these companies going to solve healthcare in America if it's so broken. Okay, so for United Health Group, they're really betting on services and providers through Optum. So Optum makes up about half of United Health Group's total revenue now. I made a previous video about this so United Health Insurance, the actual insurance side of the business is only half, but Optum providing services not only to employers but also to hospitals themselves, or the business sort of being the middleman for all healthcare transactions and also employing 30,000 physicians. So United is making a big bet that by integrating themselves and actually becoming a provider, so in other words collecting premium delivery services and providing the care, that's going to help solve this problem. Okay, that is a distinct strategy of services and providing care. Next we have CVS and Aetna. Now they have a specific strategy related to these healthcare hubs where they're going to turn these CVS pharmacies into places where you actually receive care. A lot of primary care services, right? They're going to have 1,500 of these healthcare hubs. They're already open now. They're going to have 1,500 of them by 2021, and they have 10,000 CVS stores nationwide. So I don't think they're, I mean if it works they're not going to just stop at 1,500. It's a dramatic opportunity, and they have presence as a consumer brand. People know who they are. There is likely a CVS very close by. Shoot, there's CVS like almost across the street from each other. They're all over the place. So they have a distinct strategy of providing care, especially primary care, through these healthcare hubs in addition to collecting premium from Aetna, etc, etc. So they're acting not only as the processor claims and the collector of premium, but also the provision of care. Okay, next strategy, Humana, right? Their huge strategy is the government, right? So they get a ton of their revenue from Medicare Advantage and from the military. They have a huge TRICARE contract to provide healthcare for the military. So, and Medicare Advantage is their largest growing segment. In fact, they've actually kind of shrunk in terms of their like fully insured commercial business, okay? So Humana has a distinct strategy and that is the government. Okay, next up ours is Cigna. Now I've kind of separated out Cigna and Anthem here at the bottom. Okay, so Cigna bought Express Scripts and then Anthem is actually creating its own PBM as well. And so they're kind of doing this, okay, this PBM integration play, which look, it's like CVS and Aetna, they got a PBM. United Health Group's got a PBM. So, okay, there's that. I mean, there's a lot of risk there in that the entire rebate and spread pricing model for making money in the PBM world is under huge scrutiny right now. So if Cigna's placing their bet on this PBM being a big driver of their growth, let's just say it's risky. Okay, next up with Anthem, same thing. I mean, they have to go out and have to create their own PBM. And if you look at the annual report, they're really placing a lot on this like value-based care and ACOs and Cigna's doing a lot of that too. So it's not around the direct provision of care. Okay, so UHG is like, we're going to provide care. CVS is like, we're going to provide care. With Cigna and Anthem, it's more like, okay, we're going to provide these incentives and value-based care. Okay, so what's my point? My point is, what are any of these strategies going to work? Well, forget about my opinion. Let's just look at the market's opinion, the stock market's opinion. And so what I have here, these circled numbers are the price-to-earning ratios of these publicly traded companies here in November of 2019. So United Health Group's at 19, CVS-Aetna's at 21, a little higher, Humana's at 17, a little lower, Cigna and Express Group's also at 17, Anthem also at 17. Okay, so they're pretty similar. If anything, you know, obviously, if you can quote-unquote solve healthcare, the over $3 trillion nut to crack in America, you could provide tremendous value, and your stock price would be through the roof if you actually had a solution to that. Okay, so maybe the market is giving CVS and Aetna, like, a little bit of premium on that, and maybe UHG is, like, in second place. But overall, they're all pretty close. So in other words, the market's saying, meh, like, we'll see, we don't really know, and oh, by the way, the average price-to-earning ratio of the entire S&P 500 is 23. So they're all below average. So if any of them had a plan that the market actually thought would solve healthcare, believe me, their price-to-earnings ratio would be much higher than this. Now, I just want to say as a disclaimer, look, I own, as part of my retirement, an S&P 500 index fund, but that's it. I don't own any of these individual stocks. Okay, but I'm not talking about this as a way to make money as investing. I'm talking about as a way of, like, weighing or measuring whether or not these strategies are good or bad. And my message for today is, is that the market's analysis of these strategies is kind of meh. And that's my point for today. And thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic
[0:05 - 0:13]  is Insurance Carrier Strategy Differences. And so what I have listed here are the five
[0:13 - 0:18]  major publicly traded health insurance carriers in America and we're going to go through each
[0:18 - 0:24]  of their distinct strategies as they relate to healthcare cost containment and increasing
[0:24 - 0:29]  healthcare quality. Really the major conundrum for healthcare in America, basically how are
[0:29 - 0:35]  these companies going to solve healthcare in America if it's so broken. Okay, so for United
[0:35 - 0:41]  Health Group, they're really betting on services and providers through Optum. So Optum makes
[0:41 - 0:48]  up about half of United Health Group's total revenue now. I made a previous video about
[0:48 - 0:52]  this so United Health Insurance, the actual insurance side of the business is only half,
[0:52 - 0:59]  but Optum providing services not only to employers but also to hospitals themselves, or the business
[0:59 - 1:07]  sort of being the middleman for all healthcare transactions and also employing 30,000 physicians.
[1:07 - 1:12]  So United is making a big bet that by integrating themselves and actually becoming a provider,
[1:12 - 1:16]  so in other words collecting premium delivery services and providing the care, that's going
[1:16 - 1:23]  to help solve this problem. Okay, that is a distinct strategy of services and providing care.
[1:23 - 1:29]  Next we have CVS and Aetna. Now they have a specific strategy related to these healthcare hubs where
[1:29 - 1:34]  they're going to turn these CVS pharmacies into places where you actually receive care. A lot of
[1:34 - 1:40]  primary care services, right? They're going to have 1,500 of these healthcare hubs. They're already
[1:40 - 1:47]  open now. They're going to have 1,500 of them by 2021, and they have 10,000 CVS stores nationwide.
[1:47 - 1:52]  So I don't think they're, I mean if it works they're not going to just stop at 1,500. It's a dramatic
[1:52 - 1:57]  opportunity, and they have presence as a consumer brand. People know who they are. There is likely a
[1:57 - 2:02]  CVS very close by. Shoot, there's CVS like almost across the street from each other. They're all over
[2:02 - 2:07]  the place. So they have a distinct strategy of providing care, especially primary care,
[2:07 - 2:13]  through these healthcare hubs in addition to collecting premium from Aetna, etc, etc. So they're acting not only as the processor
[2:13 - 2:19]  claims and the collector of premium, but also the provision of care. Okay, next strategy, Humana,
[2:19 - 2:25]  right? Their huge strategy is the government, right? So they get a ton of their revenue from
[2:25 - 2:31]  Medicare Advantage and from the military. They have a huge TRICARE contract to provide healthcare for
[2:31 - 2:35]  the military. So, and Medicare Advantage is their largest growing segment. In fact, they've actually
[2:35 - 2:41]  kind of shrunk in terms of their like fully insured commercial business, okay? So Humana has a distinct
[2:41 - 2:48]  strategy and that is the government. Okay, next up ours is Cigna. Now I've kind of separated out
[2:48 - 2:53]  Cigna and Anthem here at the bottom. Okay, so Cigna bought Express Scripts and then Anthem is actually
[2:53 - 3:01]  creating its own PBM as well. And so they're kind of doing this, okay, this PBM integration play,
[3:01 - 3:07]  which look, it's like CVS and Aetna, they got a PBM. United Health Group's got a PBM. So, okay,
[3:07 - 3:12]  there's that. I mean, there's a lot of risk there in that the entire rebate and spread pricing model
[3:12 - 3:18]  for making money in the PBM world is under huge scrutiny right now. So if Cigna's placing their
[3:18 - 3:24]  bet on this PBM being a big driver of their growth, let's just say it's risky. Okay, next up with Anthem,
[3:24 - 3:29]  same thing. I mean, they have to go out and have to create their own PBM. And if you look at the
[3:29 - 3:34]  annual report, they're really placing a lot on this like value-based care and ACOs and Cigna's doing a lot
[3:34 - 3:39]  of that too. So it's not around the direct provision of care. Okay, so UHG is like, we're
[3:39 - 3:44]  going to provide care. CVS is like, we're going to provide care. With Cigna and Anthem, it's more
[3:44 - 3:49]  like, okay, we're going to provide these incentives and value-based care. Okay, so what's my point?
[3:50 - 3:55]  My point is, what are any of these strategies going to work? Well, forget about my opinion.
[3:55 - 4:00]  Let's just look at the market's opinion, the stock market's opinion. And so what I have here,
[4:00 - 4:05]  these circled numbers are the price-to-earning ratios of these publicly traded companies here
[4:05 - 4:11]  in November of 2019. So United Health Group's at 19, CVS-Aetna's at 21, a little higher,
[4:11 - 4:18]  Humana's at 17, a little lower, Cigna and Express Group's also at 17, Anthem also at 17. Okay,
[4:18 - 4:23]  so they're pretty similar. If anything, you know, obviously, if you can quote-unquote solve healthcare,
[4:23 - 4:28]  the over $3 trillion nut to crack in America, you could provide tremendous value,
[4:28 - 4:33]  and your stock price would be through the roof if you actually had a solution to that. Okay,
[4:33 - 4:37]  so maybe the market is giving CVS and Aetna, like, a little bit of premium on that,
[4:38 - 4:43]  and maybe UHG is, like, in second place. But overall, they're all pretty close. So in other
[4:43 - 4:49]  words, the market's saying, meh, like, we'll see, we don't really know, and oh, by the way,
[4:49 - 4:55]  the average price-to-earning ratio of the entire S&P 500 is 23. So they're all below average.
[4:55 - 5:01]  So if any of them had a plan that the market actually thought would solve healthcare, believe
[5:01 - 5:07]  me, their price-to-earnings ratio would be much higher than this. Now, I just want to say as a
[5:07 - 5:14]  disclaimer, look, I own, as part of my retirement, an S&P 500 index fund, but that's it. I don't own
[5:14 - 5:20]  any of these individual stocks. Okay, but I'm not talking about this as a way to make money as
[5:20 - 5:25]  investing. I'm talking about as a way of, like, weighing or measuring whether or not these
[5:25 - 5:31]  strategies are good or bad. And my message for today is, is that the market's analysis
[5:31 - 5:35]  of these strategies is kind of meh. And that's my point for today. And thank you for watching
[5:35 - 5:36]  A Healthcare Z.
