Title: US Hospital Debt Explained: Do Patients Come First or Creditors?
URL: https://www.youtube.com/watch?v=upt8oa3Yf3c
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is when hospitals issue debt. Now I have talked on A Healthcare Z many times about incredibly boring topics and once again this might top them all but it is super important. So let's dive into it. $145 billion in tax-exempt bonds have been issued by hospitals and healthcare systems across America. Why do they have to raise all this money? Why do they have to sell bonds and people essentially give them a loan and the hospital has to pay back the principal plus interest? Why do they do that? They raise money, they the hospitals raise money for construction. A lot of this money is actually now going to expensive IT projects like new medical record systems etc and also to expensive medical equipment. Now there is incredibly high demand for hospital bonds. Why is that? They typically pay an average of a 5% effective yield. So they earn 5% interest. Now if you looked at your savings account recently it's probably less than 5% what you are earning there. So 5% especially in today's world is incredibly attractive. So investors are gobbling up these bonds like crazy. So there's high demand for these tax-exempt bonds. Now effective yield just means that you have to add back some points to make it equivalent to what a taxable bond would be. So because these are tax-exempt they're very attractive. Okay next up this is a quote from the American Hospital Association, the AHA, about debt. I'm going to read it here. So the ability to issue and support debt is not a nice to have capability. It is essential to the viability of nearly all US hospitals and health systems. So here you have the trade association and lobbying group for hospitals in America specifically saying that debt is one of the central functions, abilities, and skills of a hospital system. Okay it's not again it is not a nice to have. It is a have to have. Okay so in order to understand something that is so vital to hospitals we have to understand the bond rating system. This is done by outside companies like Moody's and Fitch and Standard & Poor's. These companies got into a lot of trouble with how they were doing ratings for mortgages back during the mortgage crisis of 2008. But they not only rate mortgages they also rate bonds in terms of how safe they are to invest in. And they use a variety of letters and numbers but we're just going to use the ones from Moody's. A AAA bond is the safest bond and so therefore it has the lowest interest rate which is good for the hospital. So in other words that's that's cheap debt for the hospital to issue. Whereas the lowest rating is a BAA3 which is the riskiest bond. So the hospital then has to pay much higher levels of interest in order to attract people to buy those bonds because they're risky. Okay so in other words the better the rating like AAA the lower the interest rate and the lower the rating the higher the interest rate. And so in other words those those those BAAA3's are like junk bonds that you hear about right. They're incredibly expensive for the hospital to issue. Okay what determines there's a variety of things that determines how a bond is rated. But one of the things is the hospital needs cash flow to service their debt. So it doesn't matter if it's a for-profit hospital or a not-for-profit hospital. The people the creditors who are buying the debt they're like are you going to be able to pay it back? And the only way that you're going to be able to pay it back is if your organization generates cash flow. Okay so keep in mind that what that does then to the motivation of the hospital it says okay well what's our priority here? We've got a whole bunch of priorities. We got priorities to our patients. We got priorities to our employees. We got priorities to our creditors. Right? We need to prioritize our creditors for creating cash flow. How do they do that? They increase prices. The hospitals increase prices. They increase the volume of patients coming through their hospital. They have aggressive collections techniques. I'm sure you've seen in the news about hospitals suing patients and garnishing their wages. Okay? Because what happens is that if you specifically look at the ratio of cash flow to liabilities for these triple A rated hospitals it's 25%. Whereas for these junk bond hospitals it's 8%. In other words the better rated hospitals are generating about four times more cash flow compared to their liabilities compared to the junk ones. So having good cash flow at a hospital is paramount to being able to accomplish what the AHA says you need to accomplish. If you're going to be able to issue debt, pay debt now, issue debt in the future you need to have good cash flow. Now, fine. That's all well and good Dr. Bricker. But maybe this is just normal behavior for not-for-profit organizations. Maybe hospitals are not alone in functioning this way. Well, let's look at other huge non-profit organizations that also have thousands or tens of thousands of employees. Let's look at university debt. Do universities issue debt? In fact they do. But it's incredibly new. They only recently started doing this and there is only 6.4 billion, I shouldn't say percent, there's only 6.4 billion of worldwide university debt. In the entire world there's only 6.4 billion compared to the 145 billion of hospital debt debt just in the United States. So apparently universities have found a way to function for the community as a non-profit institution without the huge sums of debt that hospitals have. Now, the final thing I just want to say is from the book of Proverbs. Some of you may be familiar with it. And it says in one of its verses, the borrower is servant to the lender. And that's what I wanted to share today. Thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[0:05 - 0:12]  when hospitals issue debt. Now I have talked on A Healthcare Z many times about incredibly boring
[0:12 - 0:17]  topics and once again this might top them all but it is super important. So let's dive into it.
[0:18 - 0:26]  $145 billion in tax-exempt bonds have been issued by hospitals and healthcare systems across America.
[0:26 - 0:32]  Why do they have to raise all this money? Why do they have to sell bonds and people essentially give
[0:32 - 0:37]  them a loan and the hospital has to pay back the principal plus interest? Why do they do that?
[0:37 - 0:41]  They raise money, they the hospitals raise money for construction. A lot of this money is actually
[0:41 - 0:49]  now going to expensive IT projects like new medical record systems etc and also to expensive medical
[0:49 - 0:57]  equipment. Now there is incredibly high demand for hospital bonds. Why is that? They typically pay
[0:57 - 1:05]  an average of a 5% effective yield. So they earn 5% interest. Now if you looked at your savings account
[1:05 - 1:12]  recently it's probably less than 5% what you are earning there. So 5% especially in today's world
[1:12 - 1:18]  is incredibly attractive. So investors are gobbling up these bonds like crazy. So there's high demand
[1:18 - 1:24]  for these tax-exempt bonds. Now effective yield just means that you have to add back some points
[1:24 - 1:29]  to make it equivalent to what a taxable bond would be. So because these are tax-exempt they're very
[1:29 - 1:37]  attractive. Okay next up this is a quote from the American Hospital Association, the AHA, about debt.
[1:37 - 1:43]  I'm going to read it here. So the ability to issue and support debt is not a nice to have capability.
[1:43 - 1:53]  It is essential to the viability of nearly all US hospitals and health systems. So here you have
[1:53 - 2:01]  the trade association and lobbying group for hospitals in America specifically saying that debt is one of
[2:01 - 2:08]  the central functions, abilities, and skills of a hospital system.
[2:08 - 2:15]  Okay it's not again it is not a nice to have. It is a have to have. Okay so in order to understand
[2:15 - 2:19]  something that is so vital to hospitals we have to understand the bond rating system.
[2:19 - 2:26]  This is done by outside companies like Moody's and Fitch and Standard & Poor's. These companies
[2:26 - 2:30]  got into a lot of trouble with how they were doing ratings for mortgages back during the mortgage crisis
[2:30 - 2:37]  of 2008. But they not only rate mortgages they also rate bonds in terms of how safe they are to invest in.
[2:37 - 2:42]  And they use a variety of letters and numbers but we're just going to use the ones from Moody's.
[2:42 - 2:51]  A AAA bond is the safest bond and so therefore it has the lowest interest rate which is good for the hospital.
[2:51 - 3:00]  So in other words that's that's cheap debt for the hospital to issue. Whereas the lowest rating is a BAA3
[3:00 - 3:06]  which is the riskiest bond. So the hospital then has to pay much higher levels of interest in order to
[3:06 - 3:13]  attract people to buy those bonds because they're risky. Okay so in other words the better the rating like
[3:13 - 3:20]  AAA the lower the interest rate and the lower the rating the higher the interest rate. And so in other words those
[3:20 - 3:28]  those those BAAA3's are like junk bonds that you hear about right. They're incredibly expensive for the hospital to issue.
[3:28 - 3:39]  Okay what determines there's a variety of things that determines how a bond is rated. But one of the things is the hospital needs cash flow to service their debt.
[3:39 - 3:46]  So it doesn't matter if it's a for-profit hospital or a not-for-profit hospital. The people the creditors who are buying the debt
[3:46 - 3:51]  they're like are you going to be able to pay it back? And the only way that you're going to be able to pay it back is if your
[3:51 - 4:01]  organization generates cash flow. Okay so keep in mind that what that does then to the motivation of the hospital it says okay
[4:01 - 4:07]  well what's our priority here? We've got a whole bunch of priorities. We got priorities to our patients. We got priorities to our employees.
[4:07 - 4:17]  We got priorities to our creditors. Right? We need to prioritize our creditors for creating cash flow. How do they do that?
[4:17 - 4:22]  They increase prices. The hospitals increase prices. They increase the volume of patients coming through their hospital.
[4:22 - 4:28]  They have aggressive collections techniques. I'm sure you've seen in the news about hospitals suing patients and garnishing their wages.
[4:28 - 4:38]  Okay? Because what happens is that if you specifically look at the ratio of cash flow to liabilities for these triple A rated
[4:38 - 4:47]  hospitals it's 25%. Whereas for these junk bond hospitals it's 8%. In other words the better rated hospitals are generating
[4:47 - 4:56]  about four times more cash flow compared to their liabilities compared to the junk ones. So having good cash flow at a hospital
[4:56 - 5:02]  is paramount to being able to accomplish what the AHA says you need to accomplish. If you're going to be able to
