Title: Why Employers Change Insurance Brokers and Benefits Consultants
URL: https://www.youtube.com/watch?v=aQvEX9-awa0
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A HealthcareZ. Today's topic is Drivers of Employer Change in their Insurance Broker and Benefit Consultant. So, believe it or not, 1.2 trillion of healthcare spend in America is by employer-sponsored health insurance plans. So, it's by the employers in America and that is 28% of the $4.3 trillion in total that America spends on healthcare annually. And insurance brokers and benefits consultants have a huge influence on how that $1.2 trillion is spent. So, if we want to understand the employer market, then we have to understand the relationship between an employer and their broker and insurance benefit consultant. And what drives an employer to change that relationship, to change their consultant? So, I said in a previous video that there's essentially a table of power that has three seats on it when it comes to an employer-sponsored health insurance plan. There's the employer, there's the broker consultant, and then there's the health insurance carrier. And those three form the triad of how a plan runs and operates. Well, guess what? If the plan isn't going well, then an employer will change out their broker benefit consultant. So, let's talk about those changes. So, typically what I've seen is that, one, healthcare costs are high for the individual employer. Well, what's new? Healthcare costs are always high. So, you might say, well, Dr. Bricker, like, costs are always high. But they don't change their broker all the time and the costs are still high. Aha! I have seen two other things being necessary. You essentially have to, three things have to occur at the same time. So, one, the healthcare costs have to be high for the group. But then, two, that there's a regulatory change. And then, three, that there's also a change in the business conditions, in the overall economy as well. And when you get those three things combined of high healthcare costs, plus a regulatory change, plus a change in the overall business environment, then I have seen gobs of employers change their broker benefit consultant. Let me give you an example. The Affordable Care Act in 2010, obviously, was a huge regulatory change for employers. And in 2010, this was sort of right at the bottom of the great financial crisis. So, we were in the midst of the largest recession since the Great Depression. Okay. And so, what happened was, is there were tons of individual group health insurance brokers that had small groups less than 50, small groups less than 100. They even had a lot of groups of 200. I would even see individual brokers that had groups of like 500. And it was just like one broker. And then maybe he or she had like one clerical assistant that worked with them, but they were largely on their own. And then, because of the increased regulatory requirements of the Affordable Care Act, those individual brokers, they didn't have the compliance resources. They didn't have the staff. They didn't necessarily have an attorney on retainer or even maybe their own attorney in-house. And so, what happened was, is all those groups under 50, under 100, under 200, even the ones that are up to 500 that were used in an individual broker, they moved to these regional brokerage firms. And so, I saw the sort of mid-market brokerage firms that kind of did groups up to like 2,000. They started acquiring huge swaths of small groups and groups under 200 business from these individual brokers. The individual brokerage market just got decimated by the combination of the Affordable Care Act plus the Great Recession, the Great Financial Crisis. Now, today, we potentially have an analogous environment where we have had passage of the CAA, which went into effect in December of 2021, that has new disclosure requirements in regards to the commissions that brokers are receiving from a variety of sources. And they have to show all of their compensation. And what is really going to be seen by employers is that, not for all employers, but for some employers, their brokerage and benefit consulting fees are extraordinarily high when you take into account all of the commissions, and I would argue even all of the override payments that the brokerages are receiving from the carriers. And so, there's a real conflict of interest, especially from the major PBMs, because literally, these brokerage firms are getting the equivalent of sometimes over $5 PEPM just from the PBM side of the business. So, there's a huge conflict of interest. So, here you've got an opportunity to move away from a PBM or to move away from an insurance carrier, and there's a conflict of interest. So, the broker is not acting in the best interest of the employer. The employer could move to an independent TPA. The employer could carve out their PBM and move to an independent, transparent pass-through PBM. And if their broker consultant is making incredibly high fees off of them, then there's a conflict of interest between what their broker is doing, what their benefit consultant is doing, and what's best for the business. And so, here in 2010 with the ACA, now, of course, the third thing we need is an economic slowdown, right? So, yes, healthcare costs are extraordinarily high for employers. Yes, we've had a regulatory change. But you have to have this third piece. We have not seen a recession yet in America. Unemployment as of March of 2023 is still sub 4%. In no way, shape, or form is that a recession. So, there has to be an overall business slowdown. There has to be a decrease in sales. There's got to be some sort of financial pain to the business to then cause this change to occur. To say, look, we have brokers benefit consultants who have a conflict of interest. They're not financially aligned with our plan. And so, what I want to do now is I want to contrast what I've seen as the brokers and consultants that really do act as employer guard dogs. In other words, they really are aligned with the employer and the employee health plan. They're doing everything they can to increase quality and decrease costs and increase access. And by increase access, I mean, decrease the out-of-pocket costs for the employees. And remember, with healthcare costs being high, what that means is that the employee out-of-pocket costs is high, which really means access to care is being restricted. So, like, ultimately, like, the conflict of interest of an insurance broker is, like, actually bad for patients' health. I mean, that's why I care about it. The financial conflict of interest of an insurance broker and benefit consultant decreases the access to healthcare for the plan participants, and it's bad for their health. That's why I care about this. We really need... So, but not all brokers are like this. Listen, there are gobs of brokers that are involved in the $1.2 trillion spend of employer-sponsored health insurance that are total employer guard dogs. And then, conversely, there are many insurance brokers and benefit consultants that are just carrier lap dogs. They're just kind of being petted by the carrier, okay? So, let's compare and contrast employer guard dogs versus carrier lap dogs, brokers, and consultants, okay? So, let's start off with the carrier lap dogs, okay? Typically, the carrier lap dog brokers and consultants, they have a long carrier sales history. They've been a salesperson at a carrier for years, if not decades, and then they move over to the brokerage consulting side. What does that mean? They're essentially still a carrier salesperson. They're just wearing a different hat. Okay. They tend to work at a brokerage that's heavily override-driven, meaning they get a whole bunch of these, like, retention bonuses for overall book of business sales with Blue Cross United, Cigna, or Aetna. And how do you know that? Because these brokers and consultants tend to really discourage self-funding for their fully insured groups, and they also tend to really discourage use of TPAs other than the ASO services at Blue Cross United, Cigna, and Aetna. Right? Why? Because they're getting paid these huge overrides. Blue Cross United, Cigna, and Aetna are not paying overrides for nothing. They're paying overrides because it's like, you better not move them to an independent TPA. What am I paying you for? Okay. Next up. The team of the lapdogs tends to be very hierarchical, meaning the account team, the producer, various strata of consultants and support folks underneath. Where the head broker consultant, the lead on the account, tends to be very detached from the details of the account. I've spoken with them and I'd be like, well, you know, what's the deductible or the copay? They couldn't even tell me. I'm like, this is a huge client of yours and you can't even tell me the basics of their plan design? Like, plan design is well within your wheelhouse and you can't tell me that off the top of your head? Like, I would argue that was something that you, how do I know that people should know that? Because employer guard dog brokers can almost immediately tell you the specific details about their employer, about their employer client off the top of their head because they're crazy in the weeds. Okay. Next up. Interestingly, there is somewhat of a geographic bias to lapdog brokers consultants. They tend to be heavily found in the Northeast. They tend to be found in Chicago. They tend to be found in Denver. Denver, okay? Denver is filled with carrier lapdog brokers and consultants. Okay. So what's my basis for this? Okay. So in the Northeast, it's interesting because brokers in the Northeast, like literally tell me, oh yeah, brokers in the Northeast are terrible. Like, they tell me that. Like, the guard dog brokers in the Northeast just like self-admittedly are like, oh yeah, many of the brokers in the Northeast are really not fighting for their employer clients like they should. Okay. How else do I know that? Because brokers, there are many employers in the Northeast that use brokers and consultants that are from Texas. That are from where I'm from. I know brokers and consultants in Texas that have huge accounts in New York City, that have huge accounts in the Washington, D.C. area. I mean, I will tell you that I, now conversely, I have never seen an employer in Texas that uses a broker consultant from the Northeast. Right? Because some employers in the Northeast have figured out that they need to get a guard dog where the current environment like doesn't have guard dogs. Well, they do, but just not as many. Okay? Next up, Chicago. Blue Cross of Illinois has Chicago and the state of Illinois on such lockdown that many of the brokers and consultants really don't, shoot, they don't push back against Blue Cross of Illinois. So Chicago is pretty unique in terms of there being carrier lap dogs there. And then lastly, in Denver, again, filled with carrier lap dogs. Why? The Denver market is incredibly fully insured. Like there's gobs of groups in Denver that should be self-funded that are not. Okay? So, fine. Let's go to the guard dogs. Listen, they tend to have no short or very distant sales career at a carrier. They've been working for employers and been a guard dog for a long time. They haven't recently come over as a carrier sales rep. Two, they offer fixed fees in terms of their, there are some brokerages, nationwide brokerages, that have completely different and have completely done away with carrier commissions. Completely! They've completely done away with them. So the entire model of compensation is different for the guard dog. Three, they totally encourage self-funding. I have been in meetings where the broker is like really trying to encourage the group to be self-funded and the CFO or the CEO might be pushing back. But listen, the broker is trying and he's tried year after year after year. And I've been in the meetings where he's tried year after year after year. And they're not afraid to use independent TPAs. There are certain situations where the carrier ASO does not make the most sense and an independent TPA absolutely makes sense. And they're not afraid to do it. Okay. The lead, the broker consultant in, who's the head for that employer client, they're incredibly in the details. They sweat the small stuff because they know to give their client great service, they've got to sweat the small stuff. They don't like, oh, I just do the high level of strategic work. No! They're totally into the details. And guess what? That's to the great benefit of their employer client. And then finally, they tend to be a lot of brokers, interestingly, in the South, the Midwest, but also the Pacific Northwest as well. So again, this is actually a fantastic opportunity because if you're a guard dog broker consultant in the Northeast where there's a bunch of lap dogs, then that's a tremendous opportunity for you. So, or in Chicago or in Denver. So, huge opportunity there for you to win over business. So, we'll see. We'll see if the CAA plus high healthcare costs plus a potential recession that we're going to have is going to see a shift from employers from misaligned broker consultants that are lap dogs for the carrier to more aligned broker consultant guard dogs. And that's my point for today. Thank you for watching a Healthcare C.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A HealthcareZ.
[0:05 - 0:14]  Today's topic is Drivers of Employer Change in their Insurance Broker and Benefit Consultant.
[0:14 - 0:25]  So, believe it or not, 1.2 trillion of healthcare spend in America is by employer-sponsored health insurance plans.
[0:25 - 0:38]  So, it's by the employers in America and that is 28% of the $4.3 trillion in total that America spends on healthcare annually.
[0:38 - 0:50]  And insurance brokers and benefits consultants have a huge influence on how that $1.2 trillion is spent.
[0:50 - 1:03]  So, if we want to understand the employer market, then we have to understand the relationship between an employer and their broker and insurance benefit consultant.
[1:03 - 1:10]  And what drives an employer to change that relationship, to change their consultant?
[1:10 - 1:19]  So, I said in a previous video that there's essentially a table of power that has three seats on it when it comes to an employer-sponsored health insurance plan.
[1:19 - 1:24]  There's the employer, there's the broker consultant, and then there's the health insurance carrier.
[1:24 - 1:31]  And those three form the triad of how a plan runs and operates.
[1:31 - 1:41]  Well, guess what? If the plan isn't going well, then an employer will change out their broker benefit consultant.
[1:41 - 1:43]  So, let's talk about those changes.
[1:43 - 1:50]  So, typically what I've seen is that, one, healthcare costs are high for the individual employer.
[1:50 - 1:53]  Well, what's new? Healthcare costs are always high.
[1:53 - 1:56]  So, you might say, well, Dr. Bricker, like, costs are always high.
[1:56 - 2:00]  But they don't change their broker all the time and the costs are still high.
[2:00 - 2:05]  Aha! I have seen two other things being necessary.
[2:05 - 2:08]  You essentially have to, three things have to occur at the same time.
[2:08 - 2:11]  So, one, the healthcare costs have to be high for the group.
[2:11 - 2:15]  But then, two, that there's a regulatory change.
[2:15 - 2:22]  And then, three, that there's also a change in the business conditions, in the overall economy as well.
[2:22 - 2:29]  And when you get those three things combined of high healthcare costs, plus a regulatory change,
[2:29 - 2:32]  plus a change in the overall business environment,
[2:32 - 2:36]  then I have seen gobs of employers change their broker benefit consultant.
[2:36 - 2:38]  Let me give you an example.
[2:38 - 2:47]  The Affordable Care Act in 2010, obviously, was a huge regulatory change for employers.
[2:47 - 2:53]  And in 2010, this was sort of right at the bottom of the great financial crisis.
[2:53 - 2:58]  So, we were in the midst of the largest recession since the Great Depression.
[2:58 - 3:07]  Okay. And so, what happened was, is there were tons of individual group health insurance brokers
[3:07 - 3:11]  that had small groups less than 50, small groups less than 100.
[3:11 - 3:14]  They even had a lot of groups of 200.
[3:14 - 3:19]  I would even see individual brokers that had groups of like 500.
[3:19 - 3:21]  And it was just like one broker.
[3:21 - 3:26]  And then maybe he or she had like one clerical assistant that worked with them,
[3:26 - 3:29]  but they were largely on their own.
[3:29 - 3:34]  And then, because of the increased regulatory requirements of the Affordable Care Act,
[3:34 - 3:38]  those individual brokers, they didn't have the compliance resources.
[3:38 - 3:39]  They didn't have the staff.
[3:39 - 3:46]  They didn't necessarily have an attorney on retainer or even maybe their own attorney in-house.
[3:46 - 3:51]  And so, what happened was, is all those groups under 50, under 100, under 200,
[3:51 - 3:55]  even the ones that are up to 500 that were used in an individual broker,
[3:55 - 3:57]  they moved to these regional brokerage firms.
[3:57 - 4:05]  And so, I saw the sort of mid-market brokerage firms that kind of did groups up to like 2,000.
[4:05 - 4:13]  They started acquiring huge swaths of small groups and groups under 200 business from these individual brokers.
[4:13 - 4:22]  The individual brokerage market just got decimated by the combination of the Affordable Care Act plus the Great Recession,
[4:22 - 4:24]  the Great Financial Crisis.
[4:24 - 4:34]  Now, today, we potentially have an analogous environment where we have had passage of the CAA,
[4:34 - 4:48]  which went into effect in December of 2021, that has new disclosure requirements in regards to the commissions that brokers are receiving from a variety of sources.
[4:48 - 4:51]  And they have to show all of their compensation.
[4:51 - 5:00]  And what is really going to be seen by employers is that, not for all employers, but for some employers,
[5:00 - 5:08]  their brokerage and benefit consulting fees are extraordinarily high when you take into account all of the commissions,
[5:08 - 5:14]  and I would argue even all of the override payments that the brokerages are receiving from the carriers.
[5:14 - 5:19]  And so, there's a real conflict of interest, especially from the major PBMs,
[5:19 - 5:29]  because literally, these brokerage firms are getting the equivalent of sometimes over $5 PEPM just from the PBM side of the business.
[5:29 - 5:31]  So, there's a huge conflict of interest.
[5:31 - 5:37]  So, here you've got an opportunity to move away from a PBM or to move away from an insurance carrier,
[5:37 - 5:39]  and there's a conflict of interest.
[5:39 - 5:42]  So, the broker is not acting in the best interest of the employer.
[5:42 - 5:44]  The employer could move to an independent TPA.
[5:44 - 5:51]  The employer could carve out their PBM and move to an independent, transparent pass-through PBM.
[5:51 - 5:55]  And if their broker consultant is making incredibly high fees off of them,
[5:55 - 6:00]  then there's a conflict of interest between what their broker is doing, what their benefit consultant is doing,
[6:00 - 6:02]  and what's best for the business.
[6:02 - 6:09]  And so, here in 2010 with the ACA, now, of course, the third thing we need is an economic slowdown, right?
[6:09 - 6:12]  So, yes, healthcare costs are extraordinarily high for employers.
[6:12 - 6:14]  Yes, we've had a regulatory change.
[6:14 - 6:16]  But you have to have this third piece.
[6:16 - 6:18]  We have not seen a recession yet in America.
[6:18 - 6:22]  Unemployment as of March of 2023 is still sub 4%.
[6:22 - 6:25]  In no way, shape, or form is that a recession.
[6:25 - 6:29]  So, there has to be an overall business slowdown.
[6:29 - 6:31]  There has to be a decrease in sales.
[6:31 - 6:38]  There's got to be some sort of financial pain to the business to then cause this change to occur.
[6:38 - 6:43]  To say, look, we have brokers benefit consultants who have a conflict of interest.
[6:43 - 6:46]  They're not financially aligned with our plan.
[6:46 - 6:57]  And so, what I want to do now is I want to contrast what I've seen as the brokers and consultants that really do act as employer guard dogs.
[6:57 - 7:01]  In other words, they really are aligned with the employer and the employee health plan.
[7:01 - 7:07]  They're doing everything they can to increase quality and decrease costs and increase access.
[7:07 - 7:11]  And by increase access, I mean, decrease the out-of-pocket costs for the employees.
[7:11 - 7:15]  And remember, with healthcare costs being high, what that means is that the employee out-of-pocket costs is high,
[7:15 - 7:19]  which really means access to care is being restricted.
[7:19 - 7:25]  So, like, ultimately, like, the conflict of interest of an insurance broker is, like, actually bad for patients' health.
[7:25 - 7:27]  I mean, that's why I care about it.
[7:27 - 7:35]  The financial conflict of interest of an insurance broker and benefit consultant decreases the access to healthcare for the plan participants,
[7:35 - 7:38]  and it's bad for their health.
[7:38 - 7:40]  That's why I care about this.
[7:40 - 7:41]  We really need...
[7:41 - 7:42]  So, but not all brokers are like this.
[7:42 - 7:47]  Listen, there are gobs of brokers that are involved in the $1.2 trillion spend of employer-sponsored health insurance
[7:47 - 7:49]  that are total employer guard dogs.
[7:49 - 7:56]  And then, conversely, there are many insurance brokers and benefit consultants that are just carrier lap dogs.
[7:56 - 7:59]  They're just kind of being petted by the carrier, okay?
[7:59 - 8:04]  So, let's compare and contrast employer guard dogs versus carrier lap dogs, brokers, and consultants, okay?
[8:04 - 8:07]  So, let's start off with the carrier lap dogs, okay?
[8:07 - 8:12]  Typically, the carrier lap dog brokers and consultants, they have a long carrier sales history.
[8:12 - 8:17]  They've been a salesperson at a carrier for years, if not decades, and then they move over to the brokerage consulting side.
[8:17 - 8:18]  What does that mean?
[8:18 - 8:20]  They're essentially still a carrier salesperson.
[8:20 - 8:22]  They're just wearing a different hat.
[8:22 - 8:23]  Okay.
[8:23 - 8:32]  They tend to work at a brokerage that's heavily override-driven, meaning they get a whole bunch of these, like, retention bonuses for overall book of business sales with Blue Cross United, Cigna, or Aetna.
[8:32 - 8:33]  And how do you know that?
[8:33 - 8:45]  Because these brokers and consultants tend to really discourage self-funding for their fully insured groups, and they also tend to really discourage use of TPAs other than the ASO services at Blue Cross United, Cigna, and Aetna.
[8:45 - 8:46]  Right?
[8:46 - 8:47]  Why?
[8:47 - 8:48]  Because they're getting paid these huge overrides.
[8:48 - 8:51]  Blue Cross United, Cigna, and Aetna are not paying overrides for nothing.
[8:51 - 8:54]  They're paying overrides because it's like, you better not move them to an independent TPA.
[8:54 - 8:55]  What am I paying you for?
[8:55 - 8:56]  Okay.
[8:56 - 8:57]  Next up.
[8:57 - 9:08]  The team of the lapdogs tends to be very hierarchical, meaning the account team, the producer, various strata of consultants and support folks underneath.
[9:08 - 9:18]  Where the head broker consultant, the lead on the account, tends to be very detached from the details of the account.
[9:18 - 9:21]  I've spoken with them and I'd be like, well, you know, what's the deductible or the copay?
[9:21 - 9:23]  They couldn't even tell me.
[9:23 - 9:29]  I'm like, this is a huge client of yours and you can't even tell me the basics of their plan design?
[9:29 - 9:35]  Like, plan design is well within your wheelhouse and you can't tell me that off the top of your head?
[9:35 - 9:39]  Like, I would argue that was something that you, how do I know that people should know that?
