Title: Why Is Selling in Healthcare So Hard??
URL: https://www.youtube.com/watch?v=hsHTi1jZxvM
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is, why is selling in healthcare so hard? Now, the answer to that question is because selling in healthcare is a complex business to business sale. There, I've answered the question. Video over. Okay, no, not really. All right. Now, specifically, I'm talking about digital health companies and healthcare services companies, oftentimes that are selling to employers for their employer-sponsored health plans. And in order to understand why selling in that environment is so difficult, then we really need to go to two key concepts and the intersection of those two key concepts. And those two key concepts are from, one, a fantastic book that I recommend everyone read that is called Hope is Not a Strategy about complex business to business sales, which says that, look, the importance of fit, risk, and price vary through the sales cycle. So the bottom, the x-axis is a time, the y-axis is important. So in the beginning of the sales cycle, if the solution is a fit is the issue. In the middle of the sales cycle, the risks associated with the solution is the issue. And then finally, at the end of the sales cycle, the price is really the issue. So you have to understand where in the sales cycle you are so you know which issue of fit, risk, and price to address. Okay, that is idea number one. Idea number two is from Miller Hyman. Many of you are familiar with their sales approach that says, look, when you're doing a complex business to business deal, you're not selling to a person, you're selling to a buying committee that has multiple stakeholders. And those stakeholders are the technical buyer, the outcome buyer, and the financial buyer. And so if we're to understand why selling in healthcare is so difficult, we need to understand that what is going on is you have the issues of fit, risk, and price occurring separately for each of the technical outcome and financial buyers. So what that means is, is essentially you create a tic-tac-toe three by three matrix with nine boxes of what's going on. And oh, by the way, if you're on an in-person sales meeting or a virtual sales meeting, or shoot, these days, sometimes it's a combination of in-person and virtual sales meetings, then you will have technical outcome and financial buyers who themselves in their minds are at different stages of the sales cycle. So you might have a technical person who's worried about fit, an outcome person who's worried about risk, and a financial person that's worried about price, all in the same meeting at the same time. What's that called? Hard. Okay, so we're going to literally go through each one of these boxes so that you know what's going on behind the scenes. So here you are, you're just in this sales meeting, but like, what's actually going on in the people's brains in those sales meetings? Okay, first, the technical buyer, and that's going to be like the benefits manager, or like the account manager at the brokerage or the benefits consulting firm. And so the issue of fit for them is, look, is this vendor competent at implementing and managing the program? Like, that's a fit issue for me. Okay, then the risk for the technical buyer is, listen, are the insurance carrier and the benefits administrator going to actually cooperate with the vendor? Because oftentimes it involves data feeds and all this sort of stuff. And if they can, if those folks don't cooperate, then that's a huge risk for the success of the solution. And then finally, the price. Now the price for the technical buyer isn't the money, but it is the time. And so essentially, the technical buyer in their mind is like, look, do I have, do I have bandwidth to get this done? Do I even have motivation to get this done? Okay, now let's move on to the outcome buyer. So the outcome buyer is going to be like the director of benefits or the head of total rewards or the VP of HR. Really, they're sort of the, their role is to be, look, we have to have a benefits package that can attract and retain people. We're essentially the voice of the employee. So essentially, the outcome buyers, they're sort of a proxy of the end user, of the health plan members, the employees and their family members themselves. Now, the fit issue for them is, look, does this solution actually improve employee and health plan member health? Does it improve their health? And does it, does it improve their satisfaction? Does it make them happy? Okay. Then the risk is, well, a number one for all these solutions is just low utilization. It's just like crickets. Okay. We put a solution out there and like, there's no response. Nobody uses it or it's bad service and people complain and you get a bunch of noise around this. Okay. That's the risk issue for them. And then the price issue for them, notice they have, they have to deal with their own team's bandwidth. So in their mind, they're like, I can't do this alone. I need my team to be able to get on this. Can I actually get my team to do this? Do they have the bandwidth to do this? And then also I need to then up manage the CFO. Can I really justify my budget request for this solution? Okay. So with that, let's move on to the financial buyer, the CFO. Okay. So the fifth issue for the CFO is, okay, is a decrease in the health spend for our company or organization meaningful? Is decreasing health spend meaningful to our organization? And guess what? In a lot of organizations, the answer is no. If you're in a fast growing high margin business, guess what? Decreasing the health spend is not meaningful to that organization. But if you're in a slower growing or a, and or a lower margin business, then it becomes meaningful. So just because there's a lot of waste in an employee health plan, you know, there are going to be some CFOs in certain industries and certain companies that are like, well, it's kind of the cost to do it. Believe me, I've been in plenty of meetings where the CFO and the CEO are like, look, like I hate our health plan, but you know what? It's kind of the cost of doing business. And they leave it alone. Like they don't care. Okay. Next up for risk is, okay. For the financial buyer, the risk is, are we going to spend more on this solution than we actually save? In other words, is it going to have a negative ROI? In other words, the solution actually has to work. Okay. So they're telling me that it's going to help control my healthcare costs. Like it actually has to achieve that. Okay. And then the prices look, is there, so let's say it actually does work. Look, do we even have room in the budget for it? So just know that when you're trying to sell and literally, oh, by the way, you have to have different meetings with different combinations of these people. And like, and like, like I said, they're not all going to lined up where you have a meeting where like everybody's thinking about fit and everybody's thinking about risk. And then everybody's thinking about price. It doesn't even work that way. You're going to have different people at different stages in their own mind of fit, risk, and price. And you're going to have different permutations and combinations of people in various meetings. So just know, like literally when I would do this, like I was sweating bullets. Like it was incredibly like intellectually challenging to try to manage this. And oh, by the way, there are specific solutions to each one of these nine boxes. And for the sake of scope, I'm not going to go through the solutions for each one of these nine boxes, but believe me, they exist. And that's the point I wanted to make today. Thank you for watching a Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is,
[0:06 - 0:16]  why is selling in healthcare so hard? Now, the answer to that question is because selling in
[0:16 - 0:24]  healthcare is a complex business to business sale. There, I've answered the question. Video over.
[0:24 - 0:29]  Okay, no, not really. All right. Now, specifically, I'm talking about digital health companies and
[0:29 - 0:34]  healthcare services companies, oftentimes that are selling to employers for their employer-sponsored
[0:34 - 0:40]  health plans. And in order to understand why selling in that environment is so difficult,
[0:40 - 0:45]  then we really need to go to two key concepts and the intersection of those two key concepts.
[0:45 - 0:50]  And those two key concepts are from, one, a fantastic book that I recommend everyone read
[0:50 - 0:55]  that is called Hope is Not a Strategy about complex business to business sales, which says that, look,
[0:55 - 1:03]  the importance of fit, risk, and price vary through the sales cycle. So the bottom, the x-axis is a
[1:03 - 1:08]  time, the y-axis is important. So in the beginning of the sales cycle, if the solution is a fit is the
[1:08 - 1:13]  issue. In the middle of the sales cycle, the risks associated with the solution is the issue. And
[1:13 - 1:18]  then finally, at the end of the sales cycle, the price is really the issue. So you have to understand
[1:18 - 1:23]  where in the sales cycle you are so you know which issue of fit, risk, and price to address.
[1:23 - 1:30]  Okay, that is idea number one. Idea number two is from Miller Hyman. Many of you are familiar with
[1:30 - 1:35]  their sales approach that says, look, when you're doing a complex business to business deal, you're
[1:35 - 1:42]  not selling to a person, you're selling to a buying committee that has multiple stakeholders. And
[1:42 - 1:49]  those stakeholders are the technical buyer, the outcome buyer, and the financial buyer. And so if we're
[1:49 - 1:54]  to understand why selling in healthcare is so difficult, we need to understand that what is
[1:54 - 2:03]  going on is you have the issues of fit, risk, and price occurring separately for each of the technical
[2:03 - 2:10]  outcome and financial buyers. So what that means is, is essentially you create a tic-tac-toe three by
[2:10 - 2:18]  three matrix with nine boxes of what's going on. And oh, by the way, if you're on an in-person sales
[2:18 - 2:22]  meeting or a virtual sales meeting, or shoot, these days, sometimes it's a combination of
[2:22 - 2:28]  in-person and virtual sales meetings, then you will have technical outcome and financial buyers
[2:28 - 2:34]  who themselves in their minds are at different stages of the sales cycle. So you might have a
[2:34 - 2:38]  technical person who's worried about fit, an outcome person who's worried about risk, and a financial
[2:38 - 2:43]  person that's worried about price, all in the same meeting at the same time. What's that called?
[2:43 - 2:49]  Hard. Okay, so we're going to literally go through each one of these boxes so that you know what's
[2:49 - 2:54]  going on behind the scenes. So here you are, you're just in this sales meeting, but like, what's actually
[2:54 - 2:59]  going on in the people's brains in those sales meetings? Okay, first, the technical buyer, and
[2:59 - 3:04]  that's going to be like the benefits manager, or like the account manager at the brokerage or the
[3:04 - 3:10]  benefits consulting firm. And so the issue of fit for them is, look, is this vendor competent at
[3:10 - 3:19]  implementing and managing the program? Like, that's a fit issue for me. Okay, then the risk for the
[3:19 - 3:25]  technical buyer is, listen, are the insurance carrier and the benefits administrator going to
[3:25 - 3:31]  actually cooperate with the vendor? Because oftentimes it involves data feeds and all this sort of stuff.
[3:31 - 3:35]  And if they can, if those folks don't cooperate, then that's a huge risk for the success of the
[3:35 - 3:40]  solution. And then finally, the price. Now the price for the technical buyer isn't the money,
[3:41 - 3:46]  but it is the time. And so essentially, the technical buyer in their mind is like, look,
[3:46 - 3:53]  do I have, do I have bandwidth to get this done? Do I even have motivation to get this done? Okay,
[3:53 - 3:58]  now let's move on to the outcome buyer. So the outcome buyer is going to be like the director of
[3:58 - 4:05]  benefits or the head of total rewards or the VP of HR. Really, they're sort of the, their role is
[4:05 - 4:09]  to be, look, we have to have a benefits package that can attract and retain people. We're essentially
[4:09 - 4:13]  the voice of the employee. So essentially, the outcome buyers, they're sort of a proxy of the
[4:13 - 4:20]  end user, of the health plan members, the employees and their family members themselves. Now, the fit
[4:20 - 4:25]  issue for them is, look, does this solution actually improve employee and health plan member health?
[4:25 - 4:29]  Does it improve their health? And does it, does it improve their satisfaction? Does it make them
[4:29 - 4:34]  happy? Okay. Then the risk is, well, a number one for all these solutions is just low utilization.
[4:34 - 4:39]  It's just like crickets. Okay. We put a solution out there and like, there's no response. Nobody uses
[4:39 - 4:46]  it or it's bad service and people complain and you get a bunch of noise around this. Okay. That's the
[4:46 - 4:50]  risk issue for them. And then the price issue for them, notice they have, they have to deal with
[4:50 - 4:56]  their own team's bandwidth. So in their mind, they're like, I can't do this alone. I need my
[4:56 - 5:01]  team to be able to get on this. Can I actually get my team to do this? Do they have the bandwidth
[5:01 - 5:08]  to do this? And then also I need to then up manage the CFO. Can I really justify my budget request
[5:08 - 5:14]  for this solution? Okay. So with that, let's move on to the financial buyer, the CFO. Okay.
[5:14 - 5:24]  So the fifth issue for the CFO is, okay, is a decrease in the health spend for our company or
[5:24 - 5:29]  organization meaningful? Is decreasing health spend meaningful to our organization? And guess what?
[5:29 - 5:34]  In a lot of organizations, the answer is no. If you're in a fast growing high margin business,
[5:35 - 5:40]  guess what? Decreasing the health spend is not meaningful to that organization. But if you're in
[5:40 - 5:46]  a slower growing or a, and or a lower margin business, then it becomes meaningful. So just
