Title: Why Kaiser Permanente Is Not Across More of America
URL: https://www.youtube.com/watch?v=oKKXFQwKqEc
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is, if Kaiser is so successful, why has it not spread to more parts of America? So that's an excellent question. So this is a follow-up video to my initial Kaiser Permanente video that describes it as a vertically integrated healthcare system where it has a health insurance company that collects premium and takes on risk and it employs the doctors, the nurses, they run the clinics, they run the hospital. So it truly is a vertically integrated healthcare system. And I put this video out there and people are like, okay, Dr. Bricker, it's so wonderful. Why is Kaiser not everywhere? That's a fantastic question and we're going to answer that right now. So the value proposition, in my opinion, of a Kaiser Permanente plan vis-a-vis another Buka plan or TPA plan, et cetera, et cetera, is, listen, it's a lower premium. It's not astronomically lower, but it's competitive or a lower premium. It is a low out-of-pocket cost. This is where it's incredibly compelling, right? Because they offer these HMO plans that have like $5 and $10 office visit co-pays, very low or no deductibles. I mean, if these are super low out-of-pocket plans, which for employers that have employees where that's really important to them, then that's really the 10x value proposition of the Kaiser plan is the incredibly low out-of-pocket cost to employees. And it is a low choice plan. Again, we're talking PCP gatekeeper model. They're going to dictate that you go to these narrow network Kaiser employed specialists, whether it be a dermatologist or a cardiologist, et cetera. Now, the question is then for any business is that if that is the value proposition, is their product market fit? Does that value proposition or that product, does that fit with the market? And the answer is, is yes. However, it's not like, it's not everything for everybody, right? You can't please everybody all the time. In fact, that's a guaranteed way to not have product market fit because you can never please everybody all the time. You have to have some sort of niche. So really the quote unquote niche where Kaiser plans are incredibly popular is with unions and with government employees. And that is sort of how Kaiser became so successful in California because of the huge California state employee union plan called CalPERS. Okay. And then also the reason why Kaiser is successful in the Washington DC area is because they're one of the choices for the federal employees. So you have, and so you're talking the largest state in America and the federal government and the employees of both of those places form the sort of backbone of Kaiser in California and the Washington DC area where they're located. Okay. Now in Colorado, they're successful in Denver too. Why is that? They were heavily supported by the AFL-CIO union there. And I'll leave a link in the show notes. There's a fantastic summary article that talks about successes and failures of Kaiser in various markets. I highly encourage you to read it. Now, one of the keys of moving to a new market for the Kaiser vertically integrated market is that it needs a critical mass of local members. In other words, the kind of large number of members in one place that can justify primary care physicians, clinics, cardiologists, dermatologists, ENTs, etc, etc, etc, right? Now that was created by the unions and the federal employees in those places like California and Washington DC and Denver by the AFL-CIO. Now, as you can imagine, it requires a huge upfront cost to establish, to hire and staff the primary care physicians, the specialists, to build and run the clinics, to like build and run a hospital. Right? That's incredibly expensive. If you don't, so what are you going to do? It's like the chicken and the egg. You have to build that first. And the members have to be able to come to that immediately. And so the problem is that if you have all that infrastructure set up and you don't have some sort of large critical mass that you can very quickly put on that vertically integrated healthcare system platform, then you are totally hosed. Right? Because you're just going to be bleeding money while your salespeople are out there trying to sell, group, group, group, group, sell, sell, sell, sell, sell, sell, sell, sell. And of course, everybody knows the employee benefit sales cycle is incredibly slow and incredibly long. And so as a result, you get this huge problem of massive upfront cost, which if you can't get the members fast, you lose money like crazy and you can't make it work. Okay. Now, this is not in theory. This is exactly what happened. Because guess what? In the 90s, in the 80s, Kaiser tried to expand to other parts of the country. They were in Texas. They were in North Carolina. They were in New York State. They were in New England. And guess what? They are not in any of these places anymore because it failed. And why did it fail? Okay. Because they had no large employers like a huge state employee union or the federal government or another union that could provide that critical mass employees. Right? They didn't have that in Texas. They didn't have it in North Carolina. They didn't have it in any of these places. Okay. So that was problem number one. Why? So the, the, the plans when they were starting, they were just bleeding money. The, the, the Kaiser plan in Texas was just bleeding money. It was not on secure financial footing in the 90s when they're trying to do this. The other problem that they had was that the local physicians were hostile to the Kaiser model. And what, what do I mean by that? They were like, Oh, look, it's just, look, they just want to take your premium. And then they just don't want to provide care for you. And so, especially there's in the article, there's information about in the state of North Carolina, how the other local doctors and hospitals would talk bad about the Kaiser model and say, look, it's not real healthcare. They're not going to treat you. They just want your money. Now in Texas, there was even, you know, back and forth lawsuits between the insurance department of the state of Texas and Kaiser. I'm not here to get into the weeds of the back and forth on that. But what I'm here to say is, is that the combination of the critical mass necessary of employee members, plus the hostile environment really created headwinds for Kaiser's expansion in the nineties. Now, if they try to do it again here in 2020, could they be successful? I don't know. But that's the explanation for why Kaiser can be so successful in California and the Washington DC area, Colorado, et cetera, and yet not be found all over America. And thank you for watching a healthcare scene.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is,
[0:06 - 0:15]  if Kaiser is so successful, why has it not spread to more parts of America? So that's an excellent
[0:15 - 0:21]  question. So this is a follow-up video to my initial Kaiser Permanente video that describes
[0:21 - 0:25]  it as a vertically integrated healthcare system where it has a health insurance company that
[0:25 - 0:32]  collects premium and takes on risk and it employs the doctors, the nurses, they run the clinics,
[0:32 - 0:38]  they run the hospital. So it truly is a vertically integrated healthcare system. And I put this
[0:38 - 0:42]  video out there and people are like, okay, Dr. Bricker, it's so wonderful. Why is Kaiser not
[0:42 - 0:49]  everywhere? That's a fantastic question and we're going to answer that right now. So the value
[0:49 - 0:55]  proposition, in my opinion, of a Kaiser Permanente plan vis-a-vis another Buka plan or TPA plan,
[0:55 - 1:00]  et cetera, et cetera, is, listen, it's a lower premium. It's not astronomically lower, but it's
[1:00 - 1:06]  competitive or a lower premium. It is a low out-of-pocket cost. This is where it's incredibly
[1:06 - 1:12]  compelling, right? Because they offer these HMO plans that have like $5 and $10 office visit co-pays,
[1:12 - 1:19]  very low or no deductibles. I mean, if these are super low out-of-pocket plans, which for employers
[1:19 - 1:25]  that have employees where that's really important to them, then that's really the 10x value proposition
[1:25 - 1:32]  of the Kaiser plan is the incredibly low out-of-pocket cost to employees. And it is a low choice plan.
[1:32 - 1:37]  Again, we're talking PCP gatekeeper model. They're going to dictate that you go to these narrow network
[1:37 - 1:42]  Kaiser employed specialists, whether it be a dermatologist or a cardiologist, et cetera.
[1:43 - 1:48]  Now, the question is then for any business is that if that is the value proposition,
[1:48 - 1:54]  is their product market fit? Does that value proposition or that product, does that fit with
[1:54 - 2:01]  the market? And the answer is, is yes. However, it's not like, it's not everything for everybody,
[2:02 - 2:06]  right? You can't please everybody all the time. In fact, that's a guaranteed way to not have product
[2:06 - 2:10]  market fit because you can never please everybody all the time. You have to have some sort of niche.
[2:10 - 2:17]  So really the quote unquote niche where Kaiser plans are incredibly popular is with unions and
[2:17 - 2:25]  with government employees. And that is sort of how Kaiser became so successful in California because of
[2:25 - 2:33]  the huge California state employee union plan called CalPERS. Okay. And then also the reason why Kaiser
[2:33 - 2:39]  is successful in the Washington DC area is because they're one of the choices for the federal employees.
[2:39 - 2:45]  So you have, and so you're talking the largest state in America and the federal government and the
[2:45 - 2:52]  employees of both of those places form the sort of backbone of Kaiser in California and the Washington
[2:52 - 2:57]  DC area where they're located. Okay. Now in Colorado, they're successful in Denver too. Why is that?
[2:57 - 3:03]  They were heavily supported by the AFL-CIO union there. And I'll leave a link in the show notes.
[3:03 - 3:09]  There's a fantastic summary article that talks about successes and failures of Kaiser in various markets.
[3:09 - 3:16]  I highly encourage you to read it. Now, one of the keys of moving to a new market for the Kaiser vertically
[3:16 - 3:24]  integrated market is that it needs a critical mass of local members. In other words, the kind of large number
[3:24 - 3:32]  of members in one place that can justify primary care physicians, clinics, cardiologists, dermatologists,
[3:32 - 3:39]  ENTs, etc, etc, etc, right? Now that was created by the unions and the federal employees in those places like
[3:39 - 4:01]  California and Washington DC and Denver by the AFL-CIO. Now, as you can imagine, it requires a huge upfront cost to establish, to hire and staff the primary care physicians, the specialists, to build and run the clinics, to like build and run a hospital.
[4:01 - 4:08]  Right? That's incredibly expensive. If you don't, so what are you going to do? It's like the chicken and the egg.
[4:08 - 4:13]  You have to build that first. And the members have to be able to come to that immediately.
[4:13 - 4:36]  And so the problem is that if you have all that infrastructure set up and you don't have some sort of large critical mass that you can very quickly put on that vertically integrated healthcare system platform, then you are totally hosed. Right? Because you're just going to be bleeding money while your salespeople are out there trying to sell, group, group, group, group, sell, sell, sell, sell, sell, sell, sell, sell. And of course, everybody knows the employee benefit sales cycle is incredibly slow and incredibly long.
[4:36 - 4:46]  And so as a result, you get this huge problem of massive upfront cost, which if you can't get the members fast, you lose money like crazy and you can't make it work.
[4:46 - 4:56]  Okay. Now, this is not in theory. This is exactly what happened. Because guess what? In the 90s, in the 80s, Kaiser tried to expand to other parts of the country.
[4:56 - 5:10]  They were in Texas. They were in North Carolina. They were in New York State. They were in New England. And guess what? They are not in any of these places anymore because it failed. And why did it fail? Okay.
[5:11 - 5:22]  Because they had no large employers like a huge state employee union or the federal government or another union that could provide that critical mass employees. Right?
[5:22 - 5:38]  They didn't have that in Texas. They didn't have it in North Carolina. They didn't have it in any of these places. Okay. So that was problem number one. Why? So the, the, the plans when they were starting, they were just bleeding money. The, the, the Kaiser plan in Texas was just bleeding money. It was not on secure financial footing in the 90s when they're trying to do this.
