Title: #1 Rule for Healthcare Investing
URL: https://www.youtube.com/watch?v=3qEeL1sq2oE
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is rule number one of healthcare investing. So, the first rule in healthcare investing is we can only make money if the patient comes first. It's a very simple idea, but I think it's an idea that we can all aspire to with our investing. Let me talk through that a little bit. So, the best way for most healthcare companies and most healthcare investors to make money is to increase the prices of the goods and services that are being sold in healthcare. Now, that boosts investor returns. And so, the best way to increase prices and boost investor returns is through pricing power. Well, healthcare is unique in terms of its pricing power because this is a healthcare finance channel. We have to draw supply and demand curves, right? So, anytime you draw a supply and demand curve, you've got price on the y-axis and quantity on the x-axis. Now, in healthcare, we have this unique situation in that the quote-unquote healthcare industry is really a whitewashed word to describe the pain, suffering, and death industry. That's right. I'm not trying to be too morbid here on this video, but we really work not in the healthcare industry. We work in the pain, suffering, and death industry. So, if you're in pain, if you're suffering, like you can't breathe, or you're on the verge of death, your demand curve is what is called perfectly inelastic. It goes straight up and down, which means that like you as an individual or your family members would be willing to pay any price to alleviate your pain or like help you breathe. A person with emphysema once described it to me as somebody holding a pillow and smashing it down on your face. And that's what it feels like to not be able to breathe. Well, shoot, that is incredibly unpleasant. So, you would be pretty much willing to pay anything to stop that from happening. Okay. Or like you want to live. All right. Makes sense. You want to see your kid's graduation. You want to see your grandchildren. Like you want to live. Okay, fine. Now, there's two parts though. There's the demand curve. It's inelastic, but then there's the supply curve and the supply curve is upward sloping. And what happens in healthcare in America is that look, the price is low if the supply curve is what's referred to as shifted out. But if the supply curve is shifted in, then that causes the price to go up. Okay. So, what causes the supply curve to shift out? If there's more competition, what causes the supply curve to shift in? If there's less competition. So, here in America, we have low competition for a variety of reasons. We give patents to pharmaceutical companies that it's supposed to only be like 16, 17 years. They extend it to like almost double that. We only have three PBMs in America. We only have a handful of insurance carriers in America. Like there's not, like in your town, you might only have one hospital or maybe two hospitals. Like there's not a lot of choices, right? So, when you have limited competition in the face of inelastic demand, you have super high prices. You have super awesome pricing power. You have amazing investor returns. Okay. However, this comes at the cost of obviously exorbitant costs for patients. I'm going to use cancer as an example of this, right? There's a lot of pain, suffering, and death in cancer, right? So, a cancer patient's out-of-pocket costs on average in America are $2,598 per month. Keep in mind, this is for people with cancer who have insurance. $2,598 per month. Okay. For comparison, in Europe, if you have cancer, it's $609. In Australia, if you have cancer, it's $438. Now, the demand for the pain, suffering, and death in Europe and in Australia, like it's perfectly inelastic as well. I think people's desire to alleviate their pain, suffering, and death is the same in Europe and Australia as it is in America. So, it's not the inelastic demand curve that's different. It's the inward shift of the supply curve due to lack of competition that's the problem here in America. Okay. So, what's the result of that? Right. So, we have oncology drug revenue because of these increased prices has gone from $53 billion to $104 billion. It has essentially doubled for the 10 years from 2010 to 2019. Okay. The average cost of a cancer medication in America is $150,000 per year. Okay. Now, but people, but of course, immediately, people try to defend that and say, but, but these are life-saving medications. Okay. The big secret is, is that the average increase in life expectancy from these cancer treatments is 2.9 to 3.7 months. You are not curing this person's cancer. Okay. You are not allowing them to live for years or decades more. These drugs are extending life by 2.9 to 3.7 months. Now, that might be worth $150,000 to you. That's not for me to judge, but it is a completely false expectation to tell a patient that they're going to live for like 10 years when the average expectation for these medications is 2.9 to 3.7 months, right? We need to not take advantage of the hope of a person who is in incredible state of fear. Now, listen, sometimes patients want to do everything regardless of what the doctor says. It's a complex issue, but the point is, is that it's an exorbitant amount of money for 2.9 to 3.7 months. Okay. That's just the numbers. That's the way it is. I'll leave the sources in the show notes. Okay. So fine. What does that mean for people with cancer? 51% of people with cancer have medical debt. 53% of those medical debt go into collections and over a quarter, 28% of those who have cancer and have insurance, they deplete their savings, right? And I've literally seen this happen. Oftentimes the person with cancer, like it tremendously affects their family members. I mean, they're having to ask family for money. They're having to take out a second mortgage on their house or they're having to sell their house. I mean, typically their loved one, their spouse or what have you, they're willing to do anything to save this person, right? It's perfectly inelastic demand. Okay. So we have a situation here in America where we have the pain, suffering and death industry, where we have, and oh, by the way, like it's not just the pharmaceutical industry, right? So like, yes, the pharmaceutical industry creates these drugs for cancer. They're hugely expensive, but hospitals make a ton of money on surgery and, and care and imaging for people with cancer as well. Likewise, the, the PBM divisions within insurance company, they make gobs of money off of cancer drugs. Okay. Doctors themselves make tons of money off of this. In fact, the private equity firms have actually consolidated over 700 oncology practices in America. So there's been huge consolidations. You got to understand that there are people at these private equity firms that are consolidating these physician practices. There are people within insurance companies and PBMs. There are people within hospitals. There are people within pharmaceutical companies where all day long, they think about how to decrease competition. Okay. So this is like literally their job. What can we do to decrease competition so that we can maintain pricing power? So like when we choose to invest, we can invest however we want. It's a free country. Do we want to invest our money and we ourselves make money on the backs of pharmaceutical companies, publicly traded hospital companies, uh, insurance companies and their PBMs and publicly traded private equity firms that own physician practices? Do we ourselves want to make money on the backs of the pain, suffering and death industry? It's up for you to decide. That's my point for today. Thank you for watching a healthcare scene.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic
[0:05 - 0:13]  is rule number one of healthcare investing. So, the first rule in healthcare investing
[0:13 - 0:23]  is we can only make money if the patient comes first. It's a very simple idea, but I think
[0:23 - 0:31]  it's an idea that we can all aspire to with our investing. Let me talk through that a little bit.
[0:31 - 0:38]  So, the best way for most healthcare companies and most healthcare investors to make money
[0:38 - 0:45]  is to increase the prices of the goods and services that are being sold in healthcare. Now,
[0:46 - 0:53]  that boosts investor returns. And so, the best way to increase prices and boost investor returns
[0:53 - 1:00]  is through pricing power. Well, healthcare is unique in terms of its pricing power because
[1:00 - 1:05]  this is a healthcare finance channel. We have to draw supply and demand curves, right? So,
[1:05 - 1:11]  anytime you draw a supply and demand curve, you've got price on the y-axis and quantity on the x-axis.
[1:12 - 1:18]  Now, in healthcare, we have this unique situation in that the quote-unquote healthcare industry
[1:18 - 1:26]  is really a whitewashed word to describe the pain, suffering, and death industry. That's right.
[1:26 - 1:32]  I'm not trying to be too morbid here on this video, but we really work not in the healthcare industry.
[1:32 - 1:38]  We work in the pain, suffering, and death industry. So, if you're in pain, if you're suffering,
[1:38 - 1:43]  like you can't breathe, or you're on the verge of death, your demand curve is what is called
[1:43 - 1:50]  perfectly inelastic. It goes straight up and down, which means that like you as an individual or your
[1:50 - 1:57]  family members would be willing to pay any price to alleviate your pain or like help you breathe.
[1:58 - 2:05]  A person with emphysema once described it to me as somebody holding a pillow and smashing it down
[2:05 - 2:10]  on your face. And that's what it feels like to not be able to breathe. Well, shoot, that is incredibly
[2:10 - 2:15]  unpleasant. So, you would be pretty much willing to pay anything to stop that from happening.
[2:15 - 2:20]  Okay. Or like you want to live. All right. Makes sense. You want to see your kid's graduation.
[2:20 - 2:26]  You want to see your grandchildren. Like you want to live. Okay, fine. Now, there's two parts though.
[2:27 - 2:30]  There's the demand curve. It's inelastic, but then there's the supply curve and the supply curve is
[2:30 - 2:37]  upward sloping. And what happens in healthcare in America is that look, the price is low if the supply
[2:37 - 2:43]  curve is what's referred to as shifted out. But if the supply curve is shifted in, then that causes
[2:43 - 2:50]  the price to go up. Okay. So, what causes the supply curve to shift out? If there's more competition,
[2:50 - 2:55]  what causes the supply curve to shift in? If there's less competition. So, here in America,
[2:55 - 3:03]  we have low competition for a variety of reasons. We give patents to pharmaceutical companies
[3:03 - 3:12]  that it's supposed to only be like 16, 17 years. They extend it to like almost double that. We only
[3:12 - 3:18]  have three PBMs in America. We only have a handful of insurance carriers in America. Like there's not,
[3:18 - 3:24]  like in your town, you might only have one hospital or maybe two hospitals. Like there's not a lot of
[3:24 - 3:29]  choices, right? So, when you have limited competition in the face of inelastic demand,
[3:29 - 3:37]  you have super high prices. You have super awesome pricing power. You have amazing investor returns.
[3:37 - 3:45]  Okay. However, this comes at the cost of obviously exorbitant costs for patients. I'm going to use
[3:45 - 3:51]  cancer as an example of this, right? There's a lot of pain, suffering, and death in cancer, right? So,
[3:51 - 4:00]  a cancer patient's out-of-pocket costs on average in America are $2,598 per month. Keep in mind,
[4:00 - 4:08]  this is for people with cancer who have insurance. $2,598 per month. Okay. For comparison, in Europe,
[4:08 - 4:13]  if you have cancer, it's $609. In Australia, if you have cancer, it's $438. Now, the demand for
[4:13 - 4:20]  the pain, suffering, and death in Europe and in Australia, like it's perfectly inelastic as well.
[4:20 - 4:25]  I think people's desire to alleviate their pain, suffering, and death is the same in Europe and
[4:25 - 4:30]  Australia as it is in America. So, it's not the inelastic demand curve that's different. It's the
[4:30 - 4:36]  inward shift of the supply curve due to lack of competition that's the problem here in America.
[4:36 - 4:44]  Okay. So, what's the result of that? Right. So, we have oncology drug revenue because of these
[4:44 - 4:52]  increased prices has gone from $53 billion to $104 billion. It has essentially doubled for the 10
[4:52 - 5:02]  years from 2010 to 2019. Okay. The average cost of a cancer medication in America is $150,000 per year.
[5:02 - 5:08]  Okay. Now, but people, but of course, immediately, people try to defend that and say, but, but these
[5:08 - 5:16]  are life-saving medications. Okay. The big secret is, is that the average increase in life expectancy
[5:16 - 5:25]  from these cancer treatments is 2.9 to 3.7 months. You are not curing this person's cancer. Okay. You are
[5:25 - 5:34]  not allowing them to live for years or decades more. These drugs are extending life by 2.9 to 3.7
[5:34 - 5:41]  months. Now, that might be worth $150,000 to you. That's not for me to judge, but it is a completely
[5:41 - 5:47]  false expectation to tell a patient that they're going to live for like 10 years when the average
[5:47 - 5:55]  expectation for these medications is 2.9 to 3.7 months, right? We need to not take advantage of the
[5:55 - 6:00]  hope of a person who is in incredible state of fear. Now, listen, sometimes patients want to do
[6:00 - 6:05]  everything regardless of what the doctor says. It's a complex issue, but the point is, is that
[6:05 - 6:11]  it's an exorbitant amount of money for 2.9 to 3.7 months. Okay. That's just the numbers. That's
[6:11 - 6:15]  the way it is. I'll leave the sources in the show notes. Okay. So fine. What does that mean for people
[6:15 - 6:21]  with cancer? 51% of people with cancer have medical debt. 53% of those medical debt go into collections
[6:21 - 6:29]  and over a quarter, 28% of those who have cancer and have insurance, they deplete their savings,
[6:29 - 6:35]  right? And I've literally seen this happen. Oftentimes the person with cancer, like it
